KEII IN Equity,price,volume,mc,pe,bm,div
1995-04-30,4.6,,,,,0.0
1995-05-31,2.0,,,,,0.0
1995-06-30,4.2,,,,,0.0
1995-07-31,3.8,,,,,0.0
1995-08-31,3.1,,,,,0.0
1995-09-30,3.0,,,,,0.24
1995-10-31,3.0,,,,,0.24
1995-11-30,2.8,,,,,0.24
1995-12-31,5.0,,,,,0.24
1996-01-31,4.35,,,,,0.24
1996-02-29,4.4,,,,,0.24
1996-03-31,4.2,,,,,0.24
1996-04-30,4.2,,,,,0.24
1996-05-31,4.4,5500.0,,,,0.24
1996-06-30,4.0,15000.0,,,,0.24
1996-07-31,3.62,19000.0,,,,0.24
1996-08-31,3.4,2000.0,,,,0.3
1996-11-30,3.35,3000.0,,,,0.3
1996-12-31,3.35,500.0,,,,0.3
1997-01-31,3.9,21000.0,,,,0.3
1997-02-28,3.7,2500.0,,,,0.3
1997-03-31,4.0,500.0,,,,0.3
1997-04-30,3.25,2500.0,,,,0.3
1997-05-31,3.1,1000.0,,,,0.3
1997-08-31,2.8,2500.0,,,,0.3
1997-11-30,2.2,500.0,,,,0.3
1998-01-31,1.96,1000.0,,,,0.3
1998-04-30,1.8,3500.0,,,,0.3
1998-05-31,1.6,14500.0,,,,0.3
1998-07-31,1.0,3000.0,,,,0.3
1998-08-31,0.4,2000.0,,,,0.3
1998-09-30,0.4,500.0,,,,0.3
1998-10-31,0.62,500.0,,,,0.0
1998-11-30,0.8,1000.0,,,,0.0
1998-12-31,0.6,39000.0,,,,0.0
1999-01-31,0.6,11500.0,,,,0.0
1999-02-28,0.96,1000.0,,,,0.0
1999-03-31,0.6,500.0,,,,0.0
1999-04-30,1.6,1000.0,,,,0.0
1999-10-31,1.6,500.0,,,,0.0
2000-01-31,1.2,14000.0,,,,0.0
2000-02-29,2.45,40000.0,,,,0.0
2000-03-31,2.49,15500.0,,,,0.0
2001-02-28,2.6,250.0,,,,0.1
2001-05-31,2.55,1750.0,,,,0.1
2001-06-30,2.52,55.0,,,,0.1
2001-07-31,2.56,850.0,,,,0.2
2001-09-30,2.36,150.0,,,,0.2
2001-10-31,1.6,2980.0,,,,0.2
2001-11-30,1.4,500.0,,,,0.2
2001-12-31,1.08,1000.0,,,,0.2
2002-01-31,0.86,2500.0,,,,0.2
2002-02-28,0.86,4000.0,,,,0.2
2002-03-31,1.05,5000.0,,,,0.2
