ANANDRAT IN Equity,price,volume,mc,pe,bm,div
2021-12-31,294.25,44062968.0,24491.1496,53.5974,6.7107,0.0
2022-01-31,292.25,17238388.0,24324.6847,53.2332,6.665,2.5
2022-02-28,279.5,5273710.0,23263.4709,50.9107,6.3743,2.5
2022-03-31,303.15,3657422.0,25231.9184,19.9179,7.342,2.5
2022-04-30,324.3,13800370.0,26992.2848,21.3075,7.8542,2.5
2022-05-31,330.6,3031478.0,27516.6493,21.7214,8.0068,2.5
2022-06-30,328.35,2001996.0,27329.3763,21.5736,7.9523,2.5
2022-07-31,320.52,3439860.0,26724.2507,21.0595,7.7628,2.5
2022-08-31,328.25,2051568.0,27368.3342,21.567,7.9499,5.5
2022-09-30,328.0,2403722.0,27347.49,21.5506,7.9438,5.5
2022-10-31,361.33,5322190.0,30126.0117,23.7401,8.7509,8.0
2022-11-30,352.98,1278302.0,29429.818,23.1915,8.5487,8.0
2022-12-31,350.78,1588662.0,29246.3897,23.047,8.4954,8.0
2023-01-31,416.25,6151160.0,34705.4656,27.3489,10.0811,5.5
2023-02-28,376.05,3936444.0,31353.7306,24.7076,9.1075,5.5
2023-03-31,403.85,2389504.0,33671.5971,19.9629,7.1912,5.5
2023-04-30,431.78,4113120.0,35999.8857,21.3433,7.6885,5.5
2023-05-31,430.08,2011930.0,35858.1457,21.2593,7.6582,9.0
2023-06-30,432.98,1279920.0,36099.9375,21.4026,7.7098,9.0
2023-07-31,581.7,9566854.0,48500.1066,28.7543,10.3581,9.0
2023-08-31,713.25,5609998.0,59542.4909,35.257,12.7006,6.0
2023-09-30,840.4,4789422.0,70157.0408,41.5423,14.9647,6.0
2023-10-31,954.55,4954670.0,79686.3437,47.1849,16.9974,6.0
2023-11-30,1297.75,3190830.0,108336.863,64.1498,23.1086,6.0
2023-12-31,1296.85,2726136.0,108261.7305,64.1053,23.0926,6.0
2024-01-31,1529.13,4200182.0,127921.3893,75.587,27.2286,6.0
2024-02-29,1828.4,2908686.0,152957.7165,90.3806,32.5577,6.0
2024-03-31,1847.18,4040934.0,154528.369,68.2874,23.8156,6.0
2024-04-30,1999.13,4223064.0,167239.9885,73.9048,25.7747,6.0
2024-05-31,2097.7,1752004.0,175486.4372,77.549,27.0456,2.5
2024-06-30,1953.93,1441888.0,163458.7104,72.2338,25.1919,9.0
2024-07-31,1889.18,2281206.0,156840.5062,69.8401,24.3571,9.0
2024-08-31,1906.9,1869340.0,158312.047,70.4954,24.5856,9.0
2024-09-30,1962.68,1779000.0,162942.5228,72.5573,25.3047,9.0
2024-10-31,2062.98,4638260.0,171269.4924,76.2652,26.5979,8.0
2024-11-30,2078.03,1517160.0,172518.953,76.8216,26.7919,8.0
2024-12-31,1972.03,2889558.0,163718.7658,72.903,25.4253,8.0
2025-01-31,1831.1,4887768.0,152019.0829,67.6932,23.6083,8.0
2025-02-28,2000.53,8139430.0,166084.8538,73.9566,25.7927,8.0
2025-03-31,1912.2,7156237.0,158752.0563,52.9482,23.5546,8.0
2025-04-30,1701.8,2127751.0,141284.5149,47.1223,20.9629,8.0
2025-05-31,1876.5,1831545.0,155788.2197,51.9596,23.1148,10.5
2025-06-30,2159.7,4282702.0,179299.6632,59.8014,26.6033,10.5
2025-07-31,2645.6,11636810.0,219639.3893,73.2558,32.5887,10.5
2025-08-31,2793.9,2617222.0,231951.3493,77.3621,34.4154,10.5
2025-09-30,2826.8,2982841.0,234682.7282,78.2731,34.8207,10.5
2025-10-31,3088.4,11955464.0,256400.926,85.5167,38.0431,13.0
2025-11-30,2888.9,2336824.0,239838.3096,79.9927,35.5856,13.0
2025-12-31,3112.4,8449467.0,258393.4213,86.1813,38.3387,13.0
2026-01-31,2885.4,5884839.0,239547.7373,79.8957,35.5425,13.0
2026-02-28,3075.9,3289097.0,255363.1681,85.1706,37.8891,13.0
2026-03-31,3212.0,675783.0,266662.2764,88.9392,39.5656,13.0
