GCPL IN Equity,price,volume,mc,pe,bm,div
2001-06-30,4.19,4165095.0,,,,0.0
2001-07-31,3.79,1248440.0,,,,0.0
2001-08-31,4.2,14549151.0,,,,0.0
2001-09-30,4.12,1234069.0,,,,0.0
2001-10-31,4.87,6258405.0,,,,0.1646
2001-11-30,4.28,3531618.0,,,,0.1646
2001-12-31,4.82,2285389.0,,,,0.1646
2002-01-31,4.36,6234049.0,,,,0.1646
2002-02-28,4.44,3816785.0,,,,0.1646
2002-03-31,5.25,8189496.0,,,,0.1646
2002-04-30,6.47,7908034.0,4646.2424,,,0.0
2002-05-31,6.26,4669235.0,4492.5499,,,0.6174
2002-06-30,7.75,2042071.0,5492.0899,,,0.6174
2002-07-31,7.81,33523054.0,5538.7815,,,0.6174
2002-08-31,9.83,4284069.0,6968.7092,,,0.3293
2002-09-30,9.09,6908925.0,6446.3479,,,0.3293
2002-10-31,8.79,30415705.0,6189.3163,,,0.3293
2002-11-30,8.68,32083580.0,6113.9782,,,0.3293
2002-12-31,7.76,3428971.0,5462.0137,,,0.3293
2003-01-31,8.15,1532914.0,5737.2876,,,0.6586
2003-02-28,9.01,1801523.0,6345.7878,,,0.6586
2003-03-31,8.59,1605387.0,6047.333,,,0.6586
2003-04-30,8.4,2337491.0,5911.1448,,,0.6586
2003-05-31,9.03,2254947.0,6357.3783,,,0.3293
2003-06-30,10.27,4149813.0,7226.6643,,,0.3293
2003-07-31,10.02,6099137.0,7014.8733,,,0.4939
2003-08-31,11.17,6968181.0,7821.8432,,,0.4939
2003-09-30,11.51,40012423.0,7979.267,,,0.4939
2003-10-31,11.96,3040342.0,8293.1866,,,0.4939
2003-11-30,12.04,1513271.0,8347.4091,,,0.4939
2003-12-31,14.53,3004300.0,10073.9672,,,0.4939
2004-01-31,13.91,3358599.0,9643.0412,,,0.4939
2004-02-29,15.18,9470200.0,10522.0162,,,0.3293
2004-03-31,13.47,2509465.0,9340.5368,,,0.3293
2004-04-30,15.15,1575346.0,10460.3078,,,0.9878
2004-05-31,16.8,2645337.0,11602.9827,,,0.9878
2004-06-30,16.42,4827847.0,11341.475,,,0.9878
2004-07-31,16.32,12119897.0,11270.4131,,,0.8232
2004-08-31,17.78,1540640.0,12279.4917,,,0.8232
2004-09-30,18.19,494228.0,12563.7392,,,0.8232
2004-10-31,18.3,501310.0,12583.1803,,,0.8232
2004-11-30,20.37,29259126.0,14009.6137,,,0.7683
2004-12-31,24.65,9254542.0,16947.3872,,,0.7683
2005-01-31,22.99,3288507.0,15809.6368,,,0.8232
2005-02-28,22.73,8246444.0,15631.3326,,,0.8232
2005-03-31,25.52,4105474.0,17550.2252,,,0.8232
2005-04-30,22.97,3057568.0,15795.4857,,,0.8232
2005-05-31,28.57,14488608.0,19641.7614,,,0.9878
2005-06-30,26.76,12728326.0,18402.1229,,,0.9878
2005-07-31,33.55,11543175.0,23069.0831,,,0.4939
2005-08-31,37.97,7531043.0,26108.734,,,0.4939
2005-09-30,37.33,5178356.0,25670.0507,,,0.4939
2005-10-31,37.24,7691368.0,25604.9558,,,0.7409
2005-11-30,40.53,7814424.0,27871.958,,,0.7409
2005-12-31,43.35,5562222.0,29807.8251,,,0.7409
2006-01-31,45.9,5841437.0,31559.7283,,,0.9878
2006-02-28,51.69,5660145.0,35541.8409,,,0.9878
2006-03-31,60.13,16377801.0,41346.612,,,0.9878
2006-04-30,59.09,8498459.0,40508.8683,,,0.9878
2006-05-31,57.39,11344913.0,39458.8585,,,1.3171
2006-06-30,53.22,5874758.0,36591.8507,,,1.3171
2006-07-31,50.71,4373743.0,34868.3719,,,1.2074
2006-08-31,58.3,6864464.0,40087.2879,,,1.2074
2006-09-30,60.36,13762028.0,41502.3997,,,1.2074
2006-10-31,55.15,4051860.0,37924.997,,,1.2074
2006-11-30,51.81,25625218.0,35626.8554,,,1.1525
2006-12-31,49.47,6995380.0,34019.2883,,,1.1525
2007-01-31,50.91,11026978.0,35004.2062,,,1.2348
2007-02-28,49.61,5210101.0,34109.8555,,,1.2348
2007-03-31,48.35,11509702.0,33249.4675,,,1.2348
2007-04-30,45.98,14526071.0,31619.2587,,,1.2348
2007-05-31,47.33,5509107.0,32547.572,,,1.2348
2007-06-30,47.52,7638954.0,32672.1019,,,1.2348
2007-07-31,46.35,7176335.0,31868.3184,,,1.2348
2007-08-31,44.34,10091507.0,30487.1692,,,1.2348
2007-09-30,46.46,3387234.0,31947.5797,,,1.2348
2007-10-31,40.39,7677401.0,27770.1676,,,1.2348
2007-11-30,42.31,7749452.0,29094.7129,,,1.2348
2007-12-31,44.98,14902788.0,30928.6987,,,1.2348
2008-01-31,37.92,8226874.0,26072.0326,,,1.2348
2008-02-29,44.5,7146867.0,30600.3926,,,1.2348
2008-03-31,41.18,24676984.0,31970.2177,,,1.2348
2008-04-30,43.5,10549833.0,33768.5716,,,1.2348
2008-05-31,45.27,13203270.0,35124.6982,,,1.0732
2008-06-30,44.83,3187179.0,34788.4529,,,1.0732
2008-07-31,40.63,1355133.0,31529.4603,,,1.0732
2008-08-31,44.0,1319448.0,34141.8274,,,1.0793
2008-09-30,36.9,1588116.0,28632.578,,,1.0793
2008-10-31,33.33,1710282.0,25864.9994,,,1.0
2008-11-30,39.25,13004457.0,30456.0368,,,1.0
2008-12-31,46.3,6047535.0,35926.4842,,,1.0
