JUBLPHAR IN Equity,price,volume,mc,pe,bm,div
1995-01-31,18.5,,1754.7399,,,0.2813
1995-02-28,19.05,,1806.3499,,,0.2813
1995-03-31,18.5,,1754.7399,,,0.2813
1995-04-30,17.69,,1677.3249,,,0.2813
1995-05-31,17.09,,1620.5539,,,0.2813
1995-06-30,12.24,,1161.2249,,,0.2813
1995-07-31,12.3,,1166.3859,,,0.2813
1995-08-31,10.61,,1006.395,,,0.2813
1995-09-30,10.72,,1016.717,,,0.2813
1995-10-31,10.5,,996.073,,,0.2813
1995-11-30,8.98,,851.565,,,0.0
1995-12-31,9.47,,898.014,,,0.0
1996-01-31,8.82,,836.082,,,0.0
1996-02-29,9.8,,928.98,,,0.0
1996-03-31,10.07,,954.785,,,0.3125
1996-04-30,10.07,,954.785,,,0.3125
1996-05-31,10.61,18400.0,1006.395,,,0.3125
1996-06-30,11.32,55200.0,1126.944,,,0.3125
1996-07-31,8.34,64800.0,830.3085,,,0.3125
1996-08-31,8.98,63776.0,893.97,,,0.3125
1996-09-30,8.44,49744.0,839.79,,,0.3125
1996-10-31,8.16,66816.0,812.7,,,0.3125
1996-11-30,8.91,72208.0,887.1975,,,0.3125
1996-12-31,8.16,800.0,812.7,,,0.2188
1997-01-31,8.98,38560.0,893.97,,,0.2188
1997-02-28,9.8,52800.0,975.24,,,0.2188
1997-03-31,8.22,78752.0,818.118,,,0.2188
1997-04-30,8.6,28416.0,856.044,,,0.2188
1997-05-31,7.62,47280.0,758.52,,,0.2188
1997-06-30,10.23,140864.0,1018.584,,,0.2188
1997-07-31,9.14,84976.0,910.224,,,0.2188
1997-08-31,9.31,233392.0,926.478,,,0.3125
1997-09-30,9.01,242288.0,896.679,,,0.3125
1997-10-31,8.44,87024.0,839.79,,,0.3125
1997-11-30,10.54,70208.0,1049.7375,,,0.3125
1997-12-31,9.69,106048.0,964.404,,,0.3125
1998-01-31,8.98,59520.0,893.97,,,0.3125
1998-02-28,8.16,28096.0,812.7,,,0.3125
1998-03-31,8.71,133728.0,866.88,,,0.3125
1998-04-30,8.76,279824.0,872.298,,,0.3125
1998-05-31,9.94,272640.0,989.8686,,,0.3125
1998-06-30,8.16,76336.0,812.7,,,0.3125
1998-07-31,7.27,63200.0,723.303,,,0.3125
1998-08-31,7.77,63872.0,773.6904,,,0.3125
1998-09-30,7.89,41808.0,785.61,,,0.3125
1998-10-31,8.22,52592.0,818.118,,,0.3125
1998-11-30,7.18,42656.0,715.176,,,0.3125
1998-12-31,7.29,127952.0,726.012,,,0.3125
1999-01-31,7.24,206048.0,720.594,,,0.3125
1999-02-28,7.65,293392.0,761.229,,,0.3125
1999-03-31,7.62,568784.0,758.52,,,0.3125
1999-04-30,5.73,183120.0,570.5154,,,0.3125
1999-05-31,5.99,452656.0,595.98,,,0.3125
1999-06-30,5.47,191488.0,544.7799,,,0.3125
1999-07-31,5.77,623984.0,574.0371,,,0.3125
1999-08-31,8.18,3582224.0,814.0545,,,0.3125
1999-09-30,8.11,1930640.0,807.5529,,,0.3125
1999-10-31,6.26,1230160.0,622.7991,,,0.3125
1999-11-30,5.99,361872.0,595.98,,,0.3125
1999-12-31,5.64,231824.0,561.5757,,,0.3125
2000-01-31,5.2,359280.0,517.419,,,0.3125
2000-02-29,4.57,1184720.0,454.8411,,,0.3125
2000-03-31,4.3,453552.0,427.7511,,,0.3125
2000-04-30,3.99,112960.0,397.4103,,,0.3125
2000-05-31,3.55,66000.0,353.7954,,,0.3125
2000-06-30,3.55,194560.0,353.9913,,,0.3125
2000-07-31,3.48,814400.0,346.944,,,0.3125
2000-08-31,4.01,188544.0,399.5277,,,0.3125
2000-09-30,3.66,5546624.0,364.8333,,,0.3125
2000-10-31,3.55,136704.0,353.7203,,,0.3125
2000-11-30,3.81,159264.0,379.47,,,0.3125
2000-12-31,3.56,647104.0,354.5334,,,0.3125
2001-01-31,3.76,1101936.0,374.049,,,0.3125
2001-02-28,3.81,264896.0,379.47,,,0.3125
2001-03-31,3.4,181520.0,338.8125,,,0.3125
2001-04-30,3.32,116816.0,330.681,,,0.3125
2001-05-31,4.05,181232.0,403.8645,,,0.3125
2001-06-30,4.14,6087456.0,412.5381,,,0.3125
2001-07-31,4.22,179584.0,420.6696,,,0.3125
2001-08-31,4.46,333696.0,444.251,,,0.375
2001-09-30,3.56,500624.0,409.8597,,,0.375
2001-10-31,4.57,157520.0,525.6216,,,0.375
2001-11-30,4.95,469184.0,569.4234,,,0.375
2001-12-31,4.93,266544.0,566.2947,,,0.375
2002-01-31,4.9,75600.0,563.166,,,0.375
2002-02-28,5.61,327056.0,644.5122,,,0.375
2002-03-31,5.61,725520.0,644.5122,2.351,0.6286,0.375
2002-04-30,8.06,436768.0,926.4081,3.3793,0.9035,0.375
2002-05-31,9.09,1015632.0,1044.9858,3.8119,1.0191,0.375
2002-06-30,10.07,218112.0,1157.619,4.2227,1.129,0.375
2002-07-31,11.43,591024.0,1314.054,4.7934,1.2815,0.375
2002-08-31,11.37,205632.0,1307.7966,4.7705,1.2754,0.375
2002-09-30,11.7,215008.0,1345.341,4.9075,1.312,0.4688
2002-10-31,14.98,243792.0,2136.1052,6.2827,1.6797,0.4688
2002-11-30,14.98,122592.0,2135.7171,6.2816,1.6794,0.4688
2002-12-31,13.77,144920.0,1964.2079,5.7771,1.5445,0.4688
2003-01-31,16.33,215800.0,2328.18,6.8477,1.8307,0.4688
2003-02-28,16.33,91816.0,2328.18,6.8477,1.8307,0.4688
2003-03-31,16.4,83056.0,2339.0449,4.002,1.299,0.4688
2003-04-30,19.51,486944.0,2782.1751,4.7602,1.5451,0.4688
2003-05-31,22.0,2263096.0,3136.8346,5.367,1.742,0.4688
2003-06-30,30.64,4878344.0,4369.2179,7.4755,2.4264,0.4688
2003-07-31,27.47,1297984.0,3916.7749,6.7014,2.1752,0.4688
2003-08-31,29.71,469984.0,4237.2876,7.2498,2.3532,0.4688
2003-09-30,46.43,4976680.0,6254.7586,11.3275,3.6767,0.5625
2003-10-31,46.17,1125816.0,6219.5659,11.2637,3.656,0.5625
2003-11-30,54.97,1567112.0,7405.118,13.4108,4.3529,0.5625
2003-12-31,95.94,1287712.0,12925.9634,23.4091,7.5982,0.5625
2004-01-31,97.94,937488.0,13194.3073,23.8951,7.756,0.4688
2004-02-29,108.29,759976.0,14588.8156,26.4205,8.5757,0.4688
2004-03-31,127.84,1222771.0,17223.2343,19.1686,7.1482,0.4688
2004-04-30,124.27,563725.0,17354.2523,18.6333,6.9486,0.4688
2004-05-31,92.05,250440.0,12855.1818,13.8026,5.1472,0.4688
2004-06-30,95.7,367635.0,13364.6711,14.3497,5.3512,0.4688
2004-07-31,109.7,556645.0,15319.9428,16.449,6.1341,0.4688
2004-08-31,113.74,305995.0,15882.9346,17.0535,6.3595,0.4688
2004-09-30,130.85,957275.0,18273.5218,19.6203,7.3167,0.25
2004-10-31,132.15,2072425.0,18454.7006,19.8148,7.3892,0.25
2004-11-30,147.1,6814050.0,20542.5125,22.0565,8.2252,0.25
2004-12-31,143.17,509705.0,19992.8963,21.4664,8.0051,0.25
2005-01-31,142.73,1296615.0,19932.098,21.4011,7.9808,0.25
2005-02-28,140.62,3993065.0,21594.1205,21.0839,7.8625,0.25
2005-03-31,150.21,3269040.0,23067.6929,76.0177,21.206,0.25
2005-04-30,156.65,2770265.0,24080.5144,79.2741,22.1144,0.25
2005-05-31,162.09,1348340.0,24937.4918,82.0282,22.8827,0.25
2005-06-30,163.64,1843310.0,25600.3887,82.8126,23.1015,0.25
2005-07-31,164.06,17104940.0,25665.7757,83.0241,23.1606,0.25
2005-08-31,172.51,3980570.0,27029.2143,87.3029,24.3542,1.25
2005-09-30,173.97,3176025.0,27545.627,88.0432,24.5607,1.25
2005-10-31,176.23,3188815.0,29076.2588,89.1845,24.8791,1.25
2005-11-30,172.7,1130920.0,28508.0024,87.3998,24.3812,1.25
2005-12-31,187.23,3934685.0,31083.5543,94.7544,26.4329,1.25
2006-01-31,184.93,1368870.0,30700.4848,93.5867,26.1071,1.25
2006-02-28,189.34,2774445.0,31698.339,95.8208,26.7303,1.25
2006-03-31,212.24,6679198.0,35598.8849,22.3884,3.6613,1.25
2006-04-30,234.1,3285927.0,39264.6572,24.6939,4.0384,1.25
2006-05-31,202.14,1888524.0,33147.5847,21.323,3.4871,1.25
2006-06-30,197.05,1302054.0,32374.253,20.7856,3.3992,1.25
2006-07-31,181.81,560738.0,29870.7204,19.1783,3.1364,1.25
2006-08-31,179.2,1151343.0,29441.5434,18.9027,3.0913,1.25
2006-09-30,182.72,2081628.0,30020.9324,19.2747,3.1521,1.25
2006-10-31,198.7,2393646.0,32646.0651,20.9602,3.4278,1.25
2006-11-30,222.78,2763565.0,36654.1978,23.4998,3.8431,1.25
2006-12-31,209.93,1130612.0,34583.9401,22.145,3.6215,1.25
2007-01-31,235.32,1557577.0,38766.0916,24.8225,4.0594,1.25
2007-02-28,213.5,938905.0,35172.7869,22.5216,3.6831,1.25
2007-03-31,226.57,499088.0,37324.4663,14.2226,3.5868,1.25
2007-04-30,226.52,784357.0,37317.2941,14.2199,3.5861,1.25
2007-05-31,247.81,1024640.0,40824.9572,15.5563,3.9231,1.25
2007-06-30,268.27,2204889.0,44195.9568,16.8408,4.247,1.25
2007-07-31,266.27,1597457.0,43866.0292,16.7151,4.2153,1.25
2007-08-31,258.52,620693.0,42591.5499,16.2286,4.0927,1.25
2007-09-30,273.37,835671.0,45037.3817,17.1606,4.3277,1.25
2007-10-31,281.03,1838160.0,46299.7768,17.6416,4.449,1.25
2007-11-30,265.1,1367686.0,43804.5694,16.6413,4.1967,1.25
2007-12-31,300.32,4102980.0,49633.8708,18.8523,4.7543,1.25
2008-01-31,275.33,3023293.0,45691.8505,17.2836,4.3587,1.25
2008-02-29,311.07,3223765.0,51709.2228,19.5274,4.9246,1.25
2008-03-31,285.47,2038207.0,47552.6775,10.2577,3.3221,1.25
2008-04-30,320.52,2119620.0,53811.0683,11.517,3.7299,1.25
2008-05-31,305.72,1004265.0,51396.8645,10.9851,3.5577,1.25
2008-06-30,274.41,488806.0,46459.4124,9.8603,3.1934,1.25
2008-07-31,312.38,1300835.0,52926.1736,11.2245,3.6352,1.25
2008-08-31,311.55,862318.0,52786.0206,11.1948,3.6256,1.25
2008-09-30,246.59,1410076.0,41780.3271,8.8607,2.8696,1.5
2008-10-31,142.63,1220798.0,24167.4283,5.1249,1.6598,1.5
2008-11-30,106.27,439775.0,18007.5374,3.8187,1.2367,1.5
2008-12-31,103.62,7952973.0,17557.5334,3.7232,1.2058,1.5
2009-01-31,105.23,1731349.0,17830.4516,3.7811,1.2246,1.5
2009-02-28,94.91,970439.0,16082.0788,3.4104,1.1045,1.5
2009-03-31,83.2,3737652.0,14097.6388,4.3288,0.7957,1.5
2009-04-30,100.13,4901610.0,16967.3309,5.2099,0.9577,1.5
2009-05-31,149.72,3633018.0,25369.8482,7.79,1.432,1.5
2009-06-30,144.02,2028930.0,24403.448,7.4932,1.3774,1.5
2009-07-31,178.07,4572725.0,30172.3405,9.2646,1.7031,1.5
2009-08-31,204.88,4405756.0,34716.6344,10.66,1.9596,1.5
2009-09-30,205.36,2824700.0,34797.7825,10.6849,1.9641,1.5
2009-10-31,204.75,7748802.0,34694.5031,10.6532,1.9583,1.5
2009-11-30,262.96,21934378.0,44557.6862,13.6817,2.515,1.5
2009-12-31,291.39,11390821.0,49374.9328,15.1609,2.7869,1.5
2010-01-31,283.47,4157745.0,48032.3005,14.7486,2.7112,1.5
2010-02-28,277.24,3803536.0,46977.3752,14.4247,2.6516,1.5
2010-03-31,295.48,5299203.0,50068.3802,10.3461,2.1313,1.5
2010-04-30,295.96,10531514.0,53969.2542,10.3629,2.1348,1.5
2010-05-31,300.06,4952316.0,54715.5192,10.5062,2.1643,1.5
2010-06-30,304.93,5731445.0,55604.6861,10.6769,2.1994,1.5
2010-07-31,309.55,11203061.0,56446.219,10.8385,2.2327,1.5
2010-08-31,296.66,6136933.0,54096.278,10.3873,2.1398,0.0
2010-09-30,295.79,3072484.0,53937.4982,10.3568,2.1335,2.0
2010-10-31,272.76,5581783.0,49737.7725,9.5504,1.9674,2.0
2010-11-30,238.64,6224340.0,42799.0952,8.3558,1.7213,2.0
2010-12-31,247.19,6526429.0,44471.2824,8.655,1.7829,2.0
2011-01-31,198.36,932449.0,35686.9299,6.9454,1.4307,2.0
2011-02-28,145.06,6435934.0,26098.2078,5.0792,1.0463,2.0
2011-03-31,146.04,4327306.0,26273.417,10.1273,1.0708,2.0
2011-04-30,159.18,3291506.0,28638.7413,11.0391,1.1672,2.0
2011-05-31,142.67,2590542.0,25668.1488,9.894,1.0461,2.0
2011-06-30,171.45,5739341.0,30844.7845,11.8894,1.2571,2.0
2011-07-31,188.84,6875631.0,33974.6581,13.0958,1.3847,2.0
2011-08-31,165.2,2885439.0,29721.8528,11.4566,1.2114,2.0
2011-09-30,177.29,6181754.0,31896.0398,12.2946,1.3,2.0
2011-10-31,173.79,1695823.0,31266.8794,12.0521,1.2743,2.0
2011-11-30,151.44,3491070.0,27245.0317,10.5018,1.1104,2.0
2011-12-31,159.63,3459403.0,28718.3819,11.0698,1.1705,2.0
