RDCK IN Equity,price,volume,mc,pe,bm,div
2013-07-31,92.75,2350485.0,12326.5098,15.9364,1.6928,0.8
2013-08-31,120.7,5677974.0,16046.5434,20.7388,2.2029,0.8
2013-09-30,134.15,10747836.0,17834.6628,23.0498,2.4483,0.8
2013-10-31,146.15,16008378.0,19437.6779,25.1117,2.6673,0.8
2013-11-30,136.3,4871279.0,18127.6463,23.4192,2.4876,0.8
2013-12-31,142.65,4603958.0,18972.1844,24.5103,2.6035,0.8
2014-01-31,153.55,29609735.0,20421.8642,26.3832,2.8024,0.8
2014-02-28,152.4,14992778.0,20275.1089,26.1856,2.7814,0.8
2014-03-31,145.65,14352246.0,19377.0972,27.1735,2.4808,0.8
2014-04-30,105.6,12307500.0,14048.8944,19.7015,1.7987,0.8
2014-05-31,103.7,18352612.0,13796.1207,19.347,1.7663,0.8
2014-06-30,113.5,16359486.0,15099.9007,21.1754,1.9332,0.8
2014-07-31,97.0,7671176.0,12904.7609,18.097,1.6522,0.8
2014-08-31,78.25,5630388.0,10410.284,14.5989,1.3328,0.8
2014-09-30,77.9,14123408.0,10363.7204,14.5336,1.3269,0.8
2014-10-31,90.95,5590323.0,12099.8764,16.9683,1.5491,0.8
2014-11-30,80.8,6056551.0,10749.5328,15.0746,1.3763,0.8
2014-12-31,87.05,18835039.0,11581.0252,16.2407,1.4827,0.8
2015-01-31,95.7,12265345.0,12731.8105,17.8545,1.6301,0.8
2015-02-28,86.95,8923147.0,11567.7412,16.222,1.481,0.8
2015-03-31,89.55,8821390.0,11913.6221,17.628,1.4366,0.8
2015-04-30,90.15,5756513.0,11993.4453,17.7461,1.4462,0.8
2015-05-31,86.65,2576089.0,11527.8096,17.0571,1.3901,0.8
2015-06-30,81.75,2536738.0,10875.9197,16.0925,1.3115,0.8
2015-07-31,94.2,10735942.0,12532.2524,18.5433,1.5112,0.8
2015-08-31,89.5,12661651.0,11906.9701,17.6181,1.4358,0.8
2015-09-30,84.3,3051930.0,11215.1685,16.5945,1.3524,0.8
2015-10-31,101.85,8543833.0,13549.999,20.0492,1.6339,0.8
2015-11-30,113.7,27058196.0,15126.5084,22.3819,1.824,0.8
2015-12-31,119.5,10244330.0,15898.1333,23.5236,1.9171,0.8
2016-01-31,114.0,15881066.0,15166.4201,22.4409,1.8289,0.8
2016-02-29,95.2,5076834.0,12665.2911,18.7402,1.5273,0.8
2016-03-31,95.35,4548414.0,12685.247,17.2736,1.3171,0.8
2016-04-30,88.25,3900231.0,11740.6717,15.9873,1.219,0.8
2016-05-31,85.5,6979503.0,11374.8151,15.4891,1.181,0.8
2016-06-30,93.0,9771912.0,12372.6059,16.8478,1.2846,0.8
2016-07-31,90.35,3997933.0,12020.0531,16.3678,1.248,0.8
2016-08-31,104.55,18777525.0,13909.2037,18.9402,1.4442,0.8
2016-09-30,119.85,37068216.0,15944.6969,21.712,1.6555,0.8
2016-10-31,141.5,33374963.0,18824.9863,25.6341,1.9546,0.8
2016-11-30,119.45,19102289.0,15891.4814,21.6395,1.65,0.8
2016-12-31,112.0,9332695.0,14900.3425,20.2899,1.5471,0.8
2017-01-31,112.85,14930794.0,15013.4255,20.4438,1.5588,0.8
2017-02-28,130.25,26028975.0,17328.3001,23.596,1.7992,0.8
2017-03-31,137.8,12067208.0,18332.7429,22.7393,1.7801,0.8
2017-04-30,122.9,25453867.0,16350.4652,20.2805,1.5876,0.8
2017-05-31,119.6,11123871.0,15911.4372,19.736,1.545,0.8
2017-06-30,121.45,6796222.0,16157.5589,20.0413,1.5689,0.8
2017-07-31,141.5,17871052.0,18824.9863,23.3498,1.8279,0.8
2017-08-31,165.2,22397790.0,21978.0052,27.2607,2.134,0.8
2017-09-30,166.7,26036483.0,22195.0662,27.5083,2.1534,0.8
2017-10-31,219.25,56264246.0,29191.7712,36.1799,2.8322,0.8
2017-11-30,285.5,68482453.0,38023.9649,47.1122,3.688,0.8
2017-12-31,293.9,42174267.0,39169.4543,48.4983,3.7965,0.8
2018-01-31,361.5,82302032.0,48178.8286,59.6535,4.6698,0.8
2018-02-28,346.8,40167936.0,46230.9595,57.2277,4.4799,0.8
2018-03-31,332.25,27428230.0,44291.3388,35.7258,3.8286,0.8
2018-04-30,418.85,41774997.0,55835.7479,45.0376,4.8265,0.8
2018-05-31,460.4,42855098.0,61374.6648,49.5054,5.3053,0.8
2018-06-30,413.85,12576125.0,55169.2116,44.5,4.7689,0.8
2018-07-31,437.25,15033063.0,58288.6016,47.0161,5.0386,0.8
2018-08-31,493.35,14386142.0,65767.1392,53.0484,5.685,1.0
2018-09-30,346.95,8755250.0,46250.9556,37.3065,3.998,1.0
2018-10-31,393.45,11153176.0,52449.7434,42.3065,4.5338,1.0
2018-11-30,415.3,13094592.0,55362.5072,44.6559,4.7856,1.0
2018-12-31,400.45,10626565.0,53382.8943,43.0591,4.6145,1.0
2019-01-31,409.65,14038567.0,54609.3211,44.0484,4.7205,1.0
2019-02-28,362.5,11119160.0,48360.8586,38.9785,4.1772,1.0
2019-03-31,395.1,12983360.0,52710.0006,27.1546,3.9461,1.0
2019-04-30,353.85,12414792.0,47206.8684,24.3196,3.5341,1.0
2019-05-31,336.55,10023694.0,44898.8881,23.1306,3.3613,1.0
2019-06-30,315.6,13886363.0,42103.964,21.6907,3.1521,1.0
2019-07-31,298.05,7876367.0,39762.6314,20.4845,2.9768,1.0
2019-08-31,309.0,8265246.0,41223.4629,21.2371,3.0862,1.0
2019-09-30,315.0,8137064.0,42023.9185,21.6495,3.1461,1.2
2019-10-31,316.55,4778278.0,42230.7028,21.756,3.1616,1.2
2019-11-30,312.7,9901926.0,41717.0772,21.4914,3.1231,1.2
2019-12-31,313.5,6552435.0,41851.3926,21.5464,3.1311,1.2
2020-01-31,396.35,18883791.0,52911.641,27.2405,3.9586,1.2
2020-02-29,410.4,11292933.0,54802.4624,28.2062,4.0989,1.2
2020-03-31,268.2,19094847.0,35813.8899,15.6385,2.3212,1.2
2020-04-30,294.1,14727766.0,39272.4273,17.1487,2.5453,1.2
2020-05-31,330.25,24925608.0,44099.691,19.2566,2.8582,1.2
2020-06-30,373.5,16853351.0,49875.048,21.7784,3.2325,1.2
2020-07-31,368.5,13703554.0,49207.3767,21.4869,3.1892,1.2
2020-08-31,401.8,8336419.0,53657.2821,23.4286,3.4774,2.0
2020-09-30,406.3,13133191.0,54258.2223,23.691,3.5163,2.0
2020-10-31,437.0,7194226.0,58357.9676,25.481,3.782,2.0
2020-11-30,454.5,5895304.0,60694.9572,26.5015,3.9335,2.0
2020-12-31,457.3,7324076.0,61068.8755,26.6647,3.9577,2.0
2021-01-31,489.45,13041504.0,65362.2592,28.5394,4.236,2.0
2021-02-28,569.65,10311286.0,76087.1599,33.2157,4.9301,2.0
2021-03-31,560.05,9083755.0,74804.9046,26.9904,4.1722,2.0
2021-04-30,567.35,4614277.0,75779.9529,27.3422,4.2266,2.0
2021-05-31,610.25,9340735.0,81510.0313,29.4096,4.5462,2.0
2021-06-30,759.1,30843565.0,101411.024,36.5831,5.6551,2.0
2021-07-31,903.1,15330308.0,120648.5292,43.5229,6.7279,2.0
2021-08-31,874.15,11383718.0,116780.9897,42.1277,6.5122,2.0
2021-09-30,881.0,14208801.0,117696.107,42.4578,6.5633,2.4
2021-10-31,1119.25,20651265.0,149524.8215,53.9398,8.3382,2.4
2021-11-30,1122.3,8410100.0,150022.0665,54.0867,8.3609,2.4
2021-12-31,1236.15,14077397.0,165240.8246,59.5735,9.209,2.4
2022-01-31,1075.85,7983955.0,143812.9201,51.8482,8.0148,2.4
2022-02-28,893.8,16034214.0,119477.6112,43.0747,6.6586,2.4
2022-03-31,887.95,10147316.0,118695.6196,45.0834,5.8561,2.4
2022-04-30,899.85,6094249.0,120286.3374,45.6875,5.9346,2.4
2022-05-31,804.4,5931186.0,107527.1766,40.8413,5.3051,2.4
2022-06-30,872.5,4792288.0,116630.36,44.2989,5.7542,2.4
2022-07-31,940.75,5506579.0,125753.5944,47.7641,6.2044,2.4
2022-08-31,1046.9,6288690.0,139943.0646,53.1536,6.9044,2.4
2022-09-30,1044.8,7458936.0,139662.3497,53.047,6.8906,3.0
2022-10-31,1041.85,3433332.0,139268.0121,52.8972,6.8711,3.0
2022-11-30,1059.35,5992368.0,141607.303,53.7857,6.9865,3.0
2022-12-31,1012.4,5808050.0,135331.3197,51.402,6.6769,3.0
2023-01-31,1127.35,5757786.0,150697.119,57.2383,7.435,3.0
2023-02-28,1161.1,4460989.0,155208.6085,58.9518,7.6576,3.0
2023-03-31,1194.6,3782132.0,159686.6797,72.4691,7.2325,3.0
2023-04-30,1127.25,3838762.0,150683.7516,68.3834,6.8248,3.0
2023-05-31,1168.6,3381888.0,156211.1618,70.8919,7.0751,3.0
2023-06-30,1208.6,4041012.0,161558.1124,73.3184,7.3173,3.0
2023-07-31,1450.8,9570820.0,193933.8983,88.0112,8.7837,3.0
2023-08-31,1261.7,6695996.0,168698.8827,76.5397,7.6388,3.0
2023-09-30,1203.85,4593315.0,160963.8979,73.0303,7.2885,3.0
2023-10-31,1216.9,4716650.0,162708.7821,73.8219,7.3675,3.0
2023-11-30,1506.3,8527162.0,201403.7624,91.3781,9.1197,3.0
2023-12-31,1658.25,10311810.0,221720.6327,100.596,10.0396,3.0
2024-01-31,1663.9,3067508.0,222476.0806,100.9387,10.0738,3.0
2024-02-29,1569.8,3710352.0,209894.1952,95.2302,9.5041,3.0
2024-03-31,1727.75,4863639.0,231026.6528,88.1056,9.4763,3.0
2024-04-30,1757.1,3916897.0,234951.1976,89.6022,9.6373,3.0
2024-05-31,1576.5,5790724.0,210802.2099,80.3927,8.6467,3.0
2024-06-30,1786.45,6283910.0,238875.7423,91.0989,9.7983,3.0
2024-07-31,1723.5,4545074.0,230540.3685,87.8888,9.453,3.0
2024-08-31,1942.05,8484388.0,259774.2516,99.0337,10.6517,3.0
2024-09-30,2045.45,11158250.0,273605.3361,104.3065,11.2188,3.0
2024-10-31,2379.0,9541444.0,318255.9065,121.3157,13.0483,3.0
2024-11-30,2457.85,3584654.0,328830.182,125.3366,13.4807,3.0
2024-12-31,2605.9,8628120.0,348637.456,132.8863,14.2928,3.0
2025-01-31,2178.4,4957660.0,291443.1997,111.0862,11.948,3.0
2025-02-28,2073.05,6674765.0,277379.9775,105.7139,11.3702,3.0
2025-03-31,2428.95,3389900.0,325011.7271,93.9996,11.8027,3.0
2025-04-30,2455.7,3925329.0,328591.0778,95.0348,11.9327,3.0
2025-05-31,2532.8,5346311.0,338948.5838,98.0186,12.3073,3.0
2025-06-30,2617.2,7137190.0,350243.3013,101.2848,12.7174,3.0
2025-07-31,2734.5,5572562.0,366060.728,105.8243,13.2874,4.0
2025-08-31,2852.5,7600836.0,381857.0951,110.3909,13.8608,4.0
2025-09-30,2887.9,5787992.0,386596.0052,111.7608,14.0328,4.0
2025-10-31,3131.5,7057640.0,419237.5353,121.1881,15.2165,4.0
2025-11-30,3208.1,12685491.0,429492.5553,124.1525,15.5887,4.0
2025-12-31,3298.4,5952263.0,441634.2841,127.6471,16.0275,4.0
2026-01-31,2828.1,11959830.0,378664.1762,109.4466,13.7422,4.0
2026-02-28,2649.5,7149578.0,354750.7991,102.5348,12.8744,4.0
2026-03-31,2569.6,863002.0,344052.7224,99.4427,12.4861,4.0
