RDCK IN Equity,price,volume,mc,pe,bm,div
2003-06-30,7.03,429305.0,678.0295,,,0.36
2003-07-31,7.94,1171350.0,765.7971,,,0.36
2003-08-31,7.72,1037465.0,744.5786,,,0.36
2003-09-30,7.98,1485095.0,769.6551,,,0.36
2003-10-31,8.25,1271170.0,795.696,,,0.36
2003-11-30,9.35,1351130.0,901.7888,,,0.36
2003-12-31,14.74,3137745.0,1421.6435,,,0.36
2004-01-31,17.61,2264605.0,1698.4493,,,0.36
2004-02-29,15.64,402070.0,1508.4467,,,0.36
2004-03-31,24.56,5939990.0,2368.7629,,,0.36
2004-04-30,23.8,965025.0,2295.4624,,,0.36
2004-05-31,22.2,970700.0,2141.1456,,,0.36
2004-06-30,22.02,313740.0,2123.785,,,0.4
2004-07-31,25.11,570715.0,2421.8093,,,0.4
2004-08-31,33.31,3172010.0,3212.6829,,,0.4
2004-09-30,32.73,1275515.0,3156.7431,,,0.4
2004-10-31,41.81,2229195.0,4032.491,,,0.4
2004-11-30,43.88,1585860.0,4232.1383,,,0.4
2004-12-31,50.12,3068675.0,4833.9739,,,0.4
2005-01-31,62.75,8219240.0,6052.1121,,,0.4
2005-02-28,67.9,4242190.0,6548.8193,,,0.4
2005-03-31,66.03,3906645.0,6368.4616,,,0.4
2005-04-30,63.29,2233155.0,6104.194,,,0.4
2005-05-31,70.67,4887500.0,6815.9803,,,0.4
2005-06-30,82.24,9937740.0,7931.8837,,,0.4
2005-07-31,87.64,4213290.0,8452.7029,,,0.4
2005-08-31,118.16,7976925.0,11396.2959,,,0.0
2005-09-30,140.32,9192780.0,13533.5836,,,0.0
2005-10-31,120.09,2431335.0,11582.4405,,,0.44
2005-11-30,133.87,6030040.0,12911.494,,,0.44
2005-12-31,143.95,6292340.0,13883.6899,,,0.44
2006-01-31,158.1,4489151.0,15248.4128,,,0.44
2006-02-28,143.2,9452433.0,13811.3391,,,0.44
2006-03-31,161.65,4242662.0,15590.8029,38.8836,10.9172,0.44
2006-04-30,171.4,4818578.0,16135.7335,41.2289,11.5757,0.44
2006-05-31,168.6,7322295.0,16261.1157,40.5554,11.3866,0.44
2006-06-30,150.0,9372837.0,14467.1848,36.0813,10.1304,0.44
2006-07-31,131.8,984415.0,12711.8331,31.7034,8.9012,0.44
2006-08-31,151.45,6269917.0,14607.0343,36.4301,10.2283,0.44
2006-09-30,149.4,3343548.0,14409.3161,35.937,10.0899,0.5
2006-10-31,143.55,4187278.0,13845.0959,34.5298,9.6948,0.5
2006-11-30,160.05,12844261.0,15436.4862,38.4987,10.8091,0.5
2006-12-31,164.35,5892392.0,15851.2122,39.5331,11.0995,0.5
2007-01-31,160.45,4691814.0,15475.0654,38.595,10.8361,0.5
2007-02-28,142.2,4582721.0,13714.8912,34.2051,9.6036,0.5
2007-03-31,132.8,3134564.0,12808.281,35.7007,6.8761,0.5
2007-04-30,130.05,625059.0,12543.0492,34.9615,6.7337,0.5
2007-05-31,142.45,3336934.0,13739.0032,38.295,7.3758,0.5
2007-06-30,139.2,1433108.0,13425.5475,37.4213,7.2075,0.5
2007-07-31,183.5,16772477.0,17698.1894,49.3305,9.5013,0.5
2007-08-31,168.75,3480306.0,16275.5829,45.3652,8.7375,0.5
2007-09-30,187.3,9257456.0,18064.71,50.352,9.698,0.5
2007-10-31,183.75,8998186.0,17746.5753,49.3977,9.5142,0.5
2007-11-30,146.95,3449765.0,14209.1688,39.5047,7.6088,0.5
2007-12-31,175.6,22599065.0,16979.4664,47.2067,9.0922,0.5
2008-01-31,109.3,7375096.0,10568.6542,29.3832,5.6593,0.5
2008-02-29,109.05,12917196.0,10544.4807,29.316,5.6464,0.5
2008-03-31,109.6,5264720.0,10597.6624,29.4639,5.6749,0.5
2008-04-30,111.0,4947826.0,10733.034,29.8402,5.7474,0.5
2008-05-31,106.2,2102265.0,10881.4642,28.5498,5.4988,0.5
2008-06-30,94.5,1394001.0,9682.6588,25.4045,4.893,0.5
2008-07-31,76.75,3758740.0,7863.9583,20.6328,3.974,0.5
2008-08-31,70.55,4315310.0,7228.694,18.966,3.6529,0.5
2008-09-30,61.65,10459888.0,6316.7822,16.5734,3.1921,0.5
2008-10-31,60.9,5480193.0,6239.9357,16.3718,3.1533,0.5
2008-11-30,55.75,4313780.0,5712.2564,14.9873,2.8866,0.5
2008-12-31,71.15,3637934.0,7290.1712,19.1273,3.684,0.5
2009-01-31,70.8,5526865.0,7254.3095,19.0332,3.6659,0.5
2009-02-28,56.55,9803645.0,5794.226,15.2024,2.928,0.5
2009-03-31,64.25,5037300.0,6583.1834,100.3906,2.8171,0.5
2009-04-30,63.6,6499433.0,6516.5831,99.375,2.7886,0.5
2009-05-31,85.0,5845272.0,8709.2698,132.8125,3.7269,0.5
2009-06-30,76.35,9354991.0,7822.9735,119.2969,3.3476,0.5
2009-07-31,86.05,9141410.0,8816.8549,134.4531,3.7729,0.5
2009-08-31,102.45,10477021.0,10497.2317,160.0781,4.492,0.5
2009-09-30,116.65,17174418.0,11952.1921,182.2656,5.1146,0.3
2009-10-31,113.05,11781205.0,11597.4713,176.6406,4.9567,0.3
2009-11-30,119.85,9989409.0,12321.3951,187.2656,5.2549,0.3
2009-12-31,115.1,6330695.0,11833.0628,179.8438,5.0466,0.3
2010-01-31,115.55,8510482.0,11879.3258,180.5469,5.0663,0.3
2010-02-28,112.65,2891275.0,11592.9804,176.0156,4.9392,0.3
2010-03-31,128.2,13072560.0,16900.6708,31.8905,2.8394,0.3
2010-04-30,129.75,5054008.0,17105.0081,32.2761,2.8737,0.3
2010-05-31,122.45,4793919.0,16150.3583,30.4602,2.712,0.3
2010-06-30,118.15,4561324.0,15583.2163,29.3905,2.6168,0.3
2010-07-31,126.95,7997358.0,16743.879,31.5796,2.8117,0.3
2010-08-31,159.5,11230555.0,21080.7472,39.6766,3.5326,0.6
2010-09-30,173.45,15524866.0,22924.4865,43.1468,3.8416,0.6
2010-10-31,178.8,6437134.0,23631.5837,44.4776,3.96,0.6
2010-11-30,161.45,6014704.0,21395.5641,40.1617,3.5758,0.6
2010-12-31,157.4,3875961.0,20858.8528,39.1542,3.4861,0.6
2011-01-31,134.5,6259205.0,17824.115,33.4577,2.9789,0.6
2011-02-28,126.6,13016201.0,16781.8677,31.4925,2.8039,0.6
2011-03-31,130.25,6740072.0,17265.7052,23.6388,2.6505,0.6
2011-04-30,144.0,3282917.0,19088.3804,26.1343,2.9303,0.6
2011-05-31,132.85,1602552.0,17612.4829,24.1107,2.7034,0.6
2011-06-30,128.2,4851598.0,16996.0129,23.2668,2.6088,0.6
2011-07-31,132.6,2969125.0,17579.3394,24.0653,2.6984,0.6
2011-08-31,130.1,2687490.0,17257.5041,23.6116,2.6475,0.7
2011-09-30,124.45,5393556.0,16508.043,22.5862,2.5325,0.7
2011-10-31,124.45,2841157.0,16508.043,22.5862,2.5325,0.7
2011-11-30,119.4,4236948.0,15844.846,21.6697,2.4297,0.7
2011-12-31,111.55,5693447.0,14803.1204,20.245,2.27,0.7
2012-01-31,111.6,7267028.0,14809.7556,20.2541,2.271,0.7
2012-02-29,117.85,14068634.0,15639.155,21.3884,2.3982,0.7
2012-03-31,132.3,8150095.0,17556.7264,27.5625,2.6305,0.7
2012-04-30,128.65,1577451.0,17072.3571,26.8021,2.5579,0.7
2012-05-31,125.2,1372442.0,16614.5287,26.0833,2.4893,0.7
2012-06-30,118.1,3460666.0,15672.9455,24.6042,2.3481,0.7
2012-07-31,107.75,13321835.0,14299.4062,22.4479,2.1423,0.7
2012-08-31,107.6,12784498.0,14279.4999,22.4167,2.1394,0.7
2012-09-30,118.5,2824150.0,15730.2114,24.6875,2.3561,0.8
2012-10-31,119.6,5491391.0,15876.2302,24.9167,2.3779,0.8
2012-11-30,145.95,7874206.0,19388.552,30.4063,2.9019,0.8
2012-12-31,150.25,2287481.0,19959.7803,31.3021,2.9873,0.8
2013-01-31,148.3,10545005.0,19700.7349,30.8958,2.9486,0.8
2013-02-28,136.2,2677311.0,18093.325,28.375,2.708,0.8
2013-03-31,129.9,2227062.0,17263.7627,22.3196,2.3708,0.8
2013-04-30,124.65,1602088.0,16566.0356,21.4175,2.275,0.8
2013-05-31,123.9,2690561.0,16466.3603,21.2887,2.2613,0.8
2013-06-30,98.45,2396262.0,13084.042,16.9158,1.7968,0.8
