PLNG IN Equity,price,volume,mc,pe,bm,div
2004-03-31,7.38,24572468.0,11062.5,,,0.0
2004-04-30,11.57,250264614.0,17347.5,,,0.0
2004-05-31,11.43,102213396.0,17137.5,,,0.0
2004-06-30,10.78,22945032.0,16162.5,,,0.0
2004-07-31,11.05,24021400.0,16575.0,,,0.0
2004-08-31,12.13,45336036.0,18187.503,,,0.0
2004-09-30,11.9,30248524.0,17850.0029,,,0.0
2004-10-31,11.6,16526872.0,17400.0028,,,0.0
2004-11-30,11.7,12626910.0,17550.0029,,,0.0
2004-12-31,15.68,82331544.0,23512.5038,,,0.0
2005-01-31,22.13,727831284.0,33187.5054,,,0.0
2005-02-28,21.93,226810910.0,32887.5054,,,0.0
2005-03-31,21.15,105739880.0,31725.0052,,,0.0
2005-04-30,19.6,52082958.0,29400.0048,,,0.0
2005-05-31,20.88,92145444.0,31312.5051,,,0.0
2005-06-30,20.58,66646874.0,30862.505,,,0.0
2005-07-31,24.68,427863356.0,37012.506,,,0.0
2005-08-31,27.8,168831054.0,41700.0068,,,0.0
2005-09-30,29.73,201133828.0,44587.5073,,,0.0
2005-10-31,29.05,111494240.0,43575.0071,,,0.0
2005-11-30,32.85,114867096.0,49275.008,,,0.0
2005-12-31,32.9,86496894.0,49350.008,,,0.0
2006-01-31,32.28,45099190.0,48412.5079,,,0.0
2006-02-28,30.05,35069044.0,45075.0073,,,0.0
2006-03-31,27.45,42119798.0,41175.0067,,,0.0
2006-04-30,30.1,80315420.0,44062.5072,,,0.0
2006-05-31,24.03,117192062.0,36037.5059,,,0.0
2006-06-30,22.13,45271290.0,33187.5054,,,0.0
2006-07-31,23.0,30225890.0,34500.0056,,,0.0
2006-08-31,24.6,40663324.0,36900.006,,,0.0
2006-09-30,24.05,55206348.0,36075.0059,,,0.0
2006-10-31,27.58,177055180.0,41362.5067,,,0.0
2006-11-30,26.1,67699730.0,39150.0064,,,0.0
2006-12-31,24.05,27668328.0,36075.0059,,,0.0
2007-01-31,26.08,62528328.0,39112.5064,,,0.0
2007-02-28,22.65,35217590.0,33975.0055,,,0.0
