GRAN IN Equity,price,volume,mc,pe,bm,div
2002-12-31,3.14,3343480.0,168.5301,,,0.0
2003-01-31,3.43,36246920.0,183.8266,,,0.0
2003-02-28,3.0,6251130.0,160.7476,,,0.0
2003-03-31,2.9,9019780.0,226.4353,,,0.0
2003-04-30,4.1,16030110.0,320.6856,,,0.0
2003-05-31,5.82,40966670.0,455.2171,,,0.0
2003-06-30,5.69,33777580.0,445.049,,,0.0
2003-07-31,7.26,36457850.0,567.8482,,,0.0
2003-08-31,8.18,20307050.0,639.4158,,,0.0
2003-09-30,6.4,4198290.0,500.5824,,,0.1
2003-10-31,7.97,8434590.0,623.3815,,,0.1
2003-11-30,7.8,3465120.0,610.0848,,,0.1
2003-12-31,10.27,12073880.0,802.8872,,,0.1
2004-01-31,8.56,6732350.0,669.1379,,,0.1
2004-02-29,7.53,4997810.0,589.3576,,,0.1
2004-03-31,7.2,3354090.0,562.7641,,,0.1
2004-04-30,7.13,2110010.0,557.289,,,0.1
2004-05-31,6.3,1282640.0,492.7608,,,0.1
2004-06-30,5.28,831120.0,412.5894,,,0.1
2004-07-31,6.23,3673900.0,487.2857,,,0.1
2004-08-31,8.36,9788580.0,653.8858,,,0.1
2004-09-30,9.93,10996050.0,777.076,,,0.1
2004-10-31,10.03,35512580.0,784.5065,,,0.1
2004-11-30,10.08,13893910.0,788.4173,,,0.0
2004-12-31,11.43,32137010.0,893.6178,,,0.125
2005-01-31,10.84,24874800.0,847.4704,,,0.125
2005-02-28,10.4,15726160.0,813.0553,,,0.125
2005-03-31,10.95,45073290.0,856.4652,,,0.125
2005-04-30,9.46,10306350.0,739.9234,,,0.125
2005-05-31,9.79,11239260.0,765.7346,,,0.125
2005-06-30,10.74,62185480.0,1276.4884,18.6279,1.8176,0.125
2005-07-31,10.57,33350650.0,1306.1454,18.333,1.7888,0.125
2005-08-31,11.16,40722860.0,1379.0523,19.3563,1.8886,0.125
2005-09-30,9.46,42374000.0,1168.3638,16.3991,1.6001,0.125
