BOB IN Equity,price,volume,mc,pe,bm,div
1997-02-28,18.4,144500.0,,,,0.0
1997-03-31,18.0,868000.0,,,,0.0
1997-04-30,23.55,417500.0,,,,0.0
1997-05-31,20.8,656000.0,,,,0.0
1997-06-30,24.05,6162000.0,35594.0,,,0.52
1997-07-31,27.35,345000.0,40478.0,,,0.52
1997-08-31,27.75,7562500.0,41070.0,,,0.52
1997-09-30,26.2,7278000.0,38776.0,,,0.52
1997-10-31,24.15,5654000.0,37000.0,,,0.52
1997-11-30,21.55,7043000.0,31894.0,,,0.52
1997-12-31,22.1,3505000.0,32708.0,,,0.52
1998-01-31,17.3,9976000.0,25604.0,,,0.52
1998-02-28,19.69,6784500.0,29141.2,,,0.52
1998-03-31,20.9,24365500.0,30932.0,,,0.52
1998-04-30,23.32,61414500.0,34513.6,,,0.52
1998-05-31,19.0,52777000.0,28120.0,,,0.52
1998-06-30,16.57,54923000.0,24523.6,,,0.6
1998-07-31,18.85,41299000.0,27898.0,,,0.6
1998-08-31,16.16,14378000.0,23916.8,,,0.6
1998-09-30,13.6,41335045.0,20128.0,,,0.6
1998-10-31,10.6,27617500.0,15688.0,,,0.6
1998-11-30,10.08,22472000.0,14918.4,,,0.6
1998-12-31,9.92,23632000.0,14681.6,,,0.6
1999-01-31,9.18,34882000.0,13586.4,,,0.6
1999-02-28,8.37,15122000.0,12387.6,,,0.6
1999-03-31,9.1,49635500.0,13468.0,,,0.6
1999-04-30,7.25,15672500.0,10730.0,,,0.6
1999-05-31,10.79,39898020.0,15969.2,,,0.6
1999-06-30,13.06,35806405.0,19328.8,,,0.6
1999-07-31,15.9,50743100.0,23532.0,,,0.6
1999-08-31,16.92,18316675.0,25041.6,,,0.6
1999-09-30,13.37,9102875.0,19787.6,,,0.6
1999-10-31,13.0,22103060.0,19240.0,,,0.6
1999-11-30,13.99,9720185.0,20705.2,,,0.6
1999-12-31,12.77,19931405.0,18899.6,,,0.6
2000-01-31,12.2,10102710.0,18056.0,,,0.6
2000-02-29,8.9,15219885.0,13172.0,,,0.6
2000-03-31,9.07,9757915.0,13423.6,,,0.6
2000-04-30,8.2,13697460.0,12136.0,,,0.6
2000-05-31,7.14,5592930.0,10500.9619,,,0.5
2000-06-30,8.46,19141560.0,12442.3163,,,0.5
2000-07-31,7.91,14179175.0,11633.4186,,,0.6
2000-08-31,9.01,12745880.0,13251.2139,,,0.6
2000-09-30,8.0,8485875.0,11765.7837,,,0.6
2000-10-31,8.39,8836515.0,12339.3656,,,0.6
2000-11-30,9.2,16122165.0,13616.0,,,0.6
2000-12-31,9.09,15102575.0,13453.2,,,0.6
2001-01-31,10.4,21232775.0,15392.0,,,0.6
2001-02-28,12.54,58743510.0,18559.2,,,0.6
2001-03-31,12.07,32547120.0,17863.6,,,0.6
2001-04-30,10.17,10821725.0,15051.6,,,0.6
2001-05-31,11.28,6986165.0,16694.4,,,0.6
2001-06-30,11.2,4972365.0,16576.0,,,0.6
2001-07-31,9.1,5744055.0,13468.0,,,0.8
2001-08-31,9.38,1387890.0,13882.4,,,0.8
2001-09-30,7.31,16517490.0,10818.8,,,0.8
2001-10-31,7.63,4455325.0,11292.4,,,0.8
2001-11-30,8.35,4346970.0,12358.0,,,0.8
2001-12-31,8.27,2441850.0,12239.6,,,0.8
2002-01-31,7.77,1939570.0,11499.6,,,0.8
2002-02-28,8.89,16961710.0,13157.2,,,0.8
2002-03-31,9.59,3992885.0,14193.2,,,0.8
2002-04-30,10.23,6379675.0,15140.4,,,0.8
2002-05-31,9.74,2018530.0,14415.2,,,0.8
2002-06-30,12.72,14150525.0,18825.6,,,0.8
2002-07-31,10.25,8476240.0,15170.0,,,0.8
2002-08-31,10.35,3142165.0,15318.0,,,0.8
2002-09-30,8.87,1755690.0,13127.6,,,0.8
