PTCIL IN Equity,price,volume,mc,pe,bm,div
2022-09-30,2366.9,90927.0,31000.8444,241.1516,18.3302,0.0
2022-10-31,2953.85,74678.0,38688.5141,300.953,22.8757,0.0
2022-11-30,2895.3,60383.0,37921.6463,294.9876,22.4223,0.0
2022-12-31,2539.15,42479.0,33256.9158,258.7013,19.6641,0.0
2023-01-31,2458.55,56159.0,32201.2446,250.4894,19.0399,0.0
2023-02-28,2338.2,80500.0,31290.3933,238.2275,18.1079,0.0
2023-03-31,2340.85,31482.0,31325.8563,119.4311,10.215,0.0
2023-04-30,2337.65,14575.0,31283.0331,119.2679,10.2011,0.0
2023-05-31,2449.45,37105.0,32779.1694,124.9719,10.6889,0.0
2023-06-30,4602.15,429850.0,61587.1541,234.8036,20.0829,0.0
2023-07-31,4169.85,109172.0,55802.0044,212.7474,18.1965,0.0
2023-08-31,5997.95,380881.0,81345.7394,306.0179,26.1739,0.0
2023-09-30,5884.0,93179.0,79800.3202,300.2041,25.6767,0.0
2023-10-31,5112.5,88332.0,69337.0389,260.8418,22.31,0.0
2023-11-30,5487.3,151625.0,74420.1728,279.9643,23.9456,0.0
2023-12-31,6000.15,173422.0,81453.7643,306.1301,26.1835,0.0
2024-01-31,7966.65,449063.0,108149.5681,406.4617,34.765,0.0
2024-02-29,8460.9,307231.0,114859.1542,431.6786,36.9218,0.0
2024-03-31,7334.15,322350.0,99563.1985,237.89,16.4051,0.0
2024-04-30,7801.55,193012.0,112661.1928,253.0506,17.4506,0.0
2024-05-31,8379.6,367447.0,121008.7394,271.8002,18.7436,0.0
2024-06-30,13742.3,960259.0,198450.809,445.7444,30.739,0.0
2024-07-31,13912.75,294369.0,200912.2558,451.2731,31.1203,0.0
2024-08-31,14863.45,152584.0,214641.1938,482.11,33.2468,0.0
2024-09-30,14195.5,355542.0,212523.4993,460.4444,31.7527,0.0
2024-10-31,11999.05,267928.0,179640.0334,389.2005,26.8397,0.0
2024-11-30,11968.6,299880.0,179339.0104,388.2128,26.7715,0.0
2024-12-31,13458.6,469616.0,201665.3582,436.5423,30.1044,0.0
2025-01-31,14203.45,697876.0,212826.2844,460.7022,31.7705,0.0
2025-02-28,10204.8,376524.0,152910.009,331.0023,22.8263,0.0
2025-03-31,14944.65,326256.0,223932.5186,361.2437,16.1491,0.0
2025-04-30,12794.0,222221.0,191706.908,309.2579,13.8251,0.0
2025-05-31,15299.0,539431.0,229242.1437,369.809,16.532,0.0
2025-06-30,15569.0,556904.0,233287.8577,376.3355,16.8237,0.0
2025-07-31,14925.0,357544.0,223638.0806,360.7687,16.1278,0.0
2025-08-31,14011.0,441568.0,209942.5894,338.6754,15.1402,0.0
2025-09-30,15528.0,395244.0,232673.5085,375.3445,16.7794,0.0
2025-10-31,17283.0,546648.0,258970.6497,417.7665,18.6759,0.0
2025-11-30,18177.0,283169.0,272366.4583,439.3764,19.6419,0.0
2025-12-31,18582.0,475742.0,278591.5455,449.1661,20.0795,0.0
2026-01-31,18058.0,287952.0,270735.4498,436.4999,19.5133,0.0
2026-02-28,17936.0,304671.0,268906.3589,433.5509,19.3815,0.0
2026-03-31,18000.0,68032.0,269865.882,435.0979,19.4506,0.0
