UCO IN Equity,price,volume,mc,pe,bm,div
2003-10-31,19.45,58545419.0,15547.5517,,,0.0
2003-11-30,17.4,14681636.0,13908.8637,,,0.0
2003-12-31,20.3,29190201.0,16227.0077,,,0.0
2004-01-31,22.8,65518690.0,18225.4077,,,0.0
2004-02-29,23.1,23525865.0,18465.2157,,,0.0
2004-03-31,22.25,7324887.0,17785.7597,,,0.0
2004-04-30,25.5,28415158.0,20383.6796,,,0.0
2004-05-31,20.35,24392863.0,16266.9757,,,0.0
2004-06-30,19.7,7482548.0,15747.3917,,,0.8
2004-07-31,19.8,4416629.0,15827.3277,,,0.8
2004-08-31,18.8,3327469.0,15027.9677,,,0.8
2004-09-30,18.9,3655642.0,15107.9037,,,0.8
2004-10-31,18.65,6686507.0,14908.0637,,,0.8
2004-11-30,22.95,13567872.0,18345.3117,,,0.8
2004-12-31,37.3,57429638.0,29816.1275,,,0.8
2005-01-31,30.95,197460698.0,24740.1915,,,0.8
2005-02-28,32.8,81123030.0,26219.0075,,,0.8
2005-03-31,29.95,97020236.0,23940.8316,,,0.8
2005-04-30,28.15,21102216.0,22501.9836,,,0.8
2005-05-31,28.15,25695267.0,22501.9836,,,0.8
2005-06-30,26.95,27045131.0,21542.7516,,,1.0
2005-07-31,31.0,34575229.0,24780.1595,,,1.0
2005-08-31,31.25,44267207.0,24979.9995,,,1.0
2005-09-30,30.05,44634192.0,24020.7676,,,1.0
2005-10-31,25.95,21035504.0,20743.3916,,,1.0
2005-11-30,25.3,13833039.0,20223.8076,,,1.0
2005-12-31,25.2,20947712.0,20143.8716,,,1.0
2006-01-31,26.05,34709439.0,20823.3276,,,1.0
2006-02-28,26.45,18131126.0,21143.0716,,,1.0
2006-03-31,26.5,26001352.0,21183.0396,,,1.0
2006-04-30,26.4,18726200.0,20463.6156,,,1.0
2006-05-31,23.0,28824801.0,18385.2797,,,1.0
2006-06-30,16.9,18883704.0,13509.1838,,,1.0
2006-07-31,17.3,23056428.0,13828.9277,,,0.0
2006-08-31,18.9,18679656.0,15107.9037,,,0.0
2006-09-30,22.7,42293303.0,18145.4717,,,0.0
2006-10-31,23.2,31249647.0,18545.1517,,,0.0
2006-11-30,22.65,23964892.0,18105.5037,,,0.0
2006-12-31,21.2,14938854.0,16946.4317,,,0.0
2007-01-31,23.15,22479151.0,18505.1837,,,0.0
2007-02-28,21.3,24794781.0,17026.3677,,,0.0
2007-03-31,21.5,14552105.0,17186.2397,,,1.0
2007-04-30,24.0,22886720.0,19184.6396,,,1.0
2007-05-31,24.0,37261221.0,19184.6396,,,1.0
2007-06-30,23.75,15419439.0,18984.7997,,,1.0
2007-07-31,27.55,93101412.0,22022.3676,,,1.0
2007-08-31,32.0,113309692.0,25579.5195,,,1.0
2007-09-30,48.0,202981010.0,38369.2793,,,1.0
2007-10-31,41.8,107667392.0,33413.2474,,,1.0
2007-11-30,55.95,176929401.0,44724.1912,,,1.0
2007-12-31,59.1,79055928.0,47242.1751,,,1.0
2008-01-31,58.1,271779788.0,46442.8151,,,1.0
2008-02-29,50.6,43324939.0,40447.6153,,,1.0
2008-03-31,36.85,32320387.0,29456.4155,,,1.0
2008-04-30,42.35,25992189.0,33852.8954,,,1.0
2008-05-31,40.55,104873324.0,32414.0474,,,0.0
2008-06-30,32.15,39851162.0,25699.4235,,,1.0
2008-07-31,33.9,57699761.0,27098.3035,,,1.0
2008-08-31,38.25,65802911.0,30575.5194,,,1.0
2008-09-30,34.2,65117404.0,27338.1115,,,1.0
2008-10-31,27.7,36908392.0,22142.2716,,,1.0
2008-11-30,25.15,26665450.0,20103.9036,,,1.0
2008-12-31,28.5,26060810.0,15656.7596,,,1.0
2009-01-31,27.9,35668746.0,15327.1436,,,1.0
