CIPLA IN Equity,price,volume,mc,pe,bm,div
1995-01-31,17.6,,12315.5999,,,0.8533
1995-02-28,16.0,,11195.9999,,,0.8533
1995-03-31,16.67,,11662.4999,,,0.8533
1995-04-30,13.73,,9609.8999,,,0.8533
1995-05-31,13.07,,9143.3999,,,0.8533
1995-06-30,11.07,,7743.8999,,,0.8533
1995-07-31,10.83,,7570.6817,,,0.8533
1995-08-31,9.68,,6768.8608,,,0.0267
1995-09-30,9.87,,6899.3898,,,0.0267
1995-10-31,8.83,,6172.1568,,,0.0267
1995-11-30,7.04,,4922.8078,,,0.0267
1995-12-31,8.67,,6060.2748,,,0.0267
1996-01-31,8.0,,5594.0998,,,0.0267
1996-02-29,9.73,,6806.1548,,,0.0267
1996-03-31,10.67,,7458.7997,,,0.0267
1996-04-30,11.73,,8204.6797,,,0.0267
1996-05-31,10.13,2394375.0,7085.8598,,,0.0267
1996-06-30,11.02,5032500.0,7705.8725,,,0.0267
1996-07-31,10.7,6896250.0,8021.3884,,,0.0333
1996-08-31,11.93,9348413.0,8940.9744,,,0.0333
1996-09-30,10.05,2786663.0,7531.609,,,0.0333
1996-10-31,10.43,1726575.0,7821.4784,,,0.0333
1996-11-30,12.05,2613413.0,9030.9339,,,0.0333
1996-12-31,13.06,6884325.0,9790.5919,,,0.0333
1997-01-31,14.17,7549163.0,10625.2161,,,0.0333
1997-02-28,15.1,3665325.0,11319.9033,,,0.0333
1997-03-31,15.53,3607238.0,11644.757,,,0.0333
1997-04-30,16.83,4214475.0,12619.3183,,,0.0333
1997-05-31,18.83,10558050.0,14118.6432,,,0.0333
1997-06-30,19.81,4502775.0,14848.3147,,,0.0333
1997-07-31,21.01,4443338.0,15752.9074,,,0.0933
1997-08-31,16.88,5997713.0,12654.3025,,,0.0933
1997-09-30,20.45,10786913.0,15333.0964,,,0.0933
1997-10-31,18.34,3679763.0,13983.704,,,0.0933
1997-11-30,16.28,3240900.0,12204.505,,,0.0933
1997-12-31,16.87,6969375.0,12644.307,,,0.0933
1998-01-31,14.93,3416438.0,11194.9596,,,0.0933
1998-02-28,16.59,7355588.0,12439.3993,,,0.0933
1998-03-31,17.77,4640175.0,13324.001,,,0.0933
1998-04-30,19.96,14588775.0,14963.2629,,,0.0933
1998-05-31,23.31,6802538.0,17472.1333,,,0.0933
1998-06-30,18.43,8211975.0,13813.7805,,,0.0933
1998-07-31,21.92,9022725.0,16432.6014,,,0.1467
1998-08-31,22.07,2873513.0,16542.5519,,,0.1467
1998-09-30,23.0,7989075.0,17242.2368,,,0.1467
1998-10-31,24.26,6930563.0,18186.8115,,,0.1467
1998-11-30,21.82,3884625.0,16357.6351,,,0.1467
1998-12-31,22.9,4614225.0,17167.2706,,,0.1467
1999-01-31,28.32,8910825.0,21230.4412,,,0.1467
1999-02-28,31.64,13797863.0,23719.3206,,,0.1467
1999-03-31,37.33,13855238.0,27987.3989,,,0.1467
1999-04-30,36.27,5310638.0,27192.7567,,,0.1467
1999-05-31,36.29,8485725.0,27207.7499,,,0.1467
1999-06-30,38.17,5463750.0,28617.1154,,,0.1467
1999-07-31,50.29,9664800.0,37701.0254,,,0.2
1999-08-31,74.0,17297063.0,55475.0228,,,0.2
1999-09-30,105.31,24899513.0,78944.4559,,,0.2
1999-10-31,104.0,29234813.0,77964.8994,,,0.2
1999-11-30,130.11,21278000.0,97540.0865,,,0.2
1999-12-31,111.2,24758025.0,83362.4694,,,0.2
2000-01-31,93.84,27371350.0,70348.3285,,,0.2
2000-02-29,90.0,20235113.0,67469.6245,,,0.2
2000-03-31,89.68,19469388.0,67226.7301,,,0.2
2000-04-30,71.4,16438263.0,53522.0115,,,0.44
2000-05-31,62.08,18021738.0,46538.2721,,,0.44
2000-06-30,69.12,16811700.0,51812.8095,,,0.44
2000-07-31,58.71,31222325.0,44010.4523,,,0.44
2000-08-31,65.32,23564538.0,48970.1367,,,0.44
2000-09-30,54.95,31646775.0,41191.7683,,,0.44
2000-10-31,70.74,56549488.0,53033.2397,,,0.44
2000-11-30,79.13,56592450.0,59318.3053,,,0.44
2000-12-31,83.52,55452175.0,62607.7658,,,0.44
2001-01-31,89.9,51152650.0,67396.5375,,,0.44
2001-02-28,81.12,40044788.0,60814.6067,,,0.44
2001-03-31,79.9,28786363.0,59900.0337,,,0.44
2001-04-30,91.72,23105713.0,68754.8958,,,0.44
2001-05-31,88.55,22880438.0,66380.0083,,,0.44
2001-06-30,91.46,12802663.0,68565.9915,,,0.0
2001-07-31,85.63,9146313.0,64191.0303,,,0.0
2001-08-31,98.44,27947500.0,73798.5485,,,0.36
2001-09-30,89.89,39341963.0,67387.5379,,,0.36
2001-10-31,85.03,35636688.0,63741.2403,,,0.36
2001-11-30,88.68,18039238.0,66478.9621,,,0.36
2001-12-31,91.06,12468375.0,68266.1315,,,0.36
2002-01-31,88.76,9666813.0,66535.9318,,,0.36
2002-02-28,80.44,18228338.0,60298.8475,,,0.36
2002-03-31,81.44,8074000.0,61048.4975,,,0.36
2002-04-30,82.13,9970438.0,61570.2539,,,0.0
2002-05-31,79.15,11139125.0,59333.2983,,,0.0
2002-06-30,75.27,6143075.0,56424.6563,,,0.0
2002-07-31,74.52,6091700.0,55866.9167,,,0.0
2002-08-31,75.36,7843775.0,56496.6227,,,0.56
2002-09-30,75.68,7131925.0,56733.5121,,,0.56
2002-10-31,70.15,9825938.0,52589.4469,,,0.56
2002-11-30,73.38,3825888.0,55012.3157,,,0.56
