APHS IN Equity,price,volume,mc,pe,bm,div
1995-01-31,19.0,,,,,0.0
1995-02-28,18.13,,,,,0.0
1995-03-31,18.13,,,,,0.0
1995-04-30,18.25,,,,,0.0
1995-05-31,18.38,,,,,0.0
1995-06-30,18.0,,,,,0.0
1995-07-31,18.5,,,,,0.0
1995-08-31,15.75,,,,,0.0
1995-09-30,16.5,,,,,1.125
1995-10-31,16.63,,,,,1.125
1995-11-30,15.0,,,,,1.125
1995-12-31,19.25,,,,,1.125
1996-01-31,16.5,,,,,1.125
1996-02-29,18.5,,,,,1.125
1996-03-31,16.5,,,,,1.125
1996-04-30,18.0,,,,,1.125
1996-05-31,18.0,19200.0,,,,1.125
1996-06-30,18.5,127000.0,,,,1.125
1996-07-31,15.4,454700.0,,,,1.125
1996-08-31,16.0,15968.0,,,,1.25
1996-09-30,16.45,482530.0,,,,1.25
1996-10-31,14.6,39400.0,,,,1.25
1996-11-30,13.0,14500.0,,,,1.25
1996-12-31,14.75,6900.0,,,,1.25
1997-01-31,13.75,1613812.0,,,,1.25
1997-02-28,13.0,69716.0,,,,1.25
1997-03-31,13.13,3582870.0,,,,1.25
1997-04-30,16.75,679550.0,,,,1.25
1997-05-31,14.63,712510.0,,,,1.25
1997-06-30,14.5,280800.0,,,,1.25
1997-07-31,16.63,101480.0,,,,1.25
1997-08-31,15.88,181940.0,,,,1.25
1997-09-30,14.5,81700.0,,,,1.25
1997-10-31,14.88,29700.0,,,,1.25
1997-11-30,14.0,25420.0,,,,1.25
1997-12-31,14.0,493100.0,,,,1.25
1998-01-31,13.63,54442.0,,,,1.25
1998-02-28,13.5,56000.0,,,,1.25
1998-03-31,13.45,45000.0,,,,1.25
1998-04-30,16.8,2396412.0,,,,1.25
1998-05-31,14.75,62600.0,,,,1.25
1998-06-30,13.0,13200.0,413.686,,,1.25
1998-07-31,13.1,65700.0,416.8682,,,1.25
1998-08-31,13.25,8200.0,421.6415,,,1.25
1998-09-30,13.45,6146.0,428.0059,,,1.25
1998-10-31,12.15,7600.0,386.6373,,,1.25
1998-11-30,13.38,13800.0,425.6193,,,1.25
1998-12-31,12.75,35500.0,405.7305,,,1.25
1999-01-31,12.33,187500.0,392.2062,,,1.25
1999-02-28,11.5,153900.0,365.953,,,1.25
1999-03-31,18.05,79792.0,574.3871,,,1.25
1999-04-30,14.13,146800.0,449.4858,,,1.25
1999-05-31,15.15,497100.0,482.1033,,,1.25
1999-06-30,29.38,588300.0,934.7713,,,1.25
1999-07-31,35.85,922394.0,1140.8187,,,1.25
1999-08-31,49.05,1082394.0,1560.8691,,,1.25
1999-09-30,40.0,342702.0,1272.88,,,1.25
1999-10-31,58.08,1930966.0,1848.0627,,,1.25
1999-11-30,59.5,558772.0,1893.409,,,1.25
1999-12-31,102.18,2088564.0,3251.4129,,,1.25
2000-01-31,211.15,1594798.0,6719.2154,,,1.25
2000-02-29,191.5,1603746.0,6093.9131,,,1.25
2000-03-31,154.88,1058298.0,4928.4323,,,1.25
2000-04-30,127.5,613720.0,4057.3051,,,1.25
2000-05-31,101.0,251000.0,3214.0221,,,1.0
2000-06-30,119.48,224200.0,4469.7986,,,1.0
2000-07-31,110.0,61660.0,4115.3199,,,1.0
2000-08-31,135.48,419988.0,10707.6733,,,0.5
2000-09-30,111.45,626732.0,8808.7853,,,0.5
2000-10-31,103.28,233098.0,8162.6497,,,0.5
2000-11-30,104.33,827860.0,8245.6396,,,0.5
2000-12-31,91.4,428346.0,7224.0734,,,0.5
2001-01-31,90.5,521512.0,7152.9392,,,0.5
2001-02-28,79.95,342290.0,6319.0883,,,0.5
2001-03-31,58.23,699854.0,4601.9877,,,0.5
2001-04-30,51.0,218020.0,4030.9381,,,0.5
2001-05-31,48.15,352788.0,3805.6798,,,0.5
2001-06-30,40.05,641614.0,3165.472,,,0.5
2001-07-31,36.23,316572.0,2863.1516,,,0.5
2001-08-31,28.93,348282.0,2286.1742,,,1.25
2001-09-30,35.5,522924.0,2805.8491,,,1.25
2001-10-31,37.28,248772.0,2946.1415,,,1.25
2001-11-30,49.9,805594.0,3943.9963,,,1.25
2001-12-31,55.75,1053154.0,4406.3686,,,1.25
