SWANCORP IN Equity,price,volume,mc,pe,bm,div
1995-01-31,8.5,,,,,0.0
1995-02-28,8.0,,,,,0.0
1995-03-31,11.5,,,,,0.0
1995-04-30,12.0,,,,,0.0
1995-05-31,9.32,,,,,0.0
1995-06-30,8.78,,,,,0.0
1995-07-31,8.2,,,,,0.0
1995-08-31,7.0,,,,,0.0
1995-09-30,9.3,,,,,0.0
1995-10-31,9.08,,,,,0.0
1995-11-30,10.74,,,,,0.0
1995-12-31,10.0,,,,,0.0
1996-01-31,9.0,,,,,0.0
1996-02-29,8.1,,,,,0.0
1996-03-31,12.5,,,,,0.0
1996-04-30,9.0,,,,,0.0
1996-05-31,8.9,22000.0,,,,0.0
1996-06-30,8.5,47500.0,,,,0.0
1996-07-31,7.9,36500.0,,,,0.0
1996-08-31,6.95,12100.0,,,,0.0
1996-09-30,5.5,3500.0,,,,0.1
1996-10-31,6.0,5700.0,,,,0.1
1996-11-30,5.5,1000.0,,,,0.1
1996-12-31,6.0,3600.0,,,,0.1
1997-01-31,6.24,9300.0,,,,0.1
1997-02-28,5.26,4700.0,,,,0.1
1997-03-31,5.54,6200.0,,,,0.1
1997-04-30,4.84,3000.0,,,,0.1
1997-05-31,4.5,4000.0,,,,0.1
1997-06-30,4.05,5500.0,,,,0.1
1997-07-31,4.92,20000.0,,,,0.1
1997-08-31,5.0,9500.0,,,,0.1
1997-09-30,5.0,19600.0,,,,0.1
1997-10-31,5.21,6500.0,,,,0.1
1997-11-30,5.0,8500.0,,,,0.1
1997-12-31,5.3,6200.0,,,,0.1
1998-01-31,5.0,2000.0,,,,0.1
1998-02-28,4.9,2000.0,,,,0.1
1998-03-31,5.4,2500.0,,,,0.1
1998-04-30,5.25,14000.0,,,,0.1
1998-05-31,5.38,314100.0,,,,0.1
1998-06-30,5.05,55500.0,,,,0.1
1998-07-31,5.05,1000.0,,,,0.1
1999-02-28,4.75,1000.0,,,,0.1
1999-03-31,4.5,3000.0,,,,0.1
1999-04-30,3.75,4000.0,,,,0.1
1999-05-31,3.1,5500.0,,,,0.1
1999-06-30,2.9,8000.0,,,,0.1
1999-11-30,3.01,1000.0,,,,0.1
2000-02-29,2.8,1000.0,,,,0.1
2000-03-31,2.6,500.0,,,,0.1
2000-05-31,2.2,20000.0,418.285,,,0.1
2001-06-30,2.1,3000.0,399.0,,,0.0
2002-05-31,2.05,500.0,389.5,,,0.0
2002-07-31,2.05,,389.5,,,0.0
2002-08-31,2.05,,389.5,,,0.0
2002-09-30,2.05,,389.5,,,0.0
2002-10-31,2.05,,389.5,,,0.0
2002-11-30,2.05,,389.5,,,0.0
2002-12-31,2.05,,389.5,,,0.0
2003-01-31,2.05,,389.5,,,0.0
2003-02-28,2.05,,389.5,,,0.0
2003-03-31,2.05,,389.5,,,0.0
2003-04-30,2.05,,389.5,,,0.0
2003-05-31,2.05,500.0,389.5,,,0.0
2003-06-30,2.05,,389.5,,,0.0
2003-07-31,2.05,,389.5,,,0.0
2003-08-31,2.0,7000.0,380.0,,,0.0
2003-09-30,2.05,18500.0,389.5,,,0.0
2003-10-31,2.05,1000.0,389.5,,,0.0
2003-11-30,2.05,500.0,389.5,,,0.0
2003-12-31,1.98,64000.0,376.96,,,0.0
2004-01-31,1.5,67000.0,285.285,,,0.0
2004-02-29,0.94,411000.0,177.65,,,0.0
2004-03-31,0.68,22500.0,129.675,,,0.0
2004-04-30,0.56,3000.0,107.255,,,0.0
2004-05-31,1.06,29500.0,201.875,,,0.0
2004-06-30,1.1,41000.0,209.0,,,0.0
2004-07-31,1.11,21000.0,211.09,,,0.0
2004-08-31,1.2,21500.0,228.0,,,0.0
2004-09-30,2.57,102500.0,488.3,,,0.0
2004-10-31,4.51,74500.0,857.185,,,0.0
2004-11-30,4.77,56000.0,906.3,,,0.0
2004-12-31,4.75,37500.0,902.5,,,0.0
2005-01-31,4.85,69000.0,920.55,,,0.0
2005-02-28,3.89,69000.0,738.625,,,0.0
2005-03-31,4.25,66500.0,807.5,,2.546,0.0
2005-04-30,6.59,103800.0,1252.195,,3.948,0.0
2005-05-31,9.97,302500.0,1894.3,,5.9725,0.0
2005-06-30,8.55,998000.0,1624.5,,5.1219,0.0
2005-07-31,9.18,3555800.0,1744.2,,5.4993,0.0
2005-08-31,10.23,1216000.0,1943.7,,6.1283,0.0
2005-09-30,14.08,3217500.0,2675.1048,,8.4343,0.0
2005-10-31,6.12,424200.0,1162.8,,3.6662,0.0
2005-11-30,9.25,236000.0,1757.5,,5.5412,0.0
2005-12-31,7.65,356000.0,1453.5,,4.5827,0.0
2006-01-31,7.0,334500.0,1330.0,,4.1933,0.0
2006-02-28,6.3,187000.0,1197.0,,3.774,0.0
2006-03-31,9.78,536000.0,1858.2,,5.8587,0.0
2006-04-30,9.69,375500.0,1849.365,,5.8048,0.0
2006-05-31,12.27,3876500.0,2332.06,,7.3527,0.0
2006-06-30,10.2,523500.0,1938.0,,6.1103,0.0
2006-07-31,14.53,1050200.0,2760.89,,8.7048,0.0
2006-08-31,22.95,3227500.0,4360.6897,,13.7488,0.0
2006-09-30,39.28,10458000.0,7462.7249,,23.5292,0.0
2006-10-31,53.78,24064238.0,10217.25,,32.2139,0.0
2006-11-30,43.7,6123614.0,8303.0,,26.1785,0.0
2006-12-31,39.92,4265170.0,7585.75,,23.9171,0.0
2007-01-31,42.43,6437506.0,8060.75,,25.4147,0.0
2007-02-28,38.38,23439894.0,7291.25,,22.9885,0.0
2007-03-31,31.08,2585258.0,5904.25,,18.6155,0.0
2007-04-30,32.88,974874.0,6246.25,,19.6938,0.0
2007-05-31,33.45,1083276.0,6355.5,,20.0382,0.0
2007-06-30,52.78,12116438.0,10027.25,,31.6148,0.0
2007-07-31,43.65,2839756.0,8293.5,,26.1485,0.0
2007-08-31,48.05,1697080.0,9129.5,,28.7843,0.0
2007-09-30,67.75,7877266.0,12872.5,,40.5856,0.0
2007-10-31,70.3,12722376.0,13357.0,,42.1132,0.0
2007-11-30,63.58,2652044.0,12079.25,,38.0846,0.0
2007-12-31,64.6,4438716.0,12274.0,,38.6986,0.0
2008-01-31,42.55,12214030.0,8084.5,,25.4896,0.0
2008-02-29,37.95,1745260.0,7210.5,,22.7339,0.0
2008-03-31,27.2,5748924.0,5168.0,,16.2942,0.0
2008-04-30,31.08,2145128.0,5904.25,,18.6155,0.0
2008-05-31,25.33,1731436.0,4811.75,,15.1709,0.0
2008-06-30,17.52,1165054.0,3329.75,,10.4983,0.0
2008-07-31,21.55,1126136.0,4094.5,,12.9095,0.0
2008-08-31,29.1,2900224.0,5529.0,,17.4323,0.0
2008-09-30,25.25,1156162.0,4797.5,,15.126,0.0
2008-10-31,20.48,885664.0,3890.25,,12.2655,0.0
2008-11-30,17.73,733308.0,3367.75,,10.6182,0.0
2008-12-31,25.83,2639276.0,4906.75,,15.4705,0.0
2009-01-31,25.1,1976704.0,4769.0,,15.0361,0.0
2009-02-28,24.83,4043416.0,4716.75,,14.8714,0.0
2009-03-31,19.33,1380316.0,3671.75,,11.5766,0.0
2009-04-30,17.05,1907868.0,3239.5,,10.2138,0.0
2009-05-31,31.85,3076990.0,6051.5,,19.0797,0.0
2009-06-30,30.28,1232972.0,5752.25,,18.1362,0.0
2009-07-31,46.3,3252448.0,8797.0,,27.736,0.0
2009-08-31,41.63,1699260.0,7908.75,,24.9354,0.0
2009-09-30,62.35,6418040.0,11846.5,,37.3507,0.0
2009-10-31,55.38,3061202.0,10521.25,,33.1724,0.0
2009-11-30,74.83,5800080.0,14216.75,,44.8239,0.0
2009-12-31,87.95,3567004.0,16710.5,,52.6864,0.0
2010-01-31,72.65,1089784.0,13803.5,,43.521,0.0
2010-02-28,73.08,825072.0,13884.25,,43.7756,0.0
2010-03-31,73.95,1135816.0,14050.5,,44.2997,0.0
2010-04-30,77.13,3202772.0,14653.75,,46.2017,0.0
2010-05-31,65.53,1562022.0,12449.75,,39.2527,0.0
2010-06-30,68.22,3321286.0,12962.75,,40.8702,0.0
2010-07-31,56.0,5300270.0,10640.0,,33.5468,0.0
2010-08-31,66.78,10139728.0,12687.25,,40.0015,0.0
2010-09-30,67.55,9742564.0,12834.5,,40.4658,0.1
2010-10-31,76.88,11720390.0,14606.25,,46.0519,0.1
2010-11-30,65.97,9956786.0,12535.25,,39.5223,0.1
2010-12-31,63.88,9302602.0,12136.25,,38.2643,0.1
2011-01-31,60.13,8309036.0,11423.75,,36.0179,0.1
2011-02-28,51.95,9701190.0,9870.5,,31.1206,0.1
2011-03-31,49.1,9173034.0,9329.0,,29.4133,0.1
2011-04-30,45.23,8528772.0,8592.75,,27.092,0.1
2011-05-31,42.8,9250814.0,8132.0,,25.6393,0.1
2011-06-30,41.25,9484022.0,7837.5,,24.7108,0.1
2011-07-31,39.42,9772494.0,7490.75,,23.6175,0.1
2011-08-31,39.85,13070350.0,7571.5,,23.8721,0.1
2011-09-30,37.92,14746246.0,7205.75,,22.719,0.1
2011-10-31,35.92,19737422.0,6825.75,,21.5209,0.1
2011-11-30,31.58,13361980.0,5999.25,,18.915,0.1
2011-12-31,30.8,13163072.0,5852.0,,18.4507,0.1
2012-01-31,30.2,13552704.0,5738.0,,18.0913,0.1
2012-02-29,45.13,12413352.0,8573.75,,27.0321,0.1
2012-03-31,57.83,13949896.0,10986.75,,34.64,0.1
2012-04-30,67.6,13594728.0,12844.0,,40.4958,0.1
2012-05-31,70.38,14902048.0,13371.25,,42.1581,0.1
2012-06-30,70.03,14455554.0,13304.75,,41.9485,0.1
2012-07-31,67.75,11532802.0,12872.5,,40.5856,0.1
2012-08-31,65.85,10598688.0,12511.5,,39.4474,0.1
2012-09-30,67.97,10955204.0,12915.25,,40.7204,0.15
2012-10-31,68.03,19672950.0,12924.75,,40.7504,0.15
2012-11-30,66.38,14643658.0,12611.25,,39.7619,0.15
2012-12-31,67.03,9305308.0,12734.75,,40.1513,0.15
2013-01-31,63.4,12609616.0,12046.0,,37.9798,0.15
2013-02-28,59.08,12254818.0,11224.25,,35.3889,0.15
2013-03-31,62.43,7394146.0,11860.75,64.0256,5.9029,0.15
2013-04-30,59.6,7697368.0,11324.0,61.1282,5.6358,0.15
2013-05-31,61.28,8822558.0,11642.25,62.8462,5.7942,0.15
2013-06-30,57.08,9777618.0,10844.25,58.5385,5.397,0.15
2013-07-31,53.43,11135038.0,10150.75,54.7949,5.0519,0.15
2013-08-31,50.1,15364402.0,9519.0,51.3846,4.7375,0.15
2013-09-30,50.18,16630312.0,9533.25,51.4615,4.7446,0.25
2013-10-31,55.48,19005500.0,10540.25,56.8974,5.2457,0.25
2013-11-30,54.1,15843416.0,11965.8384,55.4872,5.1157,0.25
2013-12-31,65.85,24540686.0,14564.7035,67.5385,6.2268,0.25
2014-01-31,64.55,20403094.0,14277.1695,66.2051,6.1039,0.25
2014-02-28,63.0,15910585.0,13934.3405,64.6154,5.9573,0.25
2014-03-31,62.5,17750241.0,13823.7505,64.2564,3.2088,0.25
2014-04-30,62.2,15316688.0,13757.3965,,3.1934,0.25
2014-05-31,61.5,18649722.0,13602.5705,,3.1575,0.25
2014-06-30,61.2,18300279.0,13536.2165,,3.1421,0.25
2014-07-31,60.0,22322352.0,13270.8005,,3.0804,0.25
2014-08-31,59.55,17287789.0,13171.2695,,3.0573,0.25
2014-09-30,59.0,18065903.0,13049.6205,,3.0291,0.15
2014-10-31,55.2,13180652.0,12209.1364,,2.834,0.15
2014-11-30,55.05,13719048.0,12175.9594,,2.8263,0.15
2014-12-31,55.1,13712782.0,12187.0184,,2.8289,0.15
2015-01-31,55.0,12495175.0,12164.9004,,2.8237,0.15
2015-02-28,55.05,8338740.0,12175.9586,,2.8263,0.15
2015-03-31,61.9,18174242.0,13691.0425,442.1429,3.1812,0.15
2015-04-30,60.2,21103352.0,13315.0365,430.0,3.0938,0.15
2015-05-31,62.5,18519872.0,13823.7505,446.4286,3.212,0.15
2015-06-30,63.65,16346942.0,14078.1075,454.6429,3.2712,0.15
2015-07-31,61.35,16653284.0,13569.3935,438.2143,3.1529,0.15
2015-08-31,60.65,11529921.0,13414.5675,433.2143,3.117,0.15
2015-09-30,73.15,11348182.0,16179.3176,522.5,3.7594,0.15
2015-10-31,71.1,10572509.0,15725.8986,507.8571,3.654,0.15
2015-11-30,69.1,10082700.0,15283.5385,493.5714,3.5512,0.15
2015-12-31,69.35,14638195.0,15338.8336,495.3571,3.5641,0.15
2016-01-31,65.35,12468365.0,14454.1135,466.7857,3.3585,0.15
2016-02-29,63.15,11062226.0,13967.5175,451.0714,3.2455,0.15
2016-03-31,60.25,10471203.0,13326.0955,430.7143,3.0999,0.15
2016-04-30,60.3,9706589.0,13337.1545,,3.1025,0.15
2016-05-31,58.45,11763990.0,12927.9715,,3.0073,0.15
2016-06-30,67.15,13876875.0,14852.2375,,3.4549,0.15
2016-07-31,63.0,15340986.0,13934.3405,,3.2414,0.15
2016-08-31,62.6,15346502.0,13845.8685,,3.2208,0.15
2016-09-30,61.05,12491047.0,13503.0395,,3.141,0.05
2016-10-31,104.45,7576768.0,23102.2518,,5.374,0.05
2016-11-30,148.3,26008006.0,32800.9952,,7.6301,0.05
2016-12-31,154.15,85545990.0,34094.8982,,7.9311,0.05
2017-01-31,171.05,36964655.0,37832.8404,,8.8006,0.05
2017-02-28,156.6,16872778.0,34636.7892,,8.0571,0.05
2017-03-31,141.35,13070389.0,31263.7941,4711.6667,8.0044,0.05
2017-04-30,155.95,11370889.0,38091.8797,5198.3333,8.8311,0.05
2017-05-31,126.3,11116553.0,30849.6596,4210.0,7.1521,0.05
2017-06-30,128.8,14933022.0,31460.3021,4293.3333,7.2937,0.05
2017-07-31,132.55,6593292.0,32376.2659,4418.3333,7.5061,0.05
2017-08-31,142.8,7223246.0,34879.9001,4760.0,8.0865,0.05
2017-09-30,138.55,6077274.0,33841.8079,4618.3333,7.8458,0.075
2017-10-31,155.85,8160704.0,38067.454,5195.0,8.8255,0.075
2017-11-30,184.45,7961937.0,45053.2049,6148.3333,10.445,0.075
2017-12-31,190.9,12713355.0,46628.6626,6363.3333,10.8103,0.075
2018-01-31,208.55,39656615.0,50939.7988,6951.6667,11.8098,0.075
2018-02-28,188.5,7139166.0,46042.4445,6283.3333,10.6744,0.075
2018-03-31,178.25,11113483.0,43538.8103,79.2222,4.672,0.075
2018-04-30,170.9,9889000.0,41743.5213,75.9556,4.4794,0.075
2018-05-31,170.5,5364877.0,41645.8185,75.7778,4.4689,0.075
2018-06-30,155.35,4601130.0,37945.325,69.0444,4.0718,0.075
2018-07-31,160.2,4713464.0,39129.9714,71.2,4.1989,0.075
2018-08-31,159.75,5314506.0,39020.0558,71.0,4.1871,0.075
2018-09-30,125.3,7171139.0,30605.4021,55.6889,3.2842,0.1
2018-10-31,97.8,5211946.0,23888.3346,43.4667,2.5634,0.1
2018-11-30,102.0,5362775.0,24914.214,45.3333,2.6735,0.1
2018-12-31,101.2,6339529.0,24718.8084,44.9778,2.6525,0.1
2019-01-31,97.25,8200181.0,23753.9933,43.2222,2.549,0.1
2019-02-28,117.45,8021641.0,28687.9847,52.2,3.0784,0.1
2019-03-31,107.5,3177477.0,26257.6275,47.9556,2.8428,0.1
2019-04-30,108.7,5086320.0,26550.7359,,2.8745,0.1
2019-05-31,105.5,6430774.0,25769.1135,,2.7899,0.1
2019-06-30,104.1,4202946.0,25427.1537,,2.7529,0.1
2019-07-31,104.4,3714442.0,25500.4308,,2.7608,0.1
2019-08-31,113.7,5554091.0,27772.0209,,3.0067,0.1
2019-09-30,109.85,4870121.0,26831.6315,,2.9049,0.1
2019-10-31,103.85,3136288.0,25366.0895,,2.7463,0.1
2019-11-30,101.45,3450723.0,24779.8727,,2.6828,0.1
2019-12-31,108.1,3820084.0,26404.1817,,2.8587,0.1
2020-01-31,111.4,4213341.0,27210.2298,,2.9459,0.1
2020-02-29,123.75,3791875.0,30226.8038,,3.2725,0.1
2020-03-31,100.8,2481984.0,24621.1056,,2.6914,0.1
2020-04-30,100.15,2145923.0,24462.3386,,2.674,0.1
2020-05-31,100.35,2515843.0,24511.19,,2.6794,0.1
2020-06-30,132.8,4427582.0,32437.3296,,3.5458,0.1
2020-07-31,132.85,6329773.0,32449.5425,,3.5471,0.1
2020-08-31,128.35,6470980.0,31350.386,,3.427,0.1
2020-09-30,124.95,5060840.0,30519.9122,,3.3362,0.1
2020-10-31,144.3,4658095.0,35246.286,,3.8528,0.1
2020-11-30,139.25,5228920.0,34012.7881,,3.718,0.1
2020-12-31,134.75,5815295.0,32913.6316,,3.5978,0.1
2021-01-31,128.6,6116349.0,31411.451,,3.4336,0.1
2021-02-28,143.35,5921485.0,35014.2418,,3.8275,0.1
2021-03-31,135.55,7087835.0,33109.0372,,3.787,0.1
2021-04-30,132.05,4538413.0,32254.1376,,3.6892,0.1
2021-05-31,136.9,4322587.0,33438.7841,,3.8247,0.1
2021-06-30,140.65,5575118.0,34354.7479,,3.9295,0.1
2021-07-31,146.8,19371443.0,35856.9276,,4.1013,0.1
2021-08-31,135.85,18137418.0,33182.3135,,3.7954,0.1
2021-09-30,128.2,1720190.0,31313.7474,,3.5817,0.1
2021-10-31,127.0,1867984.0,31020.639,,3.5481,0.1
2021-11-30,117.45,926535.0,28687.9847,,3.2813,0.1
2021-12-31,145.8,10494350.0,35612.6706,,4.0734,0.1
2022-01-31,167.7,12523027.0,40961.8989,,4.6852,0.1
2022-02-28,161.0,3001728.0,39325.377,,4.498,0.1
2022-03-31,194.25,5697390.0,47446.9223,,4.1167,0.1
2022-04-30,322.25,24264049.0,85047.2533,,6.8294,0.1
2022-05-31,284.0,3632874.0,74952.428,,6.0187,0.1
2022-06-30,184.35,7709689.0,48653.0989,,3.9069,0.1
2022-07-31,209.65,3547161.0,55330.1991,,4.4431,0.1
2022-08-31,203.6,2528354.0,53733.5012,,4.3148,0.1
2022-09-30,223.5,14075941.0,58985.4495,,4.7366,0.1
2022-10-31,226.5,3556331.0,59777.2005,,4.8002,0.1
2022-11-30,244.0,14735909.0,64395.748,,5.171,0.1
2022-12-31,305.95,17712414.0,80745.4062,,6.4839,0.1
2023-01-31,330.5,24053621.0,87224.5685,,7.0042,0.1
2023-02-28,254.55,8795384.0,67180.0724,,5.3946,0.1
2023-03-31,213.8,37338153.0,56425.4546,,2.4708,0.1
2023-04-30,220.9,4978379.0,58299.2653,,2.5529,0.1
2023-05-31,239.15,6110010.0,63115.7506,,2.7638,0.1
2023-06-30,260.35,19698875.0,68710.791,,3.0088,0.1
2023-07-31,219.4,13549716.0,57903.3898,,2.5355,0.1
2023-08-31,304.5,37948190.0,80362.7265,,3.519,0.1
2023-09-30,287.8,37739348.0,75955.3126,,3.326,0.1
2023-10-31,385.6,96697952.0,101766.3952,,4.4562,0.1
