CSTRL IN Equity,price,volume,mc,pe,bm,div
1995-01-31,36.13,,35699.4516,48.5488,17.8686,0.0781
1995-02-28,35.74,,35314.4261,48.0239,17.6754,0.0781
1995-03-31,34.18,,33770.6261,45.9245,16.9027,0.293
1995-04-30,32.62,,32226.826,43.8251,16.13,0.293
1995-05-31,30.63,,30258.4795,41.1484,15.1448,0.293
1995-06-30,28.38,,28035.4075,38.1252,14.0321,0.293
1995-07-31,29.56,,29208.6955,39.7208,14.6194,0.293
1995-08-31,27.5,,27170.8795,36.9496,13.5994,0.293
1995-09-30,29.25,,28899.9355,39.3009,14.4648,0.4023
1995-10-31,27.5,,27170.8795,36.9496,13.5994,0.4023
1995-11-30,23.44,,23156.9996,31.4911,11.5904,0.4023
1995-12-31,23.75,,23465.7596,31.911,11.745,0.4023
1996-01-31,20.81,,20563.4156,19.825,8.1917,0.4023
1996-02-29,25.63,,25318.3195,24.4091,10.0859,0.4023
1996-03-31,25.63,,25318.3195,24.4091,10.0859,0.3438
1996-04-30,29.69,,29332.1995,28.2789,11.6849,0.3438
1996-05-31,28.75,647200.0,28405.9195,27.3858,11.3159,0.3438
1996-06-30,30.7,3950400.0,30335.6695,29.2463,12.0846,0.3438
1996-07-31,29.94,6524800.0,29579.2075,28.517,11.7833,0.3438
1996-08-31,31.16,3769536.0,30783.3715,29.6779,12.2629,0.3438
1996-09-30,25.84,2198624.0,25534.4515,24.6175,10.172,0.3438
1996-10-31,26.59,2063584.0,26275.4755,25.3319,10.4672,0.3438
1996-11-30,24.69,3725984.0,24392.0396,23.5161,9.7169,0.3438
1996-12-31,25.92,4067824.0,25611.6415,24.6919,10.2027,0.3438
1997-01-31,26.55,5325328.0,26229.1615,27.7469,8.9498,0.3438
1997-02-28,27.67,8840304.0,27340.6975,28.9228,9.3291,0.5938
1997-03-31,25.83,38324912.0,25519.0135,26.9957,8.7075,0.5313
1997-04-30,27.13,10506656.0,26800.3675,28.3512,9.1447,0.5313
1997-05-31,26.73,8304528.0,26414.4175,27.9429,9.013,0.5313
1997-06-30,32.53,49301008.0,32141.9154,34.0018,10.9673,0.5313
1997-07-31,43.0,72528192.0,42485.3752,44.9438,14.4966,0.5313
1997-08-31,41.11,99680368.0,40617.3773,42.9677,13.8593,0.5938
1997-09-30,40.13,148779984.0,39644.7833,41.9389,13.5274,0.5938
1997-10-31,38.88,109330832.0,39629.3453,40.6324,13.106,0.5938
1997-11-30,43.13,173900176.0,42608.8792,45.0745,14.5388,0.5938
