SCHN IN Equity,price,volume,mc,pe,bm,div
2015-08-31,184.15,11173210.0,44031.0079,,51.7774,0.0
2015-09-30,166.75,3031447.0,39870.5977,,46.8851,0.0
2015-10-31,167.3,5488781.0,40002.105,,47.0397,0.0
2015-11-30,170.65,3302799.0,40803.1035,,47.9816,0.0
2015-12-31,164.3,2703698.0,39284.7929,,46.1962,0.0
2016-01-31,160.3,4669060.0,38328.3767,,45.0715,0.0
2016-02-29,132.45,1688185.0,31669.3294,,37.2409,0.0
2016-03-31,146.05,2250487.0,34921.1442,,52.2428,0.0
2016-04-30,140.45,2604720.0,33582.1616,,50.2396,0.0
2016-05-31,129.9,2087095.0,31059.6141,,46.4658,0.0
2016-06-30,138.55,2629264.0,33127.864,,49.56,0.0
2016-07-31,144.45,2500207.0,34538.5778,,51.6704,0.0
2016-08-31,134.5,1904696.0,32159.4926,,48.1113,0.0
2016-09-30,137.5,2898981.0,32876.8047,,49.1844,0.0
2016-10-31,159.75,6204448.0,38196.8695,,57.1433,0.0
2016-11-30,150.75,2644813.0,36044.9332,,53.924,0.0
2016-12-31,135.6,1029372.0,32422.5071,,48.5047,0.0
2017-01-31,142.9,2231423.0,34167.9665,,51.116,0.0
2017-02-28,134.85,1486984.0,32243.179,,48.2365,0.0
2017-03-31,141.9,14534692.0,33928.8625,,113.5162,0.0
2017-04-30,150.8,5811600.0,36056.8884,,120.636,0.0
2017-05-31,134.2,3591060.0,32087.7614,,107.3564,0.0
2017-06-30,127.6,2693497.0,30509.6748,,102.0766,0.0
2017-07-31,131.6,5196895.0,31466.0909,,105.2765,0.0
2017-08-31,123.1,2273694.0,29433.7066,,98.4767,0.0
2017-09-30,118.9,9718896.0,28429.4697,,95.1168,0.0
2017-10-31,124.15,3443020.0,29684.7659,,99.3167,0.0
2017-11-30,128.35,4800569.0,30689.002,,102.6766,0.0
2017-12-31,126.35,2972458.0,30210.7939,,101.0766,0.0
2018-01-31,119.1,5211308.0,28477.2897,,95.2768,0.0
2018-02-28,110.05,15625611.0,26313.3991,,88.0371,0.0
2018-03-31,111.4,5506506.0,26636.1895,,92.2769,0.0
2018-04-30,112.65,2625900.0,26935.0695,,,0.0
2018-05-31,100.8,7596129.0,24101.6867,,,0.0
2018-06-30,87.55,2534057.0,20933.5583,,,0.0
2018-07-31,99.8,2970612.0,23862.5827,,,0.0
2018-08-31,107.5,4655070.0,25703.6838,,,0.0
2018-09-30,109.45,5963542.0,26169.9366,,,0.0
2018-10-31,109.85,2625282.0,26265.5782,,,0.0
2018-11-30,107.95,4007505.0,25811.2806,,,0.0
2018-12-31,101.35,3503937.0,24233.1939,,,0.0
2019-01-31,92.1,938917.0,22021.4816,,,0.0
2019-02-28,96.55,1343387.0,23085.4946,,,0.0
2019-03-31,112.3,3331305.0,26851.3831,,,0.0
2019-04-30,100.15,1882986.0,23946.2691,,,0.0
2019-05-31,99.3,1904182.0,23743.0307,,,0.0
2019-06-30,95.65,1801576.0,22870.3009,,,0.0
2019-07-31,77.7,1425290.0,18578.3835,,,0.0
2019-08-31,76.85,935981.0,18375.1451,,,0.0
2019-09-30,78.65,1053770.0,18805.5324,,,0.0
2019-10-31,76.7,1260894.0,18339.2795,,,0.0
2019-11-30,67.75,1928531.0,16199.2984,,,0.0
2019-12-31,66.35,1551803.0,15864.5527,,,0.0
2020-01-31,83.1,11954069.0,19869.5453,,,0.0
2020-02-29,93.75,12234593.0,22416.0033,,,0.0
2020-03-31,65.7,3084005.0,15709.1351,,,0.0
2020-04-30,83.5,3537725.0,19965.1869,,,0.0
2020-05-31,81.85,6737368.0,19570.6653,,,0.0
2020-06-30,80.7,9780015.0,19295.6956,,,0.0
2020-07-31,73.65,5256374.0,17610.0122,,,0.0
2020-08-31,80.3,8360846.0,19200.054,,,0.0
2020-09-30,82.9,5638052.0,19821.7245,,,0.0
2020-10-31,69.95,1965871.0,16725.3268,,,0.0
2020-11-30,90.75,8714995.0,21698.6905,,,0.0
2020-12-31,84.35,10095675.0,20168.4248,,,0.0
2021-01-31,95.7,43790536.0,22882.2555,,,0.0
2021-02-28,114.45,37418622.0,27365.456,,,0.0
2021-03-31,94.4,16185492.0,22571.4202,,,0.0
2021-04-30,90.65,9606693.0,21674.7801,,,0.0
2021-05-31,132.05,43279093.0,31573.6869,,,0.0
2021-06-30,129.1,30505690.0,30868.33,,,0.0
2021-07-31,139.45,35989026.0,33343.0577,,,0.0
2021-08-31,117.85,33900629.0,28178.4105,,,0.0
2021-09-30,114.35,13765416.0,27341.5464,,,0.0
2021-10-31,104.35,19401655.0,24950.5061,,,0.0
2021-11-30,104.3,16684573.0,24938.5509,,,0.0
2021-12-31,105.75,8706789.0,25285.2517,,,0.0
2022-01-31,103.8,16681842.0,24818.9988,,,0.0
2022-02-28,112.45,45352192.0,26887.2487,,,0.0
2022-03-31,118.55,20785293.0,28345.7833,102.1983,,0.0
2022-04-30,137.4,49041302.0,32852.8944,118.4483,,0.0
2022-05-31,110.9,17713047.0,26516.6375,95.6034,,0.0
2022-06-30,99.05,9675812.0,23683.2547,85.3879,,0.0
2022-07-31,110.4,9854082.0,26397.0855,95.1724,,0.0
2022-08-31,136.8,24313565.0,32709.432,117.931,,0.0
2022-09-30,184.55,78547214.0,44126.6497,159.0948,,0.0
2022-10-31,174.4,21227460.0,41699.7437,150.3448,,0.0
2022-11-30,165.2,16603022.0,39499.9866,142.4138,,0.0
2022-12-31,165.0,7096520.0,39452.1658,142.2414,,0.0
2023-01-31,183.95,52465827.0,43983.1872,158.5776,,0.0
2023-02-28,161.95,9813083.0,38722.8985,139.6121,,0.0
2023-03-31,155.7,7002254.0,37228.4982,30.1161,55.9314,0.0
2023-04-30,177.0,8519408.0,42321.4142,34.236,63.5829,0.0
2023-05-31,246.95,41927715.0,59046.7414,47.766,88.7107,0.0
2023-06-30,260.45,20862211.0,62274.6459,50.3772,93.5603,0.0
2023-07-31,283.45,23943673.0,67774.0387,54.8259,101.8224,0.0
2023-08-31,356.0,29923552.0,85121.0365,68.8588,127.8843,0.0
2023-09-30,364.05,20489578.0,87045.8239,70.4159,130.776,0.0
2023-10-31,320.4,7909758.0,76608.9328,61.9729,115.0958,0.0
2023-11-30,332.5,9723455.0,79502.0916,64.3133,119.4425,0.0
2023-12-31,409.2,27910869.0,97841.3711,79.1489,146.995,0.0
2024-01-31,472.0,11549524.0,112857.1045,91.2959,169.5544,0.0
2024-02-29,637.2,13593446.0,152357.0911,123.2495,228.8984,0.0
2024-03-31,741.05,3304137.0,177188.0451,103.0668,83.7175,0.0
2024-04-30,807.4,4599476.0,193052.5979,112.2949,91.2131,0.0
2024-05-31,685.45,5960125.0,163893.8608,95.3338,77.4363,0.0
2024-06-30,865.3,7298398.0,206896.7215,120.3477,97.7542,0.0
2024-07-31,803.15,8022366.0,192036.4057,111.7038,90.733,0.0
2024-08-31,829.65,6998128.0,198372.6626,115.3894,93.7267,0.0
2024-09-30,816.05,14496660.0,195120.8478,113.4979,92.1903,0.0
2024-10-31,779.65,6849954.0,186417.4609,108.4353,88.0782,0.0
2024-11-30,830.6,5725521.0,198599.8115,115.5216,93.8341,0.0
2024-12-31,766.65,4297098.0,183309.1084,106.6273,86.6095,0.0
2025-01-31,682.8,7303993.0,163260.2351,94.9652,77.1369,0.0
2025-02-28,612.05,7714413.0,146343.6246,85.1252,69.1442,0.0
2025-03-31,668.35,6298922.0,159805.1818,59.6741,33.4769,0.0
2025-04-30,575.5,7268595.0,137604.3721,51.3839,28.8261,0.0
2025-05-31,752.15,20826581.0,179842.0999,67.1563,37.6743,0.0
2025-06-30,832.4,7851126.0,199030.1987,74.3214,41.6939,0.0
2025-07-31,1002.9,3425358.0,239797.4367,89.5446,50.2341,0.0
2025-08-31,857.1,2589541.0,204936.0684,76.5268,42.9311,0.0
2025-09-30,820.6,2260748.0,196208.7711,73.2679,41.1029,0.0
2025-10-31,836.5,2358986.0,200010.5253,74.6875,41.8993,0.0
2025-11-30,716.35,3892147.0,171282.1755,63.9598,35.8811,0.0
2025-12-31,722.9,6266486.0,172848.3069,64.5446,36.2092,0.0
2026-01-31,692.8,13230845.0,165651.2754,61.8571,34.7015,0.0
2026-02-28,906.45,16166463.0,216735.8525,80.933,45.403,0.0
2026-03-31,874.35,409572.0,209060.6072,78.067,43.7952,0.0
