SCHN IN Equity,price,volume,mc,pe,bm,div
2012-03-31,66.7,180744751.0,15948.2371,40.1807,5.9739,0.0
2012-04-30,89.75,20810945.0,21459.5844,54.0663,8.0384,0.0
2012-05-31,79.75,7210422.0,19068.5443,48.0422,7.1427,0.0
2012-06-30,74.9,3577311.0,17908.8899,45.1205,6.7083,0.0
2012-07-31,76.9,6015614.0,18387.0979,46.3253,6.8875,0.4
2012-08-31,86.85,5712981.0,20766.1827,52.3193,7.7786,0.4
2012-09-30,93.65,7508741.0,22392.09,56.4157,8.3877,0.4
2012-10-31,91.4,3461550.0,21854.106,55.0602,8.1861,0.4
2012-11-30,99.05,2391961.0,23683.2516,59.6687,8.8713,0.4
2012-12-31,84.55,1838526.0,20216.2435,50.9337,7.5726,0.4
2013-01-31,86.15,2522352.0,20598.8099,51.8976,7.7159,0.4
2013-02-28,79.05,1192330.0,18901.1715,47.6205,7.08,0.4
2013-03-31,72.8,896741.0,17406.7715,43.8554,7.2983,0.4
2013-04-30,76.45,603210.0,18279.5011,,7.6642,0.4
2013-05-31,73.4,680785.0,17550.2339,,7.3584,0.4
2013-06-30,65.65,805129.0,15697.1799,,6.5815,0.4
2013-07-31,63.35,2372057.0,15147.2406,,6.3509,0.4
2013-08-31,58.45,475410.0,13975.6308,,5.8597,0.4
2013-09-30,58.25,795375.0,13927.81,,5.8396,0.0
2013-10-31,64.35,1997625.0,15386.3446,,6.4511,0.0
2013-11-30,67.0,1173425.0,16019.9703,,6.7168,0.0
2013-12-31,72.2,1828661.0,17263.3113,,7.2381,0.0
2014-01-31,64.65,4644162.0,15458.0758,,6.4812,0.0
2014-02-28,67.6,690506.0,16163.4327,,6.777,0.0
2014-03-31,86.3,2553897.0,20634.6782,,18.1677,0.0
2014-04-30,92.2,3445527.0,22045.392,,19.4097,0.0
2014-05-31,119.45,3430856.0,28560.9769,,25.1464,0.0
2014-06-30,132.0,2825154.0,31561.7325,,27.7884,0.0
2014-07-31,140.0,1548479.0,33474.5648,,29.4725,0.0
2014-08-31,134.4,1261750.0,32135.5822,,28.2936,0.0
2014-09-30,160.1,7729141.0,38280.5559,,33.7039,0.0
2014-10-31,154.0,1245776.0,36822.0213,,32.4197,0.0
2014-11-30,143.75,1935542.0,34371.2049,,30.2619,0.0
2014-12-31,155.0,5617374.0,37061.1253,,32.6303,0.0
2015-01-31,157.8,4163400.0,37730.6166,,33.2197,0.0
2015-02-28,186.95,8425448.0,44700.4935,,39.3563,0.0
2015-03-31,217.3,11501155.0,51957.3067,,61.0982,0.0
2015-04-30,188.8,4169778.0,45142.8417,,53.0849,0.0
2015-05-31,218.9,4012056.0,52339.8731,,61.5481,0.0
2015-06-30,210.65,7275779.0,50367.2649,,59.2284,0.0
2015-07-31,199.35,4511398.0,47665.3893,,56.0512,0.0
