UTIAM IN Equity,price,volume,mc,pe,bm,div
2020-10-31,499.15,20605655.0,63285.8588,23.3139,2.2828,0.0
2020-11-30,548.55,10894017.0,69549.1493,25.6212,2.5088,7.0
2020-12-31,555.8,12207979.0,70468.3569,25.9598,2.5419,7.0
2021-01-31,556.2,7906626.0,70519.0718,25.9785,2.5438,7.0
2021-02-28,589.95,6046636.0,74798.1417,27.5549,2.6981,7.0
2021-03-31,583.0,4998483.0,73916.9702,14.9602,2.273,7.0
2021-04-30,639.15,6475844.0,81036.0747,16.4011,2.492,7.0
2021-05-31,761.4,7768704.0,96535.8167,19.5381,2.9686,7.0
2021-06-30,853.65,9167567.0,108231.9411,21.9053,3.3283,7.0
2021-07-31,1041.75,15679529.0,132080.6219,26.7321,4.0616,17.0
2021-08-31,1195.35,8289213.0,151573.4102,30.6736,4.6605,17.0
2021-09-30,1066.95,4132756.0,135326.0911,27.3788,4.1599,17.0
2021-10-31,1035.5,4316675.0,131349.6988,26.5717,4.0373,17.0
2021-11-30,1095.65,4774046.0,138992.1529,28.1152,4.2718,17.0
2021-12-31,1053.15,5119780.0,133618.6453,27.0246,4.1061,17.0
2022-01-31,897.7,3182193.0,113932.6108,23.0357,3.5,17.0
2022-02-28,836.05,7304950.0,106116.4581,21.4537,3.2596,17.0
2022-03-31,994.6,10273025.0,126258.2687,23.6135,3.4878,17.0
2022-04-30,791.9,3099089.0,100531.2528,18.801,2.777,17.0
2022-05-31,685.05,2938885.0,86970.0069,16.2642,2.4023,17.0
2022-06-30,645.9,1677072.0,82003.8599,15.3348,2.265,17.0
2022-07-31,693.75,2736951.0,88078.9246,16.4708,2.4328,21.0
2022-08-31,825.1,6164433.0,104755.3396,19.5893,2.8934,21.0
2022-09-30,722.75,3258726.0,91761.5383,17.1593,2.5345,21.0
2022-10-31,701.65,2602374.0,89083.9678,16.6584,2.4605,21.0
2022-11-30,781.15,7727916.0,99178.823,18.5458,2.7393,21.0
2022-12-31,860.9,13715318.0,109305.1026,20.4392,3.019,21.0
2023-01-31,744.35,3382452.0,94507.5783,17.6721,2.6102,21.0
2023-02-28,654.45,4440151.0,83102.4425,15.5377,2.295,21.0
2023-03-31,641.95,6670926.0,81516.4326,18.6343,2.1075,21.0
2023-04-30,658.25,4682121.0,83587.0172,19.1074,2.161,21.0
2023-05-31,708.65,4005613.0,89986.9962,20.5704,2.3265,21.0
2023-06-30,785.05,10321028.0,99688.5505,22.7881,2.5773,21.0
2023-07-31,802.1,6481738.0,101853.6226,23.283,2.6333,22.0
2023-08-31,748.2,2259208.0,95011.321,21.7184,2.4563,22.0
2023-09-30,787.05,2846803.0,99955.4216,22.8462,2.5839,22.0
2023-10-31,752.3,4340156.0,95542.8177,21.8374,2.4698,22.0
2023-11-30,823.75,3056410.0,104622.2963,23.9115,2.7043,22.0
2023-12-31,866.6,4932384.0,110267.8106,25.1553,2.845,22.0
2024-01-31,929.4,7563648.0,118261.8199,26.9782,3.0512,22.0
2024-02-29,896.7,3680098.0,114108.4914,26.029,2.9438,22.0
2024-03-31,813.0,1753048.0,103457.754,13.4915,2.3578,22.0
2024-04-30,950.45,6155065.0,120951.3377,15.7725,2.7564,22.0
2024-05-31,908.65,2095138.0,115633.8767,15.0788,2.6351,22.0
2024-06-30,1000.5,4036510.0,127343.3449,16.6031,2.9015,22.0
2024-07-31,1037.65,7331417.0,132169.4464,17.2195,3.0093,47.0
2024-08-31,1146.85,6399713.0,146126.4547,19.0317,3.3259,47.0
2024-09-30,1239.35,9024357.0,157994.4585,20.5667,3.5942,47.0
2024-10-31,1333.5,11395836.0,170051.3204,22.1291,3.8672,47.0
2024-11-30,1299.15,4910276.0,165698.5304,21.5591,3.7676,47.0
2024-12-31,1342.55,5549055.0,171736.5271,22.2793,3.8935,47.0
2025-01-31,1038.5,4958302.0,132852.0296,17.2337,3.0117,47.0
2025-02-28,940.9,2656992.0,120397.8039,15.614,2.7287,47.0
2025-03-31,1055.25,3980021.0,135047.8042,18.4076,2.9364,47.0
2025-04-30,1019.3,4436490.0,130460.7095,17.7805,2.8364,47.0
2025-05-31,1190.2,4520251.0,152365.9727,20.7617,3.312,47.0
2025-06-30,1290.8,7666341.0,165288.4812,22.5165,3.5919,47.0
2025-07-31,1329.8,9106805.0,170352.5755,23.1968,3.7004,48.0
2025-08-31,1288.5,2809216.0,165079.0302,22.4764,3.5855,48.0
2025-09-30,1304.1,2047238.0,167175.2355,22.7485,3.6289,48.0
2025-10-31,1247.6,5508134.0,159987.3209,21.7629,3.4717,48.0
2025-11-30,1141.1,2430301.0,146400.9459,19.9052,3.1753,48.0
2025-12-31,1129.5,2938131.0,145091.6506,19.7028,3.1431,48.0
2026-01-31,972.7,2565919.0,125008.6834,16.9676,2.7067,48.0
2026-02-28,987.3,1653206.0,126886.937,17.2223,2.7474,48.0
2026-03-31,991.95,358653.0,127484.5526,17.3034,2.7603,48.0
