KAYNES IN Equity,price,volume,mc,pe,bm,div
2022-11-30,725.15,24808305.0,42162.031,72.8062,14.9776,0.0
2022-12-31,750.95,5398455.0,43662.1074,75.3966,15.5105,0.0
2023-01-31,772.9,3685648.0,44938.3352,77.6004,15.9639,0.0
2023-02-28,866.85,6167819.0,50400.8227,87.0331,17.9044,0.0
2023-03-31,962.8,4292000.0,55979.5951,48.5282,5.837,0.0
2023-04-30,987.45,2100630.0,57412.8077,49.7707,5.9865,0.0
2023-05-31,1430.7,7819050.0,83184.469,72.1119,8.6737,0.0
2023-06-30,1505.4,5459296.0,87527.7135,75.877,9.1266,0.0
2023-07-31,1813.55,5162397.0,105444.3236,91.4088,10.9948,0.0
2023-08-31,2014.25,6744169.0,117113.5226,101.5247,12.2115,0.0
2023-09-30,2300.3,4375614.0,133745.1835,115.9425,13.9457,0.0
2023-10-31,2383.4,3596041.0,138576.825,120.131,14.4495,0.0
2023-11-30,2466.6,2657361.0,143414.2806,124.3246,14.9539,0.0
2023-12-31,2610.55,4140058.0,166861.3255,131.5801,15.8266,0.0
2024-01-31,2831.3,3332580.0,180971.2401,142.7067,17.1649,0.0
2024-02-29,2955.65,4078450.0,188919.4525,148.9743,17.9188,0.0
2024-03-31,2871.95,6800578.0,183569.5098,93.7627,7.3815,0.0
2024-04-30,2664.5,3504446.0,170309.7055,86.9899,6.8483,0.0
2024-05-31,3388.8,5483479.0,216605.5658,110.6366,8.7099,0.0
2024-06-30,3853.4,7359784.0,246301.9025,125.8048,9.904,0.0
2024-07-31,4441.85,6828883.0,283914.4926,145.0163,11.4165,0.0
2024-08-31,4753.8,6368241.0,303853.7354,155.2008,12.2182,0.0
2024-09-30,5425.75,15820917.0,347306.4353,177.1384,13.9453,0.0
2024-10-31,5440.05,9434211.0,348221.7893,177.6053,13.982,0.0
2024-11-30,5987.45,9009012.0,383261.2848,195.4767,15.389,0.0
2024-12-31,7417.3,14959836.0,474787.0843,242.158,19.064,0.0
2025-01-31,4792.35,26563207.0,306762.0136,156.4594,12.3173,0.0
2025-02-28,4144.15,21148736.0,265270.2325,135.2971,10.6513,0.0
2025-03-31,4747.35,15410020.0,303881.529,103.6087,10.7114,0.0
2025-04-30,5747.2,14291674.0,367882.6973,125.4299,12.9673,0.0
2025-05-31,5980.0,10958177.0,383224.1439,130.5107,13.4926,0.0
2025-06-30,6095.0,12955166.0,408103.4818,133.0205,13.752,0.0
2025-07-31,6172.0,12029198.0,413259.178,134.701,13.9258,0.0
2025-08-31,6123.0,10548341.0,409978.2804,133.6316,13.8152,0.0
2025-09-30,7052.0,13696031.0,472728.38,153.9066,15.9113,0.0
2025-10-31,6704.5,10289654.0,449433.8377,146.3226,15.1272,0.0
2025-11-30,5490.0,15805941.0,368020.2505,119.8167,12.387,0.0
2025-12-31,4013.0,105211711.0,269010.0665,87.5818,9.0545,0.0
2026-01-31,3475.4,33474050.0,232972.2365,75.849,7.8415,0.0
2026-02-28,3856.5,46785633.0,258519.1432,84.1663,8.7014,0.0
2026-03-31,3806.9,4004102.0,255194.2178,83.0838,8.5894,0.0
