JKI IN Equity,price,volume,mc,pe,bm,div
1995-01-31,41.33,,4639.9249,,,0.0
1995-02-28,36.0,,4041.2249,,,0.0
1995-03-31,38.67,,4340.5749,,,0.0
1995-04-30,30.67,,3442.5249,,,0.0
1995-05-31,28.0,,3143.1749,,,0.0
1995-06-30,24.27,,2724.085,,,0.0
1995-07-31,29.33,,3292.8499,,,0.0
1995-08-31,26.93,,3023.4349,,,0.0
1995-09-30,26.13,,3387.3699,,,0.0
1995-10-31,25.07,,3249.1099,,,0.0
1995-11-30,21.87,,2834.3299,,,0.0
1995-12-31,16.93,,2194.8774,,,0.8
1996-01-31,16.53,,2143.0299,,,0.8
1996-02-29,19.73,,2557.8099,,,0.8
1996-03-31,16.53,,2143.0299,,,0.8
1996-04-30,17.6,,2281.2899,,,0.8
1996-05-31,16.27,18938.0,2108.4649,,,0.8
1996-06-30,15.2,20250.0,1970.2049,,,0.8
1996-07-31,14.93,20063.0,1935.6399,,,0.8
1996-08-31,13.33,16144.0,1728.2499,,,0.8
1996-09-30,13.33,23831.0,1728.2499,,,0.8
1996-10-31,12.27,64365.0,1589.9899,,,0.8
1996-11-30,10.67,20145.0,1382.5999,,,0.8
1996-12-31,9.13,130594.0,1183.8512,,,0.8
1997-01-31,9.73,683948.0,1261.6224,,,0.8
1997-02-28,9.4,60544.0,1218.4162,,,0.0
1997-03-31,8.8,67920.0,1140.645,,,0.0
1997-04-30,10.73,72825.0,1391.2412,,,1.2
1997-05-31,9.07,49545.0,1175.21,,,1.2
1997-06-30,8.27,82864.0,1071.515,,,1.2
1997-07-31,8.67,182366.0,1123.3625,,,1.2
1997-08-31,7.6,151170.0,985.1025,,,1.2
1997-09-30,6.4,92663.0,829.56,,,1.2
1997-10-31,6.45,142871.0,846.8425,,,1.2
1997-11-30,5.07,88500.0,656.735,,,1.2
1997-12-31,4.67,171131.0,604.8875,,,1.2
1998-01-31,4.73,698363.0,613.5287,,,1.2
1998-02-28,4.8,24210.0,622.17,,,1.2
1998-03-31,5.36,150690.0,694.7565,,,1.2
