HEG IN Equity,price,volume,mc,pe,bm,div
1995-01-31,17.0,,,,,0.25
1995-02-28,17.0,,,,,0.25
1995-03-31,14.5,,,,,0.25
1995-04-30,10.5,,,,,0.25
1995-05-31,10.2,,,,,0.25
1995-06-30,9.5,,,,,0.25
1995-07-31,9.55,,,,,0.25
1995-08-31,9.0,,,,,0.25
1995-09-30,8.55,,,,,0.25
1995-10-31,7.4,,,,,0.25
1995-11-30,6.75,,,,,0.0
1995-12-31,6.3,,,,,0.0
1996-01-31,5.3,,,,,0.0
1996-02-29,6.3,,,,,0.0
1996-03-31,6.4,,,,,0.0
1996-04-30,6.6,,,,,0.0
1996-05-31,6.3,245750.0,,,,0.0
1996-06-30,6.12,1171500.0,,,,0.0
1996-07-31,5.2,695500.0,,,,0.0
1996-08-31,5.04,130600.0,,,,0.4
1996-09-30,4.7,192800.0,,,,0.4
1996-10-31,3.65,250945.0,,,,0.4
1996-11-30,3.6,131560.0,,,,0.4
1996-12-31,4.4,72965.0,,,,0.4
1997-01-31,4.4,376565.0,,,,0.4
1997-02-28,4.4,68555.0,,,,0.4
1997-03-31,3.8,93275.0,,,,0.4
1997-04-30,3.6,40895.0,,,,0.4
1997-05-31,3.2,143305.0,644.96,,,0.4
1997-06-30,3.15,74315.0,634.8825,,,0.4
1997-07-31,4.78,93860.0,963.409,,,0.4
1997-08-31,3.4,127675.0,685.27,,,0.3
1997-09-30,3.17,109530.0,638.9135,,,0.3
1997-10-31,3.08,92210.0,644.96,,,0.3
1997-11-30,3.05,58845.0,614.7275,,,0.3
1997-12-31,2.86,356130.0,576.433,,,0.3
1998-01-31,2.84,106190.0,572.402,,,0.3
1998-02-28,3.01,69040.0,606.6655,,,0.3
1998-03-31,3.5,200790.0,705.425,,,0.3
1998-04-30,3.36,298285.0,677.208,,,0.3
1998-05-31,4.55,1561540.0,917.0525,,,0.3
1998-06-30,3.7,185590.0,745.735,,,0.3
1998-07-31,4.06,177485.0,818.293,,,0.3
1998-08-31,4.7,214705.0,947.285,,,0.36
1998-09-30,3.86,268425.0,777.983,,,0.36
1998-10-31,3.85,104520.0,775.9675,,,0.36
1998-11-30,4.22,263825.0,850.541,,,0.36
1998-12-31,4.5,159870.0,906.975,,,0.36
1999-01-31,5.45,544930.0,1098.4475,,,0.36
1999-02-28,4.64,159790.0,935.192,,,0.36
1999-03-31,4.32,280930.0,870.696,,,0.36
1999-04-30,3.94,145435.0,794.107,,,0.36
1999-05-31,3.9,361850.0,786.045,,,0.36
1999-06-30,3.89,205415.0,784.0295,,,0.36
1999-07-31,3.85,741775.0,775.9675,,,0.36
1999-08-31,5.32,1908330.0,1072.246,,,0.36
1999-09-30,4.6,234270.0,927.13,,,0.36
