GILL IN Equity,price,volume,mc,pe,bm,div
1995-01-31,220.0,,2574.4399,,7.3479,0.0
1995-02-28,208.75,,2442.7924,,6.9722,0.0
1995-03-31,225.0,,2632.9499,56.9044,5.9964,0.0
1995-04-30,215.0,,2515.9299,54.3753,5.7298,0.0
1995-05-31,221.0,,2843.6069,55.8928,5.8898,0.0
1995-06-30,215.0,,2766.4049,54.3753,5.7298,0.0
1995-07-31,210.0,,2702.0699,53.1108,5.5966,0.0
1995-08-31,230.0,,2959.4099,58.1689,6.1296,0.0
1995-09-30,225.0,,2895.0749,56.9044,5.9964,0.0
1995-10-31,213.0,,2740.6709,53.8695,5.6765,0.0
1995-11-30,165.0,,2123.0549,41.7299,4.3973,0.0
1995-12-31,194.0,,2496.1979,49.0642,5.1702,0.0
1996-01-31,190.0,,2444.7299,48.0526,5.0636,0.0
1996-02-29,197.5,,2541.2324,49.9494,5.2635,0.0
1996-03-31,195.0,,2509.0649,57.6923,5.0166,0.0
1996-04-30,270.0,,3474.0899,79.8817,6.9461,0.0
1996-05-31,275.0,12900.0,3538.4249,81.3609,7.0747,0.0
1996-06-30,278.5,67900.0,3583.4594,82.3964,7.1648,0.0
1996-07-31,263.0,49300.0,3384.0209,77.8106,6.766,0.0
1996-08-31,301.0,20705.0,3872.9669,89.0533,7.7436,1.5
1996-09-30,316.0,64078.0,4065.9719,93.4911,8.1295,1.5
1996-10-31,355.5,49653.0,4574.2184,105.1775,9.1457,1.5
1996-11-30,345.0,13058.0,4439.1149,102.071,8.8756,1.5
1996-12-31,390.0,15830.0,5018.1299,115.3846,10.0332,1.5
1997-01-31,419.0,64685.0,5391.2728,123.9645,10.7793,1.5
1997-02-28,405.0,8641.0,5211.1348,119.8225,10.4191,1.5
1997-03-31,400.0,82807.0,5146.7999,85.6531,9.7679,1.5
1997-04-30,451.0,10406.0,5803.0168,96.5739,11.0133,1.5
1997-05-31,500.0,43048.0,6433.4998,107.0664,12.2098,1.5
1997-06-30,548.0,41213.0,7051.1158,117.3448,13.382,1.5
1997-07-31,625.0,120592.0,8041.8748,133.833,15.2623,1.5
1997-08-31,542.25,37268.0,6977.1305,116.1135,13.2415,1.75
1997-09-30,546.0,143932.0,7025.3818,116.9165,13.3331,1.75
1997-10-31,586.0,48791.0,7540.0618,125.4818,14.3099,1.75
1997-11-30,552.0,33710.0,7102.5838,118.2013,13.4796,1.75
1997-12-31,576.0,30425.0,7411.3918,123.3405,14.0657,1.75
1998-01-31,540.0,11138.0,6948.1798,115.6317,13.1866,1.75
1998-02-28,608.25,25403.0,7826.3525,130.2463,14.8532,1.75
1998-03-31,740.0,77323.0,9521.5797,158.4582,18.0705,1.75
1998-04-30,850.0,106260.0,10936.9497,182.0128,20.7567,1.75
1998-05-31,781.0,152067.0,10049.1267,167.2377,19.0717,1.75
1998-06-30,804.5,49494.0,10351.5012,172.2698,19.6456,1.75
1998-07-31,837.75,38931.0,10779.3289,179.3897,20.4576,2.2
1998-08-31,811.0,29346.0,10435.1367,173.6617,19.8043,2.2
1998-09-30,848.0,60887.0,10911.2157,181.5846,20.7079,2.2
1998-10-31,815.0,15467.0,10486.6047,174.5182,19.902,2.2
1998-11-30,780.0,12446.0,10036.2597,167.0236,19.0473,2.2
1998-12-31,897.0,26827.0,11541.6987,44.4588,16.2404,2.2
1999-01-31,905.25,41341.0,11647.8514,44.8677,16.3898,2.2
1999-02-28,1342.5,86183.0,17273.947,66.5395,24.3063,2.2
1999-03-31,1677.75,124477.0,21587.6086,83.1557,30.376,2.2
1999-04-30,1238.75,99691.0,15938.9958,61.3972,22.4278,2.2
1999-05-31,1380.0,37507.0,17756.4595,68.3981,24.9852,2.2
1999-06-30,1487.8,38549.0,19143.5228,73.7411,26.9369,2.2
1999-07-31,1551.3,51613.0,19960.5773,76.8884,28.0866,2.2
1999-08-31,1545.0,45414.0,19879.5144,76.5761,27.9726,2.2
1999-09-30,1342.0,63610.0,17267.5135,66.5147,24.2972,2.2
1999-10-31,1269.4,91919.0,16333.3693,62.9163,22.9828,2.2
1999-11-30,1350.0,66134.0,17370.4495,66.9112,24.442,2.2
1999-12-31,1679.7,106140.0,21612.6985,111.2605,25.0695,2.2
2000-01-31,2108.0,135268.0,27123.6352,139.6304,31.4619,2.2
2000-02-29,1830.0,168153.0,23546.0613,121.2161,27.3127,2.2
2000-03-31,1876.0,229489.0,24137.9295,124.2631,27.9993,3.0
2000-04-30,1301.0,38930.0,16739.5769,86.1761,19.4174,3.0
2000-05-31,1181.25,84207.0,15199.1433,78.244,17.6301,3.0
2000-06-30,1020.0,85725.0,13124.3396,67.5631,15.2235,3.0
2000-07-31,808.2,228529.0,10399.1091,53.5338,12.0624,3.0
2000-08-31,758.95,78882.0,9765.4094,50.2716,11.3273,3.0
2000-09-30,749.75,235601.0,9647.033,49.6622,11.19,3.0
2000-10-31,673.65,75306.0,8667.8543,44.6214,10.0542,3.0
2000-11-30,714.85,66128.0,9197.9747,47.3505,10.6691,3.0
2000-12-31,691.7,115898.0,8900.1036,77.9117,9.5094,3.0
2001-01-31,655.25,79289.0,21351.4531,73.806,9.0083,3.0
2001-02-28,564.8,144447.0,18404.1217,63.6179,7.7648,3.0
2001-03-31,373.1,205686.0,12157.5386,42.0252,5.1294,3.0
2001-04-30,346.8,166928.0,11300.5478,39.0629,4.7678,3.0
2001-05-31,480.5,240836.0,15657.1892,54.1226,6.6059,0.0
2001-06-30,349.45,137884.0,11386.8986,39.3613,4.8042,1.5
2001-07-31,321.55,19840.0,10477.7715,36.2187,4.4206,1.5
2001-08-31,299.55,24256.0,9760.897,33.7407,4.1182,1.5
2001-09-30,271.05,47329.0,8832.2188,30.5305,3.7264,1.5
2001-10-31,258.5,19169.0,8423.2745,29.1169,3.5538,1.5
2001-11-30,296.0,27985.0,9645.2196,33.3408,4.0694,1.5
2001-12-31,259.3,30616.0,8449.3427,25.7191,3.0605,1.5
2002-01-31,286.7,92982.0,9342.1772,28.4368,3.3839,1.5
2002-02-28,370.25,225084.0,12064.6708,36.7239,4.3701,1.5
2002-03-31,354.75,74414.0,11559.6001,35.1865,4.1871,1.5
2002-04-30,373.45,72256.0,12168.9434,37.0413,4.4079,1.5
2002-05-31,328.5,54675.0,10704.2386,32.5828,3.8773,2.25
2002-06-30,352.85,19417.0,11497.6883,34.998,4.1647,2.25
2002-07-31,310.0,13375.0,10101.4124,30.7479,3.659,2.25
2002-08-31,321.0,10930.0,10459.8496,31.8389,3.7888,2.25
2002-09-30,307.45,11744.0,10018.3201,30.4949,3.6289,2.25
2002-10-31,302.85,13728.0,9868.4282,30.0387,3.5746,2.25
