JSTL IN Equity,price,volume,mc,pe,bm,div
1999-06-30,8.11,185938.0,4171.25,,,0.0
1999-07-31,8.91,518919.0,4582.5,,,0.0
1999-08-31,17.26,1589088.0,8871.25,,,0.0
1999-09-30,15.2,549675.0,7813.75,,,0.0
1999-10-31,16.69,1016269.0,8577.5,,,0.0
1999-11-30,14.4,513363.0,7402.5,,,0.0
1999-12-31,15.2,530906.0,7813.75,,,0.0
2000-01-31,12.34,508944.0,6345.0,,,0.0
2000-02-29,12.34,422756.0,6345.0,,,0.0
2000-03-31,10.4,460294.0,5346.25,,,0.0
2000-04-30,11.09,257075.0,5698.75,,,0.0
2000-05-31,9.26,294831.0,4758.75,,,0.0
2000-06-30,11.54,242779.0,5933.75,,,0.0
2000-07-31,16.23,265461.0,8342.5,,,0.0
2000-08-31,15.54,267203.0,7990.0,,,0.0
2000-09-30,12.57,164773.0,6462.5,,,0.0
2000-10-31,14.17,124994.0,7285.0,,,0.0
2000-11-30,13.26,166330.0,6815.0,,,0.0
2000-12-31,12.23,281999.0,6286.25,,,0.0
2001-01-31,13.49,1543866.0,6932.5,,,0.0
2001-02-28,14.06,957635.0,7226.25,,,0.0
2001-03-31,10.86,255462.0,4598.1044,,,0.0
2001-04-30,9.83,281269.0,4162.4945,,,0.0
2001-05-31,8.8,656549.0,3726.8846,,,0.0
2001-06-30,7.89,625942.0,3339.6758,,,0.0
2001-07-31,6.63,287847.0,2807.2637,,,0.0
2001-08-31,6.63,126536.0,2807.2637,,,0.0
2001-09-30,5.03,197343.0,2129.6483,,,0.0
2001-10-31,5.14,235914.0,2178.0494,,,0.0
2001-11-30,5.14,900094.0,2178.0494,,,0.0
2001-12-31,4.91,490377.0,2081.2472,,,0.0
2002-01-31,4.8,903863.0,2032.8461,,,0.0
2002-02-28,5.14,1726532.0,2178.207,,,0.0
2002-03-31,4.57,2608101.0,1936.184,,,0.0
2002-04-30,5.26,2240901.0,2226.6116,,,0.0
2002-05-31,7.89,3915300.0,3339.9173,,,0.0
2002-06-30,13.26,17500319.0,5614.9915,,,0.0
2002-07-31,9.14,18945455.0,3872.408,,,0.0
2002-08-31,8.46,2848959.0,3581.9774,,,0.0
2002-09-30,7.09,2124049.0,3001.1254,,,0.0
2002-10-31,8.69,2507077.0,3678.8179,,,0.0
2002-11-30,10.74,3404863.0,4550.1169,,,0.0
2002-12-31,12.46,11363229.0,5276.1994,,,0.0
2003-01-31,12.11,16510304.0,5130.9829,,,0.0
2003-02-28,11.54,6118908.0,4888.9554,,,0.0
2003-03-31,8.91,7076124.0,3775.6289,,,0.0
2003-04-30,9.6,3887337.0,4066.0619,,,0.0
2003-05-31,15.66,14154113.0,8845.0416,,,0.0
2003-06-30,21.28,17146629.0,12021.5091,,,0.0
2003-07-31,25.53,25204066.0,14420.4482,,,0.0
2003-08-31,38.17,53819875.0,21559.6674,,,0.0
2003-09-30,32.8,38802021.0,18525.822,,,0.0
2003-10-31,30.61,51045296.0,17286.4638,,,0.0
2003-11-30,26.38,21922667.0,14898.1175,,,0.0
2003-12-31,30.03,14384764.0,16963.7143,,,0.0
2004-01-31,26.31,13778762.0,14859.3875,,,0.0
2004-02-29,22.7,4861786.0,12819.6106,,,0.0
2004-03-31,18.74,6228622.0,10586.184,,,0.0
2004-04-30,20.87,4574075.0,11786.8122,,,0.0
2004-05-31,17.87,4048806.0,10095.6047,,,0.0
2004-06-30,20.21,2737791.0,11412.4227,,,0.0
2004-07-31,25.71,19010366.0,14523.728,,,0.0
2004-08-31,24.64,12480017.0,13920.7633,,,0.0
2004-09-30,26.7,13256307.0,15082.9791,,,0.0
2004-10-31,26.83,8404225.0,15160.4602,,,0.0
2004-11-30,30.33,15946801.0,17136.2271,,,0.0
2004-12-31,38.7,34618612.0,21862.5716,,,0.0
2005-01-31,37.03,90267128.0,20919.8854,,,0.0
2005-02-28,40.91,249998108.0,52795.3857,,,0.3
2005-03-31,36.25,201396780.0,46776.6712,,,0.3
2005-04-30,31.57,94315110.0,40731.1897,,,0.8
2005-05-31,31.48,78819180.0,40615.0545,,,0.8
2005-06-30,25.09,100416960.0,32375.9084,,,0.8
2005-07-31,27.17,92180160.0,35059.9216,,,0.8
2005-08-31,27.48,87657470.0,35460.056,,,0.8
2005-09-30,29.0,109499320.0,37421.4565,,,0.8
2005-10-31,20.97,45876860.0,27059.5842,,,0.8
2005-11-30,20.71,39852990.0,26717.6295,,,0.8
2005-12-31,22.95,131189010.0,29608.1144,,,0.8
2006-01-31,19.61,62818990.0,28825.7009,,,0.8
2006-02-28,20.51,57259190.0,32195.6551,,,0.8
2006-03-31,30.29,237727260.0,47540.1532,,,0.8
2006-04-30,34.88,176875320.0,54753.2281,,,0.5
2006-05-31,29.03,105432750.0,45570.1056,,,0.5
2006-06-30,27.53,61252970.0,43207.6182,,,0.8
2006-07-31,23.92,42324770.0,37548.6368,,,0.8
2006-08-31,27.56,45845970.0,43255.287,,,0.8
2006-09-30,28.54,42225730.0,44801.5203,,,0.8
2006-10-31,33.96,162172940.0,53301.8788,,,0.8
2006-11-30,32.69,70079620.0,51316.2718,,,0.8
2006-12-31,38.67,82106000.0,60703.5861,,,0.8
2007-01-31,45.84,142913070.0,71958.9446,,,0.8
2007-02-28,46.78,190202000.0,73434.6353,,,0.8
2007-03-31,49.3,201513260.0,77390.4985,6.074,1.5027,1.25
2007-04-30,58.22,183659470.0,91392.9984,7.173,1.7746,1.25
2007-05-31,60.51,144004210.0,94980.3217,7.4545,1.8442,1.25
2007-06-30,61.15,88515720.0,96000.6871,7.5346,1.864,1.25
2007-07-31,73.82,158675610.0,115874.2657,9.0944,2.2499,1.25
2007-08-31,64.33,171804000.0,105479.6808,7.9252,1.9607,1.25
2007-09-30,85.3,153301070.0,139865.8914,10.5088,2.5998,1.25
2007-10-31,95.84,221767330.0,157157.4773,11.808,2.9213,1.25
2007-11-30,101.01,164963840.0,165626.9929,12.4444,3.0787,1.25
2007-12-31,131.95,206109710.0,216370.2957,16.2569,4.0219,1.25
2008-01-31,96.96,181117520.0,159025.7875,11.9454,2.9552,1.25
2008-02-29,105.96,167319890.0,173796.2271,13.0548,3.2297,1.25
2008-03-31,81.93,141522700.0,134382.0771,9.0452,2.0165,1.25
2008-04-30,87.53,205245900.0,163720.7638,9.6629,2.1542,1.25
2008-05-31,117.64,273536710.0,220043.3253,12.9871,2.8952,1.4
2008-06-30,90.06,239390460.0,168462.6334,9.9428,2.2166,1.4
2008-07-31,73.66,258120170.0,137794.8022,8.1328,1.813,1.4
2008-08-31,76.4,161931510.0,142910.7838,8.4347,1.8804,1.4
2008-09-30,48.26,194879470.0,90273.2255,5.328,1.1878,1.4
2008-10-31,30.7,330781140.0,57424.0418,3.3893,0.7556,1.4
2008-11-30,18.82,242674210.0,35193.2686,2.0772,0.4631,1.4
2008-12-31,22.92,273568610.0,42862.2774,2.5299,0.564,1.4
2009-01-31,21.11,229469260.0,39486.043,2.3306,0.5196,1.4
2009-02-28,18.82,184339760.0,35202.621,2.0778,0.4632,1.4
2009-03-31,23.29,373906120.0,43554.3587,17.7108,0.5581,1.4
2009-04-30,34.25,965333850.0,64064.2811,26.0508,0.8209,1.4
2009-05-31,55.32,1214810580.0,103466.1521,42.073,1.3258,1.4
2009-06-30,61.5,1019903920.0,115035.1325,46.7774,1.4741,0.1
2009-07-31,69.78,965125100.0,130513.4369,53.0714,1.6724,0.1
2009-08-31,68.91,625920290.0,128904.8156,52.4173,1.6518,0.1
2009-09-30,83.26,408386310.0,155736.994,63.3282,1.9956,0.1
2009-10-31,75.55,462852380.0,141315.5165,57.4639,1.8108,0.1
2009-11-30,99.32,959456610.0,185767.7103,75.5398,2.3804,0.1
2009-12-31,101.32,510171970.0,189518.0427,77.0648,2.4285,0.1
2010-01-31,98.55,398247440.0,184336.7855,74.9579,2.3621,0.1
2010-02-28,107.04,454461850.0,200207.8928,81.4117,2.5655,0.1
2010-03-31,123.48,395753250.0,230968.1119,14.7686,2.5726,0.1
2010-04-30,122.76,308794250.0,229621.3475,14.6825,2.5576,0.1
2010-05-31,110.81,628417050.0,207259.6517,13.2526,2.3085,0.1
2010-06-30,106.14,484016120.0,198543.1451,12.6953,2.2114,0.95
2010-07-31,111.73,451566310.0,208989.8549,13.3632,2.3278,0.95
2010-08-31,113.13,238770530.0,211599.1767,13.5301,2.3568,0.95
2010-09-30,133.34,287446120.0,249420.472,15.9485,2.7781,0.95
2010-10-31,134.19,298527040.0,293958.827,16.0501,2.7958,0.95
2010-11-30,112.79,110310660.0,247070.4396,13.49,2.3498,0.95
2010-12-31,117.71,253682030.0,262620.1175,14.0779,2.4522,0.95
2011-01-31,90.55,439298460.0,202032.6271,10.83,1.8865,0.95
2011-02-28,87.03,504613660.0,194178.9016,10.409,1.8132,0.95
2011-03-31,91.63,480556800.0,204442.2929,11.2991,1.2581,0.95
2011-04-30,94.82,225255790.0,211548.5758,11.6918,1.3018,0.95
2011-05-31,97.63,265782440.0,217818.1692,12.0384,1.3404,0.95
2011-06-30,88.34,177212720.0,197090.5811,10.8928,1.2128,0.95
2011-07-31,77.29,261375300.0,172447.286,9.5308,1.0612,1.225
2011-08-31,67.82,800262370.0,151318.0869,8.363,0.9312,1.225
2011-09-30,59.2,586481220.0,132085.384,7.3001,0.8128,1.225
2011-10-31,65.35,440069130.0,145807.092,8.0585,0.8973,1.225
2011-11-30,59.32,568644480.0,132341.9688,7.3143,0.8144,1.225
2011-12-31,50.72,589905090.0,113165.0452,6.2544,0.6964,1.225
2012-01-31,69.95,856231400.0,156070.4833,8.6257,0.9604,1.225
2012-02-29,80.86,596964350.0,180412.5702,9.971,1.1102,1.225
2012-03-31,72.15,627130580.0,160967.9059,11.129,0.9773,1.225
2012-04-30,69.33,434744030.0,154687.1567,10.6948,0.9392,1.225
2012-05-31,62.87,683867950.0,140273.7854,9.6983,0.8517,1.225
2012-06-30,67.97,451818760.0,151652.7627,10.485,0.9208,1.225
2012-07-31,66.81,410617590.0,149064.6032,10.306,0.905,0.75
2012-08-31,69.37,344171720.0,154776.4036,10.701,0.9397,0.75
2012-09-30,75.7,368716520.0,168888.5666,11.6766,1.0254,0.75
2012-10-31,73.85,265931560.0,164772.0542,11.392,1.0004,0.75
2012-11-30,74.29,159481180.0,165742.6141,11.4591,1.0063,0.75
2012-12-31,81.21,216166470.0,181193.4804,12.5274,1.1001,0.75
2013-01-31,88.25,280785420.0,196900.9314,13.6134,1.1955,0.75
2013-02-28,73.93,168347820.0,164939.3921,11.4036,1.0014,0.75
2013-03-31,67.24,235505610.0,150012.8513,12.9262,0.8791,0.75
2013-04-30,70.28,297653080.0,156795.6142,13.5107,0.9188,0.75
2013-05-31,68.4,239934230.0,152612.1667,13.1502,0.8943,0.75
2013-06-30,65.83,225508180.0,146878.0646,12.6561,0.8607,0.75
2013-07-31,56.59,288228490.0,136790.5058,10.8797,0.7399,1.0
2013-08-31,54.15,354439330.0,130880.4018,10.4096,0.7079,1.0
2013-09-30,72.97,310842630.0,176372.4908,14.0279,0.954,1.0
2013-10-31,86.15,259376510.0,208231.4564,16.5618,1.1263,1.0
2013-11-30,91.85,172381890.0,222033.7853,17.6595,1.201,1.0
2013-12-31,101.72,149756770.0,245879.6651,19.5561,1.33,1.0
2014-01-31,91.74,172148150.0,221743.7188,17.6365,1.1994,1.0
2014-02-28,87.6,153333090.0,211736.4261,16.8405,1.1453,1.0
2014-03-31,103.61,179092820.0,250436.1408,61.0061,1.1828,1.0
2014-04-30,108.31,137535600.0,261797.0769,63.7736,1.2364,1.0
2014-05-31,121.14,135311690.0,292822.0864,71.3313,1.3829,1.0
2014-06-30,123.68,136723880.0,298961.8415,72.8269,1.4119,1.0
2014-07-31,118.04,133848600.0,285316.6169,69.503,1.3475,1.1
2014-08-31,124.36,134868260.0,300605.5363,73.2273,1.4197,1.1
2014-09-30,115.61,132626780.0,279442.7863,68.0721,1.3198,1.1
2014-10-31,126.28,121392690.0,305234.5135,74.355,1.4416,1.1
2014-11-30,120.09,100340840.0,290284.0049,70.713,1.371,1.1
2014-12-31,104.78,107791380.0,253264.2736,61.695,1.1961,1.1
2015-01-31,97.75,117999340.0,236271.2138,57.5555,1.1159,1.1
2015-02-28,101.09,135632740.0,244344.6838,59.5222,1.154,1.1
2015-03-31,90.66,149518810.0,219133.1207,10.1147,0.9831,1.1
2015-04-30,93.22,156003530.0,225333.2912,10.4009,1.0109,1.1
2015-05-31,91.63,165295740.0,221489.9107,10.2235,0.9937,1.1
2015-06-30,87.23,148373200.0,210842.0545,9.732,0.9459,1.1
2015-07-31,83.15,153889590.0,200979.7951,9.2768,0.9017,1.1
2015-08-31,92.01,236406970.0,222396.3683,10.2653,0.9978,1.1
2015-09-30,88.93,201211760.0,214951.3293,9.9217,0.9644,1.1
2015-10-31,91.04,202185600.0,220051.6645,10.1571,0.9872,1.1
2015-11-30,90.22,118619610.0,218081.6298,10.0662,0.9784,1.1
2015-12-31,103.22,239213760.0,249505.4807,11.5166,1.1194,1.1
2016-01-31,105.71,206949480.0,255512.3037,11.7939,1.1463,1.1
2016-02-29,112.64,266295480.0,272287.7835,12.5682,1.2216,1.1
2016-03-31,128.32,173732300.0,310189.8154,14.1888,1.623,1.1
2016-04-30,137.32,137055950.0,331932.6983,,1.7368,1.1
2016-05-31,138.92,148923910.0,335788.1801,,1.757,1.1
2016-06-30,146.44,141115710.0,353965.6779,,1.8521,1.1
2016-07-31,167.52,170744560.0,404932.7562,,2.1188,0.75
2016-08-31,175.31,126448380.0,423762.9187,,2.2173,0.75
2016-09-30,172.94,126769260.0,418022.0201,,2.1873,0.75
2016-10-31,165.79,149794870.0,400763.0509,,2.097,0.75
2016-11-30,172.9,138895950.0,417937.4174,,2.1868,0.75
2016-12-31,162.75,114885630.0,393402.6297,,2.0584,0.75
2017-01-31,198.15,134746491.0,478972.2339,,2.5062,0.75
2017-02-28,186.95,86166246.0,451899.3648,,2.3645,0.75
2017-03-31,188.2,140508093.0,454920.8904,12.8377,1.9969,0.75
2017-04-30,199.0,123062955.0,481026.8713,13.5744,2.1115,0.75
2017-05-31,193.85,174844951.0,468578.186,13.2231,2.0569,0.75
2017-06-30,203.4,122309783.0,491662.6414,13.8745,2.1582,2.25
2017-07-31,221.25,99907342.0,534810.0266,15.0921,2.3476,2.25
2017-08-31,254.4,105396120.0,614940.8848,17.3533,2.6993,2.25
2017-09-30,248.45,101555448.0,600558.423,16.9475,2.6362,2.25
2017-10-31,258.45,74442169.0,624730.6276,17.6296,2.7423,2.25
2017-11-30,254.85,61094064.0,616028.6465,17.384,2.7041,2.25
2017-12-31,269.8,54240107.0,652166.0931,18.4038,2.8627,2.25
2018-01-31,289.95,101519543.0,700873.0863,19.7783,3.0765,2.25
2018-02-28,312.2,139152070.0,754655.9997,21.296,3.3126,2.25
2018-03-31,288.15,114166376.0,696521.8652,11.147,2.4764,2.25
2018-04-30,325.0,88572271.0,785596.4122,12.5725,2.7931,2.25
2018-05-31,331.9,99847788.0,802275.2284,12.8395,2.8524,2.25
2018-06-30,326.8,75116304.0,789947.4078,12.6422,2.8086,2.25
2018-07-31,330.4,107261235.0,798649.3988,12.7814,2.8396,3.2
2018-08-31,396.35,170266030.0,958065.04,15.3327,3.4064,3.2
2018-09-30,381.65,155865423.0,922531.91,14.764,3.28,3.2
2018-10-31,339.4,125665203.0,820404.3764,13.1296,2.9169,3.2
2018-11-30,314.25,94108848.0,759611.3002,12.1567,2.7008,3.2
2018-12-31,306.75,117161607.0,741482.1522,11.8665,2.6363,3.2
2019-01-31,274.6,125039373.0,663768.5379,10.6228,2.36,3.2
2019-02-28,281.1,169306689.0,679480.4661,10.8743,2.4159,3.2
2019-03-31,293.05,163950577.0,708366.2419,9.2241,2.0228,3.2
2019-04-30,308.35,115499058.0,745349.7037,9.7057,2.1284,3.2
2019-05-31,271.7,156191364.0,656758.6006,8.5521,1.8754,3.2
2019-06-30,276.6,120376080.0,668602.9773,8.7063,1.9092,3.2
2019-07-31,237.45,128410328.0,573968.8249,7.474,1.639,4.1
2019-08-31,217.45,175313668.0,525624.4303,6.8445,1.5009,4.1
2019-09-30,229.95,189741075.0,555839.6769,7.238,1.5872,4.1
2019-10-31,228.0,174960086.0,551126.0984,7.1766,1.5738,4.1
2019-11-30,261.55,167098736.0,632223.8204,8.2326,1.8053,4.1
2019-12-31,270.05,187071179.0,652770.1881,8.5002,1.864,4.1
2020-01-31,250.7,164687464.0,605996.9863,7.8911,1.7304,4.1
2020-02-29,235.7,158948373.0,569738.6904,7.4189,1.6269,4.1
2020-03-31,146.25,254940344.0,353518.4894,8.7157,0.96,4.1
2020-04-30,180.65,223898219.0,436670.8725,10.7658,1.1858,4.1
2020-05-31,184.2,239994766.0,445252.005,10.9774,1.2091,4.1
2020-06-30,189.35,301197682.0,457700.6903,11.2843,1.2429,4.1
2020-07-31,220.25,248938787.0,532392.8019,13.1257,1.4457,2.0
2020-08-31,269.8,228490986.0,652166.0747,16.0787,1.7709,2.0
2020-09-30,277.75,198154050.0,671382.9772,16.5524,1.8231,2.0
2020-10-31,309.0,218044537.0,746921.137,18.4148,2.0282,2.0
2020-11-30,350.2,140974072.0,846510.6219,20.8701,2.2987,2.0
2020-12-31,387.2,156256387.0,935947.7807,23.0751,2.5415,2.0
2021-01-31,366.85,162752509.0,886757.3434,21.8623,2.408,2.0
2021-02-28,395.45,158814530.0,955889.8499,23.5667,2.5957,2.0
2021-03-31,468.45,188867765.0,1132346.947,14.2343,2.4709,2.0
2021-04-30,717.85,562362461.0,1735201.742,21.8125,3.7864,2.0
2021-05-31,710.9,322498302.0,1718402.059,21.6013,3.7497,2.0
2021-06-30,683.9,188799306.0,1653137.105,20.7809,3.6073,2.0
2021-07-31,736.95,171561842.0,1781370.603,22.3929,3.8872,6.5
2021-08-31,687.6,161716862.0,1662080.775,20.8933,3.6268,6.5
2021-09-30,668.3,121690631.0,1615428.42,20.3069,3.525,6.5
2021-10-31,669.15,100341050.0,1617483.057,20.3327,3.5295,6.5
2021-11-30,608.4,83875896.0,1470636.916,18.4868,3.2091,6.5
2021-12-31,655.95,113317775.0,1585575.748,19.9316,3.4599,6.5
2022-01-31,628.95,90299084.0,1520310.796,19.1112,3.3175,6.5
2022-02-28,627.45,73227600.0,1516684.965,19.0656,3.3096,6.5
2022-03-31,732.65,145251829.0,1770976.555,8.5232,2.6134,6.5
2022-04-30,727.15,98439967.0,1757681.843,8.4592,2.5938,6.5
2022-05-31,551.25,144247468.0,1332492.768,6.4129,1.9663,6.5
2022-06-30,564.5,120926431.0,1364520.938,6.567,2.0136,6.5
2022-07-31,629.6,93686645.0,1521881.989,7.3243,2.2458,17.35
2022-08-31,666.9,57343222.0,1612044.311,7.7583,2.3789,17.35
2022-09-30,631.65,58892142.0,1526837.291,7.3482,2.2531,17.35
2022-10-31,673.95,47548126.0,1629085.716,7.8403,2.404,17.35
2022-11-30,743.4,47352374.0,1796961.675,8.6482,2.6517,17.35
2022-12-31,768.05,38580150.0,1856546.159,8.935,2.7397,17.35
2023-01-31,716.45,51515619.0,1731817.584,8.3347,2.5556,17.35
2023-02-28,667.2,32590487.0,1612769.478,7.7617,2.3799,17.35
2023-03-31,688.1,39880590.0,1663289.385,39.8899,2.5184,17.35
2023-04-30,725.3,23935338.0,1753209.985,42.0464,2.6545,17.35
2023-05-31,696.3,50342976.0,1683110.592,40.3652,2.5484,17.35
2023-06-30,784.8,68761927.0,1897034.601,45.4957,2.8723,17.35
2023-07-31,816.75,93753179.0,1974264.794,47.3478,2.9892,3.4
2023-08-31,779.65,46036365.0,1884585.916,45.1971,2.8534,3.4
2023-09-30,779.6,51148788.0,1906475.912,45.1942,2.8532,3.4
2023-10-31,736.35,33684447.0,1800710.028,42.687,2.695,3.4
2023-11-30,801.1,38395548.0,1959053.172,46.4406,2.9319,3.4
2023-12-31,880.25,54176925.0,2152610.854,51.029,3.2216,3.4
2024-01-31,818.65,42672172.0,2001970.889,47.458,2.9962,3.4
2024-02-29,800.1,45860944.0,1956607.718,46.3826,2.9283,3.4
2024-03-31,830.2,58548113.0,2030215.883,22.8453,2.6044,3.4
2024-04-30,882.2,59676948.0,2157379.489,24.2763,2.7675,3.4
2024-05-31,880.55,64098580.0,2153344.49,24.2309,2.7623,3.4
2024-06-30,931.5,51878403.0,2277940.369,25.6329,2.9221,3.4
2024-07-31,928.25,40942205.0,2269992.644,25.5435,2.912,7.3
2024-08-31,941.1,50357372.0,2301416.727,25.8971,2.9523,7.3
2024-09-30,1030.05,51467347.0,2518939.858,28.3448,3.2313,7.3
2024-10-31,963.65,45454867.0,2356561.714,26.5176,3.023,7.3
2024-11-30,966.0,37738793.0,2362308.531,26.5823,3.0304,7.3
2024-12-31,901.5,66396885.0,2204576.75,24.8074,2.828,7.3
2025-01-31,945.0,39080685.0,2310953.998,26.0044,2.9645,7.3
2025-02-28,950.7,38543657.0,2324893.086,26.1613,2.9824,7.3
2025-03-31,1063.2,34406967.0,2600006.657,74.039,3.264,7.3
2025-04-30,1029.8,38142345.0,2518328.494,71.7131,3.1614,7.3
2025-05-31,993.5,46929323.0,2429558.515,69.1852,3.05,7.3
2025-06-30,1020.5,43703629.0,2495585.772,71.0655,3.1329,7.3
2025-07-31,1048.3,36776576.0,2563569.393,73.0014,3.2182,2.8
2025-08-31,1026.6,33069866.0,2510503.042,71.4903,3.1516,2.8
2025-09-30,1142.7,35838451.0,2794420.247,79.5752,3.508,2.8
2025-10-31,1206.0,33028988.0,2949217.483,83.9833,3.7023,2.8
2025-11-30,1160.3,25992644.0,2837460.237,80.8008,3.5621,2.8
2025-12-31,1164.8,46304497.0,2848464.78,81.1142,3.5759,2.8
2026-01-31,1214.4,36416323.0,2969759.296,84.5682,3.7281,2.8
2026-02-28,1264.7,26901052.0,3092765.631,88.071,3.8826,2.8
2026-03-31,1247.4,5188843.0,3050459.337,86.8663,3.8294,2.8
