JSTL IN Equity,price,volume,mc,pe,bm,div
1995-05-31,33.37,,,,,0.0
1995-06-30,28.57,,,,,0.0
1995-07-31,29.03,,,,,0.0
1995-08-31,26.97,,,,,0.0
1995-09-30,26.29,,,,,0.0
1995-10-31,24.57,,,,,0.0
1995-11-30,22.29,,,,,0.0
1995-12-31,20.8,,,,,0.0
1996-01-31,18.51,,,,,0.0
1996-02-29,19.66,,,,,0.0
1996-03-31,19.43,,,,,0.0
1996-04-30,19.66,,,,,0.0
1996-05-31,16.91,77131.0,,,,0.0
1996-06-30,17.26,179856.0,,,,0.0
1996-07-31,15.89,165200.0,,,,0.0
1996-08-31,14.17,126788.0,,,,0.0
1996-09-30,12.34,141138.0,,,,0.0
1996-10-31,13.26,148838.0,,,,0.0
1996-11-30,10.29,1044750.0,,,,0.0
1996-12-31,13.49,108850.0,,,,0.0
1997-01-31,13.71,321694.0,,,,0.0
1997-02-28,15.43,156450.0,,,,0.0
1997-03-31,12.0,269719.0,,,,0.0
1997-04-30,11.43,156056.0,,,,0.0
1997-05-31,11.77,199238.0,,,,0.0
1997-06-30,10.74,133569.0,,,,0.0
1997-07-31,15.77,128931.0,,,,0.0
1997-08-31,16.46,273394.0,,,,0.0
1997-09-30,13.26,122369.0,,,,0.0
1997-10-31,12.57,98219.0,,,,0.0
1997-11-30,11.66,61819.0,,,,0.0
1997-12-31,11.2,73500.0,,,,0.0
1998-01-31,10.51,85444.0,,,,0.0
1998-02-28,10.51,84044.0,,,,0.0
1998-03-31,10.97,171063.0,,,,0.0
1998-04-30,12.69,226275.0,,,,0.0
1998-05-31,13.49,105569.0,,,,0.0
1998-06-30,11.43,101369.0,5875.0,,,0.0
1998-07-31,10.51,56044.0,5405.0,,,0.0
1998-08-31,9.26,56394.0,4758.75,,,0.0
1998-09-30,9.26,88988.0,4758.75,,,0.0
1998-10-31,8.11,164544.0,4171.25,,,0.0
1998-11-30,7.77,100844.0,3995.0,,,0.0
1998-12-31,7.09,64313.0,3642.5,,,0.0
1999-01-31,8.23,89425.0,4230.0,,,0.0
1999-02-28,8.11,194469.0,4171.25,,,0.0
1999-03-31,7.89,252219.0,4053.75,,,0.0
1999-04-30,6.4,53331.0,3290.0,,,0.0
1999-05-31,6.63,75731.0,3407.5,,,0.0
