TTAN IN Equity,price,volume,mc,pe,bm,div
1995-01-31,7.66,,6552.7802,,,0.0
1995-02-28,7.66,,6552.7802,,,0.0
1995-03-31,7.04,,6024.3301,,,0.0
1995-04-30,6.3,,5390.1901,,,0.0
1995-05-31,6.47,,5538.1561,,,0.0
1995-06-30,6.52,,5580.4321,,,0.0
1995-07-31,8.1,,6933.2642,,,0.0
1995-08-31,6.87,,5876.3641,,,0.1482
1995-09-30,6.97,,5960.9161,,,0.1482
1995-10-31,6.72,,5749.5361,,,0.1482
1995-11-30,5.34,,4565.8081,,,0.1482
1995-12-31,5.83,,4988.5681,,,0.1482
1996-01-31,5.29,,4523.5321,,,0.1482
1996-02-29,5.99,,5125.9651,,,0.1482
1996-03-31,5.63,,4819.4641,,,0.1482
1996-04-30,5.93,,5073.1201,,,0.1482
1996-05-31,5.24,653786.0,4481.2561,,,0.1482
1996-06-30,6.42,3414665.0,5495.8801,,,0.163
1996-07-31,6.82,3426810.0,5834.0881,,,0.163
1996-08-31,5.98,1186409.0,5115.3961,,,0.163
1996-09-30,4.94,2814134.0,4227.6001,,,0.163
1996-10-31,5.09,1317490.0,4354.4281,,,0.163
1996-11-30,3.87,2081488.0,3308.0971,,,0.163
1996-12-31,4.15,412654.0,3551.1841,,,0.163
1997-01-31,3.58,2573265.0,3065.0101,,,0.163
1997-02-28,3.73,1968058.0,3191.8381,,,0.163
1997-03-31,3.0,19962493.0,2568.2671,,,0.163
1997-04-30,3.05,2039589.0,2610.5431,,,0.163
1997-05-31,3.17,2022729.0,2716.2331,,,0.163
1997-06-30,3.11,1065793.0,2663.3881,,,0.163
1997-07-31,3.9,1237477.0,3339.8041,,,0.163
1997-08-31,3.77,3074049.0,3223.5451,,,0.163
1997-09-30,3.78,2357475.0,3234.1141,,,0.163
1997-10-31,3.68,2019733.0,3202.4071,,,0.163
1997-11-30,3.38,3445594.0,2895.9061,,,0.163
1997-12-31,3.27,960762.0,2800.7851,,,0.163
1998-01-31,3.01,820572.0,2578.8361,,,0.163
1998-02-28,2.18,1712170.0,1868.5992,,,0.163
1998-03-31,2.83,12814042.0,2424.5287,,,0.163
1998-04-30,2.81,11012832.0,2405.5045,,,0.163
1998-05-31,2.79,3122223.0,2384.3665,,,0.163
1998-06-30,1.99,3628249.0,1699.4952,,,0.163
1998-07-31,1.9,13296326.0,1623.3984,,,0.1235
1998-08-31,1.94,2242648.0,1661.4468,,,0.1235
1998-09-30,2.67,7007776.0,2287.1317,,,0.1235
1998-10-31,2.53,6108223.0,2168.7589,,,0.1235
1998-11-30,2.2,4219571.0,1879.1682,,,0.1235
1998-12-31,4.69,45124568.0,4016.2201,,,0.1235
1999-01-31,3.91,40464087.0,3348.2593,,,0.1235
1999-02-28,3.99,23754614.0,3413.7871,,,0.1235
1999-03-31,3.91,33449186.0,3348.2593,,,0.1235
1999-04-30,3.17,16616648.0,2712.0055,,,0.1235
1999-05-31,3.85,16307142.0,3291.1867,,,0.1235
1999-06-30,4.33,26404268.0,3705.4915,,,0.1235
1999-07-31,5.14,56644277.0,4396.7041,,,0.1285
1999-08-31,4.46,45144668.0,3815.4091,,,0.1285
1999-09-30,4.94,56973538.0,4227.6001,,,0.1285
1999-10-31,4.7,60854678.0,4022.5615,,,0.1285
1999-11-30,6.92,35077235.0,5922.8677,,,0.1285
1999-12-31,7.15,69937283.0,6115.2235,,,0.1285
2000-01-31,6.7,32089433.0,5730.5119,,,0.1285
2000-02-29,4.94,7442310.0,4227.6001,,,0.1285
2000-03-31,4.45,8056707.0,3804.8401,,,0.1285
2000-04-30,3.41,6493774.0,2921.2717,,,0.2569
2000-05-31,3.63,4493918.0,3107.2861,,,0.2569
2000-06-30,3.22,4823706.0,2752.1677,,,0.2569
2000-07-31,2.91,4842874.0,2494.2841,,,0.2569
2000-08-31,2.96,7109224.0,2536.5601,,,0.2569
2000-09-30,2.47,3059070.0,2115.9138,,,0.2569
2000-10-31,2.58,1505388.0,2211.0349,,,0.2569
2000-11-30,3.09,11001780.0,2644.3639,,,0.2569
2000-12-31,2.98,33039528.0,2549.2429,,,0.2569
2001-01-31,3.45,59902560.0,2948.7511,,,0.2569
2001-02-28,3.36,47860855.0,2874.7681,,,0.2569
2001-03-31,2.05,26437464.0,1756.5678,,,0.2569
2001-04-30,2.05,13181337.0,1750.2264,,,0.2569
2001-05-31,2.85,45300706.0,2441.4391,,,0.2569
2001-06-30,2.1,50634203.0,1796.73,,,0.0
2001-07-31,1.76,3636082.0,1509.2532,,,0.1285
2001-08-31,1.66,2877569.0,1420.4736,,,0.1285
2001-09-30,1.45,3460248.0,1242.9144,,,0.1285
2001-10-31,1.59,16375718.0,1363.401,,,0.1285
2001-11-30,1.92,53110129.0,1642.4342,,,0.1285
2001-12-31,1.82,18635409.0,1559.9954,,,0.1285
2002-01-31,1.68,6454770.0,1441.6218,,,0.1285
2002-02-28,2.31,81084799.0,1980.6446,,,0.1285
2002-03-31,2.54,46733084.0,2173.0017,,,0.1285
2002-04-30,3.36,82475015.0,2872.6745,,,0.1285
2002-05-31,2.92,40382698.0,2502.7569,,,0.1285
2002-06-30,3.86,178286089.0,3303.8927,,,0.1285
2002-07-31,3.4,137931162.0,2908.6093,,,0.1285
2002-08-31,3.28,38534730.0,2809.26,,,0.0741
2002-09-30,2.82,10323199.0,2411.8628,,,0.0741
2002-10-31,2.77,9665952.0,2373.8142,,,0.0741
2002-11-30,3.84,20866823.0,3284.8684,,,0.0741
2002-12-31,3.84,32438247.0,3289.096,,,0.0741
2003-01-31,3.15,20268538.0,2693.0002,,,0.0741
2003-02-28,2.94,4578202.0,2513.3259,,,0.0741
2003-03-31,2.5,7551774.0,2139.1807,,,0.0741
2003-04-30,2.81,7510381.0,2401.2938,,,0.0741
2003-05-31,3.27,37062457.0,2798.691,,,0.0741
2003-06-30,3.32,50010191.0,2843.0811,,,0.0741
2003-07-31,3.29,43808273.0,2815.6015,,,0.0741
2003-08-31,3.81,85749228.0,3261.6164,,,0.0494
2003-09-30,3.84,80377779.0,3284.8684,,,0.0494
2003-10-31,5.87,277015740.0,5022.4243,,,0.0494
2003-11-30,5.58,65695609.0,4775.1079,,,0.0494
2003-12-31,6.39,82164780.0,5466.3254,,,0.0494
2004-01-31,5.59,27380818.0,4783.5632,,,0.0494
2004-02-29,5.95,67943904.0,5090.0663,,,0.0494
2004-03-31,5.29,17515290.0,4523.5639,,,0.0494
2004-04-30,5.39,10916464.0,4614.458,,,0.0494
2004-05-31,4.42,7977626.0,3785.8425,,,0.0494
2004-06-30,5.29,8552896.0,4525.6778,,,0.0494
2004-07-31,5.46,12098056.0,4675.7586,,,0.0494
2004-08-31,7.26,97126257.0,6210.3883,,,0.0494
2004-09-30,6.97,31562194.0,5963.0719,,,0.0494
2004-10-31,8.42,55281487.0,7203.8813,,,0.0494
2004-11-30,8.61,37270413.0,7366.645,,,0.0494
2004-12-31,9.23,27794059.0,7899.3264,,,0.0494
2005-01-31,8.82,73962884.0,7548.4331,,,0.0494
2005-02-28,10.25,336103436.0,8772.3319,,,0.0494
2005-03-31,11.45,462476371.0,9795.4184,,,0.0494
2005-04-30,12.05,388937092.0,10309.0754,,,0.0494
2005-05-31,14.88,560145513.0,12731.5073,,,0.0494
2005-06-30,18.72,573370509.0,16018.4895,,,0.0494
2005-07-31,24.1,1394641465.0,20624.4922,,,0.0494
2005-08-31,24.48,735863802.0,20950.0197,,,0.0988
2005-09-30,24.18,419557510.0,20687.9067,,,0.0988
2005-10-31,24.54,530678328.0,21002.8651,,,0.0988
2005-11-30,32.65,1881592525.0,27942.5195,,,0.0988
2005-12-31,40.64,2204767456.0,34774.3694,,,0.0988
2006-01-31,35.67,951017629.0,30525.6013,,,0.0988
2006-02-28,39.39,1089947591.0,34970.5197,,,0.0988
2006-03-31,41.82,716489680.0,37127.8784,,,0.0988
2006-04-30,39.77,342525240.0,33154.9646,,,0.0988
2006-05-31,34.85,388194480.0,30934.9041,,,0.0988
2006-06-30,29.74,522922860.0,26404.9759,,,0.0988
2006-07-31,30.09,332631680.0,26713.4815,,,0.0988
2006-08-31,39.17,535599200.0,34779.0176,,,0.15
2006-09-30,40.34,263398900.0,35811.0688,,,0.15
2006-10-31,38.32,148513700.0,34019.9605,,,0.15
2006-11-30,37.99,145454180.0,33722.5522,,,0.15
2006-12-31,43.0,209861760.0,38172.5797,,,0.15
2007-01-31,47.94,280855420.0,42558.2426,,,0.15
2007-02-28,41.37,201688520.0,36727.7079,,,0.15
2007-03-31,42.14,196292860.0,37411.3031,,,0.15
2007-04-30,49.62,202461500.0,44054.1621,,,0.15
2007-05-31,56.25,126585720.0,49935.7445,,,0.15
2007-06-30,67.08,194235840.0,59552.6866,,,0.15
2007-07-31,57.64,177006560.0,51169.7671,,,0.25
2007-08-31,62.08,144426120.0,55115.976,,,0.25
2007-09-30,73.45,114477480.0,65203.002,,,0.25
2007-10-31,86.19,73626760.0,76513.3192,,,0.25
2007-11-30,76.71,45606480.0,68103.8232,,,0.25
2007-12-31,78.12,54349720.0,69353.3735,,,0.25
2008-01-31,56.86,51555020.0,50474.7318,,,0.25
