INDUSTOW IN Equity,price,volume,mc,pe,bm,div
2012-12-31,193.7,57919602.0,365830.1147,,2.0717,0.0
2013-01-31,204.25,42433033.0,385755.2964,,2.1846,0.0
2013-02-28,191.9,16833368.0,362430.5576,,2.0525,0.0
2013-03-31,178.95,15104510.0,337972.633,31.887,1.9659,0.0
2013-04-30,177.8,11634594.0,335800.6938,31.6821,1.9533,0.0
2013-05-31,170.5,2147055.0,322013.6012,30.3813,1.8731,0.0
2013-06-30,152.9,7522938.0,288773.4875,24.3471,1.5976,3.0
2013-07-31,148.8,5866755.0,281051.5582,23.6943,1.5548,3.0
2013-08-31,139.2,6830498.0,262925.4187,22.1656,1.4545,3.0
2013-09-30,156.4,12566120.0,295415.8689,24.7155,1.6135,3.0
2013-10-31,164.85,7703746.0,311384.7464,26.0509,1.7007,3.0
2013-11-30,158.15,5577402.0,298729.1334,24.9921,1.6316,3.0
2013-12-31,168.55,13344659.0,318376.3418,23.8875,1.7068,3.0
2014-01-31,171.95,14727651.0,324799.6126,24.3693,1.7412,3.0
2014-02-28,179.8,25521994.0,339628.9872,25.4819,1.8207,3.0
2014-03-31,203.4,32264827.0,384209.2916,25.3111,2.1304,3.0
2014-04-30,215.65,16373776.0,407427.7924,26.8355,2.2587,3.0
2014-05-31,231.5,14308014.0,437433.1818,28.8079,2.4247,3.0
2014-06-30,255.6,14275706.0,483094.234,29.7486,2.642,3.0
2014-07-31,256.0,17362912.0,483850.25,29.7952,2.6461,8.9
2014-08-31,263.55,36512717.0,498159.3339,30.6739,2.7242,8.9
2014-09-30,294.75,35614213.0,557160.6143,30.7544,3.1585,8.9
2014-10-31,294.45,18161655.0,556639.9689,30.7231,3.1552,8.9
2014-11-30,300.15,25611944.0,567440.9762,31.3178,3.2163,8.9
2014-12-31,336.9,32699995.0,636927.2985,33.3796,3.5225,8.9
2015-01-31,361.85,19824168.0,684458.2686,35.8516,3.7834,8.9
2015-02-28,367.55,109060036.0,695244.6942,36.4163,3.843,8.9
2015-03-31,385.0,51916408.0,729101.1755,36.531,4.2838,8.9
2015-04-30,401.3,53849588.0,759969.6149,38.0776,4.4652,8.9
2015-05-31,478.85,115326510.0,908043.1615,45.436,5.328,8.9
2015-06-30,447.0,53686555.0,847649.3412,42.8571,4.6467,8.9
2015-07-31,447.65,34792998.0,848897.5693,42.9195,4.6535,4.4
2015-08-31,399.75,59769058.0,758077.2238,38.3269,4.1555,6.5
2015-09-30,355.2,50752335.0,673696.1156,32.026,3.721,6.5
2015-10-31,388.95,46953812.0,737708.6266,35.069,4.0745,6.5
2015-11-30,384.6,32577510.0,729458.1252,34.6768,4.0289,6.5
2015-12-31,428.1,37508101.0,811963.1394,38.8511,4.3613,6.5
2016-01-31,361.2,39536146.0,685076.1176,32.7797,3.6797,6.5
2016-02-29,356.75,43780664.0,676635.9495,32.3759,3.6344,6.5
2016-03-31,381.95,40233463.0,724431.9577,32.1995,3.9712,6.5
2016-04-30,374.95,39277678.0,711155.2887,31.6093,3.8984,6.5
2016-05-31,374.55,35758697.0,710396.6219,31.5756,3.8943,6.5
2016-06-30,345.05,80435097.0,654444.9457,25.5366,3.4502,6.5
2016-07-31,395.4,35799392.0,749942.1287,29.2629,3.9537,6.5
