PEPL IN Equity,price,volume,mc,pe,bm,div
2010-10-31,199.35,51650015.0,65401.5103,34.8514,6.8516,0.0
2010-11-30,170.85,15637437.0,56051.4073,29.8689,5.8721,0.0
2010-12-31,172.0,4407272.0,56428.6921,30.0699,5.9116,0.0
2011-01-31,150.35,3627319.0,49325.8946,26.285,5.1675,0.0
2011-02-28,117.3,1436694.0,38483.0557,20.507,4.0316,0.0
2011-03-31,125.5,5727178.0,41173.2608,21.4164,1.9474,0.0
2011-04-30,146.55,7970171.0,48079.2141,25.0085,2.2741,0.0
2011-05-31,149.55,2459332.0,49063.4355,25.5205,2.3206,0.0
2011-06-30,120.25,2318511.0,39450.8734,20.5205,1.866,0.0
2011-07-31,131.9,7708435.0,43272.9331,22.5085,2.0467,1.2
2011-08-31,98.1,7731500.0,32184.0389,16.7406,1.5223,1.2
2011-09-30,92.05,6178975.0,30199.1925,15.7082,1.4284,1.2
2011-10-31,98.1,5942134.0,32184.0389,16.7406,1.5223,1.2
2011-11-30,80.65,4654834.0,26459.1513,13.7628,1.2515,1.2
2011-12-31,71.3,4667914.0,23391.6613,12.1672,1.1064,1.2
2012-01-31,75.55,4545299.0,24785.9749,12.8925,1.1723,1.2
2012-02-29,104.7,10301331.0,34349.326,17.8669,1.6247,1.2
2012-03-31,100.2,4102679.0,32872.9939,39.7619,1.5283,1.2
2012-04-30,110.0,8395012.0,36088.1171,43.6508,1.6777,1.2
2012-05-31,115.2,4185379.0,37794.1008,45.7143,1.7571,1.2
2012-06-30,116.75,2192967.0,38302.6152,46.3294,1.7807,1.2
2012-07-31,112.55,2325983.0,36924.7052,44.6627,1.7166,1.2
2012-08-31,103.95,1959863.0,34103.2706,41.25,1.5855,1.2
2012-09-30,135.75,10811192.0,44536.0172,53.869,2.0705,1.2
2012-10-31,154.7,11846361.0,50753.0155,61.3889,2.3595,1.2
2012-11-30,164.6,6835470.0,54000.9461,65.3175,2.5105,1.2
2012-12-31,179.4,9034834.0,58856.4382,71.1905,2.7362,1.2
2013-01-31,180.45,7726714.0,62797.806,71.6071,2.7523,1.2
2013-02-28,171.75,8743750.0,60112.5,68.1548,2.6196,1.2
2013-03-31,163.55,3826342.0,57242.5,18.9733,2.0874,1.2
2013-04-30,167.55,5830116.0,58642.5,19.4374,2.1385,1.2
2013-05-31,167.7,6210085.0,58695.0,19.4548,2.1404,1.2
2013-06-30,153.0,4860542.0,53550.0,17.7494,1.9528,1.2
2013-07-31,128.4,7511789.0,44940.0,14.8956,1.6388,1.2
2013-08-31,115.2,6917850.0,40320.0,13.3643,1.4703,1.2
2013-09-30,117.45,6611295.0,41107.5,13.6253,1.499,1.2
2013-10-31,143.05,8581831.0,50067.5,16.5951,1.8258,1.2
2013-11-30,146.55,4263276.0,51292.5,17.0012,1.8704,1.2
2013-12-31,162.45,4925390.0,56857.5,18.8457,2.0734,1.2
2014-01-31,139.35,4187988.0,48772.5,16.1659,1.7785,1.2
2014-02-28,132.2,2024511.0,46270.0,15.3364,1.6873,1.2
2014-03-31,170.35,6489518.0,59622.5,18.9699,2.0013,1.2
2014-04-30,170.05,4035328.0,59517.5,18.9365,1.9978,1.2
2014-05-31,207.05,6963587.0,72467.5,23.0568,2.4325,1.2
2014-06-30,229.1,11516394.0,80185.0,25.5122,2.6915,1.2
2014-07-31,250.05,11709589.0,87517.5,27.8452,2.9376,1.2
2014-08-31,222.9,7438917.0,83587.5,24.8218,2.6187,1.2
2014-09-30,219.9,11990328.0,82462.5,24.4878,2.5834,1.5
