LTM IN Equity,price,volume,mc,pe,bm,div
2016-07-31,691.8,17518297.0,117497.7585,12.9179,,0.0
2016-08-31,652.9,5415265.0,110890.8449,12.1915,,0.0
2016-09-30,617.95,2529586.0,104954.8133,11.3837,4.0911,0.0
2016-10-31,647.3,1524549.0,109939.7211,11.9244,4.2854,0.0
2016-11-30,643.8,983267.0,109345.2687,11.8599,4.2622,6.85
2016-12-31,680.05,1303384.0,115502.0969,12.2501,4.5019,6.85
2017-01-31,668.75,1287481.0,113582.865,12.0466,,6.85
2017-02-28,711.4,1460136.0,121344.2956,12.8149,,6.85
2017-03-31,714.85,1892993.0,121932.766,12.5529,3.8876,6.85
2017-04-30,709.5,1077225.0,121020.2105,12.4589,3.8586,6.85
2017-05-31,800.6,2345821.0,136589.7312,14.0586,4.354,6.85
2017-06-30,788.75,1224492.0,134568.0121,13.4386,3.9458,6.85
2017-07-31,764.3,1012322.0,130396.617,13.022,3.8235,6.85
2017-08-31,754.15,587787.0,129016.9454,12.8491,3.7727,19.4
2017-09-30,798.95,1188375.0,136681.149,13.1077,3.9217,19.4
2017-10-31,830.25,867847.0,142035.827,13.6212,4.0753,19.4
2017-11-30,1013.35,4044768.0,174088.9162,16.6251,4.9741,17.7
2017-12-31,1118.85,1592255.0,192213.3359,17.7756,5.256,17.7
2018-01-31,1272.75,3907116.0,218828.9323,20.2207,5.9789,17.7
2018-02-28,1440.1,5126438.0,247602.0713,22.8795,6.7651,17.7
2018-03-31,1340.7,4364259.0,230599.4119,20.6561,5.9744,17.7
2018-04-30,1568.95,7248398.0,269889.5003,24.1727,6.9915,17.7
2018-05-31,1740.7,3586710.0,299524.6929,26.8189,7.7569,17.7
2018-06-30,1671.4,2476069.0,287600.1446,23.782,7.0506,17.7
2018-07-31,1872.9,5175084.0,323962.0288,26.6491,7.9006,17.7
2018-08-31,1797.75,4263623.0,311092.3301,25.5798,7.5836,21.5
2018-09-30,1917.0,14132273.0,331727.9915,24.7451,8.2734,21.5
