ASTR IN Equity,price,volume,mc,pe,bm,div
1995-01-31,36.0,,,,,0.0
1995-02-28,33.0,,,,,0.0
1995-03-31,34.0,,,,,0.0
1995-04-30,32.0,,,,,0.0
1995-05-31,35.5,,,,,0.0
1995-06-30,30.0,,,,,0.0
1995-07-31,29.0,,,,,0.0
1995-08-31,34.3,,,,,0.0
1995-09-30,35.5,,,,,0.48
1995-10-31,31.3,,,,,0.48
1995-11-30,28.4,,,,,0.48
1995-12-31,33.2,,,,,0.48
1996-01-31,28.0,,,,,0.48
1996-02-29,31.0,,,,,0.48
1996-03-31,30.0,,,,,0.48
1996-04-30,33.0,,,,,0.48
1996-05-31,32.5,52750.0,,,,0.48
1996-06-30,36.8,113500.0,,,,0.48
1996-07-31,31.8,441000.0,,,,0.48
1996-08-31,33.8,60250.0,,,,0.5
1996-09-30,29.6,39250.0,,,,0.5
1996-10-31,30.0,51000.0,,,,0.5
1996-11-30,29.15,51000.0,,,,0.5
1996-12-31,26.9,41250.0,,,,0.5
1997-01-31,31.0,362875.0,,,,0.5
1997-02-28,28.25,25500.0,,,,0.5
1997-03-31,28.45,50625.0,,10.1181,2.5426,0.5
1997-04-30,30.4,49000.0,,10.8116,2.7168,0.5
1997-05-31,32.4,109750.0,,11.5229,2.8956,0.5
1997-06-30,37.5,102025.0,,13.3367,3.3514,0.5
1997-07-31,53.8,126745.0,1345.0,19.1337,4.8081,0.5
1997-08-31,54.5,405350.0,1362.5,19.3826,4.8706,0.55
1997-09-30,57.0,284625.0,1425.0,20.2717,5.0941,0.55
1997-10-31,51.0,96250.0,1275.0,18.1378,4.5579,0.55
1997-11-30,53.4,349850.0,1335.0,18.9914,4.7723,0.55
1997-12-31,58.0,351500.0,1450.0,20.6274,5.1834,0.55
1998-01-31,50.0,313500.0,1250.0,17.7822,4.4685,0.55
1998-02-28,49.8,28500.0,1245.0,17.7111,4.4506,0.55
1998-03-31,58.8,65275.0,1470.0,13.0319,3.9206,0.55
1998-04-30,70.2,751375.0,1755.0,15.5585,4.6808,0.55
1998-05-31,70.35,506875.0,1758.75,15.5918,4.6908,0.55
1998-06-30,32.96,193750.0,824.0,7.305,2.1977,0.55
1998-07-31,29.66,139000.0,741.5,6.5736,1.9777,0.55
1998-08-31,45.46,346000.0,1136.5,10.0754,3.0312,0.64
1998-09-30,38.48,167750.0,962.0,8.5284,2.5658,0.64
1998-10-31,35.04,93750.0,876.0,7.766,2.3364,0.64
1998-11-30,36.0,480250.0,900.0,7.9787,2.4004,0.64
1998-12-31,64.45,1570375.0,1611.25,14.2841,4.2974,0.64
1999-01-31,62.3,350750.0,1557.5,13.8076,4.154,0.64
1999-02-28,68.85,334875.0,1721.25,15.2593,4.5908,0.64
1999-03-31,60.4,530400.0,1510.0,14.5102,3.2777,0.64
1999-04-30,51.0,819750.0,1275.0,12.252,2.7676,0.64
1999-05-31,51.11,57750.0,1277.75,12.2784,2.7736,0.64
1999-06-30,52.0,84750.0,1300.0,12.4922,2.8219,0.64
1999-07-31,48.95,155325.0,1223.75,11.7595,2.6564,0.64
1999-08-31,59.18,306000.0,1479.5,14.2171,3.2115,0.66
1999-09-30,56.0,103250.0,1400.0,13.4531,3.0389,0.66
1999-10-31,50.46,249500.0,1261.5,12.1222,2.7383,0.66
1999-11-30,54.79,88250.0,1369.75,13.1624,2.9733,0.66
1999-12-31,49.03,121750.0,1225.75,11.7787,2.6607,0.66
2000-01-31,50.77,100750.0,1269.25,12.1967,2.7551,0.66
2000-02-29,47.9,82750.0,1197.5,11.5072,2.5994,0.66
2000-03-31,45.54,123325.0,1138.5,8.2927,1.9783,0.66
2000-04-30,45.59,23410.0,1139.75,8.3018,1.9804,1.36
2000-05-31,42.3,12735.0,1057.5,7.7027,1.8375,1.36
2000-06-30,54.51,39930.0,1362.75,9.9261,2.3679,1.36
2000-07-31,55.6,537615.0,1390.0,10.1246,2.4153,1.36
2000-08-31,56.4,40520.0,1410.0,10.2702,2.45,0.8
2000-09-30,53.61,395755.0,1340.25,9.7622,2.3288,0.8
2000-10-31,56.6,847240.0,1415.0,10.3067,2.4587,0.8
2000-11-30,53.8,122135.0,1345.0,9.7968,2.3371,0.8
2000-12-31,78.35,337240.0,1958.75,14.2672,3.4036,0.8
2001-01-31,94.29,312475.0,2357.25,17.1699,4.096,0.8
2001-02-28,96.78,139865.0,2419.5,17.6233,4.2042,0.8
2001-03-31,79.0,407525.0,1975.0,17.3817,2.9606,0.8
2001-04-30,73.69,46670.0,1842.25,16.2134,2.7616,0.1
2001-05-31,81.4,110490.0,2035.0,17.9098,3.0506,0.1
2001-06-30,71.6,15830.0,1790.0,15.7536,2.6833,0.8
2001-07-31,53.5,21225.0,1337.5,11.7712,2.005,0.8
2001-08-31,57.4,10225.0,1435.0,12.6293,2.1511,0.8
2001-09-30,47.0,13375.0,1175.0,10.341,1.7614,0.8
2001-10-31,46.35,10580.0,1158.75,10.198,1.737,0.8
2001-11-30,52.42,44185.0,1310.5,11.5336,1.9645,0.8
2001-12-31,47.06,6660.0,1176.5,10.3542,1.7636,0.8
2002-01-31,55.8,48185.0,1395.0,12.2772,2.0912,0.8
2002-02-28,56.6,15630.0,1415.0,12.4532,2.1212,0.8
2002-03-31,72.7,236065.0,1817.5,15.9956,2.7245,0.8
2002-04-30,72.4,36495.0,1810.0,15.9296,2.7133,0.8
2002-05-31,75.0,535555.0,1875.0,16.5016,2.8107,0.6
2002-06-30,71.6,1052570.0,1790.0,15.7536,2.6833,0.6
2002-07-31,70.0,9310.0,1750.0,15.4015,2.6233,0.6
2002-08-31,70.1,4220.0,1752.5,15.4235,2.6271,0.6
2002-09-30,73.32,11185.0,1833.0,16.132,2.7478,0.6
2002-10-31,74.0,18675.0,1850.0,16.2816,2.7732,0.6
2002-11-30,75.0,47185.0,1875.0,16.5016,2.8107,0.6
2002-12-31,71.26,3830.0,1781.5,17.193,2.3445,0.6
2003-01-31,71.5,3305.0,1787.5,17.2509,2.3524,0.6
2003-02-28,71.5,1850.0,1787.5,17.2509,2.3524,0.6
2003-03-31,71.8,2495.0,1795.0,17.3233,2.3623,0.6
2003-04-30,70.0,4175.0,1750.0,16.889,2.3031,0.74
2003-05-31,69.8,5880.0,1745.0,16.8408,2.2965,0.74
2003-06-30,75.55,11460.0,1888.75,18.2281,2.4857,0.74
2003-07-31,76.54,14190.0,1913.5,18.467,2.5182,0.74
2003-08-31,96.04,10465.0,2401.0,23.1718,3.1598,0.74
2003-09-30,136.17,60135.0,3404.25,32.854,4.4801,0.74
2003-10-31,121.6,14360.0,3040.0,29.3387,4.0008,0.74
2003-11-30,157.52,54760.0,3938.0,38.0052,5.1826,0.74
2003-12-31,197.9,96285.0,4947.5,20.1872,5.0456,0.74
2004-01-31,199.0,55385.0,4975.0,20.2994,5.0736,0.74
2004-02-29,198.38,41330.0,4959.5,20.2362,5.0578,0.74
2004-03-31,153.13,66290.0,3828.25,15.6204,3.9041,0.74
2004-04-30,176.0,30660.0,4400.0,17.9533,4.4872,0.78
2004-05-31,176.41,31620.0,4410.25,17.9951,4.4977,0.78
2004-06-30,176.45,19340.0,4411.25,17.9992,4.4987,0.78
2004-07-31,186.0,149570.0,4650.0,18.9733,4.7422,0.78
2004-08-31,237.84,39500.0,5945.9997,24.2614,6.0638,0.78
