ASTRA IN Equity,price,volume,mc,pe,bm,div
2007-03-31,3.73,347163582.0,931.6385,7.0855,1.379,0.0
2007-04-30,4.6,55148550.0,1147.9719,8.7308,1.6992,0.0
2007-05-31,4.92,53425396.0,1229.4481,9.3504,1.8198,0.0
2007-06-30,4.74,7363130.0,1182.81,8.9957,1.7508,0.0
2007-07-31,5.51,45900310.0,1376.1054,10.4658,2.0369,0.0
2007-08-31,5.05,5970997.0,1262.0386,9.5983,1.8681,0.0
2007-09-30,5.4,11506550.0,1349.6838,10.265,1.9978,0.0
2007-10-31,5.86,22043878.0,1463.1876,11.1282,2.1658,0.0
2007-11-30,6.96,12571194.0,1737.3948,13.2137,2.5717,0.0
2007-12-31,9.52,25696632.0,2376.2751,18.0726,3.5174,0.0
2008-01-31,8.93,13261593.0,2229.0573,16.953,3.2995,0.0
2008-02-29,8.28,3406354.0,2067.2301,15.7222,3.06,0.0
2008-03-31,7.18,8085240.0,1792.461,13.6325,2.6532,0.0
2008-04-30,8.54,2190821.0,2131.8486,16.2137,3.1556,0.0
2008-05-31,7.75,2359777.0,1934.6217,14.7137,2.8637,0.0
2008-06-30,6.9,2004043.0,1722.2235,13.0983,2.5493,0.045
2008-07-31,7.41,1776466.0,1850.3367,14.0726,2.7389,0.045
2008-08-31,7.6,1993621.0,1898.6601,14.4402,2.8104,0.045
2008-09-30,6.59,2451843.0,1645.8051,12.5171,2.4362,0.045
2008-10-31,3.04,1722288.0,760.2507,5.7821,1.1253,0.045
2008-11-30,2.7,2231377.0,674.28,5.1282,0.9981,0.045
2008-12-31,2.92,1400688.0,729.9081,5.5513,1.0804,0.045
2009-01-31,2.25,1201866.0,563.0238,4.2821,0.8334,0.045
2009-02-28,1.8,2200710.0,448.3962,3.4103,0.6637,0.045
2009-03-31,1.64,10990683.0,410.187,2.9294,0.4431,0.045
2009-04-30,2.84,8949462.0,707.994,5.0562,0.7649,0.045
2009-05-31,4.54,1424955.0,1132.7904,8.0899,1.2238,0.045
2009-06-30,4.8,4764487.0,1199.0946,8.5634,1.2954,0.045
2009-07-31,5.5,2857732.0,1373.8455,9.8114,1.4842,0.045
2009-08-31,5.35,2482132.0,1335.0744,9.5345,1.4423,0.045
2009-09-30,5.99,12871238.0,1496.3397,10.6862,1.6166,0.045
2009-10-31,6.66,10173884.0,1662.1002,11.87,1.7956,0.09
2009-11-30,6.55,3726131.0,1636.2528,11.6854,1.7677,0.09
2009-12-31,8.13,34763249.0,2031.2685,14.5064,2.1945,0.09
2010-01-31,7.82,28314075.0,1952.0406,13.9406,2.1089,0.09
2010-02-28,7.82,39667647.0,1953.1644,13.9486,2.1101,0.09
2010-03-31,8.59,27205275.0,2145.8961,7.7433,1.8238,0.09
2010-04-30,9.24,18763857.0,2308.2852,8.3293,1.9619,0.09
2010-05-31,9.87,18367791.0,2464.4934,8.8929,2.0946,0.09
2010-06-30,11.11,9690973.0,2774.1003,10.0101,2.3578,0.09
2010-07-31,11.25,13226171.0,2809.5,10.1379,2.3879,0.09
2010-08-31,11.25,8260174.0,2810.6238,10.1419,2.3888,0.09
2010-09-30,16.13,31340462.0,4027.6992,14.5337,3.4232,0.09
2010-10-31,16.5,8390718.0,4120.9746,14.8702,3.5025,0.09
2010-11-30,14.5,4237398.0,3622.0074,13.0697,3.0784,0.09
2010-12-31,14.48,8681173.0,3615.2646,13.0454,3.0727,0.09
2011-01-31,12.2,5495275.0,3045.498,10.9895,2.5884,0.09
2011-02-28,11.13,6028775.0,2779.1574,10.0284,2.3621,0.09
2011-03-31,12.05,4587975.0,3009.5364,9.165,2.0385,0.09
2011-04-30,14.98,5174153.0,3741.1302,11.3929,2.5341,0.09
2011-05-31,15.75,9105395.0,3933.3,11.9781,2.6642,0.09
2011-06-30,17.44,8401807.0,4355.8488,13.2649,2.9505,0.09
2011-07-31,17.92,5555508.0,4474.9716,13.6277,3.0311,0.1013
2011-08-31,16.96,3706431.0,4235.6022,12.8987,2.869,0.1013
2011-09-30,16.84,15093737.0,4206.3834,12.8097,2.8492,0.1013
2011-10-31,17.26,2313199.0,4309.773,13.1246,2.9192,0.1013
2011-11-30,12.52,19433057.0,3126.4116,9.5209,2.1177,0.1013
2011-12-31,11.69,5877864.0,2918.5086,8.8877,1.9769,0.1013
2012-01-31,13.87,1790188.0,3463.5516,10.5476,2.3461,0.1013
2012-02-29,16.7,8450485.0,4170.4218,12.7002,2.8249,0.1013
2012-03-31,17.51,5102942.0,4371.6016,11.07,2.3751,0.1013
