NTCPH IN Equity,price,volume,mc,pe,bm,div
2001-05-31,2.75,43925.0,180.2776,,,0.0
2001-06-30,2.37,46310.0,155.3665,,,0.0
2001-07-31,2.0,41250.0,131.111,,,0.0
2001-08-31,1.93,41530.0,126.5221,,,0.0
2001-09-30,1.9,46460.0,124.5555,,,0.0
2001-10-31,3.32,98355.0,217.6443,,,0.0
2001-11-30,3.06,123325.0,200.5998,,,0.0
2001-12-31,2.49,58755.0,163.2332,,,0.0
2002-01-31,2.47,18510.0,161.9221,,,0.0
2002-02-28,2.47,79845.0,161.9221,,,0.0
2002-03-31,2.2,84470.0,144.2221,,,0.0
2002-04-30,2.64,95780.0,229.4371,,,0.0
2002-05-31,2.8,129705.0,243.3424,,,0.0
2002-06-30,3.2,150370.0,278.1056,,,0.0
2002-07-31,5.05,2231530.0,438.8854,,,0.0
2002-08-31,4.1,153125.0,356.3228,,,0.0
2002-09-30,4.35,126900.0,378.0498,,,0.0
2002-10-31,4.24,77875.0,368.4899,,,0.0
2002-11-30,4.7,73300.0,408.4676,,,0.0
2002-12-31,4.79,108305.0,416.2893,,,0.0
2003-01-31,5.3,288650.0,460.6124,,,0.0
2003-02-28,6.32,228890.0,549.2585,,,0.0
2003-03-31,5.56,296775.0,483.2085,,,0.0
2003-04-30,5.28,50825.0,458.8742,,,0.0
2003-05-31,8.16,440420.0,709.1693,,,0.0
2003-06-30,13.73,2531320.0,1193.2468,,,0.0
2003-07-31,17.44,3137080.0,1515.6755,,,0.0
2003-08-31,17.84,3788995.0,1550.4387,,,0.0
2003-09-30,19.66,15471735.0,1708.6112,,,0.0
2003-10-31,18.99,3404695.0,1650.3829,,,0.0
2003-11-30,18.65,3958705.0,1620.8341,,,0.0
2003-12-31,25.46,19604330.0,2212.6776,,,0.0
2004-01-31,21.28,5797745.0,1849.4022,,,0.0
2004-02-29,19.61,2728300.0,1704.2658,,,0.0
2004-03-31,18.54,3063610.0,1611.2743,,,0.0
2004-04-30,18.72,2585200.0,1626.9177,,,0.0
2004-05-31,15.36,1091935.0,1334.9068,,,0.0
2004-06-30,16.06,1038390.0,1395.7424,,,0.0
2004-07-31,16.91,1724005.0,1469.6142,,,0.0
2004-08-31,21.2,8409465.0,1842.4495,,,0.0
2004-09-30,26.22,9759655.0,2278.7277,,,0.0
2004-10-31,26.97,3474130.0,3153.0087,,,0.0
2004-11-30,26.22,1471400.0,3065.3277,,,0.0
2004-12-31,27.85,5265410.0,3255.8877,,,0.0
2005-01-31,27.63,30494510.0,3230.168,,,0.0
2005-02-28,27.05,21820440.0,3162.3613,,,0.0
2005-03-31,26.05,22915525.0,3308.6366,,,0.0
2005-04-30,23.68,6008685.0,3084.6871,,,0.0
2005-05-31,22.69,9493135.0,3031.1911,,,0.0
2005-06-30,23.06,22445015.0,3080.62,,,0.0
2005-07-31,24.17,17101685.0,3228.9065,,,0.0
2005-08-31,25.18,14144405.0,3363.834,,,0.0
2005-09-30,24.76,24557865.0,3329.9848,,,0.0
2005-10-31,23.32,8863865.0,3136.3184,,,0.0
