NAVA IN Equity,price,volume,mc,pe,bm,div
1995-11-30,3.23,,,,,0.1078
1995-12-31,2.43,,,,,0.1078
1996-01-31,3.18,,,,,0.1078
1996-02-29,2.53,,,,,0.1078
1996-03-31,2.37,,,,,0.1078
1996-04-30,2.69,,,,,0.1078
1996-05-31,2.37,248614.0,,,,0.1078
1996-06-30,2.05,350657.0,,,,0.1078
1996-07-31,1.89,408172.0,,,,0.1078
1996-08-31,1.83,38962.0,,,,0.1617
1996-10-31,1.51,14843.0,,,,0.1617
1996-11-30,1.72,18553.0,,,,0.1617
1997-01-31,1.62,53804.0,,,,0.1617
1997-02-28,1.51,11132.0,,,,0.1617
1997-03-31,1.46,1855.0,,,,0.1617
1997-04-30,1.56,5566.0,,,,0.1617
1997-05-31,1.46,48238.0,,,,0.1617
1997-06-30,1.24,137294.0,,,,0.1617
1997-07-31,1.24,,,,,0.1617
1997-08-31,1.4,79779.0,,,,0.1347
1997-09-30,1.32,64936.0,,,,0.1347
1997-10-31,1.19,85345.0,,,,0.1347
1997-11-30,1.13,191099.0,,,,0.1347
1997-12-31,1.02,588138.0,,,,0.1347
1998-01-31,1.08,129873.0,,,,0.1347
1998-02-28,1.12,148055.0,,,,0.1347
1998-03-31,1.14,65122.0,,,,0.1347
1998-04-30,1.37,68647.0,,,,0.1347
1998-05-31,1.24,142860.0,,,,0.1347
1998-06-30,1.24,50094.0,,,,0.1347
1998-07-31,1.06,72358.0,,,,0.1347
1998-08-31,1.0,53804.0,,,,0.1347
1998-09-30,1.08,35251.0,,,,0.1347
1998-10-31,0.84,25975.0,,,,0.1347
1998-11-30,0.86,27830.0,,,,0.1347
1998-12-31,0.86,179967.0,,,,0.1347
1999-01-31,0.84,9277.0,,,,0.1347
1999-02-28,0.78,34806.0,,,,0.1347
1999-03-31,0.62,57515.0,,,,0.1347
1999-04-30,0.68,870148.0,,,,0.1347
1999-07-31,0.8,5566.0,,,,0.0808
1999-08-31,1.46,797419.0,,,,0.0808
1999-09-30,1.19,922097.0,,,,0.0808
1999-10-31,1.08,382197.0,,,,0.0808
1999-11-30,0.97,276444.0,,,,0.0808
1999-12-31,1.02,367355.0,,,,0.0808
2000-01-31,0.82,328393.0,,,,0.0808
2000-02-29,0.84,734709.0,,,,0.0808
2000-03-31,0.81,378487.0,,,,0.0808
2000-04-30,0.65,100188.0,,,,0.0808
2000-05-31,0.61,35251.0,,,,0.0808
2000-06-30,0.75,57515.0,,,,0.0808
2000-07-31,0.74,61226.0,,,,0.0808
2000-08-31,0.67,36179.0,,,,0.0647
2000-09-30,0.76,6679.0,,,,0.0647
2000-10-31,0.75,4082.0,,,,0.0647
2000-11-30,0.74,74825.0,,,,0.0647
2000-12-31,0.76,70317.0,168.7347,,,0.0647
2001-01-31,0.67,5566.0,149.5875,,,0.0647
2001-02-28,0.65,75679.0,144.2024,,,0.0647
2001-03-31,0.67,151209.0,149.5875,,,0.0647
2001-04-30,0.71,109186.0,158.5628,,,0.0647
2001-05-31,0.72,249820.0,159.7595,,,0.0647
2001-06-30,0.61,21893.0,135.8255,,,0.0647
2001-07-31,0.62,57886.0,137.6205,,,0.0647
2001-08-31,0.69,3711.0,153.1776,,,0.0647
2001-09-30,0.65,82376.0,144.8007,,,0.0647
2001-10-31,0.73,37941.0,161.5545,,,0.0647
2001-11-30,0.73,56402.0,161.5545,,,0.0647
2001-12-31,0.75,105754.0,167.538,,,0.0647
2002-01-31,0.89,40539.0,197.4555,,,0.0647
2002-02-28,0.86,38350.0,190.8737,,,0.0647
2002-03-31,0.89,97015.0,197.4555,,,0.0647
2002-04-30,0.97,6494.0,215.406,,,0.0
2002-05-31,0.92,62617.0,203.439,,,0.0
2002-06-30,1.45,310192.0,321.314,,,0.0
2002-07-31,1.56,1353590.0,347.043,,,0.0
2002-08-31,1.46,198557.0,323.109,,,0.0
2002-09-30,1.42,86106.0,315.9288,,,0.097
2002-10-31,1.24,288132.0,275.241,,,0.097
2002-11-30,1.59,431233.0,351.5397,,,0.097
2002-12-31,1.79,1131415.0,396.227,,,0.097
2003-01-31,2.09,843264.0,462.9599,,,0.097
2003-02-28,2.21,600977.0,488.5806,,,0.097
2003-03-31,2.0,166905.0,441.51,1.6778,0.3569,0.097
2003-04-30,2.15,162044.0,474.8765,1.8046,0.3839,0.097
2003-05-31,3.07,1116776.0,679.2462,2.5813,0.5491,0.097
2003-06-30,3.93,1511683.0,868.1243,3.2991,0.7018,0.097
2003-07-31,5.47,8692388.0,1210.1308,4.5988,0.9783,0.097
2003-08-31,5.21,3747703.0,1152.3352,4.3791,0.9316,0.1617
2003-09-30,5.96,3935258.0,1316.7843,5.0041,1.0645,0.1617
2003-10-31,6.56,6644887.0,1449.6544,5.509,1.172,0.1617
2003-11-30,8.31,9965550.0,1836.9439,6.9808,1.485,0.1617
2003-12-31,11.86,8877160.0,2621.6521,9.9629,2.1194,0.1617
2004-01-31,9.72,5240981.0,2149.7547,8.1695,1.7379,0.1617
2004-02-29,8.77,2676382.0,1938.8309,7.368,1.5674,0.1617
2004-03-31,8.2,3317007.0,1811.9191,3.6306,1.1875,0.1617
2004-04-30,8.88,2539978.0,1963.8557,3.9351,1.2871,0.1617
2004-05-31,7.14,4523340.0,1579.5454,3.165,1.0352,0.1617
2004-06-30,7.44,812930.0,1643.895,3.2939,1.0774,0.1617
2004-07-31,14.99,14081405.0,3314.0065,6.6404,2.172,0.3234
2004-08-31,15.63,9323254.0,3455.2182,6.9234,2.2645,0.3234
2004-09-30,16.67,6103466.0,4131.4748,7.3854,2.4156,0.3234
2004-10-31,21.09,14327514.0,5226.7898,9.3434,3.0561,0.3234
2004-11-30,18.96,4979361.0,4698.5007,8.399,2.7472,0.3234
2004-12-31,19.63,7600399.0,4864.8015,8.6963,2.8444,0.3234
2005-01-31,19.77,22861475.0,4898.8632,8.7572,2.8643,0.3234
2005-02-28,20.92,52749015.0,5185.3815,9.2693,3.0318,0.3234
2005-03-31,21.16,51022875.0,5242.8188,4.9248,1.9883,0.3234
2005-04-30,19.85,12117542.0,4919.5673,4.6212,1.8657,0.3234
2005-05-31,21.3,21978823.0,5277.5483,4.9574,2.0014,0.3234
2005-06-30,17.83,14517852.0,4417.9932,4.15,1.6755,0.3234
2005-07-31,18.14,10982936.0,4495.4667,4.2228,1.7049,0.539
2005-08-31,22.09,28610322.0,5473.2355,5.1413,2.0757,0.539
2005-09-30,19.04,13529779.0,4718.5368,4.4323,1.7894,0.539
2005-10-31,13.74,7846586.0,3406.1624,3.1996,1.2917,0.539
2005-11-30,13.37,9541170.0,3312.6599,3.1117,1.2563,0.539
2005-12-31,11.76,14506876.0,2915.2743,2.7385,1.1056,0.539
2006-01-31,11.91,41006419.0,2952.0074,2.773,1.1195,0.539
2006-02-28,12.5,18816416.0,3098.9399,2.911,1.1752,0.539
2006-03-31,20.41,86932127.0,5059.153,11.9846,1.6402,0.539
2006-04-30,31.94,48651167.0,7536.9692,18.7483,2.5658,0.539
2006-05-31,28.66,37535353.0,7102.8505,16.826,2.3027,0.539
2006-06-30,25.0,15051117.0,6194.5405,14.6743,2.0082,0.539
2006-07-31,25.62,10760635.0,6348.1517,15.0382,2.058,0.539
2006-08-31,29.05,12096091.0,7199.6923,17.0554,2.3341,0.539
2006-09-30,29.7,9594830.0,7359.9823,17.4351,2.3861,0.539
2006-10-31,34.17,12605745.0,8468.6548,20.0614,2.7455,0.539
2006-11-30,36.1,10901287.0,8946.1854,21.1927,2.9003,0.539
2006-12-31,28.31,4967762.0,7016.0267,16.6203,2.2746,0.539
2007-01-31,32.49,8226927.0,8051.2329,19.0726,2.6102,0.539
2007-02-28,27.3,6584667.0,6765.5736,16.027,2.1934,0.539
2007-03-31,25.14,8051992.0,6231.2736,4.6329,1.4247,0.539
2007-04-30,30.02,9809164.0,7440.1273,5.5316,1.7011,0.539
2007-05-31,41.7,34368011.0,10476.4978,7.6842,2.363,0.539
2007-06-30,49.02,32475244.0,12314.5392,9.0323,2.7776,0.539
2007-07-31,53.48,34275460.0,13434.966,9.8541,3.0304,1.078
2007-08-31,47.0,17652911.0,11806.793,8.6599,2.6631,1.078
2007-09-30,57.77,54864250.0,15165.9052,10.6437,3.2731,1.078
2007-10-31,78.68,72177094.0,21204.6195,14.4969,4.4581,1.078
2007-11-30,67.98,13326907.0,18321.1689,12.5256,3.8519,1.078
2007-12-31,77.22,17965730.0,21468.0391,14.2288,4.3757,1.078
2008-01-31,64.62,40416577.0,17965.5759,11.9074,3.6618,1.078
2008-02-29,60.3,8966586.0,16763.126,11.1104,3.4167,1.078
2008-03-31,58.95,11733497.0,16388.531,4.9414,2.094,1.078
2008-04-30,68.14,7629134.0,19690.441,5.7117,2.4205,1.078
2008-05-31,75.47,29313264.0,21808.6139,6.3262,2.6808,1.078
2008-06-30,66.21,9106990.0,19133.6419,5.5502,2.352,1.078
2008-07-31,69.08,9672256.0,19963.0,5.7908,2.454,1.617
2008-08-31,66.36,11394225.0,19184.1548,5.5627,2.3573,1.617
2008-09-30,49.28,7431605.0,14244.9653,4.1305,1.7504,1.617
2008-10-31,33.67,6425517.0,9734.2296,2.8226,1.1961,1.617
2008-11-30,27.15,10450536.0,7848.9286,2.2759,0.9645,1.617
2008-12-31,33.62,9201601.0,9718.6486,2.818,1.1942,1.617
2009-01-31,29.19,8456761.0,8437.1114,2.4464,1.0367,1.617
2009-02-28,29.75,4319600.0,8600.7119,2.4939,1.0568,1.617
2009-03-31,37.19,10187762.0,10750.8898,2.022,0.8877,1.617
2009-04-30,51.07,16408852.0,14762.9973,2.7766,1.2189,1.617
2009-05-31,73.3,9417527.0,21190.1597,3.9853,1.7496,1.617
2009-06-30,77.09,14992875.0,22284.7249,4.1912,1.84,1.617
2009-07-31,91.87,10462243.0,26557.8141,4.9949,2.1928,2.156
2009-08-31,107.91,20509052.0,30419.4699,5.8667,2.5755,2.156
2009-09-30,101.22,6727197.0,28535.3469,5.5033,2.416,2.156
2009-10-31,94.19,5697869.0,26552.4594,5.1209,2.2481,2.156
2009-11-30,100.66,4533099.0,28375.8042,5.4725,2.4025,2.156
2009-12-31,110.82,9994556.0,31242.9335,6.0249,2.645,2.156
2010-01-31,106.29,8093693.0,29966.4712,5.7788,2.5369,2.156
2010-02-28,95.81,3426346.0,27010.8532,5.2088,2.2867,2.156
2010-03-31,107.84,9244232.0,30513.6386,6.1486,1.9063,2.156
2010-04-30,114.64,6799057.0,32439.09,6.5366,2.0266,2.156
2010-05-31,114.62,5505376.0,32477.907,6.535,2.0261,2.156
2010-06-30,112.81,3695023.0,31966.2636,6.4321,1.9942,2.156
2010-07-31,107.43,7610495.0,30442.7878,6.1255,1.8991,2.156
2010-08-31,96.51,3984131.0,27346.1992,5.5025,1.706,2.4255
