HUDCO IN Equity,price,volume,mc,pe,bm,div
2017-05-31,73.2,352436288.0,146539.0818,18.4791,1.5984,0.0
2017-06-30,67.1,51716148.0,134327.4916,16.9392,1.4652,0.0
2017-07-31,81.8,663558446.0,163755.422,20.6501,1.7862,0.0
2017-08-31,83.15,137499651.0,166457.987,20.9909,1.8157,0.0
2017-09-30,83.2,177861660.0,166558.082,21.0035,1.8168,0.05
2017-10-31,85.95,92532013.0,172063.3071,21.6978,1.8769,0.05
2017-11-30,82.25,82465823.0,164656.275,20.7637,1.7961,0.05
2017-12-31,82.5,55274889.0,165156.75,20.8268,1.8015,0.05
2018-01-31,82.25,78543692.0,164656.275,20.7637,1.7961,0.05
2018-02-28,77.0,47284265.0,154146.3,19.4384,1.6814,0.05
2018-03-31,66.3,40180627.0,132725.97,13.1548,1.335,0.55
2018-04-30,65.65,25125105.0,131424.735,13.0258,1.3219,0.55
2018-05-31,59.6,45509576.0,119313.24,11.8254,1.2001,0.55
2018-06-30,56.45,32053799.0,113007.255,11.2004,1.1366,0.55
2018-07-31,56.1,20075468.0,112306.59,11.131,1.1296,0.55
2018-08-31,55.3,18552647.0,110705.07,10.9722,1.1135,0.55
2018-09-30,46.15,42241595.0,92387.685,9.1567,0.9292,0.55
2018-10-31,43.5,24814637.0,87082.65,8.631,0.8759,0.55
2018-11-30,43.0,17587980.0,86081.7,8.5317,0.8658,0.55
2018-12-31,42.95,14694431.0,85981.605,8.5218,0.8648,0.55
2019-01-31,41.9,30004009.0,83879.61,8.3135,0.8437,0.55
2019-02-28,40.4,17824680.0,80876.76,8.0159,0.8135,0.55
2019-03-31,44.9,28869817.0,89885.31,7.6231,0.8205,1.35
2019-04-30,41.4,13053182.0,82878.66,7.0289,0.7566,1.35
2019-05-31,42.8,23553709.0,85681.32,7.2666,0.7821,1.35
2019-06-30,40.15,13705862.0,80376.285,6.8166,0.7337,1.35
2019-07-31,34.05,19417083.0,68164.695,5.781,0.6222,1.35
2019-08-31,36.35,27282643.0,72769.065,6.1715,0.6643,1.35
2019-09-30,34.9,22224099.0,69866.31,5.9253,0.6378,0.825
2019-10-31,41.15,26754312.0,82378.185,6.9864,0.752,0.825
2019-11-30,41.7,43773488.0,83479.23,7.0798,0.762,0.825
2019-12-31,36.05,19978929.0,72168.495,6.1205,0.6588,0.825
2020-01-31,41.3,47808145.0,82678.47,7.0119,0.7547,0.825
2020-02-29,29.75,23748147.0,59556.525,5.0509,0.5437,0.825
2020-03-31,20.0,30262530.0,40038.0,2.3447,0.3244,0.9
2020-04-30,25.35,36886511.0,50748.165,2.9719,0.4112,0.9
2020-05-31,22.95,31169269.0,45943.605,2.6905,0.3722,0.9
2020-06-30,34.75,102693175.0,69566.025,4.0739,0.5636,0.9
2020-07-31,33.7,78701934.0,67464.03,3.9508,0.5466,0.9
2020-08-31,35.15,39772248.0,70366.785,4.1208,0.5701,0.9
2020-09-30,32.4,31534152.0,64861.56,3.7984,0.5255,3.1
2020-10-31,31.65,15109191.0,63360.135,3.7104,0.5134,3.1
2020-11-30,35.3,28019090.0,70667.07,4.1383,0.5726,3.1
2020-12-31,39.7,75942250.0,79475.43,4.6542,0.6439,3.1
2021-01-31,42.8,118257376.0,85681.32,5.0176,0.6942,3.1
2021-02-28,49.0,93925303.0,98093.1,5.7444,0.7948,3.1
2021-03-31,43.85,99588985.0,87783.315,5.5577,0.6656,3.1
2021-04-30,41.7,41056393.0,83479.23,5.2852,0.633,3.1
2021-05-31,49.35,74224627.0,98793.765,6.2548,0.7491,3.1
2021-06-30,53.05,188419956.0,106200.795,6.7237,0.8053,3.1
2021-07-31,45.25,88422698.0,90585.975,5.7351,0.6869,3.1
2021-08-31,43.05,53428875.0,86181.795,5.4563,0.6535,3.1
2021-09-30,45.05,58561278.0,90185.595,5.7098,0.6839,2.175
2021-10-31,42.85,70790085.0,85781.415,5.4309,0.6505,2.175
2021-11-30,39.1,33936136.0,78274.29,4.9556,0.5935,2.175
2021-12-31,38.9,32030784.0,77873.91,4.9303,0.5905,2.175
2022-01-31,41.0,51158154.0,82077.9,5.1965,0.6224,2.175
2022-02-28,33.75,37462497.0,67564.125,4.2776,0.5123,2.175
2022-03-31,32.75,35264593.0,65562.225,3.8215,0.4532,2.175
2022-04-30,35.25,44054664.0,70566.975,4.1132,0.4878,2.175
2022-05-31,35.95,34979615.0,71968.305,4.1949,0.4975,2.175
2022-06-30,34.8,21411808.0,69666.12,4.0607,0.4816,2.175
2022-07-31,36.7,14197650.0,73469.73,4.2824,0.5078,2.175
2022-08-31,40.55,36617140.0,81177.045,4.7316,0.5611,2.175
2022-09-30,35.25,49983958.0,70566.975,4.1132,0.4878,3.5
2022-10-31,36.3,29465134.0,72668.97,4.2357,0.5023,3.5
2022-11-30,53.3,477677404.0,106701.27,6.2194,0.7376,3.5
2022-12-31,52.1,400559586.0,104298.99,6.0793,0.721,3.5
2023-01-31,48.5,110168986.0,97092.15,5.6593,0.6711,3.5
2023-02-28,43.5,66477504.0,87082.65,5.0758,0.6019,3.5
2023-03-31,43.25,66386366.0,86582.175,5.0882,0.5606,3.5
2023-04-30,49.15,60912622.0,98393.385,5.7824,0.6371,3.5
2023-05-31,57.15,313416808.0,114408.585,6.7235,0.7408,3.5
2023-06-30,57.05,236473281.0,114208.395,6.7118,0.7395,3.5
2023-07-31,64.2,174094287.0,128521.98,7.5529,0.8322,3.5
2023-08-31,74.9,346199312.0,149942.31,8.8118,0.9709,3.5
2023-09-30,91.8,515706970.0,183774.42,10.8,1.19,3.85
2023-10-31,75.25,431819579.0,150642.975,8.8529,0.9754,3.85
2023-11-30,85.75,239983850.0,171662.925,10.0882,1.1116,3.85
2023-12-31,125.95,1072416857.0,252139.305,14.8176,1.6327,3.85
2024-01-31,172.35,856328392.0,345027.465,20.2765,2.2341,3.85
2024-02-29,191.15,791773617.0,382663.185,22.4882,2.4778,3.85
2024-03-31,187.25,270168854.0,374855.775,17.7152,2.2565,4.6
2024-04-30,224.5,415188105.0,449426.55,21.2394,2.7053,4.6
2024-05-31,273.8,519121753.0,548120.22,25.9035,3.2994,4.6
2024-06-30,281.2,491576785.0,562934.28,26.6036,3.3886,4.6
2024-07-31,312.25,767907661.0,625093.275,29.5412,3.7628,4.6
2024-08-31,280.65,280638727.0,561833.235,26.5516,3.382,4.6
2024-09-30,241.8,206361881.0,484059.42,22.8761,2.9138,4.15
2024-10-31,217.23,127087044.0,434872.737,20.5516,2.6177,4.15
2024-11-30,238.61,122729248.0,477673.359,22.5743,2.8754,4.15
2024-12-31,234.71,152275542.0,469865.949,22.2053,2.8284,4.15
2025-01-31,229.7,220073726.0,459836.43,21.7313,2.768,4.7
2025-02-28,165.14,224463554.0,330593.766,15.6235,1.99,4.7
2025-03-31,199.45,165695790.0,399278.955,14.7413,2.2219,5.75
2025-04-30,223.46,167707189.0,447344.574,16.5159,2.4894,5.75
2025-05-31,241.24,201884352.0,482938.356,17.83,2.6875,5.75
2025-06-30,237.56,163693180.0,475571.364,17.558,2.6465,5.75
2025-07-31,212.27,78802415.0,424943.313,15.6888,2.3648,5.75
2025-08-31,204.49,68770945.0,409368.531,15.1138,2.2781,6.9
2025-09-30,223.63,93355363.0,447684.897,16.5285,2.4913,5.3
2025-10-31,237.0,93706719.0,474450.3,17.5166,2.6403,5.3
2025-11-30,239.28,103648865.0,479014.632,17.6851,2.6657,6.3
2025-12-31,228.13,84788232.0,456693.447,16.861,2.5415,6.3
2026-01-31,191.65,92188314.0,383664.135,14.1648,2.1351,4.25
2026-02-28,186.75,128616713.0,373854.825,13.8027,2.0805,5.4
2026-03-31,178.27,11569912.0,356878.7216,13.1759,1.986,4.35
