TATATECH IN Equity,price,volume,mc,pe,bm,div
2023-11-30,1313.0,49427341.0,532642.7799,,,0.0
2023-12-31,1180.15,81469350.0,478749.7157,,,0.0
2024-01-31,1111.4,20459376.0,450860.0042,,,0.0
2024-02-29,1083.4,28554301.0,439501.2854,,,0.0
2024-03-31,1020.6,21691614.0,414025.3017,60.9313,12.8547,0.0
2024-04-30,1067.15,37062119.0,432909.1718,63.7104,13.441,0.0
2024-05-31,1030.2,19178178.0,417919.7196,61.5045,12.9756,0.0
2024-06-30,1021.95,28194138.0,414572.9542,61.0119,12.8717,10.05
2024-07-31,999.35,18190584.0,405404.8455,59.6627,12.587,10.05
2024-08-31,1065.6,122646175.0,432280.3856,63.6179,13.4214,10.05
2024-09-30,1103.15,78417473.0,447513.2389,65.8597,13.8944,10.05
2024-10-31,1006.3,30053100.0,408224.2417,60.0776,12.6745,10.05
2024-11-30,938.5,14219553.0,380719.9154,56.0299,11.8206,10.05
2024-12-31,891.35,18509320.0,361592.6442,53.2149,11.2267,10.05
2025-01-31,787.6,24391631.0,319504.5342,47.0209,9.92,10.05
2025-02-28,671.75,19142790.0,272507.835,40.1045,8.4608,10.05
2025-03-31,679.9,42389959.0,275814.0335,40.737,7.7056,10.05
2025-04-30,657.85,86964999.0,266869.0425,39.4158,7.4557,10.05
2025-05-31,773.6,56919114.0,313825.1748,46.3511,8.7675,10.05
2025-06-30,711.0,61053949.0,288430.3248,42.6004,8.058,11.7
2025-07-31,702.25,30110355.0,284880.7252,42.0761,7.9589,11.7
2025-08-31,657.25,13802119.0,266632.9611,39.3799,7.4489,11.7
2025-09-30,669.5,23324678.0,271624.0769,40.1138,7.5877,11.7
2025-10-31,692.25,15593350.0,280854.0212,41.4769,7.8455,11.7
2025-11-30,679.05,11782043.0,275498.625,40.686,7.6959,11.7
2025-12-31,643.0,11184750.0,260893.1374,38.5261,7.2874,11.7
2026-01-31,645.95,31163672.0,262103.4851,38.7028,7.3208,11.7
2026-02-28,585.45,21680765.0,237576.6047,35.0779,6.6351,11.7
2026-03-31,575.45,2744264.0,233518.5926,34.4787,6.5218,11.7
