IIB IN Equity,price,volume,mc,pe,bm,div
2009-06-30,86.0,123253084.0,30530.0,,,1.2
2009-07-31,86.8,98005904.0,30814.0,,,1.2
2009-08-31,102.35,32664728.0,41952.9676,,,1.2
2009-09-30,115.6,38905556.0,47384.1042,,,1.2
2009-10-31,117.05,48623244.0,47984.2489,,,1.2
2009-11-30,121.65,23187562.0,49870.0032,,,1.2
2009-12-31,143.45,34521561.0,58806.8389,,,1.2
2010-01-31,147.9,22789471.0,60693.0859,,,1.2
2010-02-28,148.9,18447901.0,61107.5639,,,1.2
2010-03-31,170.1,27683604.0,69818.3465,,,1.2
2010-04-30,193.9,24960936.0,79647.0819,,,1.2
2010-05-31,196.1,33288658.0,80560.8399,,,1.2
2010-06-30,205.25,31328615.0,84331.2544,,,1.8
2010-07-31,204.25,19483728.0,83946.75,,,1.8
2010-08-31,221.65,19267616.0,91118.605,,,1.8
2010-09-30,265.9,29532834.0,109343.0819,,,1.8
2010-10-31,263.6,41125378.0,122397.4166,,,1.8
2010-11-30,292.35,77495058.0,135844.0212,,,1.8
2010-12-31,264.85,35116827.0,123130.7275,,,1.8
2011-01-31,223.9,33808407.0,104195.9183,,,1.8
2011-02-28,219.15,34699856.0,102064.9927,,,1.8
2011-03-31,263.6,23447045.0,122777.9747,,,1.8
2011-04-30,259.8,15858521.0,121009.9291,,,1.8
2011-05-31,264.05,15003051.0,123036.9775,,,1.8
2011-06-30,272.0,10764391.0,126743.1597,,,2.0
2011-07-31,271.2,15138869.0,126370.7912,,,2.0
2011-08-31,246.6,17395503.0,115025.7076,,,2.0
2011-09-30,262.25,9080943.0,122356.0156,,,2.0
2011-10-31,286.7,15021379.0,133768.8584,,,2.0
2011-11-30,248.95,12660423.0,116190.0659,,,2.0
2011-12-31,225.85,13218359.0,105411.4692,,,2.0
2012-01-31,291.9,15490191.0,136331.9538,,,2.0
2012-02-29,312.25,20578013.0,145879.7638,,,2.0
2012-03-31,321.65,17727220.0,150374.5946,,,2.0
2012-04-30,331.7,12202319.0,155121.5984,,,2.0
2012-05-31,298.4,11368701.0,139842.4718,,,2.0
2012-06-30,340.25,10240456.0,159486.9853,,,2.0
2012-07-31,334.15,9353512.0,156664.0575,,,2.2
2012-08-31,316.55,9053157.0,148499.3645,,,2.2
2012-09-30,355.3,13122101.0,166824.9736,,,2.2
2012-10-31,364.1,13253271.0,170998.1405,,,2.2
2012-11-30,416.75,19315454.0,195795.1988,,,2.2
2012-12-31,417.05,33405517.0,217724.7402,,,2.2
2013-01-31,435.8,32112641.0,227558.5931,,,2.2
2013-02-28,412.0,17601844.0,215216.8152,,,2.2
2013-03-31,404.7,36456387.0,211527.6544,,2.7743,2.2
2013-04-30,467.75,51823564.0,244515.1991,,3.2065,2.2
2013-05-31,517.3,36631704.0,270548.3105,,3.5461,2.2
2013-06-30,467.45,27374520.0,244593.4122,,3.2044,3.0
2013-07-31,387.45,59012830.0,202945.3121,,2.656,3.0
2013-08-31,356.75,81339177.0,186965.6985,,2.4456,3.0
2013-09-30,368.75,85479251.0,193276.6304,,2.5278,3.0
2013-10-31,445.6,78701746.0,233576.7805,,3.0546,3.0
2013-11-30,422.2,39395942.0,221349.9718,,2.8942,3.0
2013-12-31,420.7,47002870.0,220588.5654,,2.8839,3.0
2014-01-31,383.8,48394691.0,201475.8147,,2.631,3.0
2014-02-28,397.5,30516572.0,208828.2166,,2.7249,3.0
2014-03-31,501.85,54110860.0,263695.3121,,2.9182,3.0
2014-04-30,478.35,34201340.0,251524.0152,,2.7815,3.0
2014-05-31,533.95,39473782.0,280878.4922,,3.1048,3.0
2014-06-30,571.7,25113796.0,300801.4694,,3.1731,3.5
