SYRMA IN Equity,price,volume,mc,pe,bm,div
2022-08-31,309.75,110167504.0,54586.9752,62.3239,7.4515,0.0
2022-09-30,282.2,38608553.0,49731.8625,56.7807,6.7888,0.0
2022-10-31,274.75,9291481.0,48418.9554,55.2817,6.6095,0.0
2022-11-30,281.4,17300225.0,49745.2847,56.6197,6.7695,0.0
2022-12-31,280.85,11245409.0,49648.0569,56.5091,6.7563,0.0
2023-01-31,255.55,3948024.0,45175.5775,51.4185,6.1477,0.0
2023-02-28,265.4,9867929.0,46916.8393,53.4004,6.3846,0.0
2023-03-31,262.55,8247431.0,46413.0224,34.5916,3.0133,0.0
2023-04-30,295.15,6576215.0,52175.9801,38.8867,3.3874,0.0
2023-05-31,392.65,41586344.0,69411.8197,51.7325,4.5064,0.0
2023-06-30,447.9,27935432.0,79178.7954,59.0119,5.1406,0.0
2023-07-31,499.2,17766546.0,88247.4987,65.7708,5.7293,0.0
2023-08-31,539.95,23381855.0,95451.1958,71.1397,6.197,0.0
2023-09-30,611.65,20010206.0,108126.1671,80.5863,7.0199,1.5
2023-10-31,618.35,22137988.0,109310.5786,81.469,7.0968,1.5
2023-11-30,565.6,25409561.0,100442.1218,74.5191,6.4914,1.5
2023-12-31,671.0,18477435.0,119159.5894,88.4058,7.7011,1.5
2024-01-31,598.7,10377327.0,106320.188,78.8801,6.8713,1.5
2024-02-29,524.35,17530333.0,93116.7372,69.0843,6.018,1.5
2024-03-31,465.4,15899637.0,82648.0967,76.7987,5.1206,1.5
2024-04-30,487.8,7632271.0,86626.0025,80.495,5.367,1.5
2024-05-31,480.05,28147826.0,85249.7181,79.2162,5.2817,1.5
2024-06-30,497.0,26906654.0,88259.7853,82.0132,5.4682,1.5
2024-07-31,494.5,10605470.0,87815.8226,81.6007,5.4407,1.5
2024-08-31,438.35,17274907.0,77844.4203,72.335,4.8229,1.5
2024-09-30,424.8,15764490.0,75438.1424,70.099,4.6739,1.5
2024-10-31,517.9,61236618.0,91971.3134,85.462,5.6982,1.5
2024-11-30,566.15,36245766.0,100864.1585,93.4241,6.2291,1.5
2024-12-31,590.15,29303638.0,105139.9508,97.3845,6.4931,1.5
2025-01-31,532.05,50512042.0,94788.9703,87.797,5.8539,1.5
2025-02-28,413.85,24535202.0,73730.6933,68.2921,4.5534,1.5
2025-03-31,459.9,16662520.0,81934.8697,48.1571,4.6792,1.5
2025-04-30,465.4,18674972.0,82914.7388,48.733,4.7351,1.5
2025-05-31,538.8,33497226.0,95991.5369,56.4188,5.4819,1.5
2025-06-30,567.2,23890969.0,101051.2244,59.3927,5.7709,1.5
2025-07-31,756.0,63057796.0,134687.4571,79.1623,7.6918,1.5
2025-08-31,753.25,19301052.0,144973.6308,78.8743,7.6638,1.5
2025-09-30,767.4,40162677.0,147696.9987,80.356,7.8078,1.5
2025-10-31,813.8,34141041.0,156627.3358,85.2147,8.2799,1.5
2025-11-30,820.25,64458246.0,158169.2053,85.8901,8.3455,1.5
2025-12-31,733.15,23770938.0,141373.6701,76.7696,7.4593,1.5
2026-01-31,761.0,29192334.0,146743.9991,79.6859,7.7427,1.5
2026-02-28,822.25,30278048.0,158554.8663,86.0995,8.3658,1.5
2026-03-31,770.5,4165874.0,148575.8887,80.6806,7.8393,1.5
