NMDC IN Equity,price,volume,mc,pe,bm,div
1997-08-31,0.11,63000.0,,,,0.0222
1997-09-30,0.1,36000.0,,,,0.0222
2001-01-31,0.1,54000.0,1599.1021,,,0.0278
2001-02-28,0.28,2952000.0,4625.5019,,,0.0278
2001-03-31,0.16,4815000.0,2715.8304,,,0.0278
2001-04-30,0.18,225000.0,2920.674,,,0.0278
2001-05-31,0.26,765000.0,4374.4032,,,0.0278
2001-06-30,0.2,333000.0,3303.9299,,,0.0278
2001-07-31,0.27,261000.0,4493.3447,,,0.0
2001-08-31,0.25,234000.0,4202.5988,,,0.0278
2001-09-30,0.24,315000.0,3958.108,,,0.0278
2001-10-31,0.24,198000.0,3905.2451,,,0.0278
2001-11-30,0.23,63000.0,3819.343,,,0.0278
2001-12-31,0.23,216000.0,3885.4216,,,0.0278
2002-01-31,0.19,9000.0,3171.7727,,,0.0278
2002-05-31,0.36,45000.0,6019.7603,1.6844,0.3133,0.0278
2002-06-30,0.85,1584000.0,14081.3492,3.94,0.7329,0.0278
2002-07-31,0.78,2448000.0,13024.0917,3.6442,0.6778,0.0278
2002-08-31,0.86,702000.0,14272.9772,3.9936,0.7428,0.0278
2002-09-30,0.83,342000.0,13810.427,3.8642,0.7188,0.0278
2002-10-31,0.86,351000.0,14319.2322,4.0066,0.7452,0.0278
2002-11-30,0.79,171000.0,13189.2882,3.6904,0.6864,0.0278
2002-12-31,1.03,432000.0,17167.2198,4.8035,0.8935,0.0278
2003-01-31,0.72,18000.0,12026.3048,3.365,0.6259,0.0278
2003-02-28,0.72,63000.0,11894.1476,3.328,0.619,0.0278
2003-03-31,0.72,90000.0,11894.1476,2.7367,0.5192,0.0278
2003-04-30,0.84,36000.0,13876.5056,3.1928,0.6057,0.0278
2003-05-31,1.19,45000.0,19803.7558,4.5565,0.8644,0.0278
2003-06-30,1.13,126000.0,18733.2825,4.3102,0.8177,0.0278
2003-07-31,1.19,54000.0,19823.5794,4.5611,0.8653,0.0278
2003-08-31,1.55,1179000.0,25704.5746,5.9142,1.122,0.0333
2003-09-30,1.51,135000.0,25109.8672,5.7774,1.0961,0.0333
2003-10-31,1.51,531000.0,25109.8672,5.7774,1.0961,0.0333
2003-11-30,2.38,10314000.0,39508.3938,9.0903,1.7246,0.0333
2003-12-31,4.26,17424000.0,70730.5313,16.274,3.0874,0.0333
2004-01-31,3.97,5301000.0,65840.7151,15.149,2.874,0.0333
2004-02-29,3.22,657000.0,53484.0172,12.3059,2.3346,0.0333
2004-03-31,2.59,1584000.0,43003.9516,9.8946,1.8771,0.0333
2004-04-30,3.01,1773000.0,49955.4201,11.494,2.1806,0.0333
2004-05-31,2.78,324000.0,46083.2143,10.6031,2.0116,0.0333
2004-06-30,1.68,684000.0,27885.1684,6.416,1.2172,0.0333
2004-07-31,3.19,1305000.0,52862.8784,12.163,2.3075,0.0333
2004-08-31,2.47,1278000.0,40935.6915,9.4187,1.7869,0.0389
2004-09-30,3.52,882000.0,58413.4807,13.4401,2.5498,0.0389
2004-10-31,4.24,1053000.0,70373.7069,16.1919,3.0719,0.0389
2004-11-30,4.58,900000.0,75990.3877,17.4843,3.317,0.0389
2004-12-31,5.65,657000.0,93831.6092,21.5893,4.0958,0.0389
2005-01-31,7.96,1494000.0,132157.196,30.4074,5.7687,0.0389
2005-02-28,9.52,1017000.0,157927.8493,36.3368,6.8936,0.0856
2005-03-31,9.16,639000.0,151980.7755,396.8906,4.1246,0.0856
2005-04-30,6.77,189000.0,112333.6166,293.3539,3.0486,0.0856
2005-05-31,6.57,99000.0,109029.6867,284.7259,2.959,0.0856
2005-06-30,6.53,594000.0,108368.9008,283.0003,2.941,0.0856
2005-07-31,7.37,45000.0,122245.4063,319.2381,3.3176,0.1272
2005-08-31,7.96,405000.0,132157.196,345.1223,3.5866,0.1272
2005-09-30,8.23,900000.0,136650.5407,356.8564,3.7086,0.1272
2005-10-31,7.45,1287000.0,123566.9783,322.6893,3.3535,0.1699
2005-11-30,9.04,378000.0,149998.4175,391.7138,4.0708,0.1699
2005-12-31,9.95,1386000.0,165196.4951,431.4028,4.4833,0.1699
2006-01-31,12.54,630000.0,208147.5838,543.5676,5.6489,0.1699
2006-02-28,15.48,342000.0,256913.5891,670.9177,6.9724,0.3847
2006-03-31,17.52,666000.0,290745.8313,351.3657,5.2054,0.3847
2006-04-30,25.44,900000.0,422903.0273,510.1749,7.5581,0.3847
2006-05-31,27.07,1242000.0,449334.4666,543.0196,8.0447,0.3847
2006-06-30,26.28,2880000.0,436118.7469,527.0485,7.8081,0.3847
