LODHA IN Equity,price,volume,mc,pe,bm,div
2021-04-30,296.85,58630232.0,265572.8812,587.8218,5.1106,0.0
2021-05-31,315.58,23502606.0,282324.952,624.901,5.4329,0.0
2021-06-30,341.83,25837692.0,305809.1633,676.8812,5.8849,0.0
2021-07-31,426.9,29443372.0,381920.3884,845.3465,7.3495,0.0
2021-08-31,479.25,15591358.0,428754.6174,949.0099,8.2508,0.0
2021-09-30,528.75,21943382.0,473039.1319,1047.0297,9.1029,0.0
2021-10-31,532.1,21338382.0,476036.1647,1053.6634,9.1606,0.0
2021-11-30,708.9,22240316.0,634207.9254,1403.7624,12.2044,0.0
2021-12-31,616.78,26201038.0,551789.5235,1221.3366,10.6184,0.0
2022-01-31,647.08,10807088.0,578897.0142,1281.3366,11.14,0.0
2022-02-28,563.75,12822112.0,504351.4148,1116.3366,9.7055,0.0
2022-03-31,563.1,18516238.0,542272.4649,42.8539,4.4797,0.0
2022-04-30,504.55,11176166.0,485984.0353,38.398,4.0139,0.0
2022-05-31,484.13,11128024.0,466310.6156,36.8436,3.8515,0.0
2022-06-30,534.5,20457324.0,514831.9629,40.6773,4.2522,0.0
2022-07-31,572.25,8776986.0,551206.6073,43.5502,4.5525,0.0
2022-08-31,548.5,41502366.0,528336.5498,41.7428,4.3636,0.0
2022-09-30,462.1,8917166.0,445112.7068,35.1674,3.6762,0.0
2022-10-31,495.08,11338950.0,476875.5103,37.6769,3.9386,0.0
2022-11-30,492.65,25414352.0,474661.6981,37.4924,3.9193,0.0
2022-12-31,545.42,23176558.0,525509.7061,41.5088,4.3391,0.0
2023-01-31,511.18,12734118.0,492512.4352,38.9022,4.0667,0.0
2023-02-28,410.1,25004588.0,395130.392,31.21,3.2625,0.0
2023-03-31,465.15,49990744.0,448208.1895,92.1089,3.5396,0.0
2023-04-30,464.45,19632086.0,447549.1726,91.9703,3.5343,0.0
2023-05-31,545.45,52984524.0,525601.6712,108.0099,4.1507,0.0
2023-06-30,679.8,36404539.0,655296.8007,134.6139,5.173,0.0
2023-07-31,759.35,27368355.0,731979.4434,150.3663,5.7784,0.0
2023-08-31,670.35,19201174.0,646436.6815,132.7426,5.1011,0.0
2023-09-30,799.95,34147663.0,771447.8239,158.4059,6.0873,1.0
2023-10-31,787.7,26691975.0,759652.7379,155.9802,5.9941,1.0
2023-11-30,881.7,71301117.0,850343.469,174.5941,6.7094,1.0
2023-12-31,1023.55,17819682.0,987182.4538,202.6832,7.7888,1.0
2024-01-31,1070.1,24028362.0,1032120.277,211.901,8.1431,1.0
2024-02-29,1165.25,24390677.0,1123893.237,230.7426,8.8671,1.0
2024-03-31,1135.85,28440666.0,1129553.09,70.8578,6.4659,1.0
2024-04-30,1238.6,20229114.0,1231942.789,77.2676,7.0508,1.0
2024-05-31,1377.95,39077184.0,1370629.001,85.9607,7.8441,1.0
2024-06-30,1503.55,27827485.0,1495948.71,93.796,8.5591,1.0
2024-07-31,1308.8,21397950.0,1302247.598,81.6469,7.4505,1.0
2024-08-31,1253.9,32225993.0,1247898.03,78.2221,7.1379,2.25
2024-09-30,1234.4,25353917.0,1228524.815,77.0056,7.0269,2.25
2024-10-31,1206.25,30363078.0,1201904.267,75.2495,6.8667,2.25
2024-11-30,1253.2,33887762.0,1249070.681,78.1784,7.134,2.25
2024-12-31,1389.4,38628049.0,1385143.993,86.675,7.9093,2.25
2025-01-31,1204.5,46441880.0,1200835.838,75.1404,6.8567,2.25
2025-02-28,1130.9,32833126.0,1127900.029,70.549,6.4378,2.25
2025-03-31,1195.8,26735078.0,1192892.844,43.0764,5.9119,2.25
2025-04-30,1329.3,37681702.0,1326158.572,47.8854,6.5719,2.25
2025-05-31,1425.5,30039916.0,1422379.648,51.3509,7.0475,2.25
2025-06-30,1384.2,26543142.0,1381362.202,49.8631,6.8433,2.25
2025-07-31,1231.6,50531266.0,1229337.33,44.366,6.0889,2.25
2025-08-31,1192.3,20829383.0,1190347.181,42.9503,5.8946,4.25
2025-09-30,1135.8,23881543.0,1134043.455,40.915,5.6153,4.25
2025-10-31,1197.9,33991508.0,1196107.161,43.152,5.9223,4.25
2025-11-30,1148.2,23620852.0,1146616.892,41.3617,5.6766,4.25
2025-12-31,1061.3,20068289.0,1059970.343,38.2313,5.247,4.25
2026-01-31,971.5,50666354.0,970352.3748,34.9964,4.803,4.25
2026-02-28,988.25,26693302.0,987152.7559,35.5998,4.8858,4.25
2026-03-31,915.55,7439014.0,914533.4618,32.9809,4.5264,4.25
