ABCAP IN Equity,price,volume,mc,pe,bm,div
2017-09-30,183.75,188462677.0,404416.658,,,0.0
2017-10-31,177.9,80370143.0,391541.3522,,,0.0
2017-11-30,194.5,169830881.0,428076.4175,,,0.0
2017-12-31,184.15,67727855.0,405297.0298,,,0.0
2018-01-31,170.85,74092125.0,376024.9662,,,0.0
2018-02-28,166.55,51006238.0,366561.0527,,,0.0
2018-03-31,145.95,61495682.0,321222.3695,41.1127,3.7626,0.0
2018-04-30,159.75,46222175.0,351621.2432,45.0,4.1183,0.0
2018-05-31,146.7,53624441.0,322918.6084,41.3239,3.7819,0.0
2018-06-30,133.2,46595349.0,293202.1721,37.5211,3.4339,0.0
2018-07-31,146.5,38807528.0,322492.2304,41.2676,3.7767,0.0
2018-08-31,141.25,46604975.0,310935.3416,39.7887,3.6414,0.0
2018-09-30,114.65,29905149.0,252382.5101,32.2958,2.9557,0.0
2018-10-31,104.55,44202543.0,230152.3938,29.4507,2.6953,0.0
2018-11-30,105.05,36355278.0,231254.3787,29.5915,2.7082,0.0
2018-12-31,100.0,36183477.0,220139.5689,28.169,2.578,0.0
2019-01-31,81.0,40592210.0,178313.0508,22.8169,2.0882,0.0
2019-02-28,91.9,60039339.0,202308.2638,25.8873,2.3692,0.0
2019-03-31,97.2,117064918.0,213975.661,24.5455,2.2495,0.0
2019-04-30,97.75,68085824.0,215187.2765,24.6843,2.2622,0.0
2019-05-31,99.1,50298757.0,218160.1892,25.0253,2.2934,0.0
2019-06-30,91.8,29620913.0,202089.8625,23.1818,2.1245,0.0
2019-07-31,82.05,27395073.0,180626.0699,20.7197,1.8988,0.0
2019-08-31,89.3,28681837.0,196586.3259,22.5505,2.0666,0.0
2019-09-30,84.85,31873402.0,186821.4078,21.4268,1.9636,0.0
2019-10-31,81.85,42199642.0,180279.3531,20.6692,1.8942,0.0
2019-11-30,109.45,151315459.0,253160.5153,27.6389,2.533,0.0
2019-12-31,102.7,51680676.0,237568.1307,25.9343,2.3767,0.0
2020-01-31,99.2,62184574.0,229471.8458,25.0505,2.2957,0.0
2020-02-29,77.5,44819350.0,179279.1769,19.5707,1.7936,0.0
2020-03-31,42.15,49622902.0,101740.0138,10.3563,0.809,0.0
2020-04-30,49.95,35861358.0,120567.3474,12.2727,0.9587,0.0
2020-05-31,45.85,63331844.0,110671.9119,11.2654,0.88,0.0
2020-06-30,63.3,144838722.0,152794.9165,15.5528,1.215,0.0
2020-07-31,54.1,60417073.0,130589.7595,13.2924,1.0384,0.0
2020-08-31,61.25,69910267.0,147851.2109,15.0491,1.1756,0.0
2020-09-30,62.2,108762183.0,150158.6765,15.2826,1.1938,0.0
2020-10-31,64.75,53415569.0,156341.2272,15.9091,1.2428,0.0
2020-11-30,88.45,87182500.0,213588.248,21.7322,1.6977,0.0
2020-12-31,85.0,82462153.0,205271.4971,20.8845,1.6315,0.0
2021-01-31,80.8,74441727.0,195132.2998,19.8526,1.5509,0.0
2021-02-28,123.65,200658410.0,298620.2321,30.3808,2.3733,0.0
2021-03-31,119.3,93368486.0,288142.657,25.546,2.0967,0.0
2021-04-30,114.55,75578180.0,276670.0869,24.5289,2.0132,0.0
2021-05-31,121.15,91078660.0,292617.2389,25.9422,2.1292,0.0
2021-06-30,117.25,62305705.0,283210.4361,25.1071,2.0607,0.0
2021-07-31,115.8,93878226.0,279708.0571,24.7966,2.0352,0.0
2021-08-31,107.85,88735381.0,260505.3019,23.0942,1.8955,0.0
2021-09-30,112.75,76643206.0,272340.9624,24.1435,1.9816,0.0
2021-10-31,96.7,55673435.0,233573.1358,20.7066,1.6995,0.0
2021-11-30,109.1,87451484.0,263597.5576,23.3619,1.9174,0.0
2021-12-31,123.9,145597300.0,299364.5464,26.531,2.1776,0.0
2022-01-31,117.65,139905909.0,284267.3083,25.1927,2.0677,0.0
2022-02-28,105.55,110162464.0,255032.6212,22.6017,1.8551,0.0
2022-03-31,107.65,82620298.0,260115.9853,15.2479,1.679,0.0
2022-04-30,120.85,120547415.0,292011.3035,17.1176,1.8849,0.0
2022-05-31,101.1,109940746.0,244299.7787,14.3201,1.5769,0.0
2022-06-30,89.4,51556495.0,216036.415,12.6629,1.3944,0.0
2022-07-31,106.35,58645848.0,256997.3496,15.0637,1.6587,0.0
2022-08-31,114.25,83657898.0,276091.8953,16.1827,1.782,0.0
2022-09-30,111.8,85055300.0,270188.1958,15.8357,1.7438,0.0
2022-10-31,116.85,39806149.0,282405.05,16.551,1.8225,0.0
2022-11-30,145.35,133782408.0,351285.0572,20.5878,2.267,0.0
2022-12-31,150.2,132291283.0,363028.2253,21.2748,2.3427,0.0
2023-01-31,141.2,54006339.0,341296.9581,20.0,2.2023,0.0
2023-02-28,145.85,45280483.0,352548.2319,20.6586,2.2748,0.0
2023-03-31,153.55,94006877.0,371282.9851,7.7394,1.828,0.0
2023-04-30,167.2,62364620.0,404333.3208,8.4274,1.9905,0.0
2023-05-31,170.3,84869860.0,411931.6949,8.5837,2.0274,0.0
2023-06-30,196.3,138193196.0,489708.6493,9.8942,2.337,0.0
2023-07-31,195.8,82393681.0,508330.5348,9.869,2.331,0.0
2023-08-31,181.15,103903499.0,470626.3595,9.1305,2.1566,0.0
2023-09-30,179.95,84893728.0,467626.2388,9.0701,2.1423,0.0
2023-10-31,172.45,49267408.0,448267.395,8.692,2.053,0.0
2023-11-30,168.0,85546819.0,436706.924,8.4677,2.0,0.0
2023-12-31,166.4,117707761.0,432567.3687,8.3871,1.981,0.0
2024-01-31,171.1,141009145.0,444803.8638,8.624,2.0369,0.0
2024-02-29,183.65,181476538.0,477482.9758,9.2566,2.1864,0.0
2024-03-31,175.4,127258089.0,456043.8385,13.4406,1.7006,0.0
2024-04-30,231.4,295000794.0,601800.2584,17.7318,2.2435,0.0
2024-05-31,223.85,176391150.0,582193.9288,17.1533,2.1703,0.0
2024-06-30,238.71,176846380.0,621142.0869,18.292,2.3144,0.0
2024-07-31,226.88,88822736.0,590388.0256,17.3854,2.1997,0.0
2024-08-31,220.11,133628160.0,573213.3595,16.8667,2.134,0.0
2024-09-30,237.48,141783847.0,618659.7514,18.1977,2.3024,0.0
2024-10-31,203.23,152897510.0,529464.9805,15.5732,1.9704,0.0
2024-11-30,194.33,90955338.0,506300.0169,14.8912,1.8841,0.0
2024-12-31,177.82,57619927.0,463489.0182,13.6261,1.724,0.0
2025-01-31,179.39,89197287.0,467607.8089,13.7464,1.7392,0.0
2025-02-28,156.33,82685083.0,407510.593,11.9793,1.5157,0.0
2025-03-31,185.07,105647364.0,482479.4928,14.5857,1.5877,0.0
2025-04-30,196.36,95922258.0,511930.0696,15.4754,1.6845,0.0
2025-05-31,222.51,119912183.0,580249.9205,17.5364,1.9089,0.0
2025-06-30,276.6,226346949.0,721784.9271,21.7993,2.3729,0.0
2025-07-31,256.65,86048062.0,670118.4665,20.227,2.2018,0.0
2025-08-31,277.85,122591885.0,725780.0565,21.8978,2.3836,0.0
2025-09-30,292.35,110524449.0,763745.726,23.0406,2.508,0.0
2025-10-31,324.2,155091677.0,847014.4959,25.5507,2.7813,0.0
2025-11-30,358.05,91347105.0,935749.9144,28.2185,3.0717,0.0
2025-12-31,357.7,103719870.0,936195.7391,28.1909,3.0687,0.0
2026-01-31,339.8,88494033.0,889422.2488,26.7802,2.9151,0.0
2026-02-28,344.45,245781815.0,902146.2914,27.1466,2.955,0.0
2026-03-31,328.15,17006021.0,859455.0734,25.862,2.8152,0.0
