TELX IN Equity,price,volume,mc,pe,bm,div
1995-01-31,28.75,,,,,0.0
1995-02-28,16.88,,,,,0.0
1995-03-31,15.63,,,,,0.0
1995-04-30,14.0,,,,,0.0
1995-05-31,14.13,,,,,0.0
1995-06-30,11.5,,,,,0.0
1995-07-31,14.63,,,,,0.0
1995-08-31,14.0,,,,,0.0
1995-09-30,13.75,,,,,0.0
1995-10-31,13.5,,,,,0.0
1995-11-30,10.75,,,,,0.0
1995-12-31,12.13,,,,,0.0
1996-01-31,9.6,,,,,0.0
1996-02-29,11.0,,,,,0.0
1996-03-31,9.63,,,,,0.0
1996-04-30,10.38,,,,,0.0
1996-05-31,9.63,46200.0,,,,0.0
1996-06-30,12.23,528200.0,,,,0.0
1996-07-31,9.53,213200.0,,,,0.0
1996-08-31,10.6,105200.0,,,,0.0
1996-09-30,8.63,55200.0,,,,0.0
1996-10-31,8.45,73600.0,,,,0.0
1996-11-30,7.75,34400.0,,,,0.0
1996-12-31,8.7,42200.0,,,,0.0
1997-01-31,8.25,114800.0,,,,0.0
1997-02-28,8.4,52100.0,,,,0.0
1997-03-31,7.28,77400.0,,81.2849,1.707,0.0
1997-04-30,7.83,43400.0,,87.4302,1.8361,0.0
1997-05-31,8.13,167200.0,,90.7821,1.9065,0.0
1997-06-30,7.75,103200.0,483.073,86.5922,1.8185,0.0
1997-07-31,9.6,178600.0,598.3872,107.2626,2.2526,0.0
1997-08-31,13.25,1277700.0,825.899,148.0447,3.109,0.0
1997-09-30,16.88,3659000.0,1051.8525,188.5475,3.9596,0.0
1997-10-31,15.25,446000.0,989.5205,170.3911,3.5783,0.0
1997-11-30,12.08,169200.0,752.6589,134.9162,2.8333,0.0
1997-12-31,13.75,106200.0,857.065,153.6313,3.2264,0.0
1998-01-31,14.0,245800.0,872.648,156.4246,3.285,0.0
1998-02-28,14.5,105600.0,903.814,162.0112,3.4023,0.0
1998-03-31,16.6,627800.0,1034.7112,50.0,3.613,0.0
1998-04-30,22.83,2246000.0,1422.7279,68.75,4.9678,0.0
1998-05-31,22.1,1794000.0,1377.5372,66.5663,4.81,0.0
1998-06-30,17.15,1166400.0,1068.9938,51.6566,3.7327,0.0
1998-07-31,21.25,1017800.0,1324.555,64.006,4.625,0.0
1998-08-31,31.68,2273800.0,1974.3661,95.4066,6.894,0.0
1998-09-30,32.38,3075000.0,2017.9985,97.5151,7.0464,0.0
1998-10-31,28.58,1201200.0,1781.1369,86.0693,6.2193,0.0
1998-11-30,25.68,774200.0,1600.3741,77.3343,5.5881,0.0
1998-12-31,34.03,1554400.0,2120.8463,102.4849,7.4055,0.0
1999-01-31,49.05,9567100.0,3057.3846,147.741,10.6756,0.0
1999-02-28,42.75,7447600.0,2664.693,128.7651,9.3045,0.0
1999-03-31,64.6,11245700.0,4026.6472,145.1685,12.8074,0.0
1999-04-30,39.9,6541200.0,2487.0468,89.6629,7.9105,0.0
1999-05-31,37.05,4472800.0,2307.3258,83.2584,7.3454,0.0
1999-06-30,34.55,2574800.0,2151.6358,77.6405,6.8498,0.0
1999-07-31,43.45,5430000.0,2705.8922,97.6405,8.6143,0.0
1999-08-31,53.5,4086000.0,3331.7661,120.2247,10.6068,0.0
1999-09-30,79.3,16330400.0,4938.4869,178.2023,15.7218,0.0
1999-10-31,71.3,19763300.0,4440.2789,160.2247,14.1357,0.0
1999-11-30,106.28,22497674.0,6618.382,238.8202,21.0698,0.0
1999-12-31,146.5,36837380.0,9123.4341,329.2135,29.0447,0.0
2000-01-31,97.53,12599856.0,6073.467,219.1573,19.335,0.0
2000-02-29,95.25,23975542.0,5931.7891,214.0449,18.884,0.0
2000-03-31,64.0,13657072.0,3985.6641,59.4519,12.1026,0.0
2000-04-30,52.5,7069636.0,3269.4901,48.7692,9.9279,0.0
2000-05-31,53.38,11761646.0,3326.9705,49.582,10.0934,0.75
2000-06-30,65.05,21630064.0,4054.6966,60.4273,12.3012,0.75
2000-07-31,50.93,9591828.0,3174.2571,47.3061,9.6301,0.75
2000-08-31,55.23,11595098.0,3442.2847,51.3005,10.4433,0.75
2000-09-30,50.73,12792844.0,3161.7907,47.1203,9.5923,0.75
2000-10-31,45.6,5658530.0,2839.7856,42.3595,8.6231,0.75
2000-11-30,48.45,9611472.0,3017.2722,45.007,9.1621,0.75
2000-12-31,48.38,13944484.0,3015.2718,44.9373,9.1479,0.75
2001-01-31,55.13,18436452.0,3436.0074,51.2076,10.4243,0.75
2001-02-28,61.5,54485482.0,3833.3688,57.1296,11.6299,0.75
2001-03-31,34.98,32422032.0,2180.0337,15.7191,7.0394,0.75
2001-04-30,37.17,10366686.0,2317.1623,16.7079,,0.75
2001-05-31,43.23,15124540.0,2694.2661,19.427,,0.75
2001-06-30,33.13,13619958.0,2064.721,14.8876,,1.25
2001-07-31,23.95,1064958.0,1492.8322,10.764,,1.25
2001-08-31,23.6,1264162.0,1469.7231,10.6067,,1.25
2001-09-30,19.75,942156.0,1229.9589,8.8764,,1.25
2001-10-31,21.33,1274802.0,1328.0443,9.5843,,1.25
2001-11-30,31.08,4246262.0,1935.2392,13.9663,,1.25
2001-12-31,29.78,3457054.0,1854.2799,13.382,,1.25
2002-01-31,28.18,2616608.0,1754.6376,12.6629,,1.25
2002-02-28,34.17,18139564.0,2128.296,15.3596,,1.25
2002-03-31,38.42,9472842.0,2392.9707,15.7292,5.7182,1.25
2002-04-30,60.48,40817404.0,3766.1654,24.7553,8.9996,0.0
2002-05-31,49.9,24590982.0,3107.5924,20.4264,7.4259,0.0
2002-06-30,57.15,18549142.0,3559.0963,23.3942,8.5048,1.75
