TRE IN Equity,price,volume,mc,pe,bm,div
2007-03-31,53.9,25736113.0,13899.7421,7.7835,2.5164,0.7
2007-04-30,48.1,17871506.0,12404.037,6.9459,2.2456,0.7
2007-05-31,54.35,18398138.0,14015.7882,7.8485,2.5374,0.7
2007-06-30,57.8,15753987.0,14905.4749,8.3467,2.6984,0.45
2007-07-31,60.4,24544036.0,15575.9634,8.7221,2.8198,0.45
2007-08-31,79.5,40240490.0,20501.4749,11.4803,3.7115,0.45
2007-09-30,111.15,166636077.0,28663.3625,42.0951,4.0505,0.45
2007-10-31,136.95,141373918.0,35316.6667,51.8661,4.9907,0.45
2007-11-30,136.9,72588987.0,35303.7727,51.8472,4.9889,0.45
2007-12-31,175.7,122755926.0,45309.5169,66.5417,6.4028,0.375
2008-01-31,119.3,75925901.0,30765.0846,45.1817,4.3475,0.375
2008-02-29,139.9,54244854.0,36077.4127,52.9834,5.0982,0.375
2008-03-31,106.25,34753007.0,27399.7505,40.2393,3.8719,0.375
2008-04-30,128.4,31263581.0,33111.7926,48.6281,4.6791,0.375
2008-05-31,109.3,35328912.0,28186.2845,41.3944,3.9831,0.375
2008-06-30,66.8,40085792.0,17226.3843,25.2987,2.4343,0.375
2008-07-31,93.3,48240737.0,24060.2045,35.3349,3.4,0.375
2008-08-31,96.3,91752688.0,24833.8445,36.471,3.5093,0.1
2008-09-30,78.45,47848411.0,20230.6864,16.5856,2.5008,0.1
2008-10-31,39.85,29032196.0,10276.5182,8.4249,1.2703,0.1
2008-11-30,37.6,43664981.0,9696.2882,7.9493,1.1986,0.1
2008-12-31,50.3,24277906.0,12971.3642,10.6342,1.6034,0.6
2009-01-31,52.7,17631327.0,13590.2763,11.1416,1.6799,0.6
2009-02-28,38.75,14474205.0,9992.8502,8.1924,1.2352,0.6
2009-03-31,39.5,13201630.0,10186.2602,8.351,1.2592,0.6
2009-04-30,51.65,28705083.0,13319.5023,10.9197,1.6465,0.6
2009-05-31,87.15,64940406.0,22474.2424,18.4249,2.7781,0.3
2009-06-30,95.45,74407843.0,24614.6465,20.1797,3.0427,0.3
2009-07-31,109.25,36763087.0,28173.3905,23.0973,3.4826,0.3
2009-08-31,112.6,31010788.0,29037.2885,23.8055,3.5894,0.3
2009-09-30,109.35,19732007.0,28199.1785,16.176,2.9595,0.3
2009-10-31,102.6,36857752.0,26458.4885,15.1775,2.7768,0.3
2009-11-30,102.65,28992128.0,26471.3825,15.1849,2.7782,0.3
2009-12-31,107.15,21973536.0,27631.8425,15.8506,2.9,1.4
2010-01-31,121.95,36592834.0,31448.4666,18.0399,3.3005,1.4
2010-02-28,115.1,21059771.0,29681.9886,17.0266,3.1151,1.4
2010-03-31,136.55,43248621.0,35213.5147,20.1997,3.6956,1.4
2010-04-30,112.7,20704293.0,29063.0766,16.6716,3.0502,1.4
2010-05-31,95.3,20673831.0,24575.9645,14.0976,2.5792,0.4
2010-06-30,101.95,20664774.0,26290.8665,15.0814,2.7592,0.4
2010-07-31,103.5,13617491.0,26690.5805,15.3107,2.8012,0.4
2010-08-31,96.25,11238996.0,24820.9505,14.2382,2.605,0.4
2010-09-30,123.25,25672077.0,31783.7106,45.6481,3.1793,0.4
2010-10-31,119.8,18353818.0,30894.0246,44.3704,3.0903,0.4
2010-11-30,105.4,19988688.0,27180.5525,39.037,2.7188,0.4
2010-12-31,110.95,11964597.0,28611.7865,41.0926,2.862,0.4
2011-01-31,92.05,7212523.0,23737.8544,34.0926,2.3745,0.4
2011-02-28,89.9,13049946.0,23183.4124,33.2963,2.319,0.35
2011-03-31,96.35,8580558.0,24846.7385,35.6852,2.4854,0.35
2011-04-30,103.9,18190687.0,26793.7325,38.4815,2.6802,0.35
2011-05-31,37.25,26470269.0,9606.0302,13.7963,0.9609,0.35
2011-06-30,39.55,8755114.0,10199.1542,14.6481,1.0202,0.35
2011-07-31,33.75,11916481.0,8703.4502,12.5,0.8706,0.35
2011-08-31,21.9,10575069.0,5647.5721,8.1111,0.5649,0.35
2011-09-30,21.65,11582263.0,5583.1021,16.1567,0.5208,0.35
2011-10-31,22.9,10059659.0,5905.4521,17.0896,0.5509,0.35
2011-11-30,13.45,23335855.0,3468.4861,10.0373,0.3236,0.35
2011-12-31,12.75,25288985.0,3287.9701,9.5149,0.3067,0.35
2012-01-31,20.45,25998146.0,5273.6461,15.2612,0.492,0.35
2012-02-29,18.65,16765001.0,4809.4621,13.9179,0.4487,0.2
2012-03-31,15.45,18023822.0,3984.2489,11.5299,0.3717,0.2
2012-04-30,14.75,8045608.0,3803.7328,11.0075,0.3548,0.2
2012-05-31,13.8,7184432.0,3558.7466,10.2985,0.332,0.2
2012-06-30,16.55,8462992.0,4267.9171,12.3507,0.3981,0.2
2012-07-31,19.65,21126390.0,5067.3457,14.6642,0.4727,0.2
2012-08-31,18.95,15477014.0,4886.8296,14.1418,0.4559,0.2
2012-09-30,22.5,12706046.0,5802.3042,16.0075,0.5709,0.2
2012-10-31,21.35,14805689.0,5505.742,,0.5417,0.2
2012-11-30,20.9,6917788.0,5389.6959,,0.5303,0.2
2012-12-31,18.55,9332606.0,4783.6775,,0.4707,0.2
2013-01-31,16.4,8755282.0,4229.2351,,0.4161,0.2
2013-02-28,16.05,7877277.0,4138.977,,0.4072,0.1
2013-03-31,14.9,9130408.0,3842.4148,,0.3781,0.1
2013-04-30,14.55,7045033.0,3752.1567,,0.3692,0.1
2013-05-31,14.5,2219407.0,3739.2627,,0.3679,0.1
2013-06-30,14.05,1609518.0,3623.2162,,0.3565,0.1
2013-07-31,11.6,2269927.0,2991.4098,,0.2943,0.1
2013-08-31,11.2,1680965.0,2888.2578,,0.2842,0.1
2013-09-30,11.9,1946901.0,3068.7739,,0.3306,0.1
2013-10-31,13.95,3083074.0,3597.4282,,0.3876,0.1
2013-11-30,14.3,4154341.0,3687.6863,,0.3973,0.1
2013-12-31,13.95,4524317.0,3597.4282,,0.3876,0.1
2014-01-31,13.55,2710505.0,3494.2761,,0.3765,0.1
2014-02-28,15.0,1857932.0,3868.2024,,0.4167,0.1
2014-03-31,17.75,3491987.0,4577.7276,,0.4932,0.1
2014-04-30,17.3,4181984.0,4461.6725,,0.4806,0.0
2014-05-31,22.25,8486157.0,5738.2783,,0.6182,0.0
2014-06-30,29.2,32480268.0,7531.9978,,0.8113,0.0
2014-07-31,23.95,3359639.0,6177.7858,,0.6654,0.0
2014-08-31,23.6,2369533.0,6087.5051,,0.6557,0.0
2014-09-30,20.75,3507949.0,5352.3614,,0.5765,0.0
2014-10-31,23.1,1699248.0,5958.5325,,0.6418,0.0
2014-11-30,25.45,12917698.0,6564.7035,,0.7071,0.0
2014-12-31,23.0,4644685.0,5932.738,,0.639,0.0
2015-01-31,24.15,4673294.0,6229.3749,,0.671,0.0
2015-02-28,21.75,3424048.0,5610.3039,,0.6043,0.0
2015-03-31,18.4,4644073.0,4746.1904,,0.7204,0.0
2015-04-30,18.65,3431715.0,4810.6767,,0.7302,0.0
2015-05-31,18.75,2020434.0,4836.4712,,0.7341,0.0
2015-06-30,15.75,2426629.0,4062.6358,,0.6167,0.0
2015-07-31,25.7,10701118.0,6629.1898,,1.0062,0.0
2015-08-31,23.35,3024672.0,6023.0188,,0.9142,0.0
2015-09-30,25.85,1280117.0,6667.8816,,1.0121,0.0
2015-10-31,29.05,18363850.0,7493.306,,1.1374,0.0
2015-11-30,37.3,90411778.0,9621.3533,,1.4604,0.0
2015-12-31,42.95,43093397.0,11078.7433,,1.6816,0.0
2016-01-31,49.1,70992756.0,12665.1059,,1.9224,0.0
2016-02-29,39.1,20393944.0,10085.6546,,1.5309,0.0
2016-03-31,50.45,40806533.0,13013.3318,,2.2167,0.0
2016-04-30,52.9,30424352.0,13645.2973,,2.3243,0.0
2016-05-31,47.4,29307180.0,12226.5991,,2.0827,0.0
2016-06-30,64.75,69533684.0,16701.9471,,2.845,0.0
2016-07-31,62.55,24794920.0,16134.4678,,2.7483,0.0
2016-08-31,53.5,26382930.0,13800.0644,,2.3507,0.0
2016-09-30,57.65,26091141.0,14870.5367,,2.533,0.0
2016-10-31,61.15,15276232.0,15773.3447,,2.6868,0.0
2016-11-30,59.2,18095855.0,15270.3517,,2.6011,0.0
2016-12-31,60.55,13419863.0,15618.5776,,2.6604,0.0
2017-01-31,71.9,27451756.0,18546.2548,,3.1591,0.0
2017-02-28,70.8,26424788.0,18262.5152,,3.1108,0.0
2017-03-31,88.55,27090335.0,22841.0412,9.0265,2.7343,0.0
