VTEX IN Equity,price,volume,mc,pe,bm,div
2004-12-31,38.74,3373185.0,7481.6625,10.4775,1.4135,0.6
2005-01-31,37.39,10685408.0,7220.3,10.1115,1.3641,0.6
2005-02-28,38.39,7896383.0,7413.425,10.382,1.4006,0.6
2005-03-31,36.54,8473545.0,7056.7875,7.8728,0.8374,0.6
2005-04-30,45.13,16854818.0,8715.0875,9.7228,1.0342,0.6
2005-05-31,49.85,13329165.0,9626.6375,10.7398,1.1424,0.6
2005-06-30,52.89,12500325.0,10215.025,11.3962,1.2122,0.6
2005-07-31,56.99,5102123.0,16447.2502,12.2782,1.306,0.6
2005-08-31,58.94,4530203.0,17011.0129,12.699,1.3508,0.6
2005-09-30,59.57,5530248.0,17192.8556,12.8348,1.3652,0.6
2005-10-31,53.98,3054885.0,15579.4922,11.6304,1.2371,0.6
2005-11-30,58.7,2579395.0,16946.8954,12.6473,1.3453,0.6
2005-12-31,61.9,6406435.0,17870.7466,13.3368,1.4186,0.6
2006-01-31,64.34,5717195.0,18575.1831,13.8625,1.4746,0.6
2006-02-28,71.52,3526295.0,20648.0742,15.4095,1.6391,0.6
2006-03-31,70.45,4623270.0,20339.1615,9.7674,1.9822,0.6
2006-04-30,72.0,8651750.0,20815.5223,9.9823,2.0258,0.6
2006-05-31,71.17,4176235.0,20547.028,9.8672,2.0024,0.6
2006-06-30,63.1,5515370.0,18217.1908,8.7484,1.7754,0.6
2006-07-31,59.53,1519765.0,17186.5193,8.2534,1.6749,0.8
2006-08-31,58.58,3327235.0,16912.0465,8.1217,1.6482,0.8
2006-09-30,54.22,4139800.0,15653.3145,7.5172,1.5255,0.8
2006-10-31,56.7,4326050.0,16369.2905,7.861,1.5953,0.8
2006-11-30,52.45,6157055.0,15142.3154,7.2718,1.4757,0.8
2006-12-31,54.86,8295830.0,15838.0825,7.6059,1.5435,0.8
2007-01-31,50.48,2006475.0,14573.5764,6.9987,1.4203,0.8
2007-02-28,43.97,3505495.0,12694.1394,6.0961,1.2371,0.8
2007-03-31,40.83,2793330.0,11787.6213,6.2281,1.005,0.8
2007-04-30,38.54,4829860.0,11126.4983,5.8788,0.9486,0.8
2007-05-31,40.08,5539030.0,11571.0963,6.1137,0.9866,0.8
2007-06-30,33.81,1906190.0,9760.9473,5.1573,0.8322,0.8
2007-07-31,29.65,2508525.0,8559.9552,4.5227,0.7298,0.8
2007-08-31,29.56,1629350.0,8533.9722,4.509,0.7276,0.8
2007-09-30,29.05,1116365.0,8386.7352,4.4312,0.7151,0.8
2007-10-31,28.2,1413345.0,8141.3402,4.3015,0.6941,0.8
2007-11-30,28.97,1743535.0,8363.6392,4.419,0.7131,0.8
2007-12-31,34.32,15162670.0,9908.1843,5.2351,0.8448,0.8
2008-01-31,24.69,12140220.0,7128.0032,3.7661,0.6077,0.8
2008-02-29,23.6,4341570.0,6813.3202,3.5999,0.5809,0.8
2008-03-31,21.19,4040905.0,6117.5532,4.4453,0.4751,0.8
2008-04-30,24.19,2726215.0,6983.6532,5.0746,0.5424,0.8
2008-05-31,23.8,3769230.0,6871.0602,4.9928,0.5336,0.0
2008-06-30,19.54,1118545.0,5641.1982,4.0991,0.4381,0.0
2008-07-31,18.85,1394635.0,5441.9952,3.9544,0.4226,0.0
2008-08-31,17.2,2567405.0,4965.6401,3.6082,0.3856,0.8
2008-09-30,13.85,1933040.0,3998.4951,2.9055,0.3105,0.8
