RELI IN Equity,price,volume,mc,pe,bm,div
1995-01-31,197.5,,11396.5397,,,0.0
1995-02-28,170.0,,9809.6798,,,0.0
1995-03-31,158.0,,9117.2318,,,0.0
1995-04-30,137.5,,7934.2998,,,0.0
1995-05-31,149.0,,8597.8958,,,0.0
1995-06-30,140.0,,15640.6602,,,0.0
1995-07-31,150.0,,16757.8503,,,0.0
1995-08-31,131.0,,14635.1892,,,2.6
1995-09-30,132.0,,14746.9082,,,2.6
1995-10-31,150.0,,16757.8503,,,2.6
1995-11-30,127.0,,14188.3132,,,2.6
1995-12-31,137.0,,15305.5032,,,2.6
1996-01-31,129.0,,14411.7512,,,2.6
1996-02-29,163.0,,18210.1973,,,2.6
1996-03-31,167.0,,18657.0733,,,2.6
1996-04-30,187.0,,20891.4533,,,2.6
1996-05-31,178.5,427550.0,19941.8418,,,2.6
1996-06-30,195.0,4020000.0,26863.9815,,,2.6
1996-07-31,195.5,8675650.0,26932.8635,,,2.8
1996-08-31,196.75,10300189.0,27105.0685,,,2.8
1996-09-30,172.75,9054159.0,23798.7323,,,2.8
1996-10-31,195.0,6748526.0,26863.9815,,,2.8
1996-11-30,197.0,12044718.0,27139.5095,,,2.8
1996-12-31,206.5,8132169.0,28448.2676,,,2.8
1997-01-31,223.5,16194406.0,30790.2557,,,2.8
1997-02-28,239.0,10981835.0,32925.5978,,,2.8
1997-03-31,199.0,7676432.0,27415.0375,,,2.8
1997-04-30,244.0,6992712.0,33614.4178,,,2.8
1997-05-31,238.0,5727540.0,32787.8338,,,2.8
1997-06-30,238.25,4773217.0,32821.5586,,,2.8
1997-07-31,237.0,3041957.0,32649.3574,,,3.0
1997-08-31,190.75,5555301.0,26277.9111,,,3.0
1997-09-30,193.25,5210896.0,26622.3136,,,3.0
1997-10-31,182.5,2200475.0,25348.0243,,,3.0
1997-11-30,152.25,3928364.0,20974.1125,,,3.0
1997-12-31,171.0,4286266.0,23557.1313,,,3.0
1998-01-31,159.4,4061842.0,21959.1037,,,3.0
1998-02-28,200.5,4159061.0,27621.0808,,,3.0
1998-03-31,209.6,17400097.0,28874.7059,,,3.0
1998-04-30,183.1,17579945.0,25224.0394,,,3.0
1998-05-31,170.2,7055950.0,23446.9225,,,3.0
1998-06-30,156.0,7147422.0,21485.101,,,3.2
