JBMA IN Equity,price,volume,mc,pe,bm,div
2009-05-31,1.56,971560.0,318.2088,,,0.075
2009-06-30,1.57,2600260.0,319.7387,,,0.075
2009-07-31,1.69,1307220.0,344.2163,,,0.075
2009-08-31,2.0,2822180.0,407.96,,,0.075
2009-09-30,2.2,8216040.0,448.756,,,0.0
2009-10-31,1.9,2017320.0,388.072,,,0.0
2009-11-30,2.67,13284340.0,544.1167,,,0.0
2009-12-31,2.79,5452860.0,568.5943,,,0.0
2010-01-31,3.34,36194060.0,680.2733,,,0.0
2010-02-28,3.23,16426580.0,657.8355,,,0.0
2010-03-31,3.33,9752800.0,678.7435,6.4087,0.7029,0.0
2010-04-30,3.79,8023340.0,773.5942,7.3043,0.8011,0.0
2010-05-31,3.42,9458120.0,697.1017,6.582,0.7219,0.0
2010-06-30,3.25,3371200.0,662.935,6.2594,0.6865,0.0
2010-07-31,3.31,13806460.0,674.6639,6.3702,0.6986,0.0
2010-08-31,3.54,7367620.0,721.5793,6.8132,0.7472,0.0
2010-09-30,3.79,10975260.0,772.0643,7.2898,0.7995,0.075
2010-10-31,4.37,30284920.0,890.8827,8.4117,0.9225,0.075
2010-11-30,4.26,19750060.0,867.9349,8.195,0.8988,0.075
2010-12-31,4.38,2899660.0,892.9225,8.431,0.9246,0.075
2011-01-31,3.85,2147280.0,785.323,7.415,0.8132,0.075
2011-02-28,2.99,1852220.0,608.8803,5.749,0.6305,0.075
2011-03-31,2.96,5154220.0,603.7808,2.859,0.5262,0.075
2011-04-30,3.15,879500.0,641.5171,3.0377,0.5591,0.075
2011-05-31,3.2,1201940.0,653.246,3.0932,0.5693,0.075
2011-06-30,3.7,3603220.0,754.726,3.5738,0.6577,0.075
2011-07-31,3.45,327000.0,703.731,3.3323,0.6133,0.075
2011-08-31,3.03,605500.0,617.5495,2.9242,0.5382,0.1
2011-09-30,2.81,422600.0,572.1639,2.7093,0.4986,0.1
2011-10-31,3.06,954780.0,623.1589,2.9508,0.5431,0.1
2011-11-30,2.8,610540.0,571.144,2.7045,0.4977,0.1
2011-12-31,2.56,237480.0,522.6988,2.4751,0.4555,0.1
2012-01-31,3.0,1075220.0,611.94,2.8976,0.5333,0.1
2012-02-29,2.75,720640.0,560.945,2.6562,0.4888,0.1
2012-03-31,2.9,442600.0,591.0205,2.2841,0.4229,0.1
2012-04-30,3.05,848400.0,621.1069,2.4003,0.4445,0.1
2012-05-31,2.88,719320.0,587.4509,2.2703,0.4204,0.1
2012-06-30,2.99,916660.0,609.3783,2.355,0.4361,0.1
2012-07-31,3.05,1670740.0,622.1268,2.4043,0.4452,0.1
2012-08-31,3.05,1714060.0,621.1069,2.4003,0.4445,0.1
2012-09-30,3.2,754360.0,652.7232,2.5225,0.4671,0.075
2012-10-31,3.07,1443900.0,626.7163,2.422,0.4485,0.075
2012-11-30,3.31,2426740.0,674.1407,2.6053,0.4824,0.075
2012-12-31,3.25,1053180.0,662.922,2.5619,0.4744,0.075
2013-01-31,3.35,2206400.0,683.3196,2.6408,0.489,0.075
2013-02-28,3.2,1087540.0,652.7232,2.5225,0.4671,0.075
2013-03-31,3.25,368740.0,661.9021,2.0597,0.3923,0.075
2013-04-30,2.85,212600.0,581.3316,1.8089,0.3445,0.075
2013-05-31,3.01,260860.0,614.4777,1.9121,0.3642,0.075
2013-06-30,2.81,145000.0,573.6848,1.7851,0.34,0.075
2013-07-31,2.66,108220.0,541.5585,1.6852,0.3209,0.075
2013-08-31,1.95,2638040.0,397.7548,1.2377,0.2357,0.1
2013-09-30,2.65,84020.0,540.0286,1.6804,0.32,0.1
2013-10-31,3.17,596480.0,646.0966,2.0105,0.3829,0.1
2013-11-30,3.15,140680.0,642.527,1.9994,0.3808,0.1
2013-12-31,3.35,368240.0,683.3224,2.1263,0.4049,0.1
2014-01-31,3.1,613680.0,631.8182,1.966,0.3744,0.1
2014-02-28,4.8,6135520.0,978.5788,3.0451,0.5799,0.1
2014-03-31,7.07,23673920.0,1442.1161,2.8763,0.6078,0.1
2014-04-30,7.92,12776380.0,1614.4765,3.2201,0.6805,0.1
2014-05-31,9.61,8441180.0,1960.2173,3.9097,0.8262,0.1
2014-06-30,16.23,12947440.0,3310.5438,6.603,1.3953,0.1
2014-07-31,19.38,5567420.0,3952.0509,7.8825,1.6657,0.1
2014-08-31,31.59,9100500.0,6443.6278,12.852,2.7159,0.1
2014-09-30,53.68,13536360.0,10948.4559,21.837,4.6146,0.15
2014-10-31,57.73,4796295.0,11775.5819,23.4867,4.9632,0.15
2014-11-30,42.17,11140975.0,8601.7026,17.1563,3.6255,0.15
2014-12-31,35.72,10074975.0,7286.0521,14.5322,3.071,0.15
2015-01-31,39.4,15962525.0,8036.6868,16.0294,3.3873,0.15
2015-02-28,42.96,12919845.0,8762.7656,17.4777,3.6934,0.15
2015-03-31,43.6,11535285.0,8893.3894,11.9452,2.9583,0.15
2015-04-30,42.49,7084380.0,8666.9752,11.6411,2.8829,0.15
2015-05-31,42.74,10104325.0,8717.9694,11.7096,2.8999,0.15
2015-06-30,33.64,5381850.0,6861.7803,9.2164,2.2825,0.15
2015-07-31,34.93,4150095.0,7124.9104,9.5699,2.37,0.15
2015-08-31,33.49,10454385.0,6831.1838,9.1753,2.2723,0.15
2015-09-30,39.05,7489510.0,7965.2949,10.6986,2.6495,0.5
2015-10-31,35.34,2240285.0,7208.5409,9.6822,2.3978,0.5
2015-11-30,36.97,3048275.0,7541.0231,10.1288,2.5084,0.5
2015-12-31,37.91,4185105.0,7732.7613,10.3863,2.5722,0.5
2016-01-31,29.69,1563330.0,6056.0718,8.1342,2.0145,0.5
2016-02-29,24.65,2204665.0,5028.0287,6.7534,1.6725,0.5
2016-03-31,29.65,1729345.0,6047.9128,11.9653,1.7598,0.5
2016-04-30,30.91,1129660.0,6304.9236,12.4738,1.8346,0.5
2016-05-31,28.91,1497020.0,5896.9699,11.6667,1.7159,0.5
2016-06-30,27.03,2546525.0,5513.4935,10.908,1.6043,0.5
2016-07-31,29.12,13173890.0,5939.8051,11.7514,1.7283,0.5
2016-08-31,44.48,42180390.0,9072.889,17.95,2.64,0.35
2016-09-30,42.73,15344180.0,8715.9296,17.2437,2.5361,0.35
2016-10-31,56.5,36491160.0,11524.6904,22.8006,3.3534,0.35
2016-11-30,47.28,28658525.0,9644.0241,19.0799,2.8062,0.35
2016-12-31,46.24,18359105.0,9431.8882,18.6602,2.7444,0.35
2017-01-31,49.14,14537130.0,10023.421,19.8305,2.9166,0.35
2017-02-28,55.94,19799285.0,11410.4634,22.5747,3.3202,0.35
2017-03-31,55.19,8235920.0,11257.4808,17.2253,3.1567,0.35
2017-04-30,55.69,10563390.0,11359.4692,17.3814,3.1853,0.35
2017-05-31,54.76,7742010.0,11169.7708,17.0911,3.1321,0.35
2017-06-30,52.43,10788860.0,10694.5048,16.3639,2.9988,0.35
2017-07-31,70.47,54242575.0,14374.2466,21.9944,4.0307,0.35
2017-08-31,80.22,20102940.0,16363.0207,25.0375,4.5883,0.4
2017-09-30,110.11,84799830.0,22459.8879,34.3664,6.2979,0.4
2017-10-31,107.74,20348850.0,21976.4628,33.6267,6.1624,0.4
2017-11-30,103.84,19868285.0,21180.953,32.4095,5.9393,0.4
2017-12-31,109.88,18691370.0,22412.973,34.2946,6.2848,0.4
2018-01-31,98.54,9851345.0,20099.8758,30.7553,5.6362,0.4
2018-02-28,85.8,15930860.0,17501.2112,26.779,4.9075,0.4
2018-03-31,75.69,6394815.0,15439.0055,21.9137,3.6992,0.4
2018-04-30,85.64,10045370.0,17468.5749,24.7944,4.1855,0.4
2018-05-31,79.75,5060195.0,16267.1514,23.0892,3.8977,0.4
2018-06-30,61.8,4160290.0,12605.7675,17.8923,3.0204,0.4
2018-07-31,67.79,5194710.0,13827.5886,19.6265,3.3131,0.4
2018-08-31,69.56,6006275.0,14188.6276,20.139,3.3996,0.4
2018-09-30,57.39,2661910.0,11706.2297,16.6155,2.8049,0.4
2018-10-31,55.15,2811620.0,11249.3216,15.967,2.6954,0.4
2018-11-30,59.72,3525290.0,12181.4957,17.2901,2.9187,0.4
2018-12-31,61.64,4540980.0,12573.1312,17.846,3.0126,0.4
2019-01-31,54.94,2007980.0,11206.4865,15.9062,2.6851,0.4
2019-02-28,52.89,2618630.0,10788.334,15.3127,2.5849,0.4
2019-03-31,53.25,3790110.0,10861.7657,12.8384,1.683,0.4
2019-04-30,50.57,1817270.0,10315.1078,12.1923,1.5983,0.4
2019-05-31,49.5,3174950.0,10096.8526,11.9343,1.5645,0.4
2019-06-30,45.17,1351780.0,9213.633,10.8903,1.4276,0.4
2019-07-31,32.77,2425405.0,6684.3204,7.9007,1.0357,0.4
2019-08-31,29.96,1934130.0,6111.1455,7.2233,0.9469,0.4
2019-09-30,37.52,12869745.0,7653.2103,9.0459,1.1858,0.45
2019-10-31,45.18,23957255.0,9215.6727,10.8927,1.4279,0.45
2019-11-30,48.06,7626590.0,9803.126,11.5871,1.519,0.45
2019-12-31,57.06,11528285.0,11638.9173,13.757,1.8034,0.45
2020-01-31,50.61,6304430.0,10323.2669,12.2019,1.5995,0.45
2020-02-29,39.67,3301980.0,9381.7275,9.5643,1.2538,0.45
2020-03-31,27.86,5480785.0,6588.7302,9.5184,0.9365,0.45
2020-04-30,34.11,1641205.0,8066.8194,11.6537,1.1466,0.45
2020-05-31,31.11,908405.0,7357.3366,10.6288,1.0458,0.45
2020-06-30,43.87,11197025.0,10375.0034,14.9883,1.4747,0.45
2020-07-31,37.7,3523255.0,8915.8338,12.8803,1.2673,0.45
2020-08-31,46.35,14273375.0,10961.5092,15.8355,1.5581,0.45
2020-09-30,46.92,5926830.0,11096.3109,16.0303,1.5773,0.45
2020-10-31,48.11,4710155.0,11377.7391,16.4369,1.6173,0.45
2020-11-30,54.15,5878295.0,12806.1644,18.5004,1.8203,0.0
2020-12-31,55.61,5342020.0,13151.4461,18.9992,1.8694,0.35
2021-01-31,75.25,15105670.0,17796.1934,25.7093,2.5296,0.35
2021-02-28,84.36,8979420.0,19950.6562,28.8217,2.8358,0.35
2021-03-31,84.31,5493580.0,19938.8315,40.4559,2.6741,0.35
2021-04-30,78.81,3068475.0,18638.113,37.8167,2.4997,0.35
2021-05-31,82.73,6867550.0,19565.1705,39.6977,2.624,0.35
2021-06-30,85.88,11049655.0,20310.1275,41.2092,2.7239,0.35
2021-07-31,97.08,26756710.0,22958.8632,46.5835,3.0792,0.35
2021-08-31,90.62,10712920.0,21431.1103,43.4837,2.8743,0.35
2021-09-30,104.1,21433800.0,24619.053,49.952,3.3018,0.3
2021-10-31,119.79,17560225.0,28329.648,57.4808,3.7995,0.3
2021-11-30,187.12,43163085.0,44252.8069,89.7889,5.9351,0.3
2021-12-31,224.97,21715300.0,53204.1148,107.9511,7.1356,0.3
2022-01-31,304.3,18831385.0,71965.2048,146.0173,9.6518,0.3
2022-02-28,215.85,7607403.0,51047.2873,103.5749,6.8463,0.3
2022-03-31,218.65,5128336.0,51709.4713,33.0537,5.7698,0.3
2022-04-30,253.45,6118150.0,59939.4717,38.3144,6.6881,0.3
2022-05-31,214.83,5540156.0,50804.8807,32.4754,5.6688,0.3
2022-06-30,212.73,3848708.0,50308.2427,32.158,5.6134,0.3
2022-07-31,215.3,4214694.0,50917.215,32.5472,5.6814,0.3
2022-08-31,202.15,3752664.0,47807.3155,30.5593,5.3344,0.3
2022-09-30,190.83,3415188.0,45129.0179,28.8473,5.0355,0.5
2022-10-31,203.45,14524134.0,48114.758,30.7559,5.3687,0.5
2022-11-30,213.98,5013006.0,50603.8601,32.3469,5.6464,0.5
2022-12-31,258.0,27095368.0,61015.5201,39.0023,6.8081,0.5
2023-01-31,267.18,18838358.0,63185.355,40.3893,7.0503,0.5
2023-02-28,287.18,18239614.0,67915.2403,43.4127,7.578,0.5
2023-03-31,322.0,39352848.0,76151.153,61.2167,7.395,0.5
2023-04-30,401.33,34030588.0,94911.0605,76.2975,9.2168,0.5
2023-05-31,403.9,19684684.0,95520.0332,76.7871,9.276,0.5
2023-06-30,668.63,60802746.0,158125.9773,127.115,15.3556,0.5
2023-07-31,700.83,37980556.0,165741.0926,133.2367,16.0951,0.5
2023-08-31,758.03,20583274.0,179268.5645,144.1112,17.4088,0.5
2023-09-30,685.93,4629904.0,162217.328,130.404,15.7529,0.65
2023-10-31,600.28,2215976.0,141961.5943,114.1207,13.7859,0.65
2023-11-30,621.45,1415458.0,146969.3604,118.1464,14.2722,0.65
2023-12-31,732.1,4653066.0,173137.4507,139.1825,16.8134,0.65
2024-01-31,958.35,14292970.0,226644.2779,182.1958,22.0094,0.65
2024-02-29,1083.45,11824290.0,256229.7103,205.9791,24.8825,0.65
2024-03-31,902.08,10101784.0,213335.5632,119.3221,18.2702,0.65
2024-04-30,952.25,8005652.0,225201.6629,125.959,19.2864,0.65
2024-05-31,1045.78,19847490.0,247319.7889,138.33,21.1806,0.65
2024-06-30,1025.65,16791964.0,242560.3419,135.668,20.773,0.65
2024-07-31,1023.58,17612890.0,242069.6163,135.3935,20.731,0.65
2024-08-31,958.2,8590846.0,226608.8038,126.746,19.4069,0.65
2024-09-30,899.35,11406392.0,212691.1163,118.9616,18.215,0.75
2024-10-31,808.75,7605768.0,191264.736,106.9775,16.38,0.75
2024-11-30,784.1,4179536.0,185435.1524,103.7169,15.8808,0.75
2024-12-31,763.75,12529322.0,180622.4941,101.0251,15.4686,0.75
2025-01-31,801.55,12196342.0,189561.9773,106.0251,16.2342,0.75
2025-02-28,516.5,15693195.0,122149.2874,68.3201,10.4609,0.75
2025-03-31,591.8,26633179.0,139957.3054,69.2974,10.3623,0.75
2025-04-30,650.2,34671433.0,153768.5705,76.1358,11.3849,0.75
2025-05-31,717.15,35345300.0,169601.8614,83.9754,12.5572,0.75
2025-06-30,642.85,12734554.0,152030.3376,75.2752,11.2562,0.75
2025-07-31,638.6,13189311.0,151025.237,74.7775,11.1818,0.75
2025-08-31,594.95,6634453.0,140702.2624,69.6663,10.4175,0.85
2025-09-30,670.25,114367748.0,158510.2804,78.4836,11.736,0.85
2025-10-31,665.0,8303952.0,157268.6856,77.8689,11.644,0.85
2025-11-30,614.0,3575598.0,145207.4781,71.897,10.751,0.85
2025-12-31,627.35,59662101.0,148364.6765,73.4602,10.9848,0.85
2026-01-31,564.05,29549147.0,133394.5896,66.048,9.8764,0.85
2026-02-28,551.35,10802550.0,130391.1125,64.5609,9.654,0.85
2026-03-31,513.7,1066851.0,121487.1063,60.1522,8.9948,0.85
