JBMA IN Equity,price,volume,mc,pe,bm,div
2004-12-31,2.5,1083000.0,508.9201,,,0.0
2005-01-31,2.37,6764340.0,484.103,,,0.0
2005-02-28,2.87,5453100.0,585.0712,,,0.0
2005-03-31,2.32,3235380.0,473.9042,,,0.0
2005-04-30,2.27,996060.0,463.0255,,,0.0
2005-05-31,2.64,2330790.0,537.8167,,,0.0
2005-06-30,3.3,5826690.0,672.4409,,,0.0
2005-07-31,4.05,6773910.0,825.7628,,,0.0
2005-08-31,4.3,3899850.0,876.0769,,,0.0
2005-09-30,3.57,2540070.0,727.5144,,,0.05
2005-10-31,2.97,1169760.0,605.1288,,,0.05
2005-11-30,3.18,1218180.0,647.6238,,,0.05
2005-12-31,4.23,31261680.0,863.4984,,,0.05
2006-01-31,4.85,16283040.0,988.2637,,,0.05
2006-02-28,4.46,5176560.0,910.4129,,,0.05
2006-03-31,4.27,11206050.0,870.6376,,,0.05
2006-04-30,4.5,2826810.0,917.892,,,0.05
2006-05-31,4.4,6561780.0,897.4944,,,0.05
2006-06-30,3.82,1449570.0,778.1684,,,0.05
2006-07-31,3.7,1818000.0,754.7112,,,0.05
2006-08-31,3.55,870270.0,724.1148,,,0.0667
2006-09-30,3.38,2037870.0,688.419,,,0.0667
2006-10-31,3.4,1348680.0,693.5184,,,0.0667
2006-11-30,3.59,3238020.0,732.9538,,,0.0667
2006-12-31,3.36,909810.0,685.3594,,,0.0667
2007-01-31,3.07,1120650.0,625.1864,,,0.0667
2007-02-28,3.07,1640730.0,625.5264,,,0.0667
2007-03-31,2.46,1476030.0,501.441,,,0.0667
2007-04-30,2.67,4478490.0,543.596,,,0.0667
2007-05-31,2.67,1862820.0,543.596,,,0.0667
2007-06-30,2.6,16045650.0,530.3376,,,0.0667
2007-07-31,2.99,42054840.0,609.2083,,,0.0667
2007-08-31,2.72,7063110.0,555.4946,,,0.0667
2007-09-30,3.08,10319430.0,628.5675,,,0.0667
2007-10-31,2.9,10688340.0,591.542,,,0.0667
2007-11-30,2.5,1611620.0,509.95,,,0.0667
2007-12-31,3.5,7769620.0,714.44,,,0.0667
2008-01-31,2.35,7865180.0,479.353,,,0.0667
2008-02-29,2.31,3318920.0,471.7038,,,0.0667
2008-03-31,2.11,1402420.0,429.3779,,,0.0667
2008-04-30,2.21,1515160.0,450.7958,,,0.0667
2008-05-31,2.21,1138120.0,449.7759,,,0.0667
2008-06-30,1.72,2714640.0,350.8456,,,0.0667
2008-07-31,1.64,619640.0,335.0372,,,0.0667
2008-08-31,1.84,1176420.0,374.3033,,,0.075
2008-09-30,1.25,1168500.0,254.4651,,,0.075
2008-10-31,1.1,623460.0,224.378,,,0.075
2008-11-30,1.06,825460.0,215.1989,,,0.075
2008-12-31,1.15,648700.0,234.0671,,,0.075
2009-01-31,1.06,609700.0,215.1989,,,0.075
2009-02-28,1.14,945620.0,233.0472,,,0.075
2009-03-31,1.06,378780.0,216.7288,,,0.075
2009-04-30,1.29,782360.0,262.1143,,,0.075
