AIAE IN Equity,price,volume,mc,pe,bm,div
2005-12-31,107.84,248688425.0,,31.928,8.0532,0.0
2006-01-31,124.23,83555735.0,11041.8106,36.7806,9.2771,0.0
2006-02-28,116.37,22020325.0,10343.1981,34.4535,8.6902,0.0
2006-03-31,123.11,15051445.0,10942.2628,17.1313,3.9922,0.0
2006-04-30,137.96,14592010.0,12008.8468,19.1977,4.4738,0.0
2006-05-31,109.56,8001095.0,9737.9117,15.2458,3.5528,0.0
2006-06-30,130.84,5683540.0,11629.3206,18.207,4.2429,0.0
2006-07-31,120.23,2288355.0,10686.2826,16.7305,3.8988,0.0
2006-08-31,147.17,7512665.0,13080.7637,20.4794,4.7724,0.0
2006-09-30,162.06,18826540.0,14404.2166,22.5514,5.2553,0.5
2006-10-31,180.24,10930110.0,16020.0913,25.0812,5.8448,0.5
2006-11-30,244.49,29516910.0,21730.7597,34.0219,7.9283,0.5
2006-12-31,268.21,20944185.0,25207.4495,37.3226,8.6975,0.5
2007-01-31,279.66,3053100.0,26283.5663,38.9159,9.0688,0.5
2007-02-28,256.51,2885400.0,24107.8366,35.6945,8.3181,0.5
2007-03-31,240.13,1977520.0,22568.3787,22.9948,4.589,0.5
2007-04-30,257.35,941970.0,24186.7832,24.6438,4.9181,0.5
2007-05-31,306.29,8751835.0,28786.3603,29.3303,5.8534,0.5
2007-06-30,351.77,18225885.0,33060.7528,33.6854,6.7225,0.5
2007-07-31,306.94,8867780.0,28847.4499,29.3925,5.8658,0.5
2007-08-31,284.63,5064545.0,26750.6668,27.2561,5.4395,0.7
2007-09-30,268.37,2961905.0,25222.7556,25.6991,5.1287,0.7
2007-10-31,295.8,10683215.0,27800.7643,28.3258,5.6529,0.7
2007-11-30,309.57,3843205.0,29094.9378,29.6444,5.9161,0.7
2007-12-31,335.0,2531420.0,31484.9765,32.0796,6.4021,0.7
2008-01-31,293.69,2173885.0,27602.4559,28.1237,5.6126,0.7
2008-02-29,344.36,1392035.0,32364.6761,32.9759,6.5809,0.7
2008-03-31,301.28,1480515.0,28315.8021,21.2471,4.6417,0.7
2008-04-30,319.86,1561945.0,30062.0447,22.5574,4.928,0.7
2008-05-31,312.01,761210.0,29324.2624,22.0038,4.807,0.7
