SRCM IN Equity,price,volume,mc,pe,bm,div
1995-01-31,70.0,,,,,0.0
1995-02-28,66.25,,,,,0.0
1995-03-31,73.75,,,,,0.0
1995-04-30,62.5,,,,,0.0
1995-05-31,66.0,,,,,0.0
1995-06-30,56.5,,,,,0.0
1995-07-31,64.0,,,,,0.0
1995-08-31,65.0,,,,,0.0
1995-09-30,61.0,,,,,0.0
1995-10-31,53.0,,,,,0.0
1995-11-30,52.5,,,,,0.0
1995-12-31,53.5,,,,,0.0
1996-01-31,47.0,,,,,0.0
1996-02-29,52.5,,,,,0.0
1996-03-31,50.5,,,,,0.0
1996-04-30,53.5,,,,,0.0
1996-05-31,48.0,7700.0,,,,0.0
1996-06-30,43.25,117700.0,,,,0.0
1996-07-31,34.0,53050.0,,,,2.25
1996-08-31,42.0,26100.0,,,,2.25
1996-09-30,26.25,31400.0,,,,2.25
1996-10-31,24.5,23550.0,,,,2.25
1996-11-30,22.0,23900.0,,,,2.25
1996-12-31,22.4,15500.0,,,,2.25
1997-01-31,22.9,81800.0,,,,2.25
1997-02-28,23.5,12150.0,,,,2.25
1997-03-31,19.0,201450.0,,,,2.25
1997-04-30,18.0,244650.0,,,,2.25
1997-05-31,20.25,57000.0,,,,2.25
1997-06-30,21.5,30400.0,,,,2.25
1997-07-31,20.45,23050.0,,,,2.25
1997-08-31,19.5,132515.0,,,,2.25
1997-09-30,16.0,31550.0,,,,0.0
1997-10-31,13.95,56100.0,,,,0.0
1997-11-30,14.0,54350.0,,,,0.0
1997-12-31,14.6,10370.0,,,,0.0
1998-01-31,13.9,90101.0,,,,0.0
1998-02-28,14.5,8400.0,,,,0.0
1998-03-31,16.5,54050.0,,,,0.0
1998-04-30,19.5,53100.0,,,,0.0
1998-05-31,24.0,108420.0,,,,0.0
1998-06-30,16.0,26800.0,,,,0.0
1998-07-31,16.25,13550.0,,,,0.0
1998-08-31,19.3,9009.0,,,,0.0
1998-09-30,27.5,148321.0,,,,0.0
1998-10-31,19.95,48950.0,,,,0.0
1998-11-30,22.0,18950.0,,,,0.0
1998-12-31,22.25,15950.0,,,,0.0
1999-01-31,22.5,43700.0,,,,0.0
1999-02-28,19.75,48150.0,,,,0.0
1999-03-31,19.75,50850.0,,,,0.0
1999-04-30,15.75,23350.0,,,,0.0
1999-05-31,20.5,79650.0,,,,0.0
1999-06-30,33.05,462800.0,,,,0.0
1999-07-31,43.5,419707.0,,,,0.0
1999-08-31,63.15,972081.0,,,,0.0
1999-09-30,51.9,592974.0,,,,0.0
1999-10-31,57.0,639831.0,,,,0.0
1999-11-30,54.0,187501.0,,,,0.0
1999-12-31,62.0,102752.0,,,,0.0
2000-01-31,46.0,90309.0,,,,0.0
2000-02-29,46.0,213626.0,,,,0.0
