MHS IN Equity,price,volume,mc,pe,bm,div
1995-01-31,12.5,,,,,0.0
1995-02-28,10.63,,,,,0.0
1995-03-31,11.88,,,,,0.0
1995-04-30,10.19,,,,,0.0
1995-05-31,10.5,,,,,0.0
1995-06-30,9.75,,,,,0.0
1995-07-31,9.63,,,,,0.0
1995-08-31,9.0,,,,,0.0
1995-09-30,8.75,,,,,0.0
1995-10-31,7.38,,,,,0.0
1995-11-30,6.19,,,,,0.0
1995-12-31,6.31,,,,,0.0
1996-01-31,6.06,,,,,0.0
1996-02-29,6.25,,,,,0.0
1996-03-31,7.0,,,,,0.0
1996-04-30,6.75,,,,,0.0
1996-05-31,5.75,76400.0,,,,0.0
1996-06-30,6.0,108800.0,,,,0.0
1996-07-31,5.79,188000.0,,,,0.0
1996-08-31,5.51,123200.0,,,,0.25
1996-09-30,6.13,93600.0,,,,0.25
1996-10-31,6.06,86400.0,,,,0.25
1996-11-30,6.0,53600.0,,,,0.25
1996-12-31,6.0,48400.0,,,,0.25
1997-01-31,6.88,109600.0,,,,0.25
1997-02-28,7.38,132800.0,,,,0.25
1997-03-31,7.5,117600.0,,,,0.25
1997-04-30,8.0,74800.0,,,,0.25
1997-05-31,7.81,108400.0,,,,0.25
1997-06-30,7.94,124000.0,,,,0.25
1997-07-31,8.06,59200.0,,,,0.25
1997-08-31,6.25,73200.0,,,,0.25
1997-09-30,5.63,41600.0,,,,0.25
1997-10-31,5.53,72000.0,,,,0.25
1997-11-30,5.5,256800.0,,,,0.25
1997-12-31,5.75,57600.0,,,,0.25
1998-01-31,5.75,30400.0,,,,0.25
1998-02-28,5.04,99200.0,,,,0.25
1998-03-31,5.25,31600.0,,,,0.25
1998-04-30,5.25,203600.0,,,,0.25
1998-05-31,4.88,214000.0,,,,0.25
1998-06-30,4.03,404000.0,,,,0.25
1998-07-31,3.75,66400.0,,,,0.25
1998-08-31,3.78,114000.0,,,,0.25
1998-09-30,3.69,52400.0,,,,0.25
1998-10-31,3.63,89200.0,,,,0.25
1998-11-30,3.63,77200.0,,,,0.25
1998-12-31,3.59,71600.0,,,,0.25
1999-01-31,3.65,79600.0,,,,0.25
1999-02-28,3.75,67600.0,,,,0.25
1999-03-31,4.18,110400.0,,,,0.25
1999-04-30,3.89,42400.0,,,,0.25
1999-05-31,4.26,132800.0,,,,0.25
1999-06-30,4.13,80400.0,,,,0.25
1999-07-31,4.5,157600.0,,,,0.25
1999-08-31,4.53,176800.0,,,,0.25
1999-09-30,8.5,351200.0,,,,0.25
1999-10-31,6.25,514000.0,,,,0.25
1999-11-30,5.0,78800.0,,,,0.25
1999-12-31,5.31,180800.0,,,,0.25
2000-01-31,5.5,216400.0,,,,0.25
2000-02-29,5.4,331200.0,,,,0.25
2000-03-31,5.74,205200.0,,,,0.25
2000-04-30,6.13,79200.0,,,,0.6
2000-05-31,6.25,90800.0,,,,0.6
2000-06-30,6.31,120000.0,,,,0.6
2000-07-31,6.55,137200.0,,,,0.6
2000-08-31,7.75,41200.0,,,,0.6
2000-09-30,7.49,19800.0,,,,0.6
2000-10-31,6.5,19216.0,,,,0.6
2000-11-30,6.79,58820.0,692.325,,,0.6
2000-12-31,6.83,21600.0,696.15,,,0.6
2001-01-31,11.03,204008.0,1124.55,,,0.6
2001-02-28,7.75,251292.0,790.5,,,0.6
2001-03-31,6.25,70704.0,637.5,,,0.6
2001-04-30,8.35,56940.0,851.7,,,0.6
2001-05-31,7.96,76764.0,812.175,,,0.6
2001-06-30,7.01,75904.0,715.275,,,0.0
2001-07-31,7.55,56396.0,770.1,,,0.0
2001-08-31,6.83,41604.0,696.15,,,0.0
2001-09-30,7.0,104968.0,714.0,,,0.375
2001-10-31,7.55,67628.0,770.1,,,0.375
2001-11-30,8.56,78016.0,873.375,,,0.375
2001-12-31,8.25,149560.0,841.5,,,0.375
2002-01-31,8.03,63460.0,818.55,,,0.375
2002-02-28,9.75,236220.0,994.5,,,0.375
2002-03-31,10.53,99244.0,1073.55,,,0.375
2002-04-30,14.3,233188.0,1458.6,,,0.375
2002-05-31,14.39,352940.0,1467.525,,,0.375
2002-06-30,28.35,949072.0,2891.7,,,0.375
2002-07-31,27.06,949504.0,2760.375,,,0.375
