UNBK IN Equity,price,volume,mc,pe,bm,div
2015-06-30,147.65,89013525.0,93872.7501,,0.4731,6.0
2015-07-31,176.5,105244442.0,112214.9705,,0.5655,6.0
2015-08-31,177.45,175510670.0,112818.9604,,0.5686,6.0
2015-09-30,175.2,110059676.0,111388.458,,0.5614,6.0
2015-10-31,156.6,68727371.0,107653.2764,,0.5018,6.0
2015-11-30,173.05,68199210.0,118961.6825,,0.5545,6.0
2015-12-31,148.65,60355358.0,102188.1197,,0.4763,6.0
2016-01-31,130.85,82446576.0,89951.6681,,0.4193,6.0
2016-02-29,106.95,146349635.0,73521.8258,,0.3427,6.0
2016-03-31,130.8,89905686.0,89917.296,,0.3901,6.0
2016-04-30,127.4,93075978.0,87579.9963,,0.38,6.0
2016-05-31,118.4,114825080.0,81393.0264,,0.3531,6.0
2016-06-30,128.3,126119523.0,88198.6933,,0.3827,1.95
2016-07-31,127.4,145537294.0,87579.9963,,0.38,1.95
2016-08-31,141.7,135479473.0,97410.404,,0.4226,1.95
2016-09-30,137.35,105272885.0,94420.0352,,0.4097,1.95
2016-10-31,146.6,93442703.0,100778.8654,,0.4373,1.95
2016-11-30,151.95,158136383.0,104456.6753,,0.4532,1.95
2016-12-31,123.1,78714701.0,84623.9995,,0.3672,1.95
2017-01-31,144.2,85382607.0,99129.0068,,0.4301,1.95
2017-02-28,146.9,142616550.0,100985.0977,,0.4381,1.95
2017-03-31,155.9,84326985.0,107172.0677,,0.465,1.95
2017-04-30,171.4,80054803.0,117827.4047,,0.5112,1.95
2017-05-31,155.5,168339323.0,106897.0912,,0.4638,1.95
2017-06-30,147.4,69460655.0,101328.8183,,0.4396,1.95
2017-07-31,158.05,75904679.0,108650.066,,0.4714,0.0
2017-08-31,136.3,94887715.0,93698.2221,,0.4065,0.0
2017-09-30,126.65,66835311.0,92002.2735,,0.3777,0.0
2017-10-31,176.45,132752011.0,128178.4537,,0.5263,0.0
2017-11-30,164.1,127605997.0,119207.0476,,0.4894,0.0
2017-12-31,144.3,78341366.0,123485.2464,,0.4304,0.0
2018-01-31,136.25,113451348.0,116596.4298,,0.4064,0.0
2018-02-28,105.55,185761913.0,90324.7902,,0.3148,0.0
2018-03-31,94.0,229082944.0,80440.8363,,0.2804,0.0
2018-04-30,95.4,172234549.0,111481.9005,,0.2845,0.0
2018-05-31,90.7,187276157.0,105989.6057,,0.2705,0.0
2018-06-30,81.95,150106817.0,95764.5886,,0.2444,0.0
2018-07-31,86.45,163941216.0,101023.1688,,0.2578,0.0
2018-08-31,89.75,200219852.0,104879.4609,,0.2677,0.0
2018-09-30,65.75,194331391.0,76833.6998,,0.1961,0.0
2018-10-31,76.65,273612067.0,89571.1497,,0.2286,0.0
2018-11-30,78.55,225136885.0,91791.4391,,0.2343,0.0
2018-12-31,85.9,190376730.0,100380.4534,,0.3927,0.0
2019-01-31,82.75,251531885.0,96699.4473,,0.3783,0.0
2019-02-28,71.65,174838113.0,83728.2827,,0.3276,0.0
2019-03-31,95.6,257913037.0,111715.6152,,0.4371,0.0
2019-04-30,83.5,193704935.0,103632.7602,,0.3818,0.0
2019-05-31,75.8,273033065.0,133610.6558,,0.3466,0.0
2019-06-30,81.05,186840817.0,142864.692,,0.53,0.0
2019-07-31,67.6,238117911.0,119156.7326,,0.442,0.0
2019-08-31,58.85,217708447.0,103733.3389,,0.3848,0.0
2019-09-30,52.8,224662861.0,93069.1639,,0.2487,0.0
2019-10-31,57.35,231121586.0,101108.9856,,0.2701,0.0
2019-11-30,63.05,296143215.0,111158.1786,,0.2969,0.0
2019-12-31,54.8,310814076.0,187570.4731,,0.4933,0.0
2020-01-31,49.9,84265021.0,170798.6607,,0.4492,0.0
2020-02-29,37.15,70662970.0,127157.7204,,0.3344,0.0
2020-03-31,28.7,94407780.0,98234.9011,,0.2899,0.0
2020-04-30,27.25,86201450.0,174445.0703,,0.2753,0.0
2020-05-31,23.65,78965429.0,151399.1161,,0.2389,0.0
2020-06-30,31.8,221922990.0,203572.5958,,0.3319,0.0
2020-07-31,29.0,91531791.0,185798.4863,,0.3027,0.0
2020-08-31,30.2,119650600.0,193486.6995,,0.3152,0.0
2020-09-30,24.35,76654431.0,156006.66,,0.2493,0.0
2020-10-31,24.05,55512327.0,154084.611,,0.2462,0.0
2020-11-30,28.0,101110871.0,179391.6469,,0.2867,0.0
2020-12-31,31.55,270666399.0,202135.945,,0.3147,0.0
2021-01-31,31.05,168786368.0,198932.5227,,0.3097,0.0
2021-02-28,40.6,630037988.0,260117.888,,0.405,0.0
2021-03-31,34.05,202128441.0,218153.0563,7.6295,0.3375,0.0
2021-04-30,34.2,164062931.0,219114.083,7.6631,0.339,0.0
2021-05-31,34.7,492893268.0,237165.7437,7.7751,0.344,0.0
2021-06-30,38.55,803507018.0,263479.5221,6.8436,0.3888,0.0
2021-07-31,36.85,266726589.0,251860.4441,6.5418,0.3717,0.0
2021-08-31,35.4,147301969.0,241950.0603,6.2844,0.357,0.0
2021-09-30,36.25,227402344.0,247759.5956,5.171,0.3557,0.0
2021-10-31,46.15,742506440.0,315423.5956,6.5832,0.4528,0.0
2021-11-30,43.0,452628795.0,293894.141,6.1338,0.4219,0.0
2021-12-31,43.4,340334088.0,296628.04,5.8331,0.4193,0.0
2022-01-31,47.4,240892240.0,323967.0299,6.3707,0.458,0.0
2022-02-28,40.15,408843121.0,274415.1108,5.3963,0.3879,0.0
2022-03-31,38.7,246700919.0,264504.7269,4.9869,0.3738,0.0
2022-04-30,38.1,221896907.0,260403.8785,4.9096,0.368,0.0
2022-05-31,37.85,196586470.0,258695.1916,4.8774,0.3656,0.0
2022-06-30,34.25,162126658.0,234090.1007,4.087,0.3228,1.9
2022-07-31,38.2,122838033.0,261087.3532,4.5583,0.36,1.9
2022-08-31,42.35,183198138.0,289451.5552,5.0535,0.3991,1.9
2022-09-30,44.65,260712441.0,305171.4744,5.0282,0.4101,1.9
2022-10-31,53.9,254685945.0,368392.8884,6.0698,0.4951,1.9
2022-11-30,81.65,795546101.0,558057.1306,9.1948,0.75,1.9
2022-12-31,80.4,993602661.0,549513.6963,7.5564,0.7145,1.9
2023-01-31,78.5,398798704.0,536527.6761,7.3778,0.6976,1.9
2023-02-28,67.25,208271776.0,459636.7671,6.3205,0.5977,1.9
2023-03-31,66.55,301979700.0,454852.4439,5.3454,0.578,1.9
2023-04-30,75.85,168079043.0,518415.5953,6.0924,0.6587,1.9
2023-05-31,71.1,208347736.0,485950.5448,5.7108,0.6175,1.9
2023-06-30,72.25,147651354.0,493810.5044,4.8425,0.6039,1.9
2023-07-31,89.0,461042966.0,608292.5245,5.9651,0.7439,3.0
2023-08-31,85.9,392493908.0,636729.3018,5.7574,0.718,3.0
2023-09-30,106.3,986725183.0,787943.2455,6.1268,0.8722,3.0
2023-10-31,101.6,568477295.0,753104.7388,5.8559,0.8336,3.0
2023-11-30,107.85,396913629.0,799432.5402,6.2161,0.8849,3.0
2023-12-31,119.1,498745996.0,882822.5826,6.2916,0.9395,3.0
2024-01-31,139.85,509571514.0,1036630.883,7.3877,1.1032,3.0
2024-02-29,146.3,870036214.0,1116796.5,7.7285,1.1541,3.0
2024-03-31,153.5,404099871.0,1171758.461,7.9699,1.2019,3.0
2024-04-30,154.2,333653952.0,1177101.985,8.0062,1.2074,3.0
2024-05-31,160.15,478613293.0,1222521.938,8.3152,1.254,3.0
2024-06-30,136.69,398076755.0,1043437.55,7.1045,1.0145,3.0
2024-07-31,134.8,289397734.0,1029010.036,7.0062,1.0005,3.6
2024-08-31,121.54,251253875.0,927788.4255,6.317,0.902,3.6
2024-09-30,122.77,249041475.0,937177.7604,6.0418,0.8713,3.6
2024-10-31,117.17,220084991.0,894429.5693,5.7662,0.8315,3.6
2024-11-30,121.62,180745913.0,928399.1139,5.9852,0.8631,3.6
2024-12-31,120.37,254956763.0,918857.1069,5.6012,0.8193,3.6
