BSOFT IN Equity,price,volume,mc,pe,bm,div
2001-01-31,2.03,1636320.0,335.634,,,0.0
2001-02-28,1.55,825400.0,256.8891,,,0.0
2001-03-31,0.89,1545400.0,147.1626,,,0.0
2001-04-30,0.74,1226680.0,122.8937,,,0.0
2001-05-31,0.93,974700.0,154.908,,,0.0
2001-06-30,0.74,381620.0,122.6355,,,0.0
2001-07-31,0.59,263620.0,98.1084,,,0.0
2001-08-31,0.55,234000.0,91.3957,,,0.0
2001-09-30,0.53,149840.0,88.2976,,,0.0375
2001-10-31,0.55,429980.0,91.6539,,,0.0375
2001-11-30,1.05,4333940.0,174.7879,,,0.0375
2001-12-31,1.42,2349740.0,235.4602,,,0.0375
2002-01-31,2.93,28234840.0,485.6554,,,0.0375
2002-02-28,2.22,10988660.0,368.4371,,,0.0375
2002-03-31,3.8,98432320.0,629.9836,35146.21,2.7586,0.0375
2002-04-30,6.17,262812100.0,1022.9487,57069.3786,4.4793,0.0375
2002-05-31,5.79,140512060.0,960.2086,53569.1618,4.2046,0.0375
2002-06-30,5.39,87403520.0,893.5955,49852.8822,3.9129,0.0375
2002-07-31,2.45,37515460.0,406.1329,22657.7821,1.7784,0.0375
2002-08-31,3.9,165031920.0,645.7332,36024.8652,2.8275,0.0375
2002-09-30,4.51,316243100.0,746.9436,41671.3055,3.2707,0.025
2002-10-31,4.71,408273120.0,780.7665,43558.2537,3.4188,0.025
2002-11-30,5.32,87204280.0,882.4934,49233.5023,3.8643,0.025
2002-12-31,5.33,144391060.0,883.2679,49276.7149,3.8677,0.025
2003-01-31,5.27,263983180.0,872.6822,48686.1433,3.8213,0.025
2003-02-28,5.88,257187280.0,975.1836,54404.6045,4.2701,0.025
2003-03-31,4.37,181095500.0,723.7065,8.9288,2.703,0.025
2003-04-30,4.29,93248520.0,711.3134,8.7759,2.6567,0.025
2003-05-31,4.22,49018800.0,698.9203,8.6229,2.6104,0.025
2003-06-30,4.91,29189820.0,813.0403,10.0309,3.0366,0.025
2003-07-31,5.47,57120220.0,906.505,11.184,3.3857,0.0875
2003-08-31,6.9,63469200.0,1143.5235,14.1083,4.271,0.0875
2003-09-30,7.9,97389300.0,1309.5396,16.1565,4.891,0.0875
2003-10-31,7.75,76092500.0,1940.8888,15.8507,4.7984,0.0875
2003-11-30,7.76,25202720.0,1943.6192,15.873,4.8052,0.0875
2003-12-31,10.02,37173540.0,2508.4116,20.4855,6.2015,0.0875
2004-01-31,8.15,6552340.0,2039.5715,16.6566,5.0424,0.0875
2004-02-29,7.82,3471140.0,1958.8311,15.9972,4.8428,0.0875
2004-03-31,6.49,6835520.0,1625.7284,5.2831,2.6864,0.0875
2004-04-30,9.76,9719360.0,2442.4931,7.9373,4.0361,0.0875
2004-05-31,9.83,17050980.0,2461.6056,7.9994,4.0677,0.0875
2004-06-30,10.09,5305420.0,2526.3539,8.2098,4.1747,0.0875
2004-07-31,12.2,12426120.0,2361.3714,9.9248,5.0467,0.1
2004-08-31,12.4,4019240.0,2401.4815,10.0933,5.1324,0.1
2004-09-30,14.33,5828820.0,2774.536,11.6613,5.9297,0.1
2004-10-31,15.02,3659220.0,2944.6667,12.2215,6.2146,0.1
2004-11-30,17.48,3620860.0,3427.5041,14.2255,7.2336,0.1
2004-12-31,20.18,6092380.0,3955.8461,16.4183,8.3487,0.1
