SUNTV IN Equity,price,volume,mc,pe,bm,div
2020-10-31,422.0,31892211.0,166303.7092,12.0023,2.9053,22.5
2020-11-30,439.95,48293169.0,173377.5281,12.5128,3.0289,20.0
2020-12-31,480.75,104135355.0,189456.1806,13.6732,3.3098,20.0
2021-01-31,477.75,71200726.0,188273.9267,13.5879,3.2891,20.0
2021-02-28,493.2,76681556.0,194362.5341,14.0273,3.3955,17.5
2021-03-31,470.3,48375822.0,185337.9963,12.1525,2.6275,17.5
2021-04-30,543.35,55954557.0,214125.8777,14.0401,3.0356,17.5
2021-05-31,541.65,76862539.0,213455.9339,13.9961,3.0262,5.0
2021-06-30,529.75,68100337.0,208766.3269,13.6886,2.9597,5.0
2021-07-31,579.6,49264841.0,228411.4458,14.9767,3.2382,5.0
2021-08-31,482.55,32163194.0,190165.5334,12.469,2.696,8.75
2021-09-30,505.35,45124730.0,199150.6627,13.0581,2.8233,8.75
2021-10-31,561.0,58233484.0,221081.4718,14.4961,3.1343,8.75
2021-11-30,520.95,40762979.0,205298.3828,13.4612,2.9105,11.25
2021-12-31,500.1,22061548.0,197081.7185,12.9225,2.794,11.25
2022-01-31,497.8,15933609.0,196175.3238,12.863,2.7812,11.25
2022-02-28,447.55,29578233.0,176372.5717,11.5646,2.5004,13.75
2022-03-31,489.85,32045645.0,193042.3511,11.7583,2.3671,13.75
2022-04-30,482.45,19925909.0,190126.1249,11.5807,2.3313,13.75
2022-05-31,445.5,15653114.0,175564.6982,10.6937,2.1528,13.75
2022-06-30,412.55,33575654.0,162579.61,9.9028,1.9936,13.75
2022-07-31,472.2,24109953.0,186086.7576,11.3346,2.2818,13.75
2022-08-31,502.0,31777537.0,197830.4792,12.0499,2.4258,15.0
2022-09-30,508.85,25466239.0,200529.9589,12.2144,2.4589,15.0
2022-10-31,522.85,18664606.0,206047.1436,12.5504,2.5266,15.0
2022-11-30,491.8,29518447.0,193810.8161,11.8051,2.3765,16.25
2022-12-31,486.65,20164191.0,191781.2803,11.6815,2.3516,16.25
2023-01-31,462.0,12131621.0,182067.0944,11.0898,2.2325,16.25
2023-02-28,428.7,8753252.0,168944.0766,10.2904,2.0716,17.5
2023-03-31,415.85,12021808.0,163880.0892,9.6017,1.7676,15.0
2023-04-30,431.8,6833859.0,170165.7389,9.97,1.8353,15.0
2023-05-31,444.2,11859528.0,175052.3882,10.2563,1.8881,15.0
