FIRSTCRY IN Equity,price,volume,mc,pe,bm,div
2024-08-31,640.55,103135714.0,332563.4195,,,0.0
2024-09-30,644.0,19526629.0,334354.6048,,,0.0
2024-10-31,627.9,14930559.0,325995.7397,,,0.0
2024-11-30,604.35,19049616.0,313768.9525,,,0.0
2024-12-31,652.05,10917268.0,338534.0374,,,0.0
2025-01-31,477.9,14526101.0,248118.1144,,,0.0
2025-02-28,376.55,17132464.0,195498.7988,,,0.0
2025-03-31,367.9,21495572.0,191370.1265,,4.0496,0.0
2025-04-30,339.25,17096267.0,176864.134,,3.7343,0.0
2025-05-31,348.45,15495978.0,181660.4495,,3.8355,0.0
2025-06-30,386.0,237486073.0,201350.5916,,4.2489,0.0
2025-07-31,343.35,31033824.0,179168.555,,3.7794,0.0
2025-08-31,362.2,33144259.0,189004.9531,,3.9869,0.0
2025-09-30,363.8,106573563.0,189870.8238,,4.0045,0.0
2025-10-31,348.4,16575793.0,181833.4113,,3.835,0.0
2025-11-30,302.5,19701292.0,157902.7872,,3.3298,0.0
2025-12-31,286.9,24937416.0,149759.7013,,3.158,0.0
2026-01-31,276.6,42921875.0,144389.1164,,3.0447,0.0
2026-02-28,217.4,109615372.0,113491.9273,,2.393,0.0
2026-03-31,216.3,3972658.0,112917.6827,,2.3809,0.0
