VENTIVE IN Equity,price,volume,mc,pe,bm,div
2024-12-31,719.85,14987836.0,168114.9265,,,0.0
2025-01-31,717.35,13997446.0,167531.0725,,,0.0
2025-02-28,557.4,6589207.0,130176.0923,,,0.0
2025-03-31,712.45,6604384.0,166386.7186,104.3119,3.4616,0.0
2025-04-30,718.8,3531263.0,167869.7078,105.2416,3.4925,0.0
2025-05-31,775.65,3656207.0,181146.5482,113.5652,3.7687,0.0
2025-06-30,682.95,1717658.0,159497.2412,99.9927,3.3183,0.0
2025-07-31,782.45,10132364.0,182734.6312,114.5608,3.8018,0.0
2025-08-31,708.65,2188420.0,165499.2605,103.7555,3.4432,0.0
2025-09-30,696.65,3274554.0,162696.7612,101.9985,3.3849,0.0
2025-10-31,738.9,1895489.0,172563.8942,108.1845,3.5902,0.0
2025-11-30,728.15,1014065.0,170053.3219,106.6105,3.5379,0.0
2025-12-31,762.9,1863573.0,178168.8927,111.6984,3.7068,0.0
2026-01-31,746.05,1995368.0,174233.7166,109.2313,3.6249,0.0
2026-02-28,694.7,1965448.0,162241.3551,101.713,3.3754,0.0
2026-03-31,701.85,479878.0,163911.1719,102.7599,3.4101,0.0
