ABLBL IN Equity,price,volume,mc,pe,bm,div
2025-06-30,157.08,24225277.0,191683.9029,,,0.0
2025-07-31,143.5,58787328.0,175112.2999,,,0.0
2025-08-31,135.01,24484664.0,164751.9973,,,0.0
2025-09-30,132.91,32806879.0,162189.3783,,12.3779,0.0
2025-10-31,133.6,46616471.0,163031.3817,,12.4422,0.0
2025-11-30,130.17,38820452.0,158845.7706,,12.1227,0.0
2025-12-31,127.58,76228426.0,155711.9015,107.2101,11.5462,0.0
2026-01-31,105.03,80762511.0,128189.5361,88.2605,,0.0
2026-02-28,102.08,25674801.0,124589.6107,85.7815,,0.0
2026-03-31,102.87,21239034.0,125553.8165,86.4454,,0.0
