PAYTM IN Equity,price,volume,mc,pe,bm,div
2021-11-30,1699.6,117706912.0,1101805.911,,1.5673,0.0
2021-12-31,1334.55,42503513.0,865153.6116,,1.2306,0.0
2022-01-31,916.85,100649338.0,594369.7043,,0.8455,0.0
2022-02-28,798.1,45139368.0,517587.156,,0.736,0.0
2022-03-31,528.45,211916018.0,342732.2792,,2.4219,0.0
2022-04-30,581.65,173876182.0,377239.1654,,2.6657,0.0
2022-05-31,652.95,102571807.0,423597.6599,,2.9924,0.0
2022-06-30,675.7,92920834.0,438414.7668,,3.0967,0.0
2022-07-31,706.8,63098332.0,458607.6924,,3.2392,0.0
2022-08-31,717.85,66201155.0,465795.5426,,3.2899,0.0
2022-09-30,637.95,27421592.0,413974.2244,,2.9237,0.0
2022-10-31,638.4,20119199.0,414282.8664,,2.9258,0.0
2022-11-30,481.7,215711626.0,312698.2313,,2.2076,0.0
2022-12-31,531.0,142209948.0,344796.5595,,2.4335,0.0
2023-01-31,530.9,111942641.0,344731.6261,,2.4331,0.0
2023-02-28,597.25,242751930.0,378517.7511,,2.7372,0.0
2023-03-31,636.8,104025177.0,403596.3366,,3.1009,0.0
2023-04-30,653.6,46989568.0,414300.6333,,3.1827,0.0
2023-05-31,697.35,90387242.0,442141.801,,3.3957,0.0
2023-06-30,867.85,133065942.0,550371.9683,,4.226,0.0
2023-07-31,800.4,74146535.0,507637.9321,,3.8975,0.0
2023-08-31,853.9,113473837.0,541647.0187,,4.158,0.0
2023-09-30,857.7,51715211.0,544099.0341,,4.1765,0.0
2023-10-31,920.75,71276862.0,584121.5469,,4.4835,0.0
2023-11-30,875.85,103339792.0,555867.2711,,4.2649,0.0
2023-12-31,635.45,182465296.0,403398.0955,,3.0943,0.0
2024-01-31,761.2,115204608.0,483423.1754,,3.7066,0.0
2024-02-29,403.3,309955574.0,256154.9742,,1.9638,0.0
2024-03-31,402.65,90239244.0,255849.3557,,1.9198,0.0
2024-04-30,372.4,33216349.0,236736.602,,1.7756,0.0
2024-05-31,360.75,123085070.0,229362.1566,,1.7201,0.0
2024-06-30,401.75,120079178.0,255510.0656,,1.9155,0.0
2024-07-31,494.25,125062560.0,314478.469,,2.3566,0.0
2024-08-31,621.9,238567077.0,395767.4876,,2.9652,0.0
2024-09-30,688.3,288209562.0,438198.868,,3.2818,0.0
2024-10-31,758.9,357471359.0,483216.3997,,3.6184,0.0
2024-11-30,901.75,212431783.0,574539.0373,,4.2996,0.0
2024-12-31,1017.85,166268191.0,648759.9099,,4.8531,0.0
2025-01-31,775.75,184684120.0,494564.629,,3.6988,0.0
2025-02-28,714.95,101836970.0,455900.3584,,3.4089,0.0
2025-03-31,783.45,135635099.0,499647.0112,,3.3255,0.0
2025-04-30,864.75,107560553.0,551576.8814,,3.6706,0.0
2025-05-31,890.45,172019005.0,568025.7049,,3.7797,0.0
2025-06-30,924.0,126005438.0,589606.7571,,3.9221,0.0
2025-07-31,1089.35,138749834.0,695321.0655,,4.624,0.0
2025-08-31,1207.0,182355015.0,770644.1168,,5.1234,0.0
2025-09-30,1123.8,70652796.0,717729.9963,,4.7702,0.0
2025-10-31,1303.2,66381064.0,832885.1963,,5.5318,0.0
2025-11-30,1320.6,135562989.0,844277.6683,,5.6056,0.0
2025-12-31,1298.9,57426488.0,830697.5396,,5.5135,0.0
2026-01-31,1137.5,78849733.0,727690.7536,,4.8284,0.0
2026-02-28,1098.3,72454592.0,702723.5493,,4.662,0.0
2026-03-31,1052.0,12665915.0,673099.4936,,4.4655,0.0
