TRIV IN Equity,price,volume,mc,pe,bm,div
2019-11-30,93.8,1183066.0,30326.0544,30.7541,6.9975,0.5
2019-12-31,94.05,1961476.0,30406.8808,30.8361,7.0161,0.5
2020-01-31,98.0,2877677.0,31683.9374,32.1311,7.3108,0.5
2020-02-29,95.1,3534932.0,30746.3515,31.1803,7.0944,0.5
2020-03-31,58.5,5200458.0,18913.3708,15.5172,3.5674,0.5
2020-04-30,76.6,1793337.0,24765.2001,20.3183,4.6711,0.5
2020-05-31,63.5,548788.0,20529.8982,16.8435,3.8723,0.5
2020-06-30,68.6,1819398.0,22178.7562,18.1963,4.1833,0.5
2020-07-31,62.45,5081433.0,20190.4275,16.565,3.8082,0.5
2020-08-31,75.5,11035752.0,24409.564,20.0265,4.604,0.5
2020-09-30,68.6,5204378.0,22178.7562,18.1963,4.1833,0.5
2020-10-31,69.9,1111008.0,22599.054,18.5411,4.2625,0.0
2020-11-30,74.55,1695006.0,24102.4245,19.7745,4.5461,0.0
2020-12-31,81.2,4806877.0,26252.406,21.5385,4.9516,0.0
2021-01-31,83.95,7862145.0,27141.4961,22.2679,5.1193,0.0
2021-02-28,100.85,11281529.0,32605.359,26.7507,6.1499,0.0
2021-03-31,101.8,6161916.0,32912.4992,32.1136,5.1621,0.0
2021-04-30,100.75,2428661.0,32573.0284,31.7823,5.1089,0.0
2021-05-31,101.35,12658745.0,32767.0117,31.9716,5.1393,0.0
2021-06-30,123.3,20484821.0,39863.5673,38.8959,6.2523,0.0
2021-07-31,122.25,9976157.0,39524.0954,38.5647,6.1991,0.0
2021-08-31,129.1,14639779.0,41738.738,40.7256,6.5464,0.0
2021-09-30,159.45,17180697.0,51551.0594,50.2997,8.0854,1.2
2021-10-31,191.8,47061119.0,62009.9918,60.5047,9.7259,1.2
2021-11-30,185.9,30560601.0,60102.4895,58.6435,9.4267,2.2
2021-12-31,189.45,11897956.0,61250.2239,59.7634,9.6067,2.2
2022-01-31,203.0,33647351.0,65631.0133,64.0379,10.2938,2.2
2022-02-28,176.0,13302834.0,56901.7652,55.5205,8.9247,2.2
2022-03-31,202.15,8688887.0,65356.2036,24.1806,7.63,2.2
2022-04-30,192.85,12590873.0,62349.4626,23.0682,7.279,2.2
2022-05-31,170.3,9810844.0,55058.9239,20.3708,6.4278,2.2
2022-06-30,156.35,12332998.0,50548.8124,18.7022,5.9013,2.2
2022-07-31,170.85,6701986.0,55236.7419,20.4366,6.4486,2.2
2022-08-31,204.95,12099602.0,66261.4589,24.5156,7.7357,2.55
2022-09-30,234.9,48743626.0,75944.4582,28.0981,8.8661,2.55
2022-10-31,279.8,39849688.0,90460.8744,33.4689,10.5608,2.55
2022-11-30,286.95,14732108.0,92772.5086,34.3242,10.8307,1.95
2022-12-31,260.25,15485458.0,84140.2522,31.1304,9.8229,1.95
2023-01-31,271.25,16744801.0,87696.6125,32.4462,10.2381,1.55
2023-02-28,317.55,43469635.0,102665.6564,37.9844,11.9857,1.55
2023-03-31,333.15,53256138.0,105900.6936,55.804,13.9279,1.55
2023-04-30,365.3,21706374.0,116120.4363,61.1893,15.272,1.55
2023-05-31,399.5,32274428.0,126991.8267,66.9179,16.7018,1.55
2023-06-30,406.75,17515176.0,129296.4344,68.1323,17.0049,1.55
2023-07-31,400.0,10705576.0,127150.7652,67.0017,16.7227,1.55
2023-08-31,391.45,15872819.0,124432.9176,65.5695,16.3652,0.85
2023-09-30,438.4,21171240.0,139357.2387,73.4338,18.328,0.85
2023-10-31,359.2,16933540.0,114181.3871,60.1675,15.017,0.0
2023-11-30,430.85,16081802.0,136957.268,72.1692,18.0124,0.0
2023-12-31,424.15,11723954.0,134827.4926,71.0469,17.7323,0.0
2024-01-31,376.55,9274186.0,119696.5516,63.0737,15.7423,0.0
2024-02-29,498.2,63505094.0,158366.2781,83.4506,20.8281,2.3
2024-03-31,536.7,44952788.0,170604.5392,63.3648,17.775,2.3
2024-04-30,537.55,20521690.0,170874.7346,63.4652,17.8031,2.3
2024-05-31,587.2,33782468.0,186657.3233,69.327,19.4475,2.3
2024-06-30,620.5,22682248.0,197242.6245,73.2586,20.5503,2.3
2024-07-31,594.6,9728385.0,189009.6125,70.2007,19.6926,2.3
2024-08-31,720.15,76232434.0,228919.0589,85.0236,23.8507,2.3
2024-09-30,684.9,18202389.0,217713.8977,80.8619,22.6832,3.6
2024-10-31,691.9,31039671.0,219939.0361,81.6883,22.915,3.6
2024-11-30,767.65,110122056.0,244018.2123,90.6316,25.4238,3.6
2024-12-31,741.35,31969657.0,235658.0495,87.5266,24.5528,3.6
2025-01-31,670.35,15084839.0,213088.7886,79.144,22.2013,3.6
2025-02-28,486.0,42940180.0,154488.1797,57.379,16.0958,4.0
2025-03-31,563.6,90594752.0,179155.4282,50.16,14.7286,4.0
2025-04-30,520.15,28705816.0,165343.6763,46.293,13.5931,4.0
2025-05-31,581.25,48066480.0,184765.9557,51.7308,15.1899,4.0
2025-06-30,612.45,29396694.0,194683.7154,54.5076,16.0052,4.0
2025-07-31,599.3,23592146.0,190503.634,53.3373,15.6616,4.0
2025-08-31,519.1,20648280.0,165009.9055,46.1995,13.5657,4.0
2025-09-30,518.95,13510322.0,164963.9661,46.1862,13.5618,4.0
2025-10-31,535.3,7122909.0,170161.3085,47.6413,13.989,4.0
2025-11-30,536.9,13625064.0,170669.917,47.7837,14.0309,4.0
2025-12-31,538.25,9835198.0,171102.2848,47.9039,14.0661,4.0
2026-01-31,502.45,11270067.0,159724.0601,44.7177,13.1306,4.0
2026-02-28,489.2,17671283.0,155512.0116,43.5384,12.7843,4.25
2026-03-31,469.55,991137.0,149265.4602,41.7896,12.2708,4.25
