MMTC IN Equity,price,volume,mc,pe,bm,div
2008-06-30,646.98,210810.0,970467.4813,361.9797,80.1124,0.2
2008-07-31,804.72,470340.0,1207082.519,450.2359,99.645,0.2
2008-08-31,804.58,340530.0,1206867.481,450.1557,99.6272,0.2
2008-09-30,655.04,330810.0,982562.5,366.491,81.1108,0.3
2008-10-31,443.19,247530.0,664789.9906,247.9634,54.8786,0.3
2008-11-30,333.53,239730.0,500287.5,186.6048,41.2989,0.3
2008-12-31,637.85,586710.0,956770.0188,356.8706,78.9816,0.3
2009-01-31,482.75,451650.0,724122.5094,270.0942,59.7765,0.3
2009-02-28,468.65,321450.0,702977.4906,262.2072,58.031,0.3
2009-03-31,471.25,356520.0,706877.4906,347.1893,51.1235,0.3167
2009-04-30,545.3,354930.0,817950.0,401.7436,59.1566,0.3167
2009-05-31,918.93,559440.0,1378390.041,677.0089,99.6893,0.3167
2009-06-30,1023.26,999480.0,1534884.963,753.8728,111.0075,0.3167
2009-07-31,992.51,744420.0,1488765.041,731.2206,107.672,0.3167
2009-08-31,964.96,242010.0,1447445.019,710.9258,104.6836,0.3167
2009-09-30,1134.58,1024650.0,1701862.5,835.8853,123.0838,0.2667
2009-10-31,1008.08,671280.0,1512112.5,742.6879,109.3605,0.2667
2009-11-30,1143.39,1209150.0,1715082.422,842.3784,124.0399,0.2667
2009-12-31,1148.24,490080.0,1722365.041,845.9553,124.5666,0.2667
2010-01-31,1132.96,1185060.0,1699437.5,834.6943,122.9084,0.2667
2010-02-28,1118.1,535950.0,1677152.541,823.7488,121.2967,0.2667
2010-03-31,1047.83,281910.0,1571740.041,629.1994,100.1669,0.2667
2010-04-30,1044.57,384720.0,1566854.981,627.2438,99.8556,0.2667
2010-05-31,993.52,216090.0,1490275.0,596.5873,94.9751,0.1333
2010-06-30,1042.7,4030680.0,1564054.981,626.1229,99.6771,0.1333
2010-07-31,1166.07,5184051.0,1749100.0,700.2002,111.4701,0.1333
2010-08-31,877.1,3615117.0,1315650.0,526.6813,83.8463,0.1333
2010-09-30,902.07,1796294.0,1353100.0,541.6733,86.233,0.4333
2010-10-31,861.63,883029.0,1292449.938,517.3939,82.3678,0.4333
2010-11-30,691.17,702611.0,1036750.0,415.032,66.072,0.3
2010-12-31,778.97,1300491.0,1168449.938,467.7542,74.4653,0.3
2011-01-31,670.27,1115988.0,1005400.0,402.482,64.0741,0.3
2011-02-28,626.0,612137.0,939000.0,375.9007,59.8424,0.3
2011-03-31,621.43,1021958.0,932150.0,3585.1923,59.5017,0.3
2011-04-30,657.83,2108760.0,986750.0,3795.1923,62.9869,0.3
2011-05-31,616.63,773238.0,924950.0,3557.5,59.0421,0.3
2011-06-30,608.43,1657269.0,912650.0,3510.1923,58.2569,0.3
2011-07-31,590.4,1864460.0,885600.0,3406.1538,56.5302,0.3
2011-08-31,463.57,596378.0,695350.0,2674.4231,44.3861,0.3
2011-09-30,436.1,535518.0,654150.0,2515.9615,41.7562,0.4667
2011-10-31,447.2,332624.0,670800.0,2580.0,42.819,0.4667
2011-11-30,368.63,239940.0,552950.0,2126.7308,35.2963,0.1667
2011-12-31,359.47,2358768.0,539200.0,2073.8462,34.4186,0.1667
2012-01-31,594.83,57631161.0,892250.0,3431.7308,56.9547,0.1667
2012-02-29,566.1,4901972.0,849150.0,3265.9615,54.2035,0.1667
2012-03-31,523.23,3236868.0,784850.0,549.4302,46.2634,0.1667
2012-04-30,516.4,2309823.0,774600.0,542.2547,45.6592,0.1667
2012-05-31,479.83,10190499.0,719750.0,503.8572,42.4261,0.1667
2012-06-30,492.13,8617277.0,738200.0,516.7731,43.5136,0.1667
2012-07-31,464.63,6183521.0,696950.0,487.8962,41.0821,0.1667
2012-08-31,500.9,19972704.0,751350.0,525.9787,44.2887,0.1667
2012-09-30,506.97,9441663.0,760450.0,532.3491,44.8251,0.1667
2012-10-31,475.4,3562323.0,713100.0,499.2019,42.0341,0.1667
2012-11-30,450.97,7576260.0,676450.0,473.5453,39.8737,0.1667
2012-12-31,425.67,2328302.0,638500.0,446.9786,37.6367,0.1667
2013-01-31,372.8,2019182.0,559200.0,391.4651,32.9623,0.1667
2013-02-28,286.6,21127770.0,429900.0,300.9493,25.3407,0.1667
2013-03-31,132.3,57942188.0,198450.0,109.1128,13.301,0.1667
2013-04-30,142.53,9571584.0,213800.0,117.5526,14.3299,0.1667
2013-05-31,144.83,17124582.0,217250.0,119.4495,14.5611,0.1667
2013-06-30,68.03,4384440.0,102050.0,56.1097,6.8399,0.1667
2013-07-31,28.5,85460045.0,42750.0,23.505,2.8653,0.1667
2013-08-31,30.47,36539939.0,45700.0,25.127,3.063,0.1667
2013-09-30,32.17,23067003.0,48250.0,26.5291,3.2339,0.0667
2013-10-31,34.93,30402869.0,52400.0,28.8108,3.5121,0.0667
2013-11-30,35.13,36880614.0,52700.0,28.9758,3.5322,0.0667
2013-12-31,35.23,26628788.0,52850.0,29.0583,3.5422,0.0667
2014-01-31,31.67,22389176.0,47500.0,26.1167,3.1837,0.0667
2014-02-28,30.93,8865399.0,46400.0,25.5119,3.1099,0.0667
2014-03-31,35.43,55979000.0,53150.0,27.6414,3.6651,0.0667
2014-04-30,36.87,97289453.0,55300.0,28.7595,3.8133,0.0667
2014-05-31,60.57,216725988.0,90850.0,47.2478,6.2647,0.0667
2014-06-30,64.37,134317512.0,96550.0,50.2122,6.6578,0.0667
2014-07-31,50.3,71548620.0,75450.0,39.2388,5.2028,0.0667
2014-08-31,50.23,51756138.0,75350.0,39.1868,5.1959,0.0667
2014-09-30,42.37,43606107.0,63550.0,33.0501,4.3822,0.1
2014-10-31,45.73,25123179.0,68600.0,35.6764,4.7304,0.1
2014-11-30,40.1,26074700.0,60150.0,31.2819,4.1478,0.1
2014-12-31,37.77,48560088.0,56650.0,29.4616,3.9064,0.1
2015-01-31,38.43,36482607.0,57650.0,29.9817,3.9754,0.1
2015-02-28,38.17,32893842.0,57250.0,29.7737,3.9478,0.1
2015-03-31,32.33,28524663.0,48500.0,25.1191,3.5549,0.1
2015-04-30,31.93,22403640.0,47900.0,,3.5109,0.1
2015-05-31,32.27,21246140.0,48400.0,,3.5476,0.1
2015-06-30,34.23,50612421.0,51350.0,,3.7638,0.1
2015-07-31,31.53,34801505.0,47300.0,,3.467,0.1
2015-08-31,27.9,30157502.0,41850.0,,3.0675,0.1
2015-09-30,27.77,14956544.0,41650.0,,3.0528,0.1667
2015-10-31,29.43,18029567.0,44150.0,,3.2361,0.1667
2015-11-30,30.17,17717433.0,45250.0,,3.3167,0.1667
2015-12-31,31.9,25230435.0,47850.0,,3.5073,0.1667
2016-01-31,27.07,19214625.0,40600.0,,2.9759,0.1667
2016-02-29,20.53,15530247.0,30800.0,,2.2576,0.1667
2016-03-31,24.97,21997835.0,37450.0,,3.0764,0.1667
2016-04-30,26.07,15873938.0,39100.0,,3.212,0.1667
2016-05-31,23.67,8863055.0,35500.0,,2.9162,0.1667
2016-06-30,29.77,69783150.0,44650.0,,3.6679,0.1667
2016-07-31,29.93,38650572.0,44900.0,,3.6884,0.1667
2016-08-31,30.2,21668640.0,45300.0,,3.7213,0.1667
2016-09-30,29.4,26215215.0,44100.0,,3.6227,0.2
2016-10-31,31.23,18209997.0,46850.0,,3.8486,0.2
2016-11-30,30.6,49729442.0,45900.0,,3.7706,0.2
2016-12-31,35.2,106157790.0,52800.0,,4.3374,0.2
2017-01-31,41.83,236100171.0,62750.0,,5.1548,0.2
2017-02-28,42.0,45256310.0,63000.0,,5.1753,0.2
2017-03-31,41.3,49927320.0,61950.0,,5.1593,0.2
2017-04-30,43.9,47210193.0,65850.0,,5.4841,0.2
2017-05-31,37.47,34550712.0,56200.0,,4.6804,0.2
2017-06-30,37.87,50568029.0,56800.0,,4.7304,0.2
2017-07-31,40.83,42609864.0,61250.0,,5.101,0.2
2017-08-31,38.13,21778304.0,57200.0,,4.7637,0.2
2017-09-30,37.4,34110546.0,56100.0,,4.6721,0.2
2017-10-31,42.27,54778836.0,63400.0,,5.2801,0.2
2017-11-30,49.9,311443998.0,74850.0,,6.2337,0.2
2017-12-31,48.87,90941127.0,73300.0,,6.1046,0.2
2018-01-31,40.9,77139720.0,61350.0,,5.1093,0.2
2018-02-28,34.7,39921744.0,52050.0,,4.3348,0.2
2018-03-31,37.03,137169026.0,55550.0,146.1842,4.6188,0.2
