SRF IN Equity,price,volume,mc,pe,bm,div
2001-02-28,4.02,886860.0,1378.9606,,,0.3
2001-03-31,3.13,777820.0,1073.6683,,,0.3
2001-04-30,2.75,81725.0,943.3188,,,0.3
2001-05-31,3.01,385210.0,1032.5053,,,0.3
2001-06-30,3.18,1765050.0,1090.8196,,,0.0
2001-07-31,3.14,1862370.0,1077.0986,,,0.0
2001-08-31,2.84,1359075.0,916.2706,,,0.4
2001-09-30,2.87,428415.0,925.9495,,,0.4
2001-10-31,2.9,223050.0,935.6285,,,0.4
2001-11-30,3.37,318145.0,1087.2648,,,0.4
2001-12-31,2.96,492120.0,954.9863,,,0.4
2002-01-31,3.52,3205905.0,1135.6594,,,0.4
2002-02-28,3.24,5120890.0,1045.3228,,,0.4
2002-03-31,3.53,2484740.0,1138.8857,4.2407,0.3367,0.4
2002-04-30,3.6,2012720.0,1161.4698,4.3248,0.3433,0.4
2002-05-31,3.74,3431435.0,1206.6381,4.493,0.3567,0.4
2002-06-30,5.18,11592290.0,1671.226,6.223,0.494,0.4
2002-07-31,3.94,6118840.0,1271.1642,4.7333,0.3758,0.4
2002-08-31,4.56,1689730.0,1471.1951,5.4781,0.4349,0.4
2002-09-30,4.57,2160415.0,1474.4214,5.4901,0.4358,0.4
2002-10-31,4.41,770540.0,1422.8005,5.2979,0.4206,0.4
2002-11-30,4.59,578780.0,1480.874,5.5142,0.4377,0.4
2002-12-31,4.46,865875.0,1438.932,5.358,0.4254,0.4
2003-01-31,4.54,1856225.0,1464.7425,5.4541,0.433,0.4
2003-02-28,4.67,785855.0,1506.6844,5.6103,0.4454,0.4
2003-03-31,4.2,726635.0,1355.0481,4.7678,0.3807,0.4
2003-04-30,4.63,844685.0,1493.7792,5.2559,0.4196,0.4
2003-05-31,5.34,1162170.0,1722.8469,6.0619,0.484,0.4
2003-06-30,5.52,2334760.0,1780.9204,6.2663,0.5003,0.4
2003-07-31,5.15,2502105.0,1661.5471,5.8462,0.4668,0.4
2003-08-31,6.05,5649410.0,1951.9145,6.8679,0.5483,0.4
2003-09-30,6.06,6036090.0,1955.1408,6.8793,0.5492,0.4
2003-10-31,6.13,3828530.0,1977.725,6.9587,0.5556,0.4
2003-11-30,9.31,15866640.0,3003.69,10.5686,0.8438,0.4
2003-12-31,11.54,16828195.0,3723.156,13.1001,1.0459,0.4
2004-01-31,9.06,13650410.0,2923.0323,10.2848,0.8211,0.4
2004-02-29,7.33,3180025.0,2364.8816,8.321,0.6643,0.4
2004-03-31,7.01,3231515.0,2261.6398,5.8578,0.5588,0.4
2004-04-30,7.64,1824865.0,2464.897,6.3842,0.6091,0.4
2004-05-31,7.63,5791365.0,2461.6707,6.3759,0.6083,0.4
2004-06-30,7.67,1789145.0,2474.5759,6.4093,0.6115,0.4
2004-07-31,7.64,3736520.0,2464.897,6.3842,0.6091,0.5
2004-08-31,9.72,9691195.0,3135.9685,8.1224,0.7749,0.5
2004-09-30,9.26,8695155.0,2987.5584,7.738,0.7382,0.5
2004-10-31,10.71,24125815.0,3455.3727,8.9496,0.8538,0.5
2004-11-30,15.74,54488085.0,5078.2041,13.1529,1.2548,0.5
2004-12-31,14.73,17803835.0,4752.3473,12.3089,1.1743,0.5
2005-01-31,15.59,52008170.0,5029.8095,13.0275,1.2428,0.5
2005-02-28,16.09,74977160.0,5191.1248,13.4453,1.2827,0.5
2005-03-31,17.8,113915860.0,5742.8229,9.6747,1.2708,0.5
2005-04-30,25.96,280677095.0,8375.4878,14.1098,1.8534,0.5
2005-05-31,27.15,397916180.0,8759.4181,14.7566,1.9384,0.5
2005-06-30,34.13,609164875.0,11011.379,18.5504,2.4367,0.5
2005-07-31,51.98,1306285770.0,16770.3334,28.2522,3.7112,0.5
2005-08-31,62.61,778653095.0,20199.8957,34.0299,4.4701,0.5
2005-09-30,63.53,452465480.0,20496.7157,34.5299,4.5358,0.5
2005-10-31,49.54,468587015.0,15983.115,26.926,3.5369,0.5
2005-11-30,55.41,376652965.0,17876.956,30.1165,3.956,0.5
2005-12-31,56.41,222847575.0,18199.5865,30.66,4.0274,0.5
2006-01-31,55.22,140184645.0,17815.6563,30.0132,3.9425,0.5
2006-02-28,55.37,127574525.0,17864.0508,30.0948,3.9532,0.5
2006-03-31,66.36,158935670.0,21409.76,20.8539,3.8177,0.5
2006-04-30,67.03,175381450.0,21325.8761,21.0644,3.8562,0.5
2006-05-31,43.43,141086075.0,14011.8426,13.648,2.4985,0.5
2006-06-30,40.44,232351450.0,13047.1775,12.7084,2.3265,0.5
2006-07-31,37.6,74665035.0,12130.9068,11.8159,2.1631,0.6
2006-08-31,47.27,224456100.0,15250.7438,14.8548,2.7194,0.6
2006-09-30,47.58,180228540.0,15350.7592,14.9522,2.7372,0.6
2006-10-31,49.0,123237025.0,15808.8945,15.3984,2.8189,0.6
2006-11-30,41.35,154630795.0,13340.7712,12.9944,2.3788,0.6
2006-12-31,37.26,98178355.0,12021.2125,11.7091,2.1435,0.6
2007-01-31,38.2,88570830.0,12324.4851,12.0045,2.1976,0.6
2007-02-28,30.39,106407385.0,10315.1261,9.5502,1.7483,0.6
2007-03-31,24.25,162259765.0,8231.0565,2.7778,0.986,0.8
2007-04-30,30.96,223326745.0,10508.5983,3.5464,1.2588,0.8
2007-05-31,31.34,113940255.0,10637.5798,3.5899,1.2743,0.8
2007-06-30,34.28,114869315.0,11635.4894,3.9267,1.3938,0.8
2007-07-31,28.86,87035230.0,9795.8058,3.3058,1.1734,0.8
2007-08-31,26.73,38746695.0,9072.8305,3.0619,1.0868,0.8
2007-09-30,29.05,85476330.0,9860.2966,3.3276,1.1811,0.8
2007-10-31,27.95,94481840.0,9486.929,3.2016,1.1364,0.8
2007-11-30,31.59,175928370.0,10722.4361,3.6186,1.2844,0.8
2007-12-31,36.96,202005775.0,12545.1484,4.2337,1.5028,0.8
2008-01-31,23.52,143487740.0,7983.2763,2.6942,0.9563,0.8
2008-02-29,23.74,42582670.0,8057.9498,2.7194,0.9652,0.8
2008-03-31,20.14,53118500.0,6836.0197,5.0756,0.7369,1.0
2008-04-30,25.32,105530860.0,8594.2413,6.381,0.9264,1.0
2008-05-31,23.56,43919035.0,7996.8533,5.9375,0.862,1.0
2008-06-30,24.0,82515480.0,8146.2003,6.0484,0.8781,1.0
2008-07-31,26.43,51842485.0,8971.003,6.6608,0.967,1.0
2008-08-31,26.62,55540500.0,9035.4938,6.7087,0.974,1.0
2008-09-30,21.72,33220905.0,7372.3112,5.4738,0.7947,1.0
2008-10-31,15.18,30021595.0,5152.4717,3.8256,0.5554,1.4
2008-11-30,13.8,16456560.0,4684.0651,3.4778,0.5049,1.4
2008-12-31,14.68,17303045.0,4982.7592,3.6996,0.5371,1.4
2009-01-31,12.98,15038140.0,4405.7366,3.2712,0.4749,1.4
2009-02-28,14.94,34097455.0,5071.0097,3.7651,0.5466,1.4
2009-03-31,14.86,47536725.0,5043.8557,3.365,0.4623,3.0
2009-04-30,16.98,104298840.0,5136.7557,3.8451,0.5283,3.0
2009-05-31,24.7,76238520.0,7472.1947,5.5933,0.7685,3.0
2009-06-30,22.35,53382780.0,6761.2774,5.0611,0.6954,1.5
2009-07-31,27.82,57659770.0,8416.0509,6.2998,0.8655,1.5
2009-08-31,30.92,51917115.0,9353.8567,7.0018,0.962,1.5
2009-09-30,35.74,43635890.0,10811.9935,8.0933,1.112,1.5
2009-10-31,37.18,135534815.0,11247.6194,8.4194,1.1568,1.5
2009-11-30,36.42,50630505.0,11017.7058,8.2473,1.1331,2.4
2009-12-31,40.96,74036930.0,12391.1375,9.2754,1.2744,2.4
2010-01-31,38.74,71752485.0,11719.5475,8.7726,1.2053,2.4
2010-02-28,35.62,17186265.0,10775.6914,8.0661,1.1082,2.4
2010-03-31,39.51,32168325.0,11952.4864,3.6843,0.9383,2.4
2010-04-30,43.36,49451580.0,13117.1807,4.0433,1.0297,2.8
2010-05-31,44.82,88570160.0,13558.857,4.1794,1.0644,2.8
2010-06-30,47.05,31345015.0,14233.4722,4.3874,1.1174,2.8
2010-07-31,47.93,33228405.0,14499.688,4.4694,1.1382,2.8
2010-08-31,52.84,31902655.0,15985.0514,4.9273,1.2549,2.8
2010-09-30,57.78,31283100.0,17479.4904,5.3879,1.3722,2.8
2010-10-31,80.49,75203385.0,24349.6743,7.5056,1.9115,2.8
2010-11-30,65.25,29529850.0,19739.2999,6.0845,1.5496,2.8
2010-12-31,70.7,37936655.0,21388.023,6.5927,1.679,2.8
2011-01-31,65.84,34234720.0,19917.7855,6.1395,1.5636,2.8
2011-02-28,61.45,15540085.0,18589.7314,5.7301,1.4593,2.8
2011-03-31,63.71,13923770.0,19273.4221,3.9804,1.1351,2.8
2011-04-30,66.83,14601190.0,20217.2783,4.1753,1.1907,2.8
2011-05-31,62.65,7619515.0,18952.753,3.9142,1.1162,2.8
2011-06-30,57.13,6288205.0,17282.8536,3.5693,1.0178,2.8
2011-07-31,63.74,9740420.0,19282.4977,3.9823,1.1356,2.8
2011-08-31,60.04,7522150.0,18163.181,3.7511,1.0697,2.8
2011-09-30,62.08,7059065.0,18780.3178,3.8785,1.106,2.8
2011-10-31,60.96,3653115.0,18441.4976,3.8086,1.0861,2.8
2011-11-30,58.85,8601175.0,17803.1846,3.6767,1.0485,2.8
2011-12-31,47.8,6555330.0,14460.3607,2.9864,0.8516,2.8
2012-01-31,54.33,4756035.0,16435.8032,3.3944,0.968,2.8
2012-02-29,53.53,13822940.0,15368.5973,3.3444,0.9537,2.8
2012-03-31,49.54,3523940.0,14223.0583,3.8643,0.7682,2.8
2012-04-30,47.79,13632430.0,13720.6289,3.7278,0.741,2.8
2012-05-31,42.18,4083185.0,12109.9838,3.2902,0.6541,2.8
2012-06-30,41.25,4592895.0,11842.9785,3.2176,0.6396,2.8
2012-07-31,40.5,13387330.0,11627.6516,3.1591,0.628,2.8
2012-08-31,42.82,5158985.0,12293.7294,3.3401,0.664,2.8
2012-09-30,44.83,5037035.0,12870.8055,3.4969,0.6951,2.8
2012-10-31,44.57,5045665.0,12796.1588,3.4766,0.6911,2.8
2012-11-30,41.65,5273280.0,11957.8195,3.2488,0.6458,2.4
2012-12-31,40.16,5330280.0,11530.0367,3.1326,0.6227,2.4
2013-01-31,38.59,3726200.0,11079.2858,3.0101,0.5984,2.4
2013-02-28,36.79,2887850.0,10562.5013,2.8697,0.5705,2.0
2013-03-31,33.86,2443780.0,9721.2909,3.8434,0.4937,2.0
2013-04-30,34.05,1914870.0,9775.8404,3.8649,0.4965,2.0
2013-05-31,31.3,2968155.0,8986.3085,3.5528,0.4564,2.0
2013-06-30,28.92,5874685.0,8303.0045,3.2826,0.4217,2.0
2013-07-31,26.71,2792650.0,7668.508,3.0318,0.3895,2.0
2013-08-31,27.09,3866315.0,7777.607,3.0749,0.395,2.0
2013-09-30,33.07,7288985.0,9494.48,3.7537,0.4822,2.0
2013-10-31,32.85,4565525.0,9431.3174,3.7287,0.479,2.0
2013-11-30,41.36,6279490.0,11874.5598,4.6947,0.6031,1.6
2013-12-31,44.33,32855100.0,12727.2542,5.0318,0.6464,1.6
2014-01-31,41.18,9797120.0,11822.8813,4.6742,0.6005,1.6
2014-02-28,43.07,7216105.0,12365.505,4.8888,0.628,2.0
2014-03-31,71.92,93455215.0,20648.4124,12.7112,0.9991,2.0
2014-04-30,77.61,40750000.0,22282.0257,13.7169,1.0782,2.0
2014-05-31,89.55,23761015.0,25710.0296,15.8271,1.244,2.0
2014-06-30,119.24,20304320.0,34234.1031,21.0746,1.6565,2.0
2014-07-31,117.99,15673415.0,33875.225,20.8537,1.6391,2.0
2014-08-31,136.43,39087560.0,39169.3952,24.1128,1.8953,2.4
2014-09-30,151.2,24195820.0,43409.8993,26.7232,2.1005,2.4
2014-10-31,170.44,60966885.0,48933.7516,30.1237,2.3678,2.4
2014-11-30,178.27,70157550.0,51181.7642,31.5076,2.4766,2.4
2014-12-31,175.03,28305545.0,50251.5521,30.935,2.4315,2.4
2015-01-31,189.93,39412315.0,54529.3794,33.5684,2.6385,2.4
2015-02-28,187.08,15932680.0,53711.6047,33.0647,2.5989,2.0
2015-03-31,198.4,10715335.0,56961.1377,18.8093,2.4805,2.0
2015-04-30,194.42,17649975.0,55818.4697,18.4319,2.4308,2.0
2015-05-31,220.21,14037055.0,63222.847,20.8769,2.7532,2.0
2015-06-30,246.45,25822995.0,70756.4132,23.3646,3.0813,2.0
2015-07-31,278.13,28377655.0,79851.8207,26.368,3.4774,2.0
2015-08-31,235.67,26886605.0,67661.4482,22.3426,2.9465,2.0
2015-09-30,224.72,21616950.0,64517.6757,21.3045,2.8096,2.0
2015-10-31,264.46,19539700.0,75927.133,25.0721,3.3064,2.0
2015-11-30,255.14,11978425.0,73251.3304,24.1885,3.1899,2.0
2015-12-31,252.94,13437645.0,72619.7049,23.9799,3.1624,2.0
2016-01-31,233.31,20514920.0,66983.8899,22.1189,2.917,2.0
2016-02-29,211.3,16426635.0,60664.7601,20.0322,2.6418,2.0
2016-03-31,261.69,17724565.0,75131.8519,17.4763,2.7192,2.0
2016-04-30,272.93,13745335.0,78358.8877,18.2269,2.836,2.0
2016-05-31,259.42,35479290.0,74480.1328,17.3247,2.6956,2.0
2016-06-30,262.57,16136190.0,75384.5057,17.5351,2.7284,2.0
2016-07-31,293.16,21189220.0,84166.975,19.5779,3.0462,2.0
2016-08-31,344.3,40011875.0,98849.3937,22.9932,3.5776,2.2
2016-09-30,355.54,28704910.0,102076.4223,23.7438,3.6944,2.2
2016-10-31,365.3,25464795.0,104878.5464,24.3956,3.7958,2.2
2016-11-30,314.99,33035500.0,90434.4156,21.0358,3.2731,2.2
2016-12-31,309.29,21279340.0,88797.9313,20.6551,3.2138,2.2
2017-01-31,343.06,23157395.0,98493.3902,22.9104,3.5648,2.2
2017-02-28,311.23,27579630.0,89354.9137,20.7847,3.234,2.4
2017-03-31,325.43,22942195.0,93431.7694,18.1419,2.9357,2.4
2017-04-30,354.28,22397395.0,101714.6767,19.7503,3.1959,2.4
2017-05-31,326.8,18732330.0,93825.0998,18.2183,2.948,2.4
2017-06-30,308.13,10226125.0,88464.896,17.1775,2.7796,2.4
2017-07-31,303.75,16280960.0,87207.387,16.9333,2.7401,2.4
2017-08-31,306.65,26927070.0,88039.9842,17.095,2.7662,2.4
2017-09-30,308.22,12793170.0,88490.7352,17.1825,2.7804,2.4
2017-10-31,337.81,32110645.0,96986.0984,18.8321,3.0473,2.4
2017-11-30,366.28,37918145.0,105159.9074,20.4192,3.3042,2.4
2017-12-31,396.24,23912360.0,113761.4986,22.0894,3.5744,2.4
2018-01-31,356.69,23528165.0,102406.5943,19.8846,3.2176,2.4
2018-02-28,379.75,18289400.0,109027.1744,21.1701,3.4257,2.4
2018-03-31,391.03,14633030.0,112265.6906,24.3148,3.1495,2.4
2018-04-30,478.49,21996950.0,137375.6752,29.7531,3.854,2.4
2018-05-31,386.44,45095600.0,110947.8901,24.0293,3.1126,2.4
2018-06-30,339.32,45456070.0,97419.6203,21.0994,2.733,2.4
2018-07-31,346.25,50106240.0,99409.2406,21.5303,2.7888,2.4
2018-08-31,404.48,52848095.0,116127.2192,25.1511,3.2579,2.4
2018-09-30,342.22,36108280.0,98252.2175,21.2797,2.7564,2.4
2018-10-31,386.2,44122490.0,110994.8455,24.0144,3.1106,2.4
2018-11-30,432.89,41171375.0,124413.6682,26.9177,3.4867,2.4
2018-12-31,399.93,55565850.0,114940.8818,24.8682,3.2212,2.4
2019-01-31,402.27,39420555.0,115613.4037,25.0137,3.2401,2.4
2019-02-28,459.03,50394835.0,131926.3696,28.5431,3.6972,2.4
2019-03-31,480.6,34612580.0,138125.6415,23.3405,3.345,2.4
2019-04-30,513.53,38700875.0,147589.8058,24.9397,3.5742,2.4
2019-05-31,569.37,55197065.0,163638.3614,27.6516,3.9629,2.4
2019-06-30,608.53,35629350.0,174893.0433,29.5534,4.2354,2.4
2019-07-31,540.36,37394675.0,155300.8149,26.2427,3.761,2.4
2019-08-31,554.92,52667965.0,159485.3953,26.9498,3.8623,2.6
2019-09-30,550.39,27461610.0,158183.462,26.7298,3.8308,2.6
2019-10-31,579.25,34005670.0,166477.8981,28.1314,4.0317,2.6
2019-11-30,640.33,46794300.0,184032.4428,31.0978,4.4568,2.6
2019-12-31,687.22,29027900.0,197508.746,33.375,4.7831,2.6
2020-01-31,756.81,21072835.0,217509.086,36.7547,5.2675,2.6
2020-02-29,778.76,37022020.0,223817.5709,37.8207,5.4203,2.8
2020-03-31,556.66,34503300.0,159985.4756,17.4677,3.243,2.8
2020-04-30,743.75,33123905.0,213755.6094,23.3385,4.3329,2.8
2020-05-31,697.43,20544965.0,200443.1256,21.885,4.063,2.8
2020-06-30,721.14,33389270.0,207257.4388,22.629,4.2012,2.8
2020-07-31,758.63,34689770.0,218032.1586,23.8054,4.4196,2.8
2020-08-31,810.78,38808410.0,233020.1989,25.4418,4.7234,2.4
2020-09-30,826.02,28998455.0,237400.2131,25.92,4.8122,2.4
2020-10-31,883.36,25307815.0,261674.2126,27.7193,5.1462,2.4
2020-11-30,1026.73,35594810.0,304144.1364,32.2182,5.9815,2.4
2020-12-31,1114.78,20574200.0,330226.837,34.9812,6.4944,2.4
2021-01-31,1073.99,23152735.0,318143.7778,33.7012,6.2568,4.8
2021-02-28,1087.59,18621860.0,322172.4517,34.128,6.336,4.8
2021-03-31,1082.16,14540430.0,320563.9444,26.3184,4.6754,4.8
2021-04-30,1286.22,24303285.0,381011.825,31.2812,5.557,4.8
2021-05-31,1302.63,29144655.0,385872.8939,31.6803,5.6279,4.8
2021-06-30,1455.14,17385010.0,431050.3235,35.3894,6.2868,4.8
2021-07-31,1731.74,22807580.0,512986.4565,42.1163,7.4818,4.8
2021-08-31,2027.95,32938820.0,600731.5674,49.3202,8.7616,6.2
2021-09-30,2255.82,34493890.0,668232.5917,54.8621,9.7461,6.2
2021-10-31,2117.3,35438782.0,627199.3627,51.4933,9.1476,6.2
2021-11-30,2005.85,44004105.0,594184.9722,48.7828,8.6661,6.2
2021-12-31,2420.1,19507587.0,717368.5226,58.8574,10.4558,6.2
2022-01-31,2406.8,18822153.0,713426.123,58.534,10.3984,6.2
2022-02-28,2383.65,14474097.0,706563.9762,57.971,10.2984,7.15
2022-03-31,2679.35,19304193.0,794215.6733,42.0298,9.2724,7.15
2022-04-30,2512.7,13877721.0,744817.1095,39.4156,8.6957,7.15
2022-05-31,2464.05,19859449.0,730396.2267,38.6525,8.5273,7.15
2022-06-30,2252.2,10487387.0,667599.4325,35.3293,7.7942,7.15
2022-07-31,2428.3,21239225.0,719799.175,38.0917,8.4036,8.35
2022-08-31,2543.4,10469558.0,753917.235,39.8972,8.8019,8.35
2022-09-30,2503.45,20012437.0,742084.7281,39.2705,8.6637,8.35
2022-10-31,2558.65,9607267.0,758447.3785,40.1364,8.8547,8.35
2022-11-30,2365.7,14992864.0,701252.2085,37.1097,8.187,8.35
2022-12-31,2290.35,12337354.0,678916.5979,35.9277,7.9262,8.35
2023-01-31,2182.45,11003402.0,646932.3593,34.2351,7.5528,8.35
2023-02-28,2168.55,11395199.0,642812.0543,34.0171,7.5047,7.2
2023-03-31,2411.85,10595810.0,714932.2142,33.0628,6.9229,7.2
2023-04-30,2540.25,8144417.0,752993.1617,34.8229,7.2915,7.2
2023-05-31,2519.75,9129730.0,746916.4528,34.5419,7.2326,7.2
2023-06-30,2289.45,12011556.0,678649.8156,31.3849,6.5716,7.2
2023-07-31,2170.55,20393339.0,643404.9039,29.7549,6.2303,7.2
2023-08-31,2356.5,11921339.0,698525.1001,32.304,6.764,7.2
2023-09-30,2249.4,9114821.0,666778.0014,30.8358,6.4566,7.2
2023-10-31,2195.3,8181784.0,650741.4183,30.0942,6.3013,7.2
2023-11-30,2367.4,5245017.0,701756.1307,32.4534,6.7953,7.2
2023-12-31,2479.25,11464641.0,734911.2474,33.9867,7.1164,7.2
2024-01-31,2325.1,13630384.0,689217.3606,31.8736,6.6739,7.2
2024-02-29,2389.65,10247242.0,708351.5831,32.7584,6.8592,7.2
2024-03-31,2560.25,9630422.0,758921.6582,56.8187,6.6114,7.2
2024-04-30,2621.05,10695061.0,776944.2876,58.168,6.7684,7.2
2024-05-31,2211.35,14906473.0,655499.0368,49.0757,5.7104,7.2
2024-06-30,2436.05,11114855.0,722105.6949,54.0624,6.2907,7.2
2024-07-31,2644.9,14782355.0,784014.0196,58.6973,6.83,7.2
2024-08-31,2564.6,12110014.0,760211.1062,56.9152,6.6226,7.2
2024-09-30,2497.85,15999934.0,740424.7491,55.4339,6.4502,7.2
2024-10-31,2243.15,14355015.0,664925.3462,49.7814,5.7925,7.2
2024-11-30,2265.0,6179431.0,671402.2286,50.2663,5.849,7.2
2024-12-31,2237.95,7619877.0,663383.9371,49.666,5.7791,7.2
2025-01-31,2809.85,27482980.0,832909.2945,62.358,7.2559,7.2
2025-02-28,2795.4,13442932.0,828625.9558,62.0373,7.2186,7.2
2025-03-31,2939.15,12978809.0,871237.0244,69.6481,6.9002,7.2
2025-04-30,3008.9,14623360.0,891912.6559,71.3009,7.064,7.2
2025-05-31,2861.0,15403436.0,848071.4243,67.7962,6.7168,7.2
2025-06-30,3242.1,15789590.0,961038.9251,76.827,7.6115,7.2
2025-07-31,3040.8,10883873.0,901368.6079,72.0569,7.1389,7.6
2025-08-31,2836.4,8439931.0,840779.3736,67.2133,6.659,7.6
2025-09-30,2823.6,5550274.0,836985.1359,66.91,6.629,7.6
2025-10-31,2930.5,10022728.0,868672.9497,69.4431,6.8799,7.6
2025-11-30,2927.3,10665093.0,867724.3902,69.3673,6.8724,7.6
2025-12-31,3075.0,10840083.0,911506.3369,72.8673,7.2192,7.6
2026-01-31,2816.3,9460056.0,834821.2346,66.737,6.6118,9.0
2026-02-28,2562.2,8506902.0,759499.6866,60.7156,6.0153,9.0
2026-03-31,2570.0,1076255.0,761811.8003,60.9005,6.0336,9.0
