SRF IN Equity,price,volume,mc,pe,bm,div
1995-01-31,24.55,,1960.0,,,0.0
1995-02-28,24.55,,1960.0,,,0.0
1995-03-31,23.08,,1842.4,,,0.0
1995-04-30,18.66,,1489.6,,,0.0
1995-05-31,16.89,,2588.7719,,,0.0
1995-06-30,14.73,,2257.6499,,,0.0
1995-07-31,17.97,,2754.3329,,,0.0
1995-08-31,14.73,,2257.6499,,,0.5893
1995-09-30,13.16,,2016.834,,,0.5893
1995-10-31,10.61,,1625.508,,,0.5893
1995-11-30,11.39,,1745.916,,,0.5893
1995-12-31,11.69,,1791.069,,,0.5893
1996-01-31,9.53,,1459.947,,,0.5893
1996-02-29,11.79,,1806.12,,,0.5893
1996-03-31,10.31,,1580.355,,,0.5893
1996-04-30,10.07,,1542.7275,,,0.5893
1996-05-31,9.33,223745.0,1429.845,,,0.5893
1996-06-30,8.35,2018545.0,1659.8375,,,0.5893
1996-07-31,6.97,430691.0,1386.4525,,,0.5893
1996-08-31,6.56,846506.0,1304.437,,,0.5893
1996-09-30,5.91,140311.0,1175.5555,,,0.5893
1996-10-31,6.09,51169.0,1210.705,,,0.5893
1996-11-30,5.01,64756.0,995.9025,,,0.5893
1996-12-31,5.45,45930.0,1083.7763,,,0.5893
1997-01-31,6.14,155843.0,1220.4688,,,0.5893
1997-02-28,6.24,34374.0,1239.9963,,,0.5893
1997-03-31,5.11,31742.0,1015.43,,,0.5893
1997-04-30,4.81,34272.0,956.8475,,,0.5893
1997-05-31,4.03,23016.0,800.6275,,,0.5893
1997-06-30,3.83,57517.0,761.5725,,,0.5893
1997-07-31,5.65,37586.0,1122.8313,,,0.5893
1997-08-31,4.91,46974.0,976.375,,,0.1964
1997-09-30,3.83,16805.0,761.5725,,,0.1964
1997-10-31,3.58,24049.0,712.7538,,,0.1964
1997-11-30,3.48,65311.0,691.2735,,,0.1964
1997-12-31,4.14,41185.0,824.0605,,,0.1964
1998-01-31,3.9,99367.0,1218.516,,,0.1964
1998-02-28,4.3,77275.0,1343.492,,,0.1964
1998-03-31,3.78,126430.0,1181.0232,,,0.1964
1998-04-30,3.8,197535.0,1187.272,,,0.1964
1998-05-31,3.6,43540.0,1124.784,,,0.1964
1998-06-30,3.0,29530.0,915.09,,,0.1964
1998-07-31,2.95,14615.0,899.8385,,,0.1964
1998-08-31,2.5,14770.0,762.575,,,0.1964
1998-09-30,2.11,34965.0,643.6133,,,0.1964
1998-10-31,2.5,5225.0,762.575,,,0.0
1998-11-30,2.3,25005.0,701.569,,,0.0
1998-12-31,2.0,40780.0,610.06,,,0.0
1999-01-31,2.08,81130.0,634.4624,,,0.0
1999-02-28,2.0,2702300.0,610.06,,,0.0
1999-03-31,2.5,1985165.0,762.575,,,0.0
1999-04-30,2.34,153975.0,713.7702,,,0.0
1999-05-31,3.42,280125.0,1043.2026,,,0.0
1999-06-30,4.1,1537580.0,1250.623,,,0.0
1999-07-31,5.19,2130495.0,1600.6479,,,0.0
1999-08-31,6.68,1584540.0,2060.1788,,,0.0
1999-09-30,10.15,5928610.0,3130.3615,,,0.0
1999-10-31,9.0,4649500.0,2775.69,,,0.0
1999-11-30,9.8,1443645.0,3022.418,,,0.0
1999-12-31,9.25,1704280.0,2852.7925,,,0.0
2000-01-31,9.77,1911595.0,3013.1657,,,0.0
2000-02-29,8.68,1107045.0,2676.9988,,,0.0
2000-03-31,6.52,557515.0,2010.8332,,,0.0
2000-04-30,5.8,280865.0,1788.778,,,0.3
2000-05-31,6.72,276230.0,2072.5152,,,0.3
2000-06-30,6.99,566335.0,2155.7859,,,0.3
2000-07-31,7.58,357920.0,2337.7478,,,0.3
2000-08-31,6.14,284210.0,1893.6374,,,0.3
2000-09-30,5.26,264805.0,1804.3116,,,0.3
2000-10-31,4.1,79795.0,1406.4026,,,0.3
2000-11-30,4.52,164635.0,1550.4731,,,0.3
2000-12-31,4.38,151870.0,1502.4496,,,0.3
2001-01-31,3.67,326055.0,1258.9018,,,0.3
