PIRPHARM IN Equity,price,volume,mc,pe,bm,div
2022-10-31,161.03,49834535.0,196778.2207,51.6928,2.9202,0.0
2022-11-30,131.15,194137382.0,160262.6746,42.1003,2.3783,0.0
2022-12-31,111.96,63012907.0,136813.966,35.9404,2.0304,0.0
2023-01-31,102.49,58398393.0,125238.7766,32.8997,1.8586,0.0
2023-02-28,76.95,87310872.0,94033.4978,24.7022,1.3955,0.0
2023-03-31,66.85,106224409.0,81682.6513,21.0188,1.2059,0.0
2023-04-30,69.14,96097626.0,84486.9498,,1.2473,0.0
2023-05-31,79.44,179002638.0,97076.46,,1.4332,0.0
2023-06-30,90.28,242153680.0,110322.2953,,1.6287,0.0
2023-07-31,101.95,193725632.0,124582.4514,,1.8393,0.0
2023-08-31,102.5,113337790.0,135599.6175,,1.8491,0.0
2023-09-30,102.05,103745776.0,135004.3022,,1.841,0.0
2023-10-31,104.5,177148193.0,138248.0796,,1.8852,0.0
2023-11-30,126.6,249486920.0,167485.2333,,2.2839,0.0
2023-12-31,138.85,169304452.0,183691.3479,,2.5049,0.0
2024-01-31,144.25,129898928.0,190835.2678,,2.6023,0.0
2024-02-29,131.9,79734854.0,174496.8583,,2.3795,0.0
2024-03-31,128.9,102256002.0,170528.014,920.7143,2.1555,0.0
2024-04-30,143.65,77253823.0,190041.4989,1026.0714,2.4021,0.0
2024-05-31,148.05,195588151.0,196277.0106,1057.5,2.4757,0.0
2024-06-30,157.24,89165001.0,208460.636,1123.1429,2.6294,0.0
2024-07-31,176.05,107958736.0,233397.9583,1257.5,2.9439,0.11
2024-08-31,188.98,97621996.0,250539.8816,1349.8571,3.1601,0.11
2024-09-30,229.01,343243732.0,303609.5793,1635.7857,3.8295,0.11
2024-10-31,268.47,291374077.0,355923.6005,1917.6429,4.4894,0.11
2024-11-30,268.75,252455250.0,356294.8099,1919.6429,4.4941,0.11
2024-12-31,266.25,151888363.0,352980.4396,1901.7857,4.4523,0.11
2025-01-31,232.9,134746993.0,308766.7395,1663.5714,3.8946,0.11
2025-02-28,189.89,216875305.0,251746.3124,1356.3571,3.1754,0.11
2025-03-31,224.75,168098085.0,297961.8922,325.7246,3.667,0.11
2025-04-30,211.05,87338485.0,279799.1428,305.8696,3.4435,0.11
2025-05-31,206.3,95232743.0,274223.8892,298.9855,3.366,0.11
2025-06-30,203.38,92723146.0,270342.4847,294.7536,3.3183,0.11
2025-07-31,197.03,137056868.0,261901.7591,285.5507,3.2147,0.14
2025-08-31,183.44,60996094.0,243837.277,265.8551,2.993,0.14
2025-09-30,191.16,99942450.0,254099.0725,277.0435,3.119,0.14
2025-10-31,199.63,66764252.0,265357.8042,289.3188,3.2572,0.14
2025-11-30,187.21,65356015.0,248848.5424,271.3188,3.0545,0.14
2025-12-31,172.21,74759974.0,228909.8205,249.5797,2.8098,0.14
2026-01-31,154.68,83845090.0,205608.1007,224.1739,2.5238,0.14
2026-02-28,156.13,57483962.0,207535.5105,226.2754,2.5474,0.14
2026-03-31,153.53,6869249.0,204079.4638,222.5072,2.505,0.14
