KFINTECH IN Equity,price,volume,mc,pe,bm,div
2022-12-31,344.5,9505176.0,57727.4802,,,0.0
2023-01-31,319.7,5249676.0,53571.7719,,,0.0
2023-02-28,294.4,2283719.0,49820.929,,,0.0
2023-03-31,280.25,2579887.0,47426.3429,24.0352,5.4499,0.0
2023-04-30,314.05,2653626.0,53146.2729,26.934,6.1072,0.0
2023-05-31,336.05,5445937.0,57014.5387,28.8208,6.535,0.0
2023-06-30,370.75,6459707.0,62994.9063,31.7967,7.2098,0.0
2023-07-31,385.8,10226698.0,65552.0832,33.0875,7.5025,0.0
2023-08-31,448.15,20015550.0,76161.6293,38.4348,8.715,0.0
2023-09-30,469.45,5316888.0,79862.2993,40.2616,9.1292,0.0
2023-10-31,451.8,5786973.0,76939.7301,38.7479,8.786,0.0
2023-11-30,529.1,9637854.0,90155.2331,45.3774,10.2892,0.0
2023-12-31,482.7,69448974.0,82370.6253,41.3979,9.3869,0.0
2024-01-31,620.7,18487817.0,105957.6201,53.2333,12.0705,0.0
2024-02-29,686.15,16649322.0,117130.3706,58.8465,13.3433,0.0
2024-03-31,613.65,13236926.0,104927.1992,42.4378,9.2157,0.0
2024-04-30,749.95,12475145.0,128232.9553,51.8638,11.2627,0.0
2024-05-31,696.45,27228169.0,119183.2064,48.1639,10.4592,0.0
2024-06-30,700.2,8761360.0,119947.4606,48.4232,10.5155,0.0
2024-07-31,874.7,20388144.0,149882.0694,60.491,13.1361,0.0
2024-08-31,1038.6,48535864.0,177966.7512,71.8257,15.5976,5.75
2024-09-30,1021.2,18381473.0,175041.0306,70.6224,15.3363,5.75
2024-10-31,1000.1,29856733.0,171483.2416,69.1632,15.0194,5.75
2024-11-30,1163.75,12841140.0,199860.378,80.4806,17.4771,5.75
2024-12-31,1537.25,46869619.0,264150.2793,106.3105,23.0862,5.75
2025-01-31,1090.25,30321024.0,187397.5122,75.3976,16.3732,5.75
2025-02-28,870.65,34537612.0,149698.2141,60.2109,13.0753,5.75
2025-03-31,1029.6,23674238.0,177168.9523,53.0995,12.5943,5.75
2025-04-30,1197.6,42958064.0,206087.0116,61.7638,14.6493,5.75
2025-05-31,1078.7,63404121.0,185626.3021,55.6318,13.1949,5.75
2025-06-30,1347.7,51144264.0,232041.327,69.5049,16.4853,5.75
2025-07-31,1082.9,22969533.0,186462.1621,55.8484,13.2462,5.75
2025-08-31,1021.2,19591314.0,175874.0163,52.6663,12.4915,7.5
2025-09-30,1051.7,19146582.0,181168.8099,54.2393,12.8646,7.5
2025-10-31,1098.1,28529324.0,189199.1326,56.6323,13.4322,7.5
2025-11-30,1056.3,12113689.0,182014.5462,54.4765,12.9209,7.5
2025-12-31,1082.0,25438395.0,186598.3507,55.802,13.2352,7.5
2026-01-31,1014.0,17142709.0,174876.8655,52.295,12.4034,7.5
2026-02-28,956.7,21156290.0,165028.5295,49.3399,11.7025,7.5
2026-03-31,928.35,2514676.0,160138.2161,47.8778,11.3558,7.5
