OFSS IN Equity,price,volume,mc,pe,bm,div
2011-05-31,2222.95,2214178.0,186510.1671,16.7841,3.4499,0.0
2011-06-30,2288.6,1430536.0,192018.3557,17.1131,3.5496,0.0
2011-07-31,2118.85,967144.0,177801.6128,15.8438,,0.0
2011-08-31,1816.0,1223981.0,152428.5049,13.5792,,0.0
2011-09-30,1900.4,1187199.0,159512.7372,14.9433,,0.0
2011-10-31,2113.7,1197646.0,177416.3663,16.6205,,0.0
2011-11-30,2031.75,349004.0,170539.4111,15.9761,,0.0
2011-12-31,1857.45,485202.0,155917.5125,14.3328,,0.0
2012-01-31,1984.6,698081.0,166604.1962,15.314,,0.0
2012-02-29,2645.65,5045988.0,222098.3427,20.4149,,0.0
2012-03-31,2620.3,2024452.0,219980.4795,24.1877,3.483,0.0
2012-04-30,2619.95,1518622.0,220007.1538,24.1845,3.4825,0.0
2012-05-31,2503.45,842954.0,210224.206,23.1091,3.3277,0.0
2012-06-30,2537.2,669755.0,213071.7751,19.85,3.1874,0.0
2012-07-31,2554.3,1055312.0,214520.8461,19.9837,3.2089,0.0
2012-08-31,2975.0,3383702.0,249852.9936,23.2751,3.7374,0.0
2012-09-30,3009.05,2217005.0,252742.4593,24.7233,3.7201,0.0
2012-10-31,2900.2,823353.0,243635.6468,23.829,,0.0
2012-11-30,2909.6,816403.0,244425.3236,23.9062,,0.0
2012-12-31,3293.35,1637813.0,276727.6941,28.0145,3.7396,0.0
2013-01-31,3193.55,1197501.0,268341.8742,27.1655,3.6263,0.0
2013-02-28,2811.95,808004.0,236359.2895,23.9195,3.193,0.0
2013-03-31,2560.3,1128955.0,215224.7161,20.0045,2.906,0.0
2013-04-30,2620.4,676170.0,220285.2214,20.4741,2.9742,0.0
2013-05-31,2618.05,5417191.0,220095.0137,20.4557,2.9716,0.0
2013-06-30,2699.0,1387196.0,226922.4939,21.1323,3.0274,0.0
2013-07-31,2958.7,1067078.0,248763.2298,23.1657,,0.0
2013-08-31,2966.45,883158.0,249415.744,23.2263,,0.0
2013-09-30,3073.9,571086.0,258450.0128,20.2591,3.173,0.0
2013-10-31,3205.6,500622.0,269568.7589,21.1271,3.3089,0.0
2013-11-30,3098.5,699705.0,260576.8952,20.4213,3.1984,0.0
2013-12-31,3298.15,1146769.0,277383.5587,20.8507,3.2793,0.0
2014-01-31,3203.75,915415.0,269489.9262,20.2539,3.1854,0.0
2014-02-28,3114.15,593495.0,261990.0229,19.6875,3.0963,0.0
2014-03-31,3087.45,661784.0,259761.3115,19.0996,2.9599,0.0
2014-04-30,3000.4,456081.0,252466.0507,18.5611,2.8765,0.0
2014-05-31,2830.15,813393.0,238150.0124,17.5079,2.7133,0.0
2014-06-30,3131.85,726630.0,263548.0123,18.9855,2.9176,0.0
2014-07-31,3314.6,649950.0,278926.5896,20.0934,,0.0
2014-08-31,3606.4,1080120.0,303502.3552,21.8623,,0.0
2014-09-30,3439.15,1757406.0,290858.2448,21.5014,6.0752,485.0
2014-10-31,3383.15,588737.0,286124.8313,21.1513,5.9762,485.0
2014-11-30,3345.15,499426.0,282949.4225,20.9137,5.9091,485.0
2014-12-31,3362.55,1225038.0,284421.217,22.2568,5.9385,485.0
2015-01-31,3397.35,866639.0,287432.093,22.4871,,485.0
2015-02-28,3277.25,373906.0,277271.7473,21.6921,,485.0
2015-03-31,3260.05,521490.0,275848.6565,23.0604,8.0092,485.0
2015-04-30,3315.7,832388.0,280584.7071,23.4541,8.146,485.0
2015-05-31,3631.0,2716793.0,307266.3663,25.6844,8.9206,485.0
2015-06-30,3780.1,614570.0,319911.7955,29.6176,9.0986,485.0
2015-07-31,4046.5,716767.0,342494.0596,31.7049,,485.0
2015-08-31,4145.65,1463680.0,350916.68,32.4818,,485.0
2015-09-30,3945.8,1088321.0,334501.9852,32.1247,8.0766,180.0
2015-10-31,3880.15,758498.0,329015.2589,31.5902,7.9423,180.0
2015-11-30,3817.2,774199.0,323687.8491,31.0777,7.8134,180.0
2015-12-31,3732.6,814931.0,316611.102,29.9765,7.6757,180.0
2016-01-31,3639.7,496843.0,308731.0104,29.2304,,180.0
2016-02-29,3217.25,646495.0,272958.5228,25.8377,,180.0
2016-03-31,3529.4,756837.0,299491.385,28.5279,6.3952,180.0
2016-04-30,3608.35,738140.0,306257.5056,29.166,6.5383,180.0
2016-05-31,3466.05,698360.0,294179.8355,28.0158,6.2804,180.0
2016-06-30,3464.25,571815.0,294094.1355,26.3553,6.243,180.0
2016-07-31,3685.95,618581.0,312915.1361,28.0419,,180.0
2016-08-31,3456.6,1253602.0,293444.7068,26.2971,,100.0
2016-09-30,3222.8,531613.0,273596.4778,24.2468,6.1759,100.0
2016-10-31,3203.8,812970.0,271983.4913,24.1038,6.1394,100.0
2016-11-30,3055.55,2098331.0,259397.9517,22.9885,5.8554,100.0
2016-12-31,3125.8,919619.0,265784.2715,22.4334,5.9581,100.0
2017-01-31,3319.5,775991.0,282254.4217,23.8236,,100.0
2017-02-28,3739.85,1284624.0,318190.1647,26.8404,,100.0
2017-03-31,3815.75,9624085.0,324744.7731,27.3028,9.9281,100.0
2017-04-30,3557.6,613975.0,303345.9109,25.4557,9.2564,270.0
2017-05-31,3524.95,710134.0,300604.0742,25.222,9.1715,270.0
2017-06-30,3609.45,704599.0,307858.6682,25.3597,9.3138,270.0
2017-07-31,3622.65,527850.0,309008.1866,25.4525,,270.0
2017-08-31,3421.4,447076.0,291841.776,24.0385,,170.0
2017-09-30,3634.75,410222.0,310077.0473,24.5492,7.5691,170.0
2017-10-31,3499.25,396629.0,298517.6718,23.634,7.2869,0.0
2017-11-30,3694.05,568472.0,315226.1344,24.9497,7.6926,0.0
2017-12-31,4098.05,572793.0,349700.8595,28.372,8.4579,0.0
2018-01-31,4182.65,908332.0,357157.4371,28.9577,,0.0
2018-02-28,3941.6,1237273.0,336625.8759,27.2888,,0.0
2018-03-31,3745.35,706611.0,319916.1602,25.7873,6.7904,0.0
2018-04-30,4310.1,722068.0,368209.494,29.6757,7.8143,0.0
2018-05-31,3942.9,921253.0,336898.3857,27.1475,7.1486,0.0
2018-06-30,4074.7,530976.0,348185.7636,27.369,6.7197,0.0
2018-07-31,3878.3,521053.0,331616.8998,26.0498,6.3958,0.0
2018-08-31,4160.2,1301974.0,356268.8113,27.9433,6.8607,130.0
2018-09-30,3916.45,5877811.0,335721.8969,26.1306,7.7447,130.0
2018-10-31,3623.75,992778.0,310648.788,24.1777,7.1659,130.0
2018-11-30,3438.8,848728.0,294842.4472,22.9437,6.8001,130.0
2018-12-31,3707.75,805108.0,317902.1995,24.4607,7.2392,130.0
2019-01-31,3801.05,587957.0,325972.5479,25.0762,,130.0
2019-02-28,3501.85,843860.0,300364.9154,23.1023,,130.0
2019-03-31,3387.8,813593.0,290582.4808,20.9175,5.8849,130.0
2019-04-30,3519.8,693805.0,301925.4416,21.7325,6.1142,130.0
2019-05-31,3418.25,595317.0,293276.2789,21.1055,5.9378,130.0
2019-06-30,3170.65,513861.0,272032.8922,19.955,5.5236,130.0
2019-07-31,3394.6,754076.0,291277.9268,21.3645,,130.0
2019-08-31,3081.0,815467.0,264454.9977,19.3908,,130.0
2019-09-30,3173.4,871006.0,272386.0726,19.8884,4.7521,0.0
2019-10-31,3140.5,330719.0,269585.2088,19.6823,4.7028,0.0
2019-11-30,2931.25,336341.0,251650.946,18.3708,4.3895,0.0
2019-12-31,2739.65,332777.0,235218.2533,15.473,4.1165,0.0
2020-01-31,2940.55,641815.0,252466.9337,16.6076,,0.0
2020-02-29,2648.4,345431.0,227389.2087,14.9576,,0.0
2020-03-31,2023.65,914390.0,173789.6414,11.8766,2.6454,0.0
2020-04-30,2346.85,1323783.0,201554.8964,13.7734,3.0679,0.0
2020-05-31,2491.8,1237755.0,214179.7511,14.6241,3.2573,180.0
2020-06-30,2863.75,1282793.0,246156.4578,15.715,3.7269,180.0
2020-07-31,2937.9,1035538.0,252571.6978,16.1219,,180.0
2020-08-31,3032.55,1644860.0,260708.7723,16.6413,,180.0
2020-09-30,3072.55,2017969.0,264184.3106,16.5182,4.4567,180.0
2020-10-31,3143.6,2651221.0,270336.8967,16.9002,4.5597,180.0
2020-11-30,3040.15,755914.0,261440.6148,16.344,4.4097,180.0
2020-12-31,3212.5,1632357.0,276403.8791,17.5777,4.678,180.0
2021-01-31,3218.55,1727631.0,276971.3354,17.6108,,180.0
2021-02-28,3043.6,1052959.0,261916.0667,16.6535,,180.0
2021-03-31,3198.95,2916258.0,275308.7739,15.613,4.0198,180.0
2021-04-30,3478.55,2289692.0,299378.7621,16.9776,4.3712,180.0
2021-05-31,3473.1,3057565.0,299092.8416,16.951,4.3643,200.0
2021-06-30,3651.5,2050510.0,314483.1188,17.3931,5.5272,200.0
2021-07-31,4315.45,5378394.0,371665.3866,20.5556,6.5322,200.0
2021-08-31,4699.55,3706855.0,404745.7548,22.3852,7.1136,200.0
2021-09-30,4555.95,3893404.0,392378.2962,21.0589,6.3977,200.0
2021-10-31,4424.5,4856740.0,381057.2485,20.4513,6.2131,200.0
2021-11-30,4235.2,1890430.0,365160.0282,19.5763,5.9473,200.0
2021-12-31,3961.2,1887086.0,341579.378,18.2642,5.1893,200.0
2022-01-31,3515.25,3107690.0,303128.7675,16.208,4.6051,200.0
