SBIN IN Equity,price,volume,mc,pe,bm,div
1995-01-31,17.34,,87066.0806,,,0.0
1995-02-28,16.63,,83512.363,,,0.0
1995-03-31,16.6,,83393.9058,,,0.0
1995-04-30,16.04,,80550.9317,,,0.0
1995-05-31,17.88,,89790.5974,,,2.0283
1995-06-30,17.74,,89113.6925,,,2.0283
1995-07-31,18.3,,91957.7465,,,2.0283
1995-08-31,18.35,,92194.751,,,2.0283
1995-09-30,20.71,,104044.9761,,,2.0283
1995-10-31,20.14,,101200.9221,,,0.3302
1995-11-30,15.75,,79159.5034,,,0.3302
1995-12-31,18.04,,90654.2218,,,0.3302
1996-01-31,18.54,,93142.769,,,0.3302
1996-02-29,22.74,,114236.1696,,,0.3302
1996-03-31,22.43,,112695.6404,,,0.3302
1996-04-30,28.63,,143861.7323,,,0.3302
1996-05-31,26.51,575187803.0,133196.5298,,,0.3302
1996-06-30,28.33,1285811486.0,142321.2031,,,0.3302
1996-07-31,27.92,1433633909.0,140306.6648,,,0.3302
1996-08-31,25.64,724642240.0,128811.9465,,,0.3302
1996-09-30,23.84,895192074.0,119805.7754,,,0.3302
1996-10-31,21.75,1430912084.0,109259.0751,,,0.3302
1996-11-30,20.59,811390412.0,103452.4648,,,0.3302
1996-12-31,21.37,764553996.0,107363.0391,,,0.3302
1997-01-31,25.61,1522111105.0,128693.4442,,,0.3302
1997-02-28,28.59,1304493164.0,143624.7278,,,0.3302
1997-03-31,25.73,1416514510.0,129285.9555,,,0.3302
1997-04-30,30.02,1299040227.0,150853.3651,,,0.3302
1997-05-31,28.94,1009947669.0,145402.2616,,,0.3302
1997-06-30,32.1,1067685176.0,179073.2386,,,0.3774
1997-07-31,30.47,538546858.0,169994.5806,,,0.3774
1997-08-31,26.89,832171524.0,149995.2182,,,0.3774
1997-09-30,26.11,787606208.0,145653.2514,,,0.3774
1997-10-31,24.81,587503792.0,144863.8028,,,0.3774
1997-11-30,20.76,829756787.0,115785.7825,,,0.3774
1997-12-31,22.92,921171769.0,127890.6597,,,0.3774
1998-01-31,22.52,1084163572.0,125653.8889,,,0.3774
1998-02-28,24.25,434485733.0,135258.8459,,,0.3774
1998-03-31,26.6,617087568.0,148416.3212,,,0.3774
1998-04-30,27.17,592129697.0,151574.1152,,,0.3774
1998-05-31,22.83,404695186.0,127364.3607,,,0.3774
1998-06-30,19.93,810658186.0,111206.9811,,,0.3774
1998-07-31,19.82,764044971.0,110575.4223,,,0.3774
1998-08-31,17.3,556800154.0,96523.2387,,,0.3774
1998-09-30,18.89,863239988.0,105365.062,,,0.3774
1998-10-31,14.68,994307126.0,81892.1261,,,0.3774
1998-11-30,14.2,1049683330.0,79208.0012,,,0.3774
1998-12-31,14.82,830682926.0,82681.5747,,,0.3774
1999-01-31,15.64,849758175.0,87260.3761,,,0.3774
1999-02-28,14.32,402895578.0,79892.1899,,,0.3774
1999-03-31,20.13,1222899775.0,112312.209,,,0.3774
1999-04-30,14.64,463606117.0,81681.6065,,,0.3774
1999-05-31,22.97,1367055250.0,128153.8092,,,0.3774
1999-06-30,22.34,1209111893.0,124653.9208,,,0.3774
1999-07-31,23.16,1023458069.0,129206.4073,,,0.3774
1999-08-31,22.83,716536409.0,127364.3607,,,0.3774
1999-09-30,20.57,780127919.0,114733.1844,,,0.3774
1999-10-31,23.4,681510593.0,130522.1548,,,0.3774
1999-11-30,22.03,393583306.0,122890.8191,,,0.3774
1999-12-31,21.2,349404077.0,118285.7028,,,0.3774
2000-01-31,23.08,552007874.0,128732.7381,,,0.3774
2000-02-29,21.44,540312239.0,119601.4503,,,0.3774
2000-03-31,18.97,336536303.0,105838.7312,,,0.3774
2000-04-30,19.44,493083566.0,108470.2262,,,0.4717
2000-05-31,19.2,242441545.0,107101.8488,,,0.4717
2000-06-30,21.35,403295753.0,119127.7812,,,0.4717
2000-07-31,19.06,279028197.0,106312.4003,,,0.4717
2000-08-31,18.66,125566535.0,104075.6295,,,0.4717
2000-09-30,16.7,117279425.0,93181.2399,,,0.4717
2000-10-31,15.47,79947912.0,86313.0378,,,0.4717
2000-11-30,17.13,273518255.0,95575.9004,,,0.4717
2000-12-31,18.15,245956799.0,101259.9298,,,0.4717
2001-01-31,21.67,482495646.0,120864.5679,,,0.4717
2001-02-28,23.18,505764041.0,129337.982,,,0.4717
2001-03-31,18.89,274857946.0,105391.377,,,0.4717
2001-04-30,19.81,98754043.0,110522.7924,,,0.4717
2001-05-31,20.89,169211648.0,116548.916,,,0.4717
2001-06-30,20.78,114192595.0,115943.6722,,,0.2359
2001-07-31,19.11,43129156.0,106601.8647,,,0.4717
2001-08-31,18.71,25839120.0,104365.0939,,,0.4717
2001-09-30,15.55,38553557.0,86760.392,,,0.4717
2001-10-31,17.51,48815755.0,97707.4114,,,0.4717
2001-11-30,19.67,47846061.0,109733.3438,,,0.4717
2001-12-31,17.22,34667669.0,96075.8845,,,0.4717
2002-01-31,19.8,86446363.0,110443.8475,,,0.4717
2002-02-28,21.49,354837732.0,119890.9148,,,0.4717
2002-03-31,20.74,84866712.0,115680.5227,,,0.4717
2002-04-30,21.51,84790733.0,120022.4895,,,0.4717
2002-05-31,20.75,29781103.0,115759.4675,,,0.4717
2002-06-30,22.69,73692855.0,126574.9122,,,0.4717
2002-07-31,21.89,28796919.0,122101.3706,,,0.566
2002-08-31,22.8,20841934.0,127180.1561,,,0.566
2002-09-30,21.69,14932368.0,120996.1427,,,0.566
2002-10-31,21.67,11968930.0,120917.1978,,,0.566
2002-11-30,24.78,85873633.0,138258.7503,,,0.566
2002-12-31,26.67,280912158.0,148758.4155,,,0.566
2003-01-31,26.63,239852588.0,148547.8959,,,0.566
2003-02-28,26.96,375382924.0,150389.9425,,,0.566
2003-03-31,25.46,168814218.0,142048.1031,,,0.566
2003-04-30,26.28,100921889.0,146600.5896,,,0.566
2003-05-31,33.24,250996607.0,185415.1417,,,0.566
2003-06-30,36.25,389050318.0,202204.0801,,,0.566
2003-07-31,39.8,468109138.0,222019.2379,,,0.8019
2003-08-31,41.44,533034838.0,231176.8407,,,0.8019
2003-09-30,42.6,440306441.0,237676.6335,,,0.8019
2003-10-31,45.68,586239094.0,254833.9812,,,0.8019
2003-11-30,44.41,291477225.0,247755.2595,,,0.8019
2003-12-31,50.8,312615170.0,283412.0175,,,0.8019
2004-01-31,56.21,758357015.0,313568.9509,,,0.8019
2004-02-29,55.22,640773046.0,308042.8113,,,0.8019
2004-03-31,57.14,613110511.0,318779.3111,,,0.8019
2004-04-30,60.62,444527147.0,338199.7446,,,0.8019
2004-05-31,43.87,606198211.0,244729.0402,,,0.8019
2004-06-30,40.63,732414557.0,226909.0487,,,1.0378
2004-07-31,41.69,542655873.0,232863.0072,,,1.0378
2004-08-31,41.78,419886264.0,233337.2163,,,1.0378
2004-09-30,44.17,320836857.0,246694.1056,,,1.0378
2004-10-31,42.2,229183177.0,235708.2618,,,1.0378
2004-11-30,49.97,206025942.0,279098.3933,,,1.0378
2004-12-31,61.55,376672161.0,343775.2439,,,1.0378
2005-01-31,60.66,936117355.0,338796.0485,,,1.0378
2005-02-28,67.42,1131646387.0,376548.3609,,,1.0378
2005-03-31,61.77,1179655113.0,345013.4566,,,1.0378
2005-04-30,55.18,726255163.0,308156.8724,,,1.0378
2005-05-31,63.25,870473770.0,353259.4257,,,1.0378
2005-06-30,64.33,706187526.0,358883.2125,,,1.1793
2005-07-31,75.5,727265593.0,421170.6861,,,1.1793
2005-08-31,75.12,617750058.0,419091.8054,,,1.1793
2005-09-30,88.51,755639112.0,493773.6178,,,1.1793
2005-10-31,79.16,1027947533.0,441617.3979,,,1.1793
2005-11-30,84.59,809976511.0,471905.899,,,1.1793
2005-12-31,85.68,896437873.0,477958.3362,,,1.1793
2006-01-31,83.62,742914265.0,466485.0204,,,1.1793
2006-02-28,82.78,528762734.0,461827.2752,,,1.1793
2006-03-31,91.37,824723784.0,509720.4742,,,1.1793
2006-04-30,86.14,493821018.0,464642.9743,,,1.1793
2006-05-31,78.55,574406531.0,438222.7701,,,1.1793
2006-06-30,68.66,621694670.0,383014.0166,,,1.3208
2006-07-31,76.44,569628910.0,426433.6749,,,1.3208
2006-08-31,87.86,493969097.0,490115.8405,,,1.3208
2006-09-30,97.04,351299646.0,541377.3523,,,1.3208
2006-10-31,103.36,255779114.0,576639.3779,,,1.3208
2006-11-30,124.25,418429200.0,693161.952,,,1.3208
2006-12-31,117.51,359252055.0,655557.8963,,,1.3208
2007-01-31,107.59,304926188.0,600217.5681,,,1.3208
2007-02-28,98.29,355966668.0,548324.4977,,,1.3208
2007-03-31,93.82,440935001.0,523377.9303,8.2234,,1.3208
2007-04-30,103.95,391849311.0,579928.746,9.1119,,1.3208
2007-05-31,127.7,497511742.0,712424.4913,11.1937,,1.3208
2007-06-30,143.95,550462778.0,803026.8451,11.0565,,1.3208
2007-07-31,153.2,465771991.0,854630.4512,11.767,,1.3208
2007-08-31,150.98,648501819.0,842262.4273,11.5967,,1.3208
2007-09-30,183.57,389321409.0,1024098.931,13.336,,1.3208
2007-10-31,195.12,606074934.0,1088491.615,14.1745,,1.3208
2007-11-30,217.21,485976780.0,1211750.844,15.7796,,1.3208
2007-12-31,223.7,196885737.0,1247933.901,14.6151,,1.3208
2008-01-31,216.74,343235135.0,1368809.444,14.1602,,1.3208
2008-02-29,211.17,252237180.0,1333631.607,13.7963,,1.3208
2008-03-31,160.03,330897780.0,1010652.323,9.8944,,1.3208
2008-04-30,177.47,247737740.0,1120638.184,10.9727,,1.3208
2008-05-31,144.5,264388000.0,917401.8716,8.9345,,2.15
2008-06-30,111.16,314624970.0,705732.817,7.2049,,2.15
2008-07-31,141.73,515148750.0,899783.9464,9.1859,,2.15
2008-08-31,140.39,533819080.0,891276.5519,9.0991,,2.15
2008-09-30,146.33,685839770.0,929051.9231,9.5521,,2.15
2008-10-31,110.97,877063310.0,704526.3017,7.2437,,2.15
