MRL IN Equity,price,volume,mc,pe,bm,div
1995-01-31,90.0,,10271.7897,,,0.0
1995-02-28,92.0,,10500.0517,,,0.0
1995-03-31,87.5,,9986.4622,,,0.0
1995-04-30,73.75,,8417.161,,,0.0
1995-05-31,77.0,,8788.0867,,,0.0
1995-06-30,67.0,,7646.7768,,,0.0
1995-07-31,72.0,,10349.8561,,,0.0
1995-08-31,70.0,,10062.3601,,,0.0
1995-09-30,67.0,,9631.1161,,,2.5
1995-10-31,59.5,,8553.0061,,,2.5
1995-11-30,51.0,,7331.1481,,,2.5
1995-12-31,48.0,,6899.9041,,,2.5
1996-01-31,48.5,,6971.7781,,,2.5
1996-02-29,60.5,,8696.7541,,,2.5
1996-03-31,57.5,,8265.5101,,,2.5
1996-04-30,67.5,,9702.9901,,,2.5
1996-05-31,56.0,75100.0,8049.8881,,,2.5
1996-06-30,53.0,144000.0,7618.6441,,,2.5
1996-07-31,43.5,164700.0,6253.038,,,2.5
1996-08-31,38.0,226200.0,5462.424,,,2.5
1996-09-30,33.75,92200.0,4851.495,,,2.5
1996-10-31,33.75,70200.0,4851.495,,,2.5
1996-11-30,28.0,87200.0,4024.944,,,2.5
1996-12-31,30.75,90300.0,4420.251,,,2.5
1997-01-31,34.0,170800.0,4887.432,,,2.5
1997-02-28,37.25,55100.0,5354.613,,,2.5
1997-03-31,36.25,304100.0,5210.865,,,2.5
1997-04-30,39.5,144800.0,5678.046,,,2.5
1997-05-31,46.25,1018500.0,6648.3451,,,2.5
1997-06-30,46.75,1795000.0,6720.2191,,,2.5
1997-07-31,48.5,179000.0,6971.7781,,,2.5
1997-08-31,50.75,3585900.0,7295.2111,,,2.5
1997-09-30,41.25,982200.0,5929.605,,,2.5
1997-10-31,42.0,314800.0,6181.164,,,2.5
1997-11-30,41.75,142200.0,6001.479,,,2.5
1997-12-31,43.25,108600.0,6217.101,,,2.5
1998-01-31,37.25,275200.0,5354.613,,,2.5
1998-02-28,45.7,364000.0,6569.2837,,,2.5
1998-03-31,57.65,3692200.0,8287.0723,,,2.5
1998-04-30,65.6,3657300.0,9429.8689,,,2.5
1998-05-31,54.5,1110600.0,8024.0897,,,2.5
1998-06-30,48.0,1598900.0,7067.0881,,,2.5
1998-07-31,48.45,1372200.0,7133.3421,,,2.5
1998-08-31,43.3,650400.0,6375.1024,,,2.75
1998-09-30,40.0,2012900.0,5889.2401,,,2.75
1998-10-31,35.05,508700.0,5160.4466,,,2.75
1998-11-30,35.5,1103300.0,5226.7006,,,2.75
1998-12-31,36.0,1004700.0,5300.3161,,,2.75
1999-01-31,33.6,1156700.0,4946.9617,,,2.75
1999-02-28,31.7,1083724.0,4667.2228,,,2.75
1999-03-31,31.7,1162442.0,4667.2228,,,2.75
1999-04-30,31.85,1538214.0,4689.3074,,,2.75
1999-05-31,35.5,4140585.0,5226.7006,,,2.75
1999-06-30,42.8,4028151.0,6301.4869,,,2.75
1999-07-31,47.5,5905057.0,6993.4726,,,2.75
1999-08-31,48.0,2834176.0,7067.0881,,,3.5
1999-09-30,39.95,1536968.0,5881.8786,,,3.5
1999-10-31,41.5,2142126.0,6110.0866,,,3.5
1999-11-30,66.65,5737791.0,9812.9463,,,3.5
1999-12-31,51.8,2396234.0,7626.5659,,,3.5
2000-01-31,44.5,1196385.0,6551.7796,,,3.5
2000-02-29,43.0,1120361.0,6330.9331,,,3.5
2000-03-31,35.0,793126.0,5153.0851,,,3.5
2000-04-30,32.9,518223.0,4843.9,,,3.5
2000-05-31,35.4,720410.0,5211.9775,,,3.5
2000-06-30,35.25,878528.0,5189.8928,,,3.5
2000-07-31,32.0,376761.0,4711.3921,,,3.5
2000-08-31,30.0,222169.0,4416.9301,,,3.0
2000-09-30,28.5,470792.0,4196.0836,,,3.0
2000-10-31,24.35,472133.0,3585.0749,,,3.0
2000-11-30,28.7,545374.0,4225.5298,,,3.0
2000-12-31,30.8,1036342.0,4534.7149,,,3.0
2001-01-31,35.45,2349977.0,5219.339,,,3.0
2001-02-28,37.15,3938296.0,5469.6318,,,3.0
2001-03-31,29.95,1937121.0,4409.5685,,,3.0
2001-04-30,30.15,741942.0,4439.0147,,,3.0
2001-05-31,31.05,667795.0,4571.5226,,,3.0
2001-06-30,24.55,671328.0,3614.5211,,,3.0
2001-07-31,25.4,186052.0,3739.6675,,,3.0
2001-08-31,21.75,770475.0,3202.2743,,,2.5
2001-09-30,21.45,274872.0,3198.8599,,,2.5
2001-10-31,20.95,129512.0,3124.2944,,,2.5
2001-11-30,21.95,210247.0,3273.4254,,,2.5
2001-12-31,20.4,165645.0,3042.2723,,,2.5
2002-01-31,20.75,156620.0,3094.4682,,,2.5
2002-02-28,22.35,694378.0,3333.0778,,,2.5
2002-03-31,33.7,1515854.0,5025.7146,,,2.5
2002-04-30,31.6,1331066.0,4712.5395,,,2.5
2002-05-31,32.75,907914.0,4884.0401,,,2.5
2002-06-30,34.0,554846.0,5070.4539,,,2.5
2002-07-31,29.0,454446.0,4324.7989,,,2.5
2002-08-31,28.85,231225.0,4302.4293,,,2.0
2002-09-30,25.5,154533.0,3802.8404,,,2.0
2002-10-31,27.7,182701.0,4130.9286,,,2.0
2002-11-30,28.25,136860.0,4212.9507,,,2.0
2002-12-31,27.3,482521.0,4071.2762,,,2.0
2003-01-31,28.7,558947.0,4280.0596,,,2.0
2003-02-28,29.75,767276.0,4436.6472,,,2.0
2003-03-31,29.95,326405.0,4466.4734,,,2.0
2003-04-30,31.65,190785.0,4719.996,,,2.0
2003-05-31,55.3,3859305.0,8246.9441,,,2.0
2003-06-30,52.2,1147420.0,7784.638,,,2.0
2003-07-31,64.1,3709363.0,9559.2969,,,2.0
2003-08-31,85.1,6972370.0,12691.0478,,,2.0
2003-09-30,69.8,2822878.0,10409.3436,,,3.5
2003-10-31,70.35,3794646.0,10491.3656,,,3.5
2003-11-30,73.9,2366276.0,11020.7807,,,3.5
2003-12-31,90.65,5070583.0,13329.8739,,,3.5
2004-01-31,87.25,3043410.0,12829.9117,,,3.5
2004-02-29,94.4,5981688.0,13881.3028,,,3.5
